SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02																						
#																									
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus
Create Water.MOD	CLASSES:Paladin of Slaughter=1																								
Curse water.MOD	CLASSES:Paladin of Slaughter=1																								
Detect Poison.MOD	CLASSES:Paladin of Slaughter=1																								
Detect Undead.MOD	CLASSES:Paladin of Slaughter=1																								
Divine Favor.MOD	CLASSES:Paladin of Slaughter=1																								
Endure Elements.MOD	CLASSES:Paladin of Slaughter=1																								
Inflict Light Wounds.MOD	CLASSES:Paladin of Slaughter=1																								
Magic Weapon.MOD	CLASSES:Paladin of Slaughter=1																								
Protection from Good.MOD	CLASSES:Paladin of Slaughter=1																								
Protection from Law.MOD	CLASSES:Paladin of Slaughter=1																								
Read Magic.MOD	CLASSES:Paladin of Slaughter=1																								
Resistance.MOD	CLASSES:Paladin of Slaughter=1																								
Virtue.MOD	CLASSES:Paladin of Slaughter=1																								
Bull's Strength.MOD	CLASSES:Paladin of Slaughter=2																								
Cure Light Wounds.MOD	CLASSES:Paladin of Slaughter=2																								
Darkness.MOD	CLASSES:Paladin of Slaughter=2																								
Delay Poison.MOD	CLASSES:Paladin of Slaughter=2																								
Eagle's Splendor.MOD	CLASSES:Paladin of Slaughter=2																								
Inflict Moderate Wounds.MOD	CLASSES:Paladin of Slaughter=2																								
Owl's Wisdom.MOD	CLASSES:Paladin of Slaughter=2																								
Resist Energy.MOD	CLASSES:Paladin of Slaughter=2																								
Undetectable Alignment.MOD	CLASSES:Paladin of Slaughter=2																								
Blindness/Deafness.MOD	CLASSES:Paladin of Slaughter=3																								
Cure Moderate Wounds.MOD	CLASSES:Paladin of Slaughter=3																								
Deeper Darkness.MOD	CLASSES:Paladin of Slaughter=3																								
Dispel Magic.MOD	CLASSES:Paladin of Slaughter=3																								
Magic Weapon (Greater).MOD	CLASSES:Paladin of Slaughter=3																								
Heal Mount.MOD	CLASSES:Paladin of Slaughter=3																								
Prayer.MOD	CLASSES:Paladin of Slaughter=3																								
Inflict Serious Wounds.MOD	CLASSES:Paladin of Slaughter=3																								
Magic Circle against Good.MOD	CLASSES:Paladin of Slaughter=3																								
Magic Circle against Law.MOD	CLASSES:Paladin of Slaughter=3																								
Break Enchantment.MOD	CLASSES:Paladin of Slaughter=4																								
Cure Serious Wounds.MOD	CLASSES:Paladin of Slaughter=4																								
Dispel Good.MOD	CLASSES:Paladin of Slaughter=4																								
Dispel Law.MOD	CLASSES:Paladin of Slaughter=4																								
Inflict Critical Wounds.MOD	CLASSES:Paladin of Slaughter=4																								
Poison.MOD	CLASSES:Paladin of Slaughter=4																								
Unholy Sword.MOD	CLASSES:Paladin of Slaughter=4																								
Bane.MOD	CLASSES:Paladin of Tyranny=1																								
Corrupt Weapon.MOD	CLASSES:Paladin of Tyranny=1																								
Create Water.MOD	CLASSES:Paladin of Tyranny=1																								
Curse Water.MOD	CLASSES:Paladin of Tyranny=1																								
Detect Poison.MOD	CLASSES:Paladin of Tyranny=1																								
Detect Undead.MOD	CLASSES:Paladin of Tyranny=1																								
Divine Favor.MOD	CLASSES:Paladin of Tyranny=1																								
Doom.MOD	CLASSES:Paladin of Tyranny=1																								
Endure Elements.MOD	CLASSES:Paladin of Tyranny=1																								
Inflict Light Wounds.MOD	CLASSES:Paladin of Tyranny=1																								
Magic Weapon.MOD	CLASSES:Paladin of Tyranny=1																								
Protection from Chaos.MOD	CLASSES:Paladin of Tyranny=1																								
Protection from Good.MOD	CLASSES:Paladin of Tyranny=1																								
Read Magic.MOD	CLASSES:Paladin of Tyranny=1																								
Resistance.MOD	CLASSES:Paladin of Tyranny=1																								
Virtue.MOD	CLASSES:Paladin of Tyranny=1																								
Bull's Strength.MOD	CLASSES:Paladin of Tyranny=2																								
Cure Light Wounds.MOD	CLASSES:Paladin of Tyranny=2																								
Darkness.MOD	CLASSES:Paladin of Tyranny=2																								
Delay Poison.MOD	CLASSES:Paladin of Tyranny=2																								
Eagle's Splendor.MOD	CLASSES:Paladin of Tyranny=2																								
Hold Person.MOD	CLASSES:Paladin of Tyranny=2																								
Inflict Moderate Wounds.MOD	CLASSES:Paladin of Tyranny=2																								
owl's Wisdom.MOD	CLASSES:Paladin of Tyranny=2																								
Resist Energy.MOD	CLASSES:Paladin of Tyranny=2																								
Undetectable Alignment.MOD	CLASSES:Paladin of Tyranny=2																								
Bestow Curse.MOD	CLASSES:Paladin of Tyranny=3																								
Cure Moderate Wounds.MOD	CLASSES:Paladin of Tyranny=3																								
Deeper Darkness.MOD	CLASSES:Paladin of Tyranny=3																								
Discern Lies.MOD	CLASSES:Paladin of Tyranny=3																								
Dispel Magic.MOD	CLASSES:Paladin of Tyranny=3																								
Magic Weapon (Greater).MOD	CLASSES:Paladin of Tyranny=3																								
Heal Mount.MOD	CLASSES:Paladin of Tyranny=3																								
Prayer.MOD	CLASSES:Paladin of Tyranny=3																								
Inflict Serious Wounds.MOD	CLASSES:Paladin of Tyranny=3																								
Magic Circle against Chaos.MOD	CLASSES:Paladin of Tyranny=3																								
Magic Circle against Good.MOD	CLASSES:Paladin of Tyranny=3																								
Break Enchantment.MOD	CLASSES:Paladin of Tyranny=4																								
Cure Serious Wounds.MOD	CLASSES:Paladin of Tyranny=4																								
Dispel Chaos.MOD	CLASSES:Paladin of Tyranny=4																								
Dispel Good.MOD	CLASSES:Paladin of Tyranny=4																								
Dominate Person.MOD	CLASSES:Paladin of Tyranny=4																								
Inflict Critical Wounds.MOD	CLASSES:Paladin of Tyranny=4																								
Unholy Sword.MOD	CLASSES:Paladin of Tyranny=4																								
Comprehend Languages.MOD	CLASSES:Urban Ranger=1																								
Detect Chaos.MOD	CLASSES:Urban Ranger=1																								
Detect Good.MOD	CLASSES:Urban Ranger=1																								
Detect Evil.MOD	CLASSES:Urban Ranger=1																								
Detect Law.MOD	CLASSES:Urban Ranger=1																								
Detect Secret Doors.MOD	CLASSES:Urban Ranger=1																								
Message.MOD	CLASSES:Urban Ranger=1																								
Detect Thoughts.MOD	CLASSES:Urban Ranger=2																								
Knock.MOD	CLASSES:Urban Ranger=2																								
Locate Object.MOD	CLASSES:Urban Ranger=2																								
Eagle's Splendor.MOD	CLASSES:Urban Ranger=2																								
Discern Lies.MOD	CLASSES:Urban Ranger=3																								
Invisibility.MOD	CLASSES:Urban Ranger=3																								
Speak with Dead.MOD	CLASSES:Urban Ranger=3																								
Tongues.MOD	CLASSES:Urban Ranger=3																								
Dimensional Anchor.MOD	CLASSES:Urban Ranger=4																								
Locate Creature.MOD	CLASSES:Urban Ranger=4																								
Mordenkainen's Faithful Hound.MOD	CLASSES:Urban Ranger=4																								
True Seeing.MOD	CLASSES:Urban Ranger=4																								
																									
###BLOCK:Incantation																									
Call Forth the Dweller				TYPE:Incantation	SCHOOL:Divination			CLASSES:ALL=6[PREVARGTEQ:UA_VAR_USEINCANTATION,1]	COMPS:V, S, M, F, XP	CASTTIME:60 Minutes	RANGE:Personal	TARGETAREA:You.	DURATION:Instantanous	SAVEINFO:None	SPELLRES:No	DESC:This incantation contacts the enigmatic, extradimensional being known as the Dweller on the Threshold, an entity that imparts knowledge about its specifi c obsession: doors and other entrances. Failure: If the caster fails two consecutive Knowledge (arcana) checks, the Dweller on the Threshold gleefully lies, employing falsehoods that demonstrate its inclination toward mischief and cruelty. Skill Check: Knowledge (arcana) DC 20, 6 successes. Failure: If the caster fails two consecutive Knowledge (arcana) checks, the Dweller on the Threshold gleefully lies, employing falsehoods that demonstrate its inclination toward mischief and cruelty. Material Component: Forty-two mystic symbols inscribed around the perimeter of the focus doorway (requiring materials costing 500 gp). As described above, these symbols gradually disappear during the time the incantation is in effect. Focus: An open doorway large enough to allow a Medium creature to pass through it. XP Component: 400 XP. Backlash: After speaking with the Dweller on the Threshold, the caster is exhausted.	SOURCEPAGE:UA		COST:500	XPCOST:400					
Fire of Dis				TYPE:Incantation	SCHOOL:Conjuration	SUBSCHOOL:Calling		CLASSES:ALL=6[PREVARGTEQ:UA_VAR_USEINCANTATION,1]	COMPS:V, S, M, XP, SC	CASTTIME:90 Minutes	RANGE:Touch	TARGETAREA:80-ft-radius burst centered on caster.	DURATION:Instantanous	SAVEINFO:Reflex half (See text)	SPELLRES:Yes	DESC:This incantation, dreamed up by insane cultists, opens a fell rift between the Material Plane and Dis, the fi ery second layer of the Nine Hells. Skill Check: Knowledge (arcana) DC 23, 6 successes; Knowledge (religion) DC 23, 2 successes; Knowledge (the planes) DC 23, 1 success. Failure: Death of the character who failed the second consecutive skill check. Material Component: Rare unguents and dark alchemical concoctions worth 5,000 gp. XP Component: 1,000 XP. Backlash: The caster is knocked unconscious and transported to Dis (no save). Extra Casters: Six required; they chant choruses and supplications to various dark deities throughout the incantation.	SOURCEPAGE:UA		COST:5000	XPCOST:1000					
Hrothgar's Journey				TYPE:Incantation	SCHOOL:Conjuration	SUBSCHOOL:Teleportation		CLASSES:ALL=6[PREVARGTEQ:UA_VAR_USEINCANTATION,1]	COMPS:V, S, M, SC	CASTTIME:60 Minutes	RANGE:Touch	TARGETAREA:Caster plus four to twelve other creatures.	DURATION:Instantanous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Hrothgar's journey is an incantation based on the tale of Hrothgar, a powerful barbarian hero from ages past. Skill Check: Knowledge (arcana) DC 20, 2 successes; Perform (oratory) DC 20, 4 successes. Failure: 5d6 points of fire damage to caster. Material Component: A windowless, thatched hut in a forest. Backlash Component: Severe heat. Extra Casters: Four required; they provide the dialogue for other characters in the epic of Hrothgar.	SOURCEPAGE:UA								

###BLOCK:Taint
Detect Evil.COPY=Detect Evil	KEY:Detect Taint
Detect Taint.MOD	OUTPUTNAME:Detect Taint	PREVARGTEQ:UA_VAR_USETAINT,1	CLASSES:.CLEARALL	CLASSES:Cleric=1
