SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02																																								
#																																											
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page	
Improved Sunder	CATEGORY:Special Ability	TYPE:MonkBonusFeatLVL6	VISIBLE:DISPLAY		KEY:Monk ~ Improved Sunder																		ABILITY:FEAT|AUTOMATIC|Improved Sunder								SORTKEY:Class_Monk	SOURCEPAGE:UA											
																																											
#																																											
CATEGORY=FEAT|Alertness.MOD	TYPE:WizardDiviner																																										
CATEGORY=FEAT|Blind-Fight.MOD	TYPE:WizardDiviner																																										
CATEGORY=FEAT|Improved Initiative.MOD	TYPE:WizardDiviner																																										
CATEGORY=FEAT|Lightning Reflexes.MOD	TYPE:WizardDiviner																																										
Skill Focus (Spot)	CATEGORY:FEAT	TYPE:WizardDiviner	VISIBLE:DISPLAY	KEY:Skill Focus ~ Spot	ABILITY:FEAT|AUTOMATIC|Skill Focus (Spot)																																						
Skill Focus (Listen)	CATEGORY:FEAT	TYPE:WizardDiviner	VISIBLE:DISPLAY	KEY:Skill Focus ~ Listen	ABILITY:FEAT|AUTOMATIC|Skill Focus (Listen)																																						
Skill Focus (Sense Motive)	CATEGORY:FEAT	TYPE:WizardDiviner	VISIBLE:DISPLAY	KEY:Skill Focus ~ Sense Motive	ABILITY:FEAT|AUTOMATIC|Skill Focus (Sense Motive)																																						
																																											
Accurate Jaunt	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to greater teleport, plane shift, teleport, or shadow walk spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:When you use teleport, you can roll the targeting roll twice, taking whichever result you prefer. When you use plane shift or shadow walk, you likewise make the roll to determine your destination twice, choosing the better (usually lower) result.																	SOURCEPAGE:UA	
Bladeproof Skin	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to stoneskin or iron body spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:You gain damage reduction 3/bludgeoning. Your skin imposes an armor check penalty of -2 (which stacks with the armor check penalty from armor and shield).				BONUS:MISC|ACCHECK|2													SOURCEPAGE:UA	DR:3/Bludgeoning
Breadth of Knowledge	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to legend lore or vision spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:All Knowledge checks you make are treated as trained checks, even if you don't have any ranks in the specifi c skill. If you have at least one rank in the specific Knowledge skill in question, you gain a +1 bonus on the check.													BONUS:SKILL|TYPE.Knowledge|1				SOURCEPAGE:UA	
Conductivity	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:to call lightning, lightning bolt, or chain lightning spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:Whenever you take damage from an electricity effect, you may send a line of electricity arcing from your body at any single target within 30 feet. This bolt deals half the damage you just took; a Reflex save (DC 16 + your Cha modifier) halves this damage.																	SOURCEPAGE:UA	
Controlled Immolation	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to fi reball or delayed blast fi reball spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:If you catch on fire (as described on page 303 of the Dungeon Master's Guide), you take no damage from the fl ames. A creature striking you with its body or a handheld weapon takes 1d6 points of fi re damage. The fi re persists on your body for 1d4 rounds. This feat doesn't protect you from other sources of fi re dam age, whether magical or not, only from the effects of catching on fi re. It also doesn't protect your equipment from the effects of fi re.																	SOURCEPAGE:UA	
Eyes to the Sky	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to scrying or greater scrying spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:You automatically spot the magical sensor created by a spell of the scrying subtype (arcane eye, clairaudience/clairvoyance, greater scrying, or scrying) if it's within 40 feet of you.																	SOURCEPAGE:UA	
False Pretenses	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to charm or dominate spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:When you succeed on a save against a charm or compulsion effect, the character trying to charm or compel you believes that you failed your save. You can play along voluntarily if you wish to. If the charm or compulsion involves telepathic commands, you continue to receive them, although you aren't obligated to follow them.																	SOURCEPAGE:UA	
Ineluctable Echo	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to wail of the banshee or any power word spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:When you are targeted by a power word spell, whoever speaks the power word is also affected by it (as if he had cast it on himself). Likewise, when you're within the area of a wail of the banshee spell, the caster of the spell also hears the wail and must succeed on a Fortitude save (using his own save DC) or die. Possessing the Ineluctable Echo feat doesn't protect you against power word or wail of the banshee spells. You experience their effects normally.																	SOURCEPAGE:UA	
Life Leech	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to death touch domain granted power or death knell spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:Each dying or stable creature within 30 feet of you (that is, any creature with -1 to -9 hit points) loses an additional 1 hit point at the beginning of your turn. You gain the same amount as temporary hit points that last for 10 minutes. You can't suppress this effect, which functions on both friend and foe.																	SOURCEPAGE:UA	
Live My Nightmare	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to phantasmal killer spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:Whenever someone successfully targets you with a divination spell or effect, you can send that caster a nightmarish vision. This vision functions as a phantasmal killer spell, except that the form comes from your dreams, not the other creature's dreams. The other creature must succeed on a Will save (DC 14 + your Cha modifier) to disbelieve the nightmare and a Fortitude save (DC 14 + your Cha modifier) to avoid dying from fear.																	SOURCEPAGE:UA	
Momentary Alteration	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to alter self spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:Choose one specifi c form that you've turned yourself into with the alter self spell. Once per day, you can use alter self as a spell-like ability to turn yourself into this form for 1 minute. Special: You can gain Momentary Alteration multiple times. Each time you take the feat, you can either extend the duration of an already chosen alternate form by 1 minute or choose another specifi c form from among those you've experienced after casting alter self on yourself.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:UA	
Naturalized Denizen	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to dimensional anchor spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:You are never treated as an extraplanar creature (and you lose the extraplanar subtype). Thus, you can't be affected by a banishment or dismissal spell or similar effects that send extraplanar creatures back to their home planes.																	SOURCEPAGE:UA	
Omniscient Whispers	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to commune or contact other plane spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:Once per week, you can tune into the voices you hear, getting the answer to a question much as if you had asked it with a commune spell. Using this feat renders you exhausted.																	SOURCEPAGE:UA	
Photosynthetic Skin	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to barkskin spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:Whenever you're outside during the day, you gain a +2 enhancement bonus to your natural armor (characters who don't have natural armor ordinarily have a natural armor bonus of +0)																	SOURCEPAGE:UA	
Polar Chill	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to cone of cold or ice storm spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:Once per day, you can make the ground icy in a 20-foot-radius spread around you. Each square in that area becomes covered with ice, so it takes two squares of movement to enter each square, and the DC of Balance and Tumble checks there increases by 5. A DC 10 Balance check is required to run or charge across the ice. The ice remains for 1 minute or until exposed to fi re. You can't use this feat if you aren't touching the ground, and it doesn't work if the air temperature is above 100 degrees.																	SOURCEPAGE:UA	
Residual Rebound	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to spell resistance or spell turning spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:If you roll a natural 20 on a save against a targeted spell, it turns back on the caster as if affected by a spell turning spell. Unlike spell turning, however, the Residual Rebound feat potentially functions against touch range spells as well. Residual Rebound only works on targeted spells that allow a saving throw, so a fireball won't rebound, nor will a power word stun.																	SOURCEPAGE:UA	
Stench of the Dead	CATEGORY:FEAT	TYPE:Spelltouched	VISIBLE:YES																		PRETEXT:Exposure to ghoul touch or vampiric touch spell.	PREVAREQ:UA_VAR_USESPELLTOUCHED,1			DESC:You exude a carrion stench that causes any creature adjacent to you to make a Fortitude save (DC 12 + your Cha modifier) or become sickened as long as it remains adjacent to you and for 1d4 rounds thereafter. You can't suppress the stench voluntarily.																	SOURCEPAGE:UA	
																																											
Weapon Group (Axes)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES																			PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:You make attack rolls with the following weapons normally: handaxe, battleaxe, greataxe, and dwarven waraxe (two-handed use).																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Axes)
Weapon Group (Basic)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES																			PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:You make attack rolls with the following weapons normally: club, dagger, and quarterstaff.																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Basic)
Weapon Group (Bows)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES																			PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:You make attack rolls with the following weapons normally: shortbow, longbow, composite shortbow, and composite longbow.																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Bows)
Weapon Group (Claw Weapons)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES																			PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:You make attack rolls with the following weapons normally: punching dagger, spiked gauntlet.																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Claw Weapons)
Weapon Group (Crossbows)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES																			PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:You make attack rolls with the following weapons normally: heavy crossbow, light crossbow, repeating heavy crossbow, and repeating light crossbow.																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Crossbows)
Weapon Group (Druid Weapons)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES																			PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:You make attack rolls with the following weapons normally: club, dagger, dart, quarterstaff, scimitar, sickle, shortspear, sling, and spear.																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Druid Weapons)
Weapon Group (Exotic Double Weapons)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES		PRETOTALAB:1																	PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:Whenever you take a Weapon Group profi ciency feat, you also gain profi ciency in the exotic double weapons associated with that group. When you take this feat, you gain profi ciency in the exotic double weapons associated with the weapon groups that you already know how to use. Some exotic double weapons require you to be profi cient with two weapon groups to gain profi ciency in their use from this feat.																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Exotic Double Weapons)
Weapon Group (Exotic Weapons)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES		PRETOTALAB:1																	PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:When you take this feat, you gain proficiency in the exotic weapons associated with the weapon groups that you already know how to use. Whenever you take a Weapon Group proficiency feat, you also gain proficiency in the exotic weapons (but not the exotic double weapons) associated with that group.																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Exotic Weapons)
Weapon Group (Flails and Chains)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES																			PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:You make attack rolls with the following weapons normally: light flail and heavy flail.																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Flails and Chains)
Weapon Group (Heavy Blades)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES																			PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:You make attack rolls with the following weapons normally: longsword, greatsword, falchion, scimitar, and bastard sword (two-handed use).																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Heavy Blades)
Weapon Group (Light Blades)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES																			PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:You make attack rolls with the following weapons normally: dagger, punching dagger, rapier, and short sword.																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Light Blades)
Weapon Group (Maces and Clubs)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES																			PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:You make attack rolls with the following weapons normally: club, light mace, heavy mace, greatclub, quarterstaff, sap, and warmaceW (two-handed use).																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Maces and Clubs)
Weapon Group (Monk)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Improved Unarmed Strike															PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:You make attack rolls with the following weapons normally: kama, nunchaku, quarterstaff, sai, shuriken, and siangham.																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Monk)
Weapon Group (Pick and Hammers)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES																			PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:You make attack rolls with the following weapons normally: light pick, heavy pick, light hammer, warhammer, scythe, and maul (two handed use).																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Pick and Hammers)
Weapon Group (Polearms)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES																			PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:You make attack rolls with the following weapons normally: glaive, guisarme, halberd, and ranseur.																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Polearms)
Weapon Group (Slings and Thrown Weapon)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES																			PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:You make attack rolls with the following weapons normally: dart and sling.																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Slings and Thrown Weapon)
Weapon Group (Spears and Lances)	CATEGORY:FEAT	TYPE:WeaponGroup.Fighter	VISIBLE:YES																			PREVAREQ:UA_VAR_USEWEAPONGROUP,1			DESC:You make attack rolls with the following weapons normally: javelin, lance, longspear, shortspear, and trident.																	SOURCEPAGE:UA	ABILITY:Internal|AUTOMATIC|Weapon Group (Spears and Lances)
																																											
Craft Alchemical Item	CATEGORY:FEAT	TYPE:ItemCreation	VISIBLE:YES										PRESKILL:1,Craft (Alchemy)=4									PREVAREQ:UA_VAR_USEITEMCREATIONFEAT,1			DESC:You gain 100 craft points. You may use craft points to create alchemical items or substances, such as acid or tanglefoot bags. You may spend your craft points to create alchemical items or substances at a rate of 1 craft point per 10 gp of market value of the fi nished item (minimum 1), even without spending the requisite creation time at work on the item. Special: If you take the requisite creation time at work on the item, you spend only 1 craft point per 50 gp of market value of the fi nished item (minimum 1). This feat replaces the requirement of being a spellcaster in order to craft alchemical items as listed in the Craft skill in the Player's Handbook.																	SOURCEPAGE:UA	
Craft Masterwork Armor	CATEGORY:FEAT	TYPE:ItemCreation	VISIBLE:YES										PRESKILL:1,Craft (Armorsmithing)=6									PREVAREQ:UA_VAR_USEITEMCREATIONFEAT,1			DESC:You gain 100 craft points. You may use craft points to create masterwork armor or shields. You may spend your craft points to build masterwork armor or shields at a rate of 1 craft point per 10 gp of market value of the fi nished item (minimum 1), even without spending the requisite creation time at work on the item. Special: If you take the requisite creation time at work on the item, you spend only 1 craft point per 50 gp of market value of the fi nished item (minimum 1).																	SOURCEPAGE:UA	
Craft Masterwork Ranged Weapon	CATEGORY:FEAT	TYPE:ItemCreation	VISIBLE:YES										PRESKILL:1,Craft (Bowmaking)=6									PREVAREQ:UA_VAR_USEITEMCREATIONFEAT,1			DESC:You gain 100 craft points. You may use craft points to create a masterwork ranged weapon or masterwork Ammunition. You may spend your craft points to build ranged weapons or ammunition at a rate of 1 craft point per 10 gp of market value of the fi nished item, even without taking the requisite creation time at work on the item.																	SOURCEPAGE:UA	
Craft Masterwork Weapon	CATEGORY:FEAT	TYPE:ItemCreation	VISIBLE:YES										PRESKILL:1,Craft (Weaponsmithing)=6									PREVAREQ:UA_VAR_USEITEMCREATIONFEAT,1			DESC:You gain 100 craft points. You may use craft points to create a masterwork melee or thrown weapon. You may spend your craft points to build masterwork melee or thrown weapons at a rate of 1 craft point per 10 gp of market value of the fi nished item, even without taking the requisite creation time at work on the item.																	SOURCEPAGE:UA	
Talented Crafter	CATEGORY:FEAT	TYPE:General.Wizard	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,TYPE.ItemCreation															PREVAREQ:UA_VAR_USEITEMCREATIONFEAT,1			DESC:You gain 500 craft points, which may be used to craft items of any kind. Special: You may select this feat multiple times. Each time you select it, you gain an additional 500 craft points. A wizard may select this feat as one of her bonus feats gained at every fi fth level.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:UA	
																																											
###TODO:Additional Favored Class need choice of class to be added with template as FAVOREDCLASS																																											
Additional Favored Class	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																			PREVAREQ:UA_VAR_USEADDITIONALFAVOREDCLASSFEAT,1			DESC:Choose a character class, such as ranger. The chosen class is treated as a favored class for the purpose of determining whether your character takes an experience point penalty for Multiclassing. Special: You can gain this feat multiple times. Each time you take the feat, it applies to a new class.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:UA	
																																											
Combat Awareness	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES																			PREVAREQ:UA_VAR_USECOMBATFACING,1			DESC:You take no -5 penalty on Spot checks to notice things in or beyond your flank areas. The penalty to notice things in or beyond your rear area is -5.																	SOURCEPAGE:UA	
																																											
Item Familiar	CATEGORY:FEAT	TYPE:General	VISIBLE:YES			PREPCLEVEL:MIN=3																PREVAREQ:UA_VAR_USEITEMFAMILIAR,1		DEFINE:ItemFamiliarLVL|0	DESC:By establishing a link to a particular item, you enable that item to gain power as you gain levels. The exact nature of the item and the powers are described in the following text. Special: If you ever lose the chosen item (have it removed from your possession for a continuous period of more than one day per level) or if the item is destroyed, you automatically lose 200 XP per level as well as all benefi ts derived from possessing the linked item (plus any resources you put into the item). If you recover the item, you regain these XP. You may replace a lost or destroyed item familiar after you have advanced one level, as if you were gaining an item familiar for the fi rst time.														BONUS:VAR|ItemFamiliarLVL|TL			SOURCEPAGE:UA	ABILITY:Special Ability|AUTOMATIC|Item Familiar
																																											
Low Profile	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				!PREABILITY:1,CATEGORY=FEAT,Renown															PREVAREQ:UA_VAR_USEREPUTATION,1			DESC:Reduce your reputation bonus by 3 points.														BONUS:VAR|ReputationScore|-3			SOURCEPAGE:UA	
Renown	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				!PREABILITY:1,CATEGORY=FEAT,Low Profile															PREVAREQ:UA_VAR_USEREPUTATION,1			DESC:Increase your reputation bonus by 3 points.														BONUS:VAR|ReputationScore|3			SOURCEPAGE:UA	
