SOURCELONG:Book of Exalted Deeds	SOURCESHORT:BoED	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																						
#																									
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus
Brilliant Emanation				TYPE:Sanctified	SCHOOL:Evocation		DESCRIPTOR:Good		COMPS:Sacrifice	CASTTIME:1 standard action	RANGE:100 ft + 10 ft/level	TARGETAREA:100-ft-radius emanation + 10-ft-radius/level.	DURATION:1d4 rounds	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:This spell causes a divine glow to radiate from any reflective objects worn or carried by the caster, including metal armor. Sacrifice: 1d3 points of Strength damage.	SOURCEPAGE:BoED								
Call Faithful Servants				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Good	CLASSES:Cleric=6|Sorcerer=5|Wizard=5	COMPS:V, S, Abstinence	CASTTIME:1 minute	RANGE:Close	TARGETAREA:1d4 lantern archon, coure eladrins or musteval guardinals.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You call 1d4 lawful good lantern archons from Celestia, 1d4 chaotic good coure eladrins from Arborea, or 1d4 neutral good musteval guardinals from Elysium to your location. Abstinence Component: The character must abstain from casting Conjuration spells for 3 days prior to casting this spell.	SOURCEPAGE:BoED								
Call Mount				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Good	CLASSES:Paladin=2	COMPS:V	CASTTIME:1 full round	RANGE:10 ft.	TARGETAREA:Your special mount.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:You summon your special mount from the celestial planes where it resides.	SOURCEPAGE:BoED								
Celestial Aspect				TYPE:Sanctified	SCHOOL:Transmutation		DESCRIPTOR:Good		COMPS:V, Sacrifice	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature touched.	DURATION:1 minute/level	SAVEINFO:Fortitude negates (harmless); see text	SPELLRES:Yes	DESC:The target can assume one of several celestial traits, chosen from selection below. Sacrifice: 1d3 points of Strength damage.	SOURCEPAGE:BoED								
Celestial Blood				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Good	CLASSES:Cleric=6	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Nonevil creature touched.	DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:You channel holy power to grant the subject some of the protection enjoyed by celestial creatures. Material Component: A vial of holy water, with which you anoint the subject's head.	SOURCEPAGE:BoED								
Celestial Brilliance				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Good|Light	CLASSES:Cleric=4|Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Object touched.	DURATION:1 day/level	SAVEINFO:None	SPELLRES:No	DESC:The object touched sheds light brighter than bright sunlight, channeled directly from the celestial realms.	SOURCEPAGE:BoED								
Chaav's Laugh				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Good|Mind-Affecting	CLASSES:Cleric=5	COMPS:V	CASTTIME:1 standard action	RANGE:40 ft.	TARGETAREA:40-ft-radius spread centered on you.	DURATION:1 minute/level	SAVEINFO:Will negates; see text	SPELLRES:Yes	DESC:You release a joyous, boisterous laugh that strengthens the resolve of good creatures and weakens the resolve of evil creatures.	SOURCEPAGE:BoED								
Channel Celestial				TYPE:Sanctified	SCHOOL:Transmutation		DESCRIPTOR:Good		COMPS:V, DF, Abstinence, Sacrifice	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and one willing celestial.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You invite a celestial creature to occupy your body, as described in the section on Celestial Channeling in Chapter 2. Abstinence Component: You must abstain from intoxicants and stimulants for 24 hours before casting this spell. You must not be the subject of any other spell at the time you cast this spell. You must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: 1d3 points of Strength and Dexterity damage.	SOURCEPAGE:BoED								
Channel Celestial (Greater)				TYPE:Sanctified	SCHOOL:Transmutation		DESCRIPTOR:Good		COMPS:V, DF, Abstinence, Sacrifice	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and one willing celestial.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:As channel celestial, but the celestial you channel may have up to 24 HD. Abstinence Component: You must abstain from intoxicants and stimulants for one week before casting this spell. You must not be the subject of any other spell at the time you cast this spell. You must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: 1d6 points of Strength and Dexterity damage.	SOURCEPAGE:BoED								
Constricting Chains				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Good		COMPS:V, S, F, Sacrifice	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You call upon the heavenly powers to bind a creature in writhing chains of scintillating light. Focus: A small silver chain (10 gp). Sacrifice: 1d2 points of Strength drain.	SOURCEPAGE:BoED								
Convert Wand				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Wand touched.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This spell temporarily transforms a magic wand of any type into a healing wand with the same number of charges remaining.	SOURCEPAGE:BoED								
Crown of Brilliance				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Good|Light	CLASSES:Cleric=6	COMPS:V, S, M, Archon	CASTTIME:1 full round	RANGE:20 ft.	TARGETAREA:20-ft-radius emanation centered on you.	DURATION:1 round/level	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:A blazing crown of golden light surrounds your head. Material Component: An opal worth at least 100 gp, carried on your person through the duration of the spell. The opal shatters upon completion of the spell, and the spell ends prematurely if the opal is shattered by other means.	SOURCEPAGE:BoED								
Crown of Flame				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Good	CLASSES:Cleric=5	COMPS:V, Archon	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:10-ft-radius emanation centered on you.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You become a blazingly hot beacon of the powers of good, searing all evil outsiders, evil undead, and evil fey within 10 feet of you.	SOURCEPAGE:BoED								
Crown of Glory				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Good		COMPS:V, S, M/DF	CASTTIME:1 full round	RANGE:10 ft./level	TARGETAREA:10-ft-radius/level emanation centered on you.	DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:This spell temporarily bestows the aura of celestial authority on you, inspiring awe in all lesser creatures who behold your terrible perfection and righteousness. Material Component: An opal worth at least 200 gp, carried on your person. The opal shatters upon the completion of the spell (If it is shattered prematurely, the spell ends).	SOURCEPAGE:BoED								
Cry of Ysgard				TYPE:Sanctified	SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Good		COMPS:V, Sacrifice	CASTTIME:1 full round	RANGE:Close	TARGETAREA:Calls 2d4 bariaur defenders of Ysgard.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You call 2d4 bariaur defenders of Ysgard (see Chapter 8: Monsters) from the plains of Ysgard to your location. Sacrifice: 1d3 points of Strength drain.	SOURCEPAGE:BoED								
Curtain of Light				TYPE:Sanctified	SCHOOL:Evocation		DESCRIPTOR:Light		COMPS:V, S, Sacrifice	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Curtain of light whose area is up to one 5-ft square/level.	DURATION:1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:An immobile, vertical curtain of brilliant light energy springs into existence. Sacrifice: 1d4 point of Strength damage.	SOURCEPAGE:BoED								
Dancing Web				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Good	CLASSES:Cleric=5|Druid=5|Sorcerer=4|Wizard=4	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius burst.	DURATION:Instantaneous	SAVEINFO:Reflex half; see text	SPELLRES:Yes	DESC:Arcane Material Component: A bit of spider's web.	SOURCEPAGE:BoED								
Diamond Spray				TYPE:Sanctified	SCHOOL:Evocation		DESCRIPTOR:Good		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:Cone-shaped burst.	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:A blast of diamondlike shards springs from your hand and extends outward in a glittering cone. Material Component: Diamond dust worth at least 100 gp.	SOURCEPAGE:BoED								
Distilled Joy				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, F	CASTTIME:1 day	RANGE:Touch	TARGETAREA:One living creature.	DURATION:Permanent	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:You draw forth the material essence of joy from a creature experiencing great bliss. Focus: A vial or similar container in which to contain the ambrosia.	SOURCEPAGE:BoED								
Divine Inspiration				TYPE:Sanctified	SCHOOL:Divination				COMPS:Sacrifice	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature touched.	DURATION:1d4 rounds	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:This spell helps to tip the momentum of combat in the favor of good, granting limited precognitive ability that enables the spell's recipient to circumvent the defenses of evil opponents. Sacrifice: 1d2 points of Strength damage.	SOURCEPAGE:BoED								
Divine Sacrifice				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Paladin=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:You can sacrifice life force to increase the damage you deal.	SOURCEPAGE:BoED								
Dolorous Motes				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Bard=4|Sorcerer=3|Wizard=3	COMPS:V, S, Sacrifice	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:One 10-ft cube/level.	DURATION:1 round/level	SAVEINFO:Will negates; see text	SPELLRES:Yes	DESC:This spell creates flickering motes of light that cause intense mental anguish. Sacrifice: 1d3 points of Wisdom damage.	SOURCEPAGE:BoED								
Dragon Cloud				TYPE:Sanctified	SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Air		COMPS:V, S, Sacrifice	CASTTIME:1 full round	RANGE:Special	TARGETAREA:One conjured dragon cloud.	DURATION:1 minute + 1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You must cast this spell outdoors, in a place where clouds are visible. Sacrifice: 1d3 points of Constitution damage.	SOURCEPAGE:BoED								
Ease Pain				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Healing		CLASSES:Cleric=2	COMPS:S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Ease pain immediately removes any lingering effects of pain, including penalties imposed by symbol of pain, angry ache, and similar spells.	SOURCEPAGE:BoED								
Eladrin Form				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Sorcerer=7|Wizard=7	COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You assume the form of an incorporeal globe of eldritch colors, 5 feet in diameter.	SOURCEPAGE:BoED								
Elation				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Mind-Affecting	CLASSES:Bard=2|Cleric=2|Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:80 ft.	TARGETAREA:Allies in an 80-ft-radius spread of you.	DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Your allies become elated, full of energy and joy.	SOURCEPAGE:BoED								
Emerald Burst				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Good	CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:20-ft-radius burst.	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You infuse an emerald with magical power and it flies toward your enemies. Material Component: Emerald worth at least 1,000 gp.	SOURCEPAGE:BoED								
Empyreal Ecstasy				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Bard=6	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:30 ft.	TARGETAREA:One creature/level.	DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Like the ease pain spell, empyreal ecstasy immediately removes any lingering effects of pain, including penalties imposed by symbol of pain, angry ache, and similar spells.	SOURCEPAGE:BoED								
End to Strife				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Cleric=9	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:80 ft.	TARGETAREA:80-ft-radius emanation centered on you.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:This spell creates an invisible aura of divine power around the caster.	SOURCEPAGE:BoED								
Energetic Healing				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Healing		CLASSES:Cleric=5|Druid=5	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature touched.	DURATION:10 minutes/level or until discharged	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:This spell converts magical energy damage into healing power.	SOURCEPAGE:BoED								
Energize Potion				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3|Druid=3|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:10-ft-radius burst.	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:This spell transforms a magic potion into a volatile substance that can be hurled out to the specified range. Material Component: A magic potion.	SOURCEPAGE:BoED								
Estanna's Stew				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Healing		CLASSES:Cleric=2|Druid=2|Paladin=2	COMPS:V, S, F	CASTTIME:1 full round	RANGE:0 ft.	TARGETAREA:Fills pot with healing stew (1 serving/2 levels).	DURATION:Instantaneous	SAVEINFO:Will half (harmless); see text	SPELLRES:Yes	DESC:This spell calls upon Estanna, goddess of hearth and home (described in Chapter 2: Variant Rules), to fill a specially crafted stewpot with a potent healing stew. Focus: An engraved stewpot worth at least 50 gp.	SOURCEPAGE:BoED								
Exalted Fury				TYPE:Sanctified	SCHOOL:Evocation		DESCRIPTOR:Good		COMPS:V, Sacrifice	CASTTIME:1 standard action	RANGE:40 ft.	TARGETAREA:40-ft-radius burst centered on you.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Uttering a single, awesomely powerful syllable of the Words of Creation, your body erupts in the same holy power that shaped the universe at its birth. Sacrifice: You die. You can be raised or resurrected normally.	SOURCEPAGE:BoED								
Exalted Raiment				TYPE:Sanctified	SCHOOL:Abjuration				COMPS:V, DF, Sacrifice	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Robe, garment or outfit touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:You imbue a robe, priestly garment, or outfit of regular clothing with divine power. Sacrifice: 1d4 points of Strength damage.	SOURCEPAGE:BoED								
Eyes of the Avoral				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=1|Druid=1|Ranger=1|Sorcerer=1|Wizard=1	COMPS:S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature.	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The subject gains an avoral's sharp eyesight, receiving a +8 racial bonus on Spot checks for the duration of the spell.	SOURCEPAGE:BoED								
Faerinaal's Hymn				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Good|Mind-Affecting	CLASSES:Bard=2	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Up to one evil creature/level.	DURATION:Concentration	SAVEINFO:Will negates	SPELLRES:Yes	DESC:This gentle hymn clouds the minds of evil creatures, causing targets of the spell to forgo attacks of opportunity for the spell's duration.	SOURCEPAGE:BoED								
Glorious Raiment				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Good		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Robe, garment or outfit touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:You imbue a robe, priestly garment, or outfit of regular clothing with divine power.	SOURCEPAGE:BoED								
Glory of the Martyr				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Good	CLASSES:Paladin=4	COMPS:V, S, F, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Like shield other, this spell wards the subjects, creating a mystic connection between them and you so that some of their wounds are transferred to you. Focus: A platinum ring (worth at least 50 gp) worn by you and each subject of the spell.	SOURCEPAGE:BoED								
Status (Greater)				TYPE:Spell	SCHOOL:Divination			CLASSES:Cleric=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature touched/3 levels.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As status (described in the Player's Handbook), but you can also cast a limited selection of spells through the link, as if you were touching the target.	SOURCEPAGE:BoED								
Hammer of Righteousness				TYPE:Sanctified	SCHOOL:Evocation		DESCRIPTOR:Force|Good		COMPS:V, S, Sacrifice	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Magic warhammer of force	DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:A great warhammer of positive energy springs into existence, launches toward a target that you can see within the range of the spell, and strikes unerringly. Sacrifice: 1d3 points of Strength damage.	SOURCEPAGE:BoED								
Healing Touch				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Good	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You transfer some of your life essence to another creature, healing it.	SOURCEPAGE:BoED								
Heart's Ease				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Cleric=3	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level.	DURATION:Permanent	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Heart's ease cures emotional wounds in the same way that heal wipes away physical ones.	SOURCEPAGE:BoED								
Heavenly Lightning				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Good		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Up to one creature/2 levels.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:You create a leaping bolt of radiant lightning that arcs from one target to the next, avoiding other creatures in its path.	SOURCEPAGE:BoED								
Heavenly Lightning Storm				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Good		COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Up to one creature/level in a 10-ft wide to close range.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:As heavenly lightning, except it has a greater range, can strike more targets, and deals 5d6 points of special celestial electricity damage.	SOURCEPAGE:BoED								
Heaven's Trumpet				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Good|Sonic	CLASSES:Bard=6|Cleric=7	COMPS:S, F, Archon	CASTTIME:1 standard action	RANGE:120 ft.	TARGETAREA:Foes in a 120-ft-radius burst centered on you.	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You produce a blast of music of utter clarity, piercing beauty, and paralyzing awe. Focus: A masterwork trumpet, which you must blow.	SOURCEPAGE:BoED								
Inquisition				TYPE:Sanctified	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting		COMPS:Sacrifice	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature with an intelligence of 6 or more.	DURATION:See text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:With this spell, the caster compels the target creature to divulge information it may be hiding. Sacrifice: 1d4 points of Constitution damage.	SOURCEPAGE:BoED								
