SOURCELONG:Book of Exalted Deeds	SOURCESHORT:BoED	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																
#																			
# Equipment Name	Output Name	Type	Cost	Weight	Define	Requires Modification?	Source Page	Special Property											
Angelic	KEY:ANGEL	TYPE:Armor.Shield	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:Increases the wearer's enhancement bonus to AC by +1 against attacks from evil creatures and +4 sacred bonus on saving throws against spells with the evil descriptor.|PREALIGN:LG,NG,LN,TN,CG,CN	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES			
Empyreal	KEY:EMPYREAL	TYPE:Armor.Shield	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:The wearer can transfer all or part of its enhancement bonus to a sacred bonus on saving throws.|PREALIGN:LG,NG,LN,TN,CG,CN	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES	BONUS:COMBAT|TOHIT|-2|PREALIGN:LE,NE,CE	BONUS:SAVE|ALL|-2|PREALIGN:LE,NE,CE	BONUS:SKILL|ALL|-2|PREALIGN:LE,NE,CE
Exalted	KEY:EXALT	TYPE:Armor	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:takes only half of the extra damage dealt by an unholy weapon  and gains the benefits of a constant protection from evil spell. Also negate vile damage|PREALIGN:LG,NG,LN,TN,CG,CN	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor]									ASSIGNTOALL:YES			
Sacred	KEY:SACRE	TYPE:Armor.Shield	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:increases the owner's effective level for the turning check by +2.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES	BONUS:VAR|TurnLevelUndead|2		
Soulfire	KEY:SOULFIRE	TYPE:Armor	PLUS:4	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:immune to all death spells, magical death effects, and energy drain, and any negative energy effects.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor]									ASSIGNTOALL:YES	ABILITY:Special Ability|VIRTUAL|Immunity To Death Effects|Immunity To Energy Drain		
Twilight	KEY:TWILIGHT	TYPE:Armor	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:reduces the chance of arcane spell failure by -10%%.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor]									ASSIGNTOALL:YES	BONUS:EQMARMOR|SPELLFAILURE|-10		
																			
#Special Ability																			
###Block: Weapons																			
Banishing	KEY:BANISH_A	TYPE:Ammunition	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:Any extraplanar creature with 25 Hit Dice or fewer that is struck by the weapon must succeed on a DC 24 Will save or be banished back to its home plane	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO			
Banishing	KEY:BANISH_M	TYPE:Weapon.Melee.Thrown	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:Any extraplanar creature with 25 Hit Dice or fewer that is struck by the weapon must succeed on a DC 24 Will save or be banished back to its home plane	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO			
Banishing	KEY:BANISH_R	TYPE:Weapon.Ranged	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:Any extraplanar creature with 25 Hit Dice or fewer that is struck by the weapon must succeed on a DC 24 Will save or be banished back to its home plane bestowed on ammunition.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO			
Blessed	KEY:BLESS_A	TYPE:Ammunition	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:Bless Weapon. Furthermore, all critical hit rolls against evil foes are automatically successful, so every threat is a critical hit. This last effect does not apply to weapon that has any effects related to critical hits, such keen or vorpal.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO			
Blessed	KEY:BLESS_M	TYPE:Weapon.Melee.Thrown	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:Bless Weapon. Furthermore, all critical hit rolls against evil foes are automatically successful, so every threat is a critical hit. This last effect does not apply to weapon that has any effects related to critical hits, such keen or vorpal.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO			
Blessed	KEY:BLESS_R	TYPE:Weapon.Ranged	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:Bless Weapon. Furthermore, all critical hit rolls against evil foes are automatically successful, so every threat is a critical hit. This last effect does not apply to weapon that has any effects related to critical hits, such keen or vorpal.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO			
Enfeebling	KEY:ENFEEBLE_A	TYPE:Ammunition	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:On a critical hit, this weapon deals 1d6+2 points of temporary Strength damage in addition to its regular damage.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO			
Enfeebling	KEY:ENFEEBLE_M	TYPE:Weapon.Melee.Thrown	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:On a critical hit, this weapon deals 1d6+2 points of temporary Strength damage in addition to its regular damage.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO			
Enfeebling	KEY:ENFEEBLE_R	TYPE:Weapon.Ranged	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:On a critical hit, this weapon deals 1d6+2 points of temporary Strength damage in addition to its regular damage bestowed on ammunition.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO			
Heavenly Burst	KEY:HEAVEN_BURST_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:On a critical hit deals 3d6 additional damage and blind for 1 round (DC 14).	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO			
Heavenly Burst	KEY:HEAVEN_BURST_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:On a critical hit deals 3d6 additional damage and blind for 1 round (DC 14).	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO			
Heavenly Burst	KEY:HEAVEN_BURST_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:+On a critical hit deals 3d6 additional damage and blind for 1 round (DC 14) bestowed on ammunition.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO			
Paralyzing	KEY:PARALYZE_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:Paralyze on hit for 10 rounds (DC 17 to negate).	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO			
Paralyzing	KEY:PARALYZE_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:Paralyze on hit for 10 rounds (DC 17 to negate).	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO			
Paralyzing	KEY:PARALYZE_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:Paralyze on hit for 10 rounds (DC 17 to negate) bestowed on ammunition.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO			
Righteous	KEY:RIGHT_A	TYPE:Ammunition	PLUS:4	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:Detect evil. +2 bonus on attack and damage rolls against any creature with a strong or overwhelming aura of evil	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO			
Righteous	KEY:RIGHT_M	TYPE:Weapon.Melee.Thrown	PLUS:4	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:Detect evil. +2 bonus on attack and damage rolls against any creature with a strong or overwhelming aura of evil	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO			
Righteous	KEY:RIGHT_R	TYPE:Weapon.Ranged	PLUS:4	VISIBLE:QUALIFY	SOURCEPAGE:BoED	SPROP:Detect evil. +2 bonus on attack and damage rolls against any creature with a strong or overwhelming aura of evil bestowed on ammunition.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO			
																			
### Intelligent																			
Int. Item (Two abilities at 12)	KEY:STAFF_INT_ITEM_1	NAMEOPT:NOTHING	TYPE:Staff		COST:1000	VISIBLE:QUALIFY	ITYPE:Type1		REPLACES:STAFF_INT_ITEM_2,STAFF_INT_ITEM_3,STAFF_INT_ITEM_4,STAFF_INT_ITEM_5,STAFF_INT_ITEM_6,STAFF_INT_ITEM_7,STAFF_INT_ITEM_8	SOURCEPAGE:BoED	PRETYPE:2,IntItem,Staff	!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8					SPROP:Empathy, 30' vision and hearing		
Int. Item (Two abilities at 13)	KEY:STAFF_INT_ITEM_2	NAMEOPT:NOTHING	TYPE:Staff		COST:2000	VISIBLE:QUALIFY	ITYPE:Type2		REPLACES:STAFF_INT_ITEM_1,STAFF_INT_ITEM_3,STAFF_INT_ITEM_4,STAFF_INT_ITEM_5,STAFF_INT_ITEM_6,STAFF_INT_ITEM_7,STAFF_INT_ITEM_8	SOURCEPAGE:BoED	PRETYPE:2,IntItem,Staff	!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8					SPROP:Empathy, 60' vision and hearing		
Int. Item (Two abilities at 14)	KEY:STAFF_INT_ITEM_3	NAMEOPT:NOTHING	TYPE:Staff		COST:4000	VISIBLE:QUALIFY	ITYPE:Type3		REPLACES:STAFF_INT_ITEM_1,STAFF_INT_ITEM_2,STAFF_INT_ITEM_4,STAFF_INT_ITEM_5,STAFF_INT_ITEM_6,STAFF_INT_ITEM_7,STAFF_INT_ITEM_8	SOURCEPAGE:BoED	PRETYPE:2,IntItem,Staff	!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8					SPROP:Speech, 120' vision and hearing		
Int. Item (Two abilities at 15)	KEY:STAFF_INT_ITEM_4	NAMEOPT:NOTHING	TYPE:Staff		COST:5000	VISIBLE:QUALIFY	ITYPE:Type4		REPLACES:STAFF_INT_ITEM_1,STAFF_INT_ITEM_2,STAFF_INT_ITEM_3,STAFF_INT_ITEM_5,STAFF_INT_ITEM_6,STAFF_INT_ITEM_7,STAFF_INT_ITEM_8	SOURCEPAGE:BoED	PRETYPE:2,IntItem,Staff	!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8					SPROP:Speech, 60' darkvision and hearing		
Int. Item (Two abilities at 16)	KEY:STAFF_INT_ITEM_5	NAMEOPT:NOTHING	TYPE:Staff		COST:6000	VISIBLE:QUALIFY	ITYPE:Type5		REPLACES:STAFF_INT_ITEM_1,STAFF_INT_ITEM_2,STAFF_INT_ITEM_3,STAFF_INT_ITEM_4,STAFF_INT_ITEM_6,STAFF_INT_ITEM_7,STAFF_INT_ITEM_8	SOURCEPAGE:BoED	PRETYPE:2,IntItem,Staff	!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8	BONUS:VAR|ItemEgo|1	SPROP:Speech (may read any language it speaks), 60' darkvision and hearing					
Int. Item (Two abilities at 17)	KEY:STAFF_INT_ITEM_6	NAMEOPT:NOTHING	TYPE:Staff		COST:9000	VISIBLE:QUALIFY	ITYPE:Type6		REPLACES:STAFF_INT_ITEM_1,STAFF_INT_ITEM_2,STAFF_INT_ITEM_3,STAFF_INT_ITEM_4,STAFF_INT_ITEM_5,STAFF_INT_ITEM_7,STAFF_INT_ITEM_8	SOURCEPAGE:BoED	PRETYPE:2,IntItem,Staff	!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8	BONUS:VAR|ItemEgo|2	SPROP:Speech (may read any language it speaks), Telepathy, 120' darkvision and hearing					
Int. Item (Two abilities at 18)	KEY:STAFF_INT_ITEM_7	NAMEOPT:NOTHING	TYPE:Staff		COST:12000	VISIBLE:QUALIFY	ITYPE:Type7		REPLACES:STAFF_INT_ITEM_1,STAFF_INT_ITEM_2,STAFF_INT_ITEM_3,STAFF_INT_ITEM_4,STAFF_INT_ITEM_5,STAFF_INT_ITEM_6,STAFF_INT_ITEM_8	SOURCEPAGE:BoED	PRETYPE:2,IntItem,Staff	!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8	BONUS:VAR|ItemEgo|3	SPROP:Speech (can read all languages and magic), Telepathy, 120' darkvision and blindsense and hearing					
Int. Item (Two abilities at 19)	KEY:STAFF_INT_ITEM_8	NAMEOPT:NOTHING	TYPE:Staff		COST:15000	VISIBLE:QUALIFY	ITYPE:Type8		REPLACES:STAFF_INT_ITEM_1,STAFF_INT_ITEM_2,STAFF_INT_ITEM_3,STAFF_INT_ITEM_4,STAFF_INT_ITEM_5,STAFF_INT_ITEM_6,STAFF_INT_ITEM_7	SOURCEPAGE:BoED	PRETYPE:2,IntItem,Staff	!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8	BONUS:VAR|ItemEgo|3	SPROP:Speech (can read all languages and magic), Telepathy, 120' darkvision and blindsense and hearing					
																			
Int. Item Lesser Power - Ease Pain		KEY:INT_ITEM_EASE_PAIN_1	NAMEOPT:NOTHING	TYPE:IntItem	COST:6500	ITYPE:LesserPower	SOURCEPAGE:BoED	BONUS:VAR|ItemEgo|1	SPROP:Lesser Power - Ease Pain									SPELLS:Intelligent Item|TIMES=1|CASTERLEVEL=3|Ease Pain,13	
Int. Item Lesser Power - Ease Pain		KEY:INT_ITEM_EASE_PAIN_3	NAMEOPT:NOTHING	TYPE:IntItem	COST:6500	ITYPE:LesserPower	SOURCEPAGE:BoED	BONUS:VAR|ItemEgo|1	SPROP:Lesser Power - Ease Pain									SPELLS:Intelligent Item|TIMES=3|CASTERLEVEL=3|Ease Pain,13	
Int. Item Lesser Power - Refreshment		KEY:INT_ITEM_REFRESHMENT	NAMEOPT:NOTHING	TYPE:IntItem	COST:6500	ITYPE:LesserPower	SOURCEPAGE:BoED	BONUS:VAR|ItemEgo|1	SPROP:Lesser Power - Refreshment									SPELLS:Intelligent Item|TIMES=3|CASTERLEVEL=5|Refreshment,14	
Int. Item Lesser Power - Vision of Heaven		KEY:INT_ITEM_VISION_HEAVEN	NAMEOPT:NOTHING	TYPE:IntItem	COST:6500	ITYPE:LesserPower	SOURCEPAGE:BoED	BONUS:VAR|ItemEgo|1	SPROP:Lesser Power - Vision of Heaven									SPELLS:Intelligent Item|TIMES=3|CASTERLEVEL=1|Vision of Heaven,11	
Int. Item Lesser Power - Eyes of the Avoral				KEY:INT_ITEM_EYES_AVORAL		NAMEOPT:NOTHING	TYPE:IntItem	COST:2700	ITYPE:LesserPower	SOURCEPAGE:BoED	BONUS:VAR|ItemEgo|1	SPROP:Lesser Power - Eyes of the Avoral

Int. Item Purpose-Defeat/Slay Subtype of Creature		KEY:INT_ITEM_DEFEAT_SUBTYPE	NAMEOPT:NOTHING	TYPE:SpecialPurpose	COST:0	VISIBLE:QUALIFY	ITYPE:Purpose	REPLACES:INT_ITEM_DEFEAT_ARCANE,INT_ITEM_DEFEAT_CHAOS,INT_ITEM_DEFEAT_DEITY,INT_ITEM_DEFEAT_DIVINE,INT_ITEM_DEFEAT_EVIL,INT_ITEM_DEFEAT_GOOD,INT_ITEM_DEFEAT_LAW,INT_ITEM_DEFEAT_NONSPELL,INT_ITEM_DEFEAT_RACE,INT_ITEM_DEFEAT_ALL,INT_ITEM_DEFEND_DEITY,INT_ITEM_DEFEND_RACE		SOURCEPAGE:BoED	!PRETYPE:1,Purpose	SPROP:Special Purpose - Defeat/Slay %CHOICE		CHOOSE:STRING|Angel|Archon|Baatezu|Eladrin|Guardinal|Tanar'ri|Yugoloth|TITLE=Designated Foe
