SOURCELONG:Book of Exalted Deeds	SOURCESHORT:BoED	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Armblade	CATEGORY:Special Ability	TYPE:ArchonSwordRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:As a free action, a sword archon can mold the flesh of its forearms, hardening and sharpening organic matter into the form of powerful magic blades. The archon wields the blades like longswords, and they gain the properties of +2 holy flaming longswords. Sword archons can shift back to their "normal" hands as a free action. The armblades cannot be disarmed or sundered, and they automatically assume limb form upon the archon's death.	KEY:Archon (Sword) ~ Armblade																											SOURCEPAGE:BoED	ASPECT:CombatBonus|Armblade are treated as +2 holy flaming longswords.
Discorporating Dive	CATEGORY:Special Ability	TYPE:ArchonSwordRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:3/day, a sword archon can attempt to destroy a living enemy with a powerful dive attack, literally flying through its opponent armblades- irst, tearing apart its body and sending its soul to imprisonment in the Seven Heavens. Resolve a flying charge as normal. If the archon fails to damage its opponent, the discorporating dive attack is wasted. If damaged, however, the target must make a DC %1 Fortitude save. Those who succeed on the Fortitude save suffer no further effect beyond the damage of the attack. If the save fails, the attack utterly annihilates the victim's body, killing it instantly. Further, the victim's soul is bound to a great prison in the Seven Heavens of Celestia, where it remains until the archons that manage the celestial donjon see fit to release it. Release generally involves bartering with a throne archon (see Chapter 7: Celestial Paragons), with some quest for the cause of law and goodness being the most common price. Such agents of Heaven never release the soul of an unredeemed evil creature.|DiscorporatingDiveDC	KEY:Archon (Sword) ~ Discorporating Dive				DEFINE:DiscorporatingDiveDC|0					BONUS:VAR|DiscorporatingDiveDC|DefaultDCCon	BONUS:VAR|DiscorporatingDiveDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Discorporating Dive)								ABILITY:Ability Focus|AUTOMATIC|Discorporating Dive									SOURCEPAGE:BoED	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:ArchonSwordRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Archon (Sword) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=11|Aid|Continual Flame|Divination|Locate Creature|Locate Object	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Commune|Dispel Chaos,15+CHA|Mark of Justice|Wages of Sin,16+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=11|Touch of Adamantine,16+CHA							SOURCEPAGE:BoED	
Aura of Menace	CATEGORY:Special Ability	TYPE:ArchonSwordRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Will DC %1|AuraOfMenaceDC	KEY:Archon (Sword) ~ Aura of Menace																											SOURCEPAGE:BoED	
Skills	CATEGORY:Special Ability	TYPE:ArchonSwordRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A sword archon's innate understanding of law, detection, and the taint of sin grants it a +8 racial bonus on Gather Information and Sense Motive checks.	KEY:Archon (Sword) ~ Skills									BONUS:SKILL|Gather Information,Sense Motive|8|TYPE=Racial																		SOURCEPAGE:BoED	
																																	
Race Traits ~ Archon (Throne)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ArchonThroneRaceTrait	AUTO:LANG|Abyssal|Common	AUTO:WEAPONPROF|Greatsword	AUTO:ARMORPROF|ARMORTYPE=Heavy								BONUS:VAR|Maneuverability|4|TYPE=Base																			
Natural Weapons	CATEGORY:Special Ability	TYPE:ArchonThroneRaceTrait.SpecialQuality.Natural Weapons	VISIBLE:YES	DESC:Any weapons a throne archon wields are treated as having the good and lawful alignments for the purpose of overcoming damage reduction.	KEY:Archon (Throne) ~ Natural Weapons																											SOURCEPAGE:BoED	
Penitenziary Gaze	CATEGORY:Special Ability	TYPE:ArchonThroneRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any nonlawful good creature within 30 feet of a throne archon that meets the creature's glowing blue eyes must succeed on a Will saving throw (DC %1) or temporarily fall under its influence. Such a being becomes filled with remorse over the distance his life's actions have taken him from the ideals of law or goodness (even if such distance would ordinarily make him proud). The intensity of the remorse (and the relevant game effect) varies depending upon the creature's alignment. Compare the victim's alignment to the chart below, adding any game effects that apply. This ability's save DC is Charisma-based. The victim is free to act (even to attack the throne archon) while under the effects of the penitentiary gaze. The effects persist each round until the victim makes a successful Will saving throw. Throne archons can disable or enable this ability as a free action. The gaze cannot be disabled during the same round in which it was enabled (and vice versa).|PenitenziaryGazeDC	KEY:Archon (Throne) ~ Penitenziary Gaze				DEFINE:PenitenziaryGazeDC|0					BONUS:VAR|PenitenziaryGazeDC|DEfaultDCCha	BONUS:VAR|PenitenziaryGazeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Penitenziary Gaze)								ABILITY:Ability Focus|AUTOMATIC|Penitenziary Gaze									SOURCEPAGE:BoED	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:ArchonThroneRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Archon (Throne) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Atonement|Break Enchantment|Bless Weapon|Blessed Sight|Cure Critical Wounds,14+CHA|Detect Evil|Discern Lies,14+CHA|Dispel Magic (Greater)|Hallow|Mark of Justice|Neutralize Poison,14+CHA|Restoration,12+CHA|See Invisibility|Sending|Vision of Heaven,11+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=14|Banishment,16+CHA|Death Ward,14+CHA|Dictum,17+CHA|Divine Favor|Find the Path,16+CHA|Heal,17+CHA|Heroes' Feast|Holy Sword|Raise Dead|Restoration (Greater),16+CHA|Righteous Smite,17+CHA|Shield of the Archons|True Seeing,15+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=14|Resurrection							SOURCEPAGE:BoED	
Aura of Menace	CATEGORY:Special Ability	TYPE:ArchonThroneRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Will DC %1|AuraOfMenaceDC	KEY:Archon (Throne) ~ Aura of Menace																											SOURCEPAGE:BoED	
Channelling	CATEGORY:Special Ability	TYPE:ArchonThroneRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Throne archons can invest mortals with their power. See Channeling in Chapter 2: Variant Rules for details about this process.	KEY:Archon (Throne) ~ Channelling																											SOURCEPAGE:BoED	
Skills	CATEGORY:Special Ability	TYPE:ArchonThroneRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Throne archons command the cities of the Seven Heavens and to mete out justice to mortals and petitioners alike. They enjoy a +8 racial bonus on Intimidate and Sense Motive checks.	KEY:Archon (Throne) ~ Skills									BONUS:SKILL|Intimidate,Sense Motive|8|TYPE=Racial																		SOURCEPAGE:BoED	
																																	
Race Traits ~ Archon (Warden)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ArchonWardenRaceTrait|Scent			AUTO:ARMORPROF|ARMORTYPE=Heavy																											
Natural Weapons	CATEGORY:Special Ability	TYPE:ArchonWardenRaceTrait.SpecialQuality.Natural Weapons	VISIBLE:YES	DESC:A warden archon's natural weapons, as well as any weapons it wields, are treated as having the good and lawful alignments for the purpose of overcoming damage reduction.	KEY:Archon (Warden) ~ Natural Weapons																											SOURCEPAGE:BoED	
Rend	CATEGORY:Special Ability	TYPE:ArchonWardenRaceTrait.SpecialAttack.Extraordinary.Rend	VISIBLE:YES	DESC:If a warden archon hits a single target with both claws, it latches onto the opponent's body and tears the flesh. This attack deals 2d8+12 points of damage.	KEY:Archon (Warden) ~ Rend									BONUS:VAR|RendDice|2	BONUS:VAR|RendDieSize|8|TYPE=Base																	SOURCEPAGE:BoED	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:ArchonWardenRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Archon (Warden) ~ Spell-Like																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=11|Aid|Continual Flame|Detect Scrying|Detect Thoughts,12+CHA|Locate Creature|Scrying,15+CHA|See Invisibility|True Strike	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Shield of the Archons|True Seeing,15+CHA								SOURCEPAGE:BoED	
Aura of Menace	CATEGORY:Special Ability	TYPE:ArchonWardenRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Will DC %1|AuraOfMenaceDC	KEY:Archon (Warden) ~ Aura of Menace									BONUS:VAR|AuraOfMenaceDC|(TL-HD)/2																		SOURCEPAGE:BoED	
Uncanny Dodge	CATEGORY:Special Ability	TYPE:ArchonWardenRaceTrait.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:A warden archon retains its Dexterity bonus to AC even when flat-footed and cannot be flanked except by a %1thlevel or higher rogue.|UncannyDodgeFlankingLevel-4	KEY:Archon (Warden) ~ Uncanny Dodge									BONUS:VAR|UncannyDodgeTracker|1	BONUS:VAR|UncannyDodgeFlankingLevel|HD																	SOURCEPAGE:BoED	
Unerring Assay	CATEGORY:Special Ability	TYPE:ArchonWardenRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A warden archon instinctively knows the alignment of any creature within 60 feet. Typical methods of masking alignment, such as misdirection or nondetection, have no effect upon a warden archon's unerring assay.	KEY:Archon (Warden) ~ Unerring Assay																											SOURCEPAGE:BoED	
Skills	CATEGORY:Special Ability	TYPE:ArchonWardenRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A warden archon's keen senses give it a +8 racial bonus on Listen and Spot checks.	KEY:Archon (Warden) ~ Skills									BONUS:SKILL|Listen,Spot|8|TYPE=Racial																		SOURCEPAGE:BoED	
																																	
Race Traits ~ Asura	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AsuraRaceTrait	AUTO:LANG|Celestial										BONUS:VAR|Maneuverability|4|TYPE=Base																			
Natural Weapons	CATEGORY:Special Ability	TYPE:AsuraRaceTrait.SpecialQuality.Natural Weapons	VISIBLE:YES	DESC:An asura's natural weapons, as well as any weapons it wields, are treated as having the chaotic and good alignments for the purpose of overcoming damage reduction.	KEY:Asura ~ Natural Weapons																											SOURCEPAGE:BoED	
Burning Wind	CATEGORY:Special Ability	TYPE:AsuraRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An asura can beat its wings as a standard action and generate a searing wave of heat that deals 2d6 points of damage to all creatures within a 15-foot radius.	KEY:Asura ~ Burning Wind																											SOURCEPAGE:BoED	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:AsuraRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Asura ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Detect Good|Detect Evil|Discern Lies,12+CHA|True Seeing	SPELLS:Innate|TIMES=1|CASTERLEVEL=8|Holy smite,13+CHA|Magic Circle against Evil ~ Self only|Polymorph ~ Self only								SOURCEPAGE:BoED	
Immunities	CATEGORY:Special Ability	TYPE:AsuraRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Asuras are immune to fire, petrification, charms, and compulsions.	KEY:Asura ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity to Fire|Immunity To Petrification|Immunity to Charm|Immunity to Compulsion									SOURCEPAGE:BoED	
																																	
Powerful Charge	CATEGORY:Special Ability	TYPE:BariaurRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A bariaur often begins a battle by charging at an opponent, lowering its head to smash its horns against a foe. In addition to the normal benefits and hazards of a charge, this allows the bariaur to make a single gore attack that deals 2d6+2 points of bludgeoning damage.	KEY:Exalted Bariaur ~ Powerful Charge																											SOURCEPAGE:BoED	
Favored Class	CATEGORY:Special Ability	TYPE:BariaurRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Ranger.	KEY:Exalted Bariaur ~ Favored Class																		TEMPLATE:Bariaur ~ Exalted ~ Favored Class									SOURCEPAGE:BoED	
																																	
Race Traits ~ Crypt Warden	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=CryptWardenRaceTrait	AUTO:LANG|Celestial|Common																													
Animate Objects	CATEGORY:Special Ability	TYPE:CryptWardenRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a standard action, a crypt warden can cause a statue or another object within the tomb it guards to animate, as if affected by the animate objects spell. It can animate one object of Large size or smaller each round; this ability otherwise works as the spell cast by a 10th-level cleric.	KEY:Crypt Warden ~ Animate Objects																											SOURCEPAGE:BoED	
Holy Smite	CATEGORY:Special Ability	TYPE:CryptWardenRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Crypt Warden ~ Holy Smite																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=10|Holy Smite,14+CHA									SOURCEPAGE:BoED	
																																	
Race Traits ~ Eladrin (Coure)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=EladrinCoureRaceTrait	AUTO:LANG|Celestial|Common	AUTO:WEAPONPROF|Dagger									BONUS:VAR|Maneuverability|5|TYPE=Base																			
Natural Weapons	CATEGORY:Special Ability	TYPE:EladrinCoureRaceTrait.SpecialQuality.Natural Weapons	VISIBLE:YES	DESC:Any weapons a coure wields are treated as having the chaotic and good alignments for the purpose of overcoming damage reduction.	KEY:Eladrin (Coure) ~ Natural Weapons																											SOURCEPAGE:BoED	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:EladrinCoureRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Eladrin (Coure) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=4|Dancing Light|Detect Evil|Detect Magic|Faerie Fire	SPELLS:Innate|TIMES=3|CASTERLEVEL=4|Magic Missile|Sleep,11+CHA								SOURCEPAGE:BoED	
Alternate Form	CATEGORY:Special Ability	TYPE:EladrinCoureRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A coure can assume the form of an incorporeal ball of light at will. This transformation counts as a standard action. In this form, the coure can be harmed only by other incorporeal creatures, +1 or better magic weapons, spells, spell-like abilities, and supernatural abilities. In this form, the coure has a 50%% chance to ignore any damage from a corporeal source, except for force effects or attacks made with ghost touch weapons. A coure in this form can pass through solid objects, but not force effects, at will. While incorporeal, its attacks ignore natural armor, armor, and shields, but deflection bonuses and force effects work normally against them. In this form, a coure always moves silently and cannot be heard with Listen checks if it doesn't wish to be. While incorporeal, the coure sheds light if it wishes, providing illumination with any radius it wishes up to 30 feet. Changing the amount of light it sheds is a free action that the coure can perform once per round.	KEY:Eladrin (Coure) ~ Alternate Form																											SOURCEPAGE:BoED	
Magic Circle Against Evil	CATEGORY:Special Ability	TYPE:EladrinCoureRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A magic circle against evil effect always surrounds the coure, as the magic circle against evil spell cast by an 8th-level sorcerer (The defensive benefits of the circle are not included in the statistics above).	KEY:Eladrin (Coure) ~ Magic Circle against Evil																											SOURCEPAGE:BoED	
Skills	CATEGORY:Special Ability	TYPE:EladrinCoureRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Coures have a +4 racial bonus on Hide and Move Silently checks (included in the statistics above).	KEY:Eladrin (Coure) ~ Skills									BONUS:SKILL|Hide,Move Silently|4|TYPE=Racial																		SOURCEPAGE:BoED	
																																	
Race Traits ~ Eladrin (Firre)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=EladrinFirreRaceTrait	AUTO:LANG|Celestial|Common|Draconic|Infernal	AUTO:WEAPONPROF|Greatsword|Javelin									BONUS:VAR|Maneuverability|5|TYPE=Base																			
Natural Weapons	CATEGORY:Special Ability	TYPE:EladrinFirreRaceTrait.SpecialQuality.Natural Weapons	VISIBLE:YES	DESC:A firre's natural weapons, as well as any weapons it wields, are treated as having the chaotic and good alignments for the purpose of overcoming damage reduction.	KEY:Eladrin (Firre) ~ Natural Weapons																											SOURCEPAGE:BoED	
Gaze	CATEGORY:Special Ability	TYPE:EladrinFirreRaceTrait.SpecialAttack.Supernatural.Gaze	VISIBLE:YES	DESC:In humanoid form, the firre can gaze at a target within 60 feet and cause it to burst into flames. The gaze deals 2d6 points of fire damage and causes blindness (as the blindness/deafness spell). A successful DC %1 Fortitude save negates the blindness. The DC is Charisma-based.|GazeDC	KEY:Eladrin (Firre) ~ Gaze				DEFINE:GazeDC|0					BONUS:VAR|GazeDC|DefaultDCCha	BONUS:VAR|GazeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Gaze)								ABILITY:Ability Focus|AUTOMATIC|Gaze									SOURCEPAGE:BoED	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:EladrinFirreRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Eladrin (Firre) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=10|Detect Thoughts,12+CHA|Fireball,13+CHA|Invisibility (Greater)|Persistent Image,15+CHA|Polymorph|See Invisibility|Wall of Fire	SPELLS:Innate|TIMES=1|CASTERLEVEL=10|Prismatic Spray,17+CHA								SOURCEPAGE:BoED	
Spells	CATEGORY:Special Ability	TYPE:EladrinFirreRaceTrait.SpecialAttack	VISIBLE:YES	DESC:A firre in humanoid form casts divine spells from the cleric list and the Chaos, Fire, Good, and Magic domains as a 12th-level cleric.	KEY:Eladrin (Firre) ~ Spells																											SOURCEPAGE:BoED	
Alternate Form	CATEGORY:Special Ability	TYPE:EladrinFirreRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A firre can shift between its humanoid and fiery forms as a standard action. In humanoid form, it cannot fly or use its fiery slam attacks, but it can use its haze ttack and spell-like abilities, make weapon attacks, sing, and cast spells. In the form of a pillar of fire, it can fly, make slam attacks, and use spell-like abilities, but cannot sing, cast spells, or use its gaze attack. A firre remains in one form until it chooses to take the other form. A change in form cannot be dispelled, nor does a firre revert to any particular form when killed. A true seeing spell reveals both forms simultaneously.	KEY:Eladrin (Firre) ~ Alternate Form																											SOURCEPAGE:BoED	
Magic Circle Against Evil	CATEGORY:Special Ability	TYPE:EladrinFirreRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A magic circle against evil effect always surrounds firres, as the spell cast by an 8th-level sorcerer (The defensive benefits of the circle are not included in the statistics above).	KEY:Eladrin (Firre) ~ Magic Circle against Evil																											SOURCEPAGE:BoED	
Song	CATEGORY:Special Ability	TYPE:EladrinFirreRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A firre has a captivating voice and can use bardic music just as a bard can, inspiring courage, fascinating, inspiring competence, or giving suggestions to those who hear it (see Bardic Music in Chapter 3 of the Player's Handbook). Unlike a bard, however, a firre can sing as often as it likes.	KEY:Eladrin (Firre) ~ Song	SERVESAS:ABILITY=Special Ability|Bardic Music			DEFINE:BardicMusicLVL|0	DEFINE:InspireCourageLVL|0	DEFINE:InspireDurationBase|0			BONUS:VAR|InspireDurationBase|5|TYPE=Base									ABILITY:Special Ability|AUTOMATIC|Bardic Music ~ Inspire Courage	ABILITY:Special Ability|AUTOMATIC|Bardic Music ~ Fascinate	ABILITY:Special Ability|AUTOMATIC|Bardic Music ~ Inspire Competence	ABILITY:Special Ability|AUTOMATIC|Bardic Music ~ Suggestion						SOURCEPAGE:BoED	
																																	
Race Traits ~ Eladrin (Shiradi)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=EladrinShiradiRaceTrait	AUTO:LANG|Celestial|Common|Draconic|Infernal										BONUS:VAR|Maneuverability|4|TYPE=Base																			
Natural Weapons	CATEGORY:Special Ability	TYPE:EladrinShiradiRaceTrait.SpecialQuality.Natural Weapons	VISIBLE:YES	DESC:Any weapons a shiradi eladrin wields are treated as having the chaotic and good alignments for the purpose of overcoming damage reduction.	KEY:Eladrin (Shiradi) ~ Natural Weapons																											SOURCEPAGE:BoED	
Lightshard Strike	CATEGORY:Special Ability	TYPE:EladrinShiradiRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A shiradi that assumes the form of a cloud of light shards can slam an opponent for 2d6 points of damage. The slam is treated as a ghost touch attack for purposes of hitting incorporeal creatures. In addition, the light shards also act as a greater dispel magic spell targeted upon the creature (caster level 12th).	KEY:Eladrin (Shiradi) ~ Lightshard Strike																											SOURCEPAGE:BoED	
