SOURCELONG:Book of Exalted Deeds	SOURCESHORT:BoED	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																															
																																		
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:	
Eladrin (Tulani)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Eladrin|Extraplanar|Good	MONSTERCLASS:Outsider:19	MOVE:Walk,40,Fly,90	BONUS:COMBAT|AC|20|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Eladrin (Tulani)	DR:15/Cold Iron or Unholy	SR:30	BONUS:STAT|STR|10	BONUS:STAT|DEX|12	BONUS:STAT|CON|12	BONUS:STAT|INT|14	BONUS:STAT|WIS|14	BONUS:STAT|CHA|16	MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Gather Information|Hide|Intimidate|Knowledge (Arcana)|Knowledge (Local)|Knowledge (The Planes)|Listen|Move Silently|TYPE.Perform|Sense Motive|Sleight of Hand|Spellcraft|Spot|Survival	CR:18	KIT:1|CG	HITDICEADVANCEMENT:36,54	LEVELADJUSTMENT:10	LEGS:2	HANDS:2	SOURCEPAGE:BoED	KIT:1|Eladrin (Tulani) Stats
Guardinal (Equinal)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Good|Guardinal	MONSTERCLASS:Outsider:6	MOVE:Walk,60	BONUS:COMBAT|AC|11|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Guardinal (Equinal)	DR:10/Evil or Silver	SR:18	BONUS:STAT|STR|10		BONUS:STAT|CON|6	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4	MONCSKILL:Balance|Concentration|Diplomacy|Hide|Jump|Knowledge (The Planes)|Knowledge (Religion)|Listen|Sense Motive|Spot|Survival|Tumble	CR:6	KIT:1|NG	HITDICEADVANCEMENT:9,18	LEVELADJUSTMENT:7	LEGS:2	HANDS:2	SOURCEPAGE:BoED	KIT:1|Guardinal (Equinal) Stats
Guardinal (Musteval)			STARTFEATS:1	SIZE:T	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Good|Guardinal	MONSTERCLASS:Outsider:2	MOVE:Walk,30,Burrow,10	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d3				FACE:2.5	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Guardinal (Musteval)			BONUS:STAT|STR|-4	BONUS:STAT|DEX|8	BONUS:STAT|CON|2		BONUS:STAT|WIS|4	BONUS:STAT|CHA|2	MONCSKILL:Balance|Climb|Escape Artist|Hide|Jump|Listen|Move Silently|Sleight of Hand|Survival|Tumble|Use Rope	CR:2	KIT:1|NG	HITDICEADVANCEMENT:3,6	LEVELADJUSTMENT:5	LEGS:2	HANDS:2	SOURCEPAGE:BoED	KIT:1|Guardinal (Musteval) Stats
Guardinal (Ursinal)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Good|Guardinal	MONSTERCLASS:Guardinal (Ursinal):10	MOVE:Walk,30	BONUS:COMBAT|AC|13|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Guardinal (Ursinal)	DR:10/Evil or Silver	SR:22	BONUS:STAT|STR|8	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8	MONCSKILL:Concentration|Diplomacy|Heal|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Listen|TYPE.Profession|Search|Sense Motive|Spellcraft|Spot|Survival	CR:10	KIT:1|NG	HITDICEADVANCEMENT:15,30	LEVELADJUSTMENT:8	LEGS:2	HANDS:2	SOURCEPAGE:BoED	KIT:1|Guardinal (Ursinal) Stats
Hollyphant			STARTFEATS:1	SIZE:S	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Good	MONSTERCLASS:Outsider:6	MOVE:Walk,30,Fly,60	BONUS:COMBAT|AC|9|TYPE=NaturalArmor	NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d3				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Hollyphant	DR:10/Cold Iron or Evil	SR:18		BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|6	BONUS:STAT|WIS|8	BONUS:STAT|CHA|6	MONCSKILL:Concentration|Diplomacy|Heal|Hide|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot	CR:8	KIT:1|NG		LEVELADJUSTMENT:9	LEGS:4	HANDS:0	SOURCEPAGE:BoED	KIT:1|Hollyphant Stats
Leskylor			STARTFEATS:1	SIZE:L	TYPE:Magical Beast	RACETYPE:Magical Beast		MONSTERCLASS:Magical Beast:6	MOVE:Walk,40,Fly,80	BONUS:COMBAT|AC|10|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Leskylor			BONUS:STAT|STR|12		BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4	MONCSKILL:Hide|Listen|Move Silently|Search|Spot|Swim	CR:7		HITDICEADVANCEMENT:18,36	LEVELADJUSTMENT:6	LEGS:4	HANDS:0	SOURCEPAGE:BoED	KIT:1|Leskylor Stats
Moon Dog			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Good	MONSTERCLASS:Outsider:9	MOVE:Walk,50	BONUS:COMBAT|AC|7|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Moon Dog	DR:10/Cold Iron or Evil	SR:23	BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6	MONCSKILL:Balance|Concentration|Diplomacy|Hide|intimidate|Jump|Knowledge (The Planes)|Listen|Move Silently|Sense Motive|Spot|Survival|Tumble	CR:12	KIT:1|NG	HITDICEADVANCEMENT:13,27	LEVELADJUSTMENT:8	LEGS:4	HANDS:0	SOURCEPAGE:BoED	KIT:1|Moon Dog Stats
Quesar			STARTFEATS:1	SIZE:M	TYPE:Construct	RACETYPE:Construct	RACESUBTYPE:Extraplanar	MONSTERCLASS:Construct:8	MOVE:Walk,60	BONUS:COMBAT|AC|7|TYPE=Deflection	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6,SPROP=+1d6 energy				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Quesar	DR:10/Adamantine	SR:18		BONUS:STAT|DEX|6		BONUS:STAT|INT|-2			MONCSKILL:Spot	CR:7	KIT:1|NG	HITDICEADVANCEMENT:24	LEVELADJUSTMENT:9	LEGS:2	HANDS:2	SOURCEPAGE:BoED	KIT:1|Quesar Stats
Rhek			STARTFEATS:1	SIZE:M	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Extraplanar	MONSTERCLASS:Monstrous Humanoid:5	MOVE:Walk,30	BONUS:COMBAT|AC|7|TYPE=NaturalArmor	NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d8				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Rhek			BONUS:STAT|STR|8		BONUS:STAT|CON|8		BONUS:STAT|WIS|4	BONUS:STAT|CHA|4	MONCSKILL:Intimidate|Listen|Search|Spot	CR:4	KIT:1|LG	HITDICEADVANCEMENT:8,16	LEVELADJUSTMENT:3	LEGS:2	HANDS:2	SOURCEPAGE:BoED	KIT:1|Rhek Stats
Swarm (Apocalypse Frog Swarm)			STARTFEATS:1	SIZE:D	TYPE:Magical Beast	RACETYPE:Magical Beast	RACESUBTYPE:Swarm	MONSTERCLASS:Magical Beast:5	MOVE:Walk,20		NATURALATTACKS:Swarm,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6,SPROP=Eternal torpor				FACE:5	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Swarm (Apocalypse Frog Swarm)			BONUS:STAT|STR|-10	BONUS:STAT|DEX|4		BONUS:STAT|INT|-10	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-6	MONCSKILL:Jump|Listen|Spot	CR:4	KIT:1|TN			LEGS:4	HANDS:0	SOURCEPAGE:BoED	KIT:1|Swarm (Apocalypse Frog Swarm) Stats
Swarm (Bronze Locust Swarm)			STARTFEATS:1	SIZE:F	TYPE:Construct	RACETYPE:Construct	RACESUBTYPE:Swarm	MONSTERCLASS:Construct (Mindless):15	MOVE:Walk,20,Fly,60	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Swarm,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,3d6				FACE:5	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Swarm (Bronze Locust Swarm)		SR:24	BONUS:STAT|STR|-10	BONUS:STAT|DEX|8				BONUS:STAT|CHA|-8		CR:17	KIT:1|TN			LEGS:6	HANDS:0	SOURCEPAGE:BoED	KIT:1|Swarm (Bronze Locust Swarm) Stats
Swarm (Deathraven Swarm)			STARTFEATS:1	SIZE:T	TYPE:Magical Beast	RACETYPE:Magical Beast	RACESUBTYPE:Swarm	MONSTERCLASS:Magical Beast:18	MOVE:Walk,10,Fly,120		NATURALATTACKS:Swarm,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,4d6,SPROP=Pluck eyes and touch of death				FACE:10	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Swarm (Deathraven Swarm)	DR:10/Magic			BONUS:STAT|DEX|6		BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-4	MONCSKILL:Listen|Spot	CR:20	KIT:1|TN			LEGS:2	HANDS:0	SOURCEPAGE:BoED	KIT:1|Swarm (Deathraven Swarm) Stats
Swarm (Sunfly Swarm)			STARTFEATS:1	SIZE:D	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Good|Swarm	MONSTERCLASS:Outsider:9	MOVE:Walk,10,Fly,60		NATURALATTACKS:Swarm,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6				FACE:5	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Swarm (Sunfly Swarm)			BONUS:STAT|STR|-10	BONUS:STAT|DEX|12		BONUS:STAT|INT|-6	BONUS:STAT|WIS|2		MONCSKILL:Hide|Listen|Move Silently|Search|Spot	CR:10	KIT:1|TN			LEGS:6	HANDS:0	SOURCEPAGE:BoED	KIT:1|Swarm (Sunfly Swarm) Stats
