SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2014-08																																														
																																																	
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page							
Lightly Armored	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You have trained to master the use of light armor, gaining the following benefits: &nl;Increase your Strength or Dexterity score by 1, to a maximum of 20. &nl;You gain proficiency with light armor.	STACK:NO	MULT:YES	CHOOSE:NUMCHOICES=1|PCSTAT|STR|DEX	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight													SOURCEPAGE:PHB	BONUS:STAT|%LIST|1						
Linguist	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You have studied languages and codes, gaining the following benefits: &nl;Increase your Intelligence score by 1, to a maximum of 20. &nl;You learn three languages of your choice. &nl;You can ably create written ciphers. Others can't decipher acode you create unless you teach them, they succeed on an Intelligence check (DC equal to your 1ntelligence score + your proficiency bonus), OI' they use magic to decipher it.																	SOURCEPAGE:PHB	BONUS:STAT|INT|1	BONUS:ABILITYPOOL|Language Selection|3					
Lucky	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You have inexplicable luck that seems to kick in at just the right moment. You have 3 luck points. Whenever you rnake an attack roll, an ability check. ar a saving throw, you can spend one luck point to roll an additional d20. You can choose to spend one of your luck points after you roll the die, but before the outcome is determined. You choose which of the d20s is used for the attack roll, ability check, or saving throw. You can also spend one luck point when an attack roll is made against you. RolI a d20, and then choose whether the attack uses the attacker's rull or yours. If more than one creature spends a luck point to influence the outcome of a roll, the points cancel each other out; no additional dice are rolled. You regain your expended luck points when you finish a long rest.																	SOURCEPAGE:PHB							
Mage Slayer	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You have practiced techniques useful in melee combat against spellcasters, gaining the following benefits: &nl;When a creature within 5 feet of you casts a spell, you can use your reaction to make a melee weapon attack against that creature. &nl;When you damage a creature that is concentrating on a spell, that creature has disadvantage on the saving throw it makes to maintain its concentration. &nl;You have advantage on saving throws against spells cast by creatures within 5 feet of you.																	SOURCEPAGE:PHB							
Magic Initiate	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																					DEFINE:POOL_Magic_Initiate|0	DESC:Choose a c1ass: bard, c1eric, druid, sorcerer, warlock, or wizard. You learn two cantrips of your choice from that c1ass's spelllisl. In addition, choose one 1st-levei spell from that same lisl. You learn that spell and can cast it at its lowest leveI. Once you cast it, you must finish a long rest before you can cast it again. Your spellcasting ability for these spells depends on the c1ass you chose: Charisma for bard, sorcerer, or warlock: Wisdom for c1eric or druid: or Intelligence for wizard.																	SOURCEPAGE:PHB	BONUS:VAR|POOL_Magic_Initiate|1						
Martial Adept	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You have martial training that allows you to perform special combat maneuvers. You gain the following benefits: &nl;You learn two maneuvers of your choice from among those available to the Battle Master archetype in the fighter c1ass. Ir a maneuver you use requires your target to make a saving throw to resist the maneuver's effects, the saving throw DC equals 8 + your proficiency bonus +your Strength or Dexterity modifier (your choice).&nl; If you already have superiority dice, you gain one more: otherwise, you have one superiority die, which is a d6. This die is used to fuel your maneuvers. A superiority die is expended when you use il. You regain your expended superiority dice when you finish a short or long rest.														BONUS:VAR|SuperiorityDiceNumber|1			SOURCEPAGE:PHB	ABILITY:Fighter Class Feature|AUTOMATIC|Battle Master Archetype ~ Combat Superiority	BONUS:VAR|POOL_Fighter_Maneuver|2					
Medium Armor Master	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES			PREPROFWITHARMOR:1,TYPE.MediumArmor																			DESC:You have practiced moving in medium armor to gain the following benefits: &nl;Wearing medium armor doesn't impose disadvantage on your Dexterity (Stealth) checks. &nl;When you wear medium armor, you can add 3, rather than 2, to your AC if you have a Dexterity of 16 or higher.									BONUS:COMBAT|AC|1|TYPE=STAT|PRESTAT:1,DEX=16|PREEQUIP:1,TYPE=Armor.MediumArmor								SOURCEPAGE:PHB	BONUS:VAR|NegateSkillDisvantageStealthMediumArmor|1						
Mobile	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You are exceptionally speedy and agile. You gain the following benefits: &nl;Your speed increases by 10 feel. &nl;When you use the Dash action, difficult terrain doesn't cost you extra movement on that turno &nl;When you make a melee attack against a creature, you don't provoke opportunity attacks from that creature for the rest of the turn, whether you hit or not.																	SOURCEPAGE:PHB	BONUS:MOVEADD|TYPE.Walk|10						
Moderately Armored	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES			PREPROFWITHARMOR:1,TYPE.LightArmor																			DESC:You have trained to master the use of medium armor and shields, gaining the following benefits: &nl;Increase your Strength or Dexterity score by 1, to a maximum of 20. &nl;You gain proficiency with medium armor and shields.	STACK:NO	MULT:YES	CHOOSE:NUMCHOICES=1|PCSTAT|STR|DEX	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf												SOURCEPAGE:PHB	BONUS:STAT|%LIST|1						
Mounted Combatant	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You are a dangerous foe to face while mounted. While you are mounted and aren't incapacitated, you gain the following benefits: &nl;You have advantage on melee attack rolls against any unmounted creature that is smaller than your mounl. &nl;You can force an attack targeted at your mount to target you instead. &nl;If your mount is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, it instead takes no damage if it succeeds on the saving throw, and only half damage if it fails.																	SOURCEPAGE:PHB							
Observant	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:Quick to notice details of your environment, you gain the following benefits: &nl; Increase your Intelligence or Wisdom score by 1, to a maximum of 20. &nl;If you can see a creature's mouth while it is speaking a Ianguage you understand, you can interpret what it's saying by reading its lips. &nl;You have a +5 bonus to your passive Wisdom (Perception) and passive Intelligence (Investigation) scores.	STACK:NO	MULT:YES	CHOOSE:NUMCHOICES=1|PCSTAT|INT|WIS											BONUS:VAR|Passive_Perception,Passive_Investigation|5			SOURCEPAGE:PHB	BONUS:STAT|%LIST|1						
Polearm Master	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You can keep your enemies at bay with reach weapons. You gain the following benetits: &nl;When you take the Attack action and attack with only a glaive, halberd, or quarterstaff, you can use a bonus action to make a melee attack with the opposite end of the weapon. The weapon's damage die for this attack is a d4, and the attack deals bludgeoning damage. &nl;While you are wielding a glaive, halberd, pike, or quarterstaff, other creatures provoke an opportunity attack from you when they enter your reach.																	SOURCEPAGE:PHB							
Resilient	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:Choose one ability score. You gain the following benefits: &nl;Increase the chosen ability score by 1, to a maximum of 20. &nl;You gain proficiency in saving throws using the chosen ability	STACK:NO	MULT:YES	CHOOSE:NUMCHOICES=1|PCSTAT|ALL														SOURCEPAGE:PHB	BONUS:STAT|%LIST|1	ABILITY:Internal|AUTOMATIC|Saving Throw ~ Str|PREABILITY:1,CATEGORY=FEAT,Resilient (Str)	ABILITY:Internal|AUTOMATIC|Saving Throw ~ Dex|PREABILITY:1,CATEGORY=FEAT,Resilient (Dex)	ABILITY:Internal|AUTOMATIC|Saving Throw ~ Con|PREABILITY:1,CATEGORY=FEAT,Resilient (Con)	ABILITY:Internal|AUTOMATIC|Saving Throw ~ Int|PREABILITY:1,CATEGORY=FEAT,Resilient (Int)	ABILITY:Internal|AUTOMATIC|Saving Throw ~ Wis|PREABILITY:1,CATEGORY=FEAT,Resilient (Wis)	ABILITY:Internal|AUTOMATIC|Saving Throw ~ Cha|PREABILITY:1,CATEGORY=FEAT,Resilient (Cha)
Ritual Caster	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES													PREMULT:1,[PRESTAT:1,INT=13],[PRESTAT:1,WIS=13]									DESC:You have learned a number of spells that you can cast as rituais. These spells are written in a ritual book, which you must have in hand while casting one of them. When you choose this feat, you aequire a ritual book holding two 1st-levei spells of your choice. Choose one of the following classes: bard, c1erie, druid, soreerer, warlock, or wizard. You must choose your spells from that class's spelllist, and the spells you choose must have the ritual tag. The class you choose also determines your spellcasting ability for these spells: Charisma for bard, sorcerer, or warlock; Wisdom for cleric or druid; or Intelligence for wizard. If you come across a spell in written form, such as a magical speJl scroll or a wizard's spellbook, you might be able to add it to your ritual book. The spell must be on the spelllist for the class you chose, the spell's leveI can be no higher than half your levei (rounded up), and it must have the ritual tag. The process of copying the spell into your ritual book takes 2 hours per level of the spell, and costs 50 gp per leveI. The cost represents material components you expend as you experiment with the spell to master it, as well as the fine inks you need to record it.														BONUS:VAR|POOL_Ritual_Caster|1			SOURCEPAGE:PHB							
Savage Attacker	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:Once per turn when you roll damage for a melee weapon attack, you can reroll the weapon's damage dice and use either total.																	SOURCEPAGE:PHB							
Sentinel	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You have mastered teehniques to take advantage of every drop in any enemy's guard, gaining the following benefits: &nl;Whcn you hit a creature with an opportunity attack, the creature's speed becornes 0 for the rest of the turn. &nl;Creatures wilhin 5 feel of you provoke opportunity atlacks from you even if they take the Disengage action before leaving your reach. &nl;When a creature within 5 feet of you makes an attack againsl a larget olheI' lhan you (and lhal largel doesn'l have lhis feal), you can use your reaction lo make a melee weapon attack against the attacking crealure.																	SOURCEPAGE:PHB							
Sharpshooter	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You have maslered ranged weapons and can make shots that other find impossible. You gain the following benefits: &nl;Attacking at long range doesn't impose disadvantage on your ranged weapon attack rolls. &nl;Your ranged weapon attacks ignore half cover and three-quarters cover. &nl;Before you make an altack with  a ranged weapon that you are proficient wilt, you can choose lo take a -5 penalty lo the attack roll. If the attack hils, you add +10 to the attack's damage.																	SOURCEPAGE:PHB							
Shield Master	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You use shields not just for protection but also for offense. You gain the following benefits while you are wielding a shield: &nl; If you make the Attack action on your turn , you can use a bonus ation to try to shove a creature within 5 feet of you with your shield. &nl; lf you aren't incapacitated , you can add your shield's AC bonus lo any Dexterity saving throw you make against a spell or other harmful effect that targets only you. &nl; lf you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you can use your reaction to take no damage if you succeed on the saving throw, interposing your shield between yourself and the source of the effect.																	SOURCEPAGE:PHB							
Skilled	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You gain proficiency in any combination of three skills 01' tools of your choice.																	SOURCEPAGE:PHB	BONUS:ABILITYPOOL|Skilled|3						
Skulker	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES													PRESTAT:1,DEX=13									DESC:You are expert al slinking through shadows. You gain the following benefits: &nl; You can try to hide when you are lightly obscured from the creature frum which you are hiding. &nl; When you are hidden from a creature and miss it with a ranged weapon attack, making the attack doesn't reveal your posilion. &nl; Dim light doesn't impose disadvantage on your Wisdom (Perceplion) checks relying on sight.																	SOURCEPAGE:PHB							
Spell Sniper	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES			PRESPELLTYPE:1,Arcane=1,Divine=1																			DESC:You have learned techniques to enhance your attacks with certain kinds of spells, gaining the following benefits: &nl; When you caSl a spell lhal requires you to make an attack roll, the spell's range is doubled. &nl;Your ranged spell attacks ignore half cover and three-quarters cover. &nl; You learn one canlrip thal requires an attack roll. Choose the cantrip from the bard, cleric, druid, sorcerer, warlock, 01' wizard spelllist. &nl; Your spellcasting abilily for this cantrip depends on the spelllist you chose from: Charisma for bard, sorcerer, 01' warlock; Wisdom for cleric 01' druid; 01' intelligence for wizard.																	SOURCEPAGE:PHB	BONUS:VAR|POOL_Cantrip_Choice|1						
Tavern Brawler	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:Accustomed to rough-and-lumble lighling using whatever weapons happen to be at hand, you gain the following benefits: &nl; Increase your Strength 01' Contitution score by 1, to a maximum of 20. &nl; You are proficient with improvised weapons and unarmed strikes. &nl;Your unarmed strike uses a d4 for damage. &nl; When you hit a creature with an unarmed strike 01' an improvised weapon on your turn, you can use a bonus action attempt to grapple the target.	STACK:NO	MULT:YES	CHOOSE:NUMCHOICES=1|PCSTAT|STR|CON			UDAM:1d4											SOURCEPAGE:PHB	BONUS:STAT|%LIST|1						
Tough	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:Your hit point maximum increases by an amount equal to twice your leveI when you gain this feat. Whenever you gain a level thereafter, your hit point maximum increases by an additional 2 hit points.											BONUS:HP|CURRENTMAX|TL*2						SOURCEPAGE:PHB							
War Caster	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES			PRESPELLTYPE:1,Arcane=1,Divine=1																			DESC:You have practiced casting spells in the midst of combat, learning techniques that grant you the following benefits: &nl; You have advantage on Constitution saving throws that you make maintain your concenlralion on a spell when you take damage. &nl; You can perform the somatic components of spells even when you have weapons or a shield in one or both hands. &nl; When a hostile creature’s movement provokes an opportunity attack from you, you can use your reaction lo cast a spell at the creature, rather than making an opportunity attack. The spell musl have a casting time of 1 action and must target only that creature.																	SOURCEPAGE:PHB							
Weapon Master	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:.	STACK:NO	MULT:YES	CHOOSE:NUMCHOICES=1|PCSTAT|STR|DEX														SOURCEPAGE:PHB	BONUS:ABILITYPOOL|Weapon Proficiency|4						
