SOURCELONG:Epic Level Handbook 3.0	SOURCESHORT:ELH30	SOURCEWEB:http://www.gozzilioni.net																														
																																
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
# Paragon Template																																
Special Attacks	CATEGORY:Special Ability	TYPE:ParagonRaceTrait.SpecialAttack	VISIBLE:YES	DESC:A paragon creature's special attacks, if any, all gain a + 13 insight bonus, if applicable.	KEY:Paragon ~ Special Attack																											SOURCEPAGE:ELH
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:ParagonRaceTrait.SpecialAttack	VISIBLE:YES	DESC:if the base creature has spell-like abilities, it gains +15 to its caster level to use those abilities.	KEY:Paragon ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=3|CASTERLEVEL=15|Dispel Magic (Greater)|Haste|See Invisibility									SOURCEPAGE:ELH
																																
# Pseudonatural Template																																
Constant Insight	CATEGORY:Special Ability	TYPE:PseudonaturalRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The creature makes all its attacks with a +15 insight bonus. The creature is not affected by the miss chance that applies to attacks against a concealed target.	KEY:Pseudonatural ~ Constant Insight									BONUS:COMBAT|TOHIT|15|TYPE=Insight																		SOURCEPAGE:ELH
Improved Grab	CATEGORY:Special Ability	TYPE:PseudonaturalRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If the creature hits an opponent smaller than it with a tentacle, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity.	KEY:Pseudonatural ~ Improved Grab																											SOURCEPAGE:ELH
Rotting Constriction	CATEGORY:Special Ability	TYPE:PseudonaturalRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Once the creature has hold of an opponent, each successful grapple check it makes during subsequent rounds permanently drains 2d4 points of Constitution. At the same time, the creature regains 10 lost hit points.	KEY:Pseudonatural ~ Rotting Constriction																											SOURCEPAGE:ELH
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:PseudonaturalRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Pseudonatural ~ Spell-Like																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Blur|Dimension Door|Shield|Unhallow									SOURCEPAGE:ELH
Alternate Form	CATEGORY:Special Ability	TYPE:PseudonaturalRaceTrait.SpecialQuality	VISIBLE:YES	DESC:At will, a pseudonatural creature can take the form of a grotesque, tentacled mass (or another appropriately gruesome form determined by the DM), but all its abilities remain unchanged despite the alien appearance. Changing shape is a standard action. Other creatures receive a -1 morale penalty on their attack rolls against pseudonatural creatures in this alternate form.	KEY:Pseudonatural ~ Alternate Form																											SOURCEPAGE:ELH
