SOURCELONG:Epic Level Handbook 3.0	SOURCESHORT:ELH30	SOURCEWEB:http://www.gozzilioni.net																																																				
#																																																						
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page												
Bulwark of Defense	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21										PRESTAT:1,CON=25						PREVARGTEQ:DefensiveStanceTimes,3			DESC:Your defensive stance bonuses increase to +4 Strength, +6 Constitution, +4 resistance bonus on all saves, and +6 dodge bonus to AC.														BONUS:VAR|DefensiveStanceBonus|2			SOURCEPAGE:ELH												
Chaotic Rage	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21															PREALIGN:CG,CN,CE	PREVARGTEQ:RageTimes,5			DESC:Any weapon you wield while in a rage is treated as a chaotic weapon (it deals +2d6 points of damage against creatures of lawful alignment). This ability does not stack with similar abilities (for instance, if the weapon is already a chaotic weapon).																	SOURCEPAGE:ELH												
Colossal Wild Shape	CATEGORY:FEAT	TYPE:Epic.Wild	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Gargantuan Wild Shape														PRETEXT:The ability to wild shape into a Gargantuan creature.				DESC:You can use your wild shape to take the shape of a Colossal animal.																	SOURCEPAGE:ELH												
Combat Archery	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:3,CATEGORY=FEAT,Dodge,Mobility,Point Blank Shot																		DESC:You do not incur any attacks of opportunity for firing a bow when threatened.																	SOURCEPAGE:ELH												
Craft Epic Magic Arms and Armor	CATEGORY:FEAT	TYPE:Epic.ItemCreation	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Craft Magic Arms and Armor						PRESKILL:2,Knowledge (Arcana)=28,Spellcraft=28												DESC:You can craft magic arms and armor which exceed the normal limits for such items (as stated in the DUNGEON MASTER's Guide). For instance, you could craft a magic sword with an enhancement bonus of greater than +5, with a total effective enhancement bonus greater than +10, or that required prerequisite spells of higher than 9th level.																	SOURCEPAGE:ELH												
Craft Epic Rod	CATEGORY:FEAT	TYPE:Epic.ItemCreation	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Craft Rod						PRESKILL:2,Knowledge (Arcana)=32,Spellcraft=32												DESC:You can craft rods that exceed the normal limits for such items (as stated in this book and in the DUNGEON MASTER's Guide). For instance, you could craft a rod with an enhancement bonus greater than +5 or a rod with prerequisite spells of higher than 9th level.																	SOURCEPAGE:ELH												
Craft Epic Staff	CATEGORY:FEAT	TYPE:Epic.ItemCreation	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Craft Staff						PRESKILL:2,Knowledge (Arcana)=35,Spellcraft=35												DESC:You can craft staffs that exceed the normal limits for such items (as stated in this book and in the DUNGEON MASTER's Guide). For instance, you could craft a staff that cast spells greater than 9th level, or a staff with an enhancement bonus greater than +5.																	SOURCEPAGE:ELH												
Craft Epic Wondrous Item	CATEGORY:FEAT	TYPE:Epic.ItemCreation	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Craft Wondrous Item						PRESKILL:2,Knowledge (Arcana)=26,Spellcraft=26												DESC:You can craft wondrous items that exceed the normal limits for such items (as stated in this book and in the DUNGEON MASTER's Guide). For instance, you could craft a cloak of Charisma with an enhancement bonus greater than +6 or an item that required prerequisite spells higher than 9th level.																	SOURCEPAGE:ELH												
Damage Reduction	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21										PRESTAT:1,CON=21								DEFINE:DamageReductionDR|0	DESC:You gain damage reduction 3/-. This does not stack with damage reduction granted by magic items or nonpermanent magical effects, but it does stack with any damage reduction granted by permanent magical effects, class features, or this feat itself. Special: A character can gain this feat multiple times. Each time you gain the feat, your damage reduction increases by 3.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|DamageReductionDR|3|TYPE=Base.STACK			SOURCEPAGE:ELH	DR:0/-	BONUS:DR|-|DamageReductionDR										
Deafening Song	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Bardic Music						PRESKILL:1,TYPE.Perform=24												DESC:You can use song or poetics to temporarily deafen all enemies within a 30-foot spread from you. A successful Fortitude save (DC 10 + 1/2 your class level + your Charisma modifier) negates the effect. The deafening effect lasts for as long as you continue the deafening song. You can choose to exclude any characters from this effect (usually your allies). You may sing, play, or recite a deafening song while taking other mundane actions, but not magical ones (see the bard's inspire courage ability for more details). You may keep up the deafening song for a maximum of 10 rounds. Using the deafening song counts as one of your uses of song or poetics for the day.																	SOURCEPAGE:ELH												
Death of Enemies	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Bane of Enemies						PRESKILL:1,Survival=30									PREVARGTEQ:FavoredEnemyBonusCount,5			DESC:Any time you score a critical hit against one of your favored enemies, it must make a Fortitude save (DC 10 + 1/2 your ranger class level + your Wisdom modifier) or die instantly. Special: Creatures immune to critical hits can't be affected by this feat.																	SOURCEPAGE:ELH												
Devastating Critical	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:6,CATEGORY=FEAT,Cleave,Great Cleave,Improved Critical,Overwhelimg Critical,Power Attack,Weapon Focus									PRESTAT:1,STR=25									DESC:When using the weapon you have selected, whenever you score a critical hit the target must make a Fortitude save (DC 10 + 1/2 your character level + your Strength modifier) or die instantly. (Creatures immune to critical hits can't be affected by this feat.)	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|ABILITY=FEAT[Overwhelming Critical]														SOURCEPAGE:ELH												
Dexterous Fortitude	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Slippery Mind									PRESTAT:1,DEX=25									DESC:Once per round, when targeted by an effect that requires a Fortitude saving throw, you may make a Reflex save instead to avoid the effect (evasion is not applicable).																	SOURCEPAGE:ELH												
Dexterous Will	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Slippery Mind									PRESTAT:1,DEX=25									DESC:Once per round, when targeted by an effect that requires a Will saving throw, you may make a Reflex save instead to avoid the effect (evasion is not applicable).																	SOURCEPAGE:ELH												
Diminutive Wild Shape	CATEGORY:FEAT	TYPE:Epic.Wild	VISIBLE:YES			PRELEVEL:MIN=21															PRETEXT:Ability to wild shape into a Huge animal.	PREVARGTEQ:WildShapeProgression,5			DESC:You can use your wild shape to take the shape of a Diminutive animal.																	SOURCEPAGE:ELH												
Dire Charge	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Improved Initiative																		DESC:If you charge a foe during the first round of combat (or the surprise round, if you are allowed to act in it), you can make a full attack against the opponent you charge.																	SOURCEPAGE:ELH												
Distant Shot	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:2,CATEGORY=FEAT,Far Shot,Point Blank Shot						PRESKILL:1,Spot=20			PRESTAT:1,DEX=25									DESC:You may throw or fire a ranged weapon at any target within line of sight, with no penalty for range.																	SOURCEPAGE:ELH												
Dragon Wild Shape	CATEGORY:FEAT	TYPE:Epic.Wild	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Knowledge (Nature)=30			PRESTAT:1,WIS=30						PREVARGTEQ:WildShapeTimes,6			DESC:You may use wild shape to change into a dragon (black, blue, green, red, white, brass, bronze, copper, gold, or silver). The size limitation is the same as your limitation on animal size. You gain all extraordinary and supernatural abilities of the dragon whose form you take.																	SOURCEPAGE:ELH												
Efficent Item Creation	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:2,Knowledge (Arcana)=24,Spellcraft=24												DESC:Select an item creation feat. Creating a magic item using that feat requires one day per 10,000 gp of the item's market price, with a minimum of one day. Special: You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a different item creation feat.	STACK:NO	MULT:YES	CHOOSE:FEAT|PC[TYPE=ItemCreation] 														SOURCEPAGE:ELH												
Energy Resistance (Acid)	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																		DEFINE:AcidResistanceBonus|0	DESC:Choose a type of energy (acid, cold, electricity, fire, or sonic). You gain resistance 10 to that type of energy, or your existing resistance to that type of energy increases by 10. This feat does not stack with energy resistance granted by magic items or nonpermanent magical effects.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|AcidResistanceBonus|10|TYPE=Resistance.STACK			SOURCEPAGE:ELH	ABILITY:Special Ability|AUTOMATIC|Resistance To Acid											
Energy Resistance (Cold)	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																		DEFINE:ColdResistanceBonus|0	DESC:Choose a type of energy (acid, cold, electricity, fire, or sonic). You gain resistance 10 to that type of energy, or your existing resistance to that type of energy increases by 10. This feat does not stack with energy resistance granted by magic items or nonpermanent magical effects.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|ColdResistanceBonus|10|TYPE=Resistance.STACK			SOURCEPAGE:ELH	ABILITY:Special Ability|AUTOMATIC|Resistance To Cold											
Energy Resistance (Electricity)	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																		DEFINE:ElectricityResistanceBonus|0	DESC:Choose a type of energy (acid, cold, electricity, fire, or sonic). You gain resistance 10 to that type of energy, or your existing resistance to that type of energy increases by 10. This feat does not stack with energy resistance granted by magic items or nonpermanent magical effects.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|ElectricityResistanceBonus|10|TYPE=Resistance.STACK			SOURCEPAGE:ELH	ABILITY:Special Ability|AUTOMATIC|Resistance To Electricity											
Energy Resistance (Fire)	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																		DEFINE:FireResistanceBonus|0	DESC:Choose a type of energy (acid, cold, electricity, fire, or sonic). You gain resistance 10 to that type of energy, or your existing resistance to that type of energy increases by 10. This feat does not stack with energy resistance granted by magic items or nonpermanent magical effects.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|FireResistanceBonus|10|TYPE=Resistance.STACK			SOURCEPAGE:ELH	ABILITY:Special Ability|AUTOMATIC|Resistance To Fire											
Energy Resistance (Sonic)	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																		DEFINE:SonicResistanceBonus|0	DESC:Choose a type of energy (acid, cold, electricity, fire, or sonic). You gain resistance 10 to that type of energy, or your existing resistance to that type of energy increases by 10. This feat does not stack with energy resistance granted by magic items or nonpermanent magical effects.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|SonicResistanceBonus|10|TYPE=Resistance.STACK			SOURCEPAGE:ELH	ABILITY:Special Ability|AUTOMATIC|Resistance To Sonic											
Enhance Spell	CATEGORY:FEAT	TYPE:Epic.Metamagic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Maximize Spell																	DEFINE:EnhanceSpellCap|0	DESC:The damage cap for your spells increases by 10 dice (for spells that deal a number of dice of damage equal to your caster level, such as fireball) or by 5 dice (for spells that deal a number of dice of damage equal to half your level, such as searing light). An enhanced spell uses up a spell slot four levels higher than the spell's actual level. For example, an enhanced fireball has a damage cap of 20d6 (rather than 10d6). An enhanced searing light has a damage cap of 10d8 (rather than 5d8). This feat has no effect on spells that don't specifically deal a number of dice of damage equal to your level or half your level, even if the spell's effect is largely dictated by your level. Thus, it has no effect on magic missile (even though your level indicates how many missiles you fire), Melf's acid arrow (even though your level indicates how many rounds the acid deals damage), or produce flame (even though you add your level to the base 1d4 damage dealt). Special: You may gain this feat multiple times. Each time you select this feat, the damage cap increases by 10 dice or 5 dice, as appropriate to the spell, and the enhanced spell takes up a spell slot an additional four levels higher (thus, a twice-enhanced fireball would be an 11th-level spell).	STACK:YES	MULT:YES	CHOOSE:NOCHOICE				ADDSPELLLEVEL:4							BONUS:VAR|EnhanceSpellCap|10|TYPE=Base.Stack			SOURCEPAGE:ELH	DESC:max +%1 dice cap|EnhanceSpellCap											
Epic Dodge	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Dodge	PREABILITY:1,CATEGORY=Special Ability,Rogue Special Ability ~ Defensive Roll					PRESKILL:1,Tumble=30			PRESTAT:1,DEX=25						PREVARGTEQ:EvasionTracker,2			DESC:Once per round, when struck by an attack from an opponent you have designated as the object of your dodge, you may automatically avoid all damage from the attack.																	SOURCEPAGE:ELH												
Epic Endurance	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Endurance									PRESTAT:1,CON=25									DESC:Whenever you make a check for performing a physical action that extends over a period of time (running, swimming, holding your breath, and so on), you get a  +10 bonus on the check.																	SOURCEPAGE:ELH												
Epic Fortitude	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:You gain a +4 bonus on all Fortitude saving throws.								BONUS:SAVE|Fortitude|4									SOURCEPAGE:ELH												
Epic Inspiration	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Bardic Music						PRESKILL:1,TYPE.Perform=30			PRESTAT:1,CHA=25									DESC:All competence bonuses, dodge bonuses, and morale bonuses granted by your bardic music ability increase by +1. If you have the inspire greatness bardic music ability, it grants one additional bonus HD. Special: A character can gain this feat multiple times. Its effects stack.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|InspireCourageBonus,InspireCompetenceBonus,InspireGreatnessBonus,InspireGreatnessFortBonus,InspireHeroicsBonus|1			SOURCEPAGE:ELH												
Epic Leadership	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Leadership									PRESTAT:1,CHA=25						PREVARGTEQ:LeadershipCohortLVL,25			DESC:You attract a cohort and followers as shown on Table 1-33: Epic Leadership.																	SOURCEPAGE:ELH	COMPANIONLIST:Leadership Cohort|Demon (Succubus)|PREALIGN:CE|PREVARGT:LeadershipCohortLVL,12|PREABILITY:1,CATEGORY=FEAT,Epic Leadership	COMPANIONLIST:Leadership Cohort|Companion ~ Hydra (12 Heads)|PREALIGN:TN|PREVARGT:LeadershipCohortLVL,19|PREABILITY:1,CATEGORY=FEAT,Epic Leadership	COMPANIONLIST:Leadership Cohort|Dragon Turtle|PREALIGN:TN|PREVARGT:LeadershipCohortLVL,21|PREABILITY:1,CATEGORY=FEAT,Epic Leadership	COMPANIONLIST:Leadership Cohort|Devil (Ice)|PREALIGN:LE|PREVARGT:LeadershipCohortLVL,21|PREABILITY:1,CATEGORY=FEAT,Epic Leadership	COMPANIONLIST:Leadership Cohort|Roc|PREALIGN:TN|PREVARGT:LeadershipCohortLVL,23|PREABILITY:1,CATEGORY=FEAT,Epic Leadership	COMPANIONLIST:Leadership Cohort|Demon (Glabrezu)|PREALIGN:CE|PREVARGT:LeadershipCohortLVL,23|PREABILITY:1,CATEGORY=FEAT,Epic Leadership	COMPANIONLIST:Leadership Cohort|Giant (Cloud)|PREALIGN:NG|PREVARGT:LeadershipCohortLVL,24|PREABILITY:1,CATEGORY=FEAT,Epic Leadership	COMPANIONLIST:Leadership Cohort|Giant (Storm)|PREALIGN:NG|PREVARGT:LeadershipCohortLVL,28|PREABILITY:1,CATEGORY=FEAT,Epic Leadership	COMPANIONLIST:Leadership Cohort|Companion ~ Dragon (Green/Ancient)|PREALIGN:LE|PREVARGT:LeadershipCohortLVL,40|PREABILITY:1,CATEGORY=FEAT,Epic Leadership	COMPANIONLIST:Leadership Cohort|Companion ~ Dragon (White/Wyrm)|PREALIGN:LE|PREVARGT:LeadershipCohortLVL,41|PREABILITY:1,CATEGORY=FEAT,Epic Leadership	COMPANIONLIST:Leadership Cohort|Companion ~ Dragon (Silver/Ancient)|PREALIGN:LG|PREVARGT:LeadershipCohortLVL,42|PREABILITY:1,CATEGORY=FEAT,Epic Leadership	COMPANIONLIST:Leadership Cohort|Companion ~ Dragon (Brass/Wyrm)|PREALIGN:CG|PREVARGT:LeadershipCohortLVL,42|PREABILITY:1,CATEGORY=FEAT,Epic Leadership
Epic Prowess	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:Gain a +1 bonus on all attacks.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE						BONUS:COMBAT|TOHIT|1								SOURCEPAGE:ELH												
Epic Reflexes	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:You gain a +4 bonus on all Reflex saving throw.								BONUS:SAVE|Reflex|4									SOURCEPAGE:ELH												
Epic Reputation	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:You gain a +4 bonus on Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks.													BONUS:SKILL|Bluff,Diplomacy,Gather Information,Intimidate,TYPE.Perform|4				SOURCEPAGE:ELH												
Epic Skill Focus	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:You gain a +10 bonus on all skill checks with that skill.	STACK:NO	MULT:YES	CHOOSE:SKILL|RANKS=20										BONUS:SKILL|LIST|10				SOURCEPAGE:ELH												
Epic Speed	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Run									PRESTAT:1,DEX=21									DESC:Your speed increases by 30 feet. This benefit does not stack with increased speed granted by magic items or nonpermanent magical effects. Special: This feat only functions when you are wearing medium armor, light armor, or no armor.																	SOURCEPAGE:ELH	BONUS:MOVEADD|TYPE=Walk|30|PREVARLT:ENCUMBERANCE,2,var("COUNT[EQTYPE.ARMOR.IS.HEAVY]"),1											
Epic Spell Focus	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:2,CATEGORY=FEAT,Greater Spell Focus,Spell Focus																		DESC:Add +6 to the Difficulty Class for all saving throws against spells from the school of magic you select to focus on. This overlaps (does not stack with) the bonuses from Spell Focus and Greater Spell Focus.	STACK:NO	MULT:YES	CHOOSE:SCHOOLS|ABILITY=FEAT[Greater Spell Focus]							BONUS:DC|SCHOOL.%LIST|6|TYPE=SpellFocus							SOURCEPAGE:ELH												
Epic Spell Penetration	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:2,CATEGORY=FEAT,Greater Spell Penetration,Spell Penetration																		DESC:You get a +6 bonus on caster level checks to beat a creature's spell resistance. This overlaps (does not Stack with) the bonuses from Spell Penetration and Greater Spell Penetration. 														BONUS:VAR|SpellPenetrationBonus|6|TYPE=SpellPenetration			SOURCEPAGE:ELH												
Epic Spellcasting	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Spellcraft=24						PRESKILL:1,Knowledge (Arcana)=24,Knowledge (Divine)=24,Knowledge (Nature)=24	PRETEXT:Ability to cast 9th arcane spells.|PRESKILL:1,Knowledge (Arcana)=24	PRETEXT:Ability to cast 9th divine spells.|PRESKILL:1,Knowledge (Divine)=24,Knowledge (Nature)=24			DEFINE:EpicSpellsPerDay|0	DESC:You may develop and cast epic spells, as detailed in Chapter 2: Epic Spells. If you are an arcane spellcaster, you may cast a number of epic spells per day equal to your ranks in Knowledge (arcana) divided by 10. If you are a divine spellcaster, you may cast a number of epic spells per day equal to your ranks in Knowledge (religion) or Knowledge (nature) divided by 10. Special: If you meet more than one set of prerequisites, the limit on the number of spells you may cast per day is cumulative.														BONUS:VAR|EpicSpellsPerDay|-1			SOURCEPAGE:ELH	BONUS:VAR|EpicSpellsPerDay|var("SKILLRANK=Knowledge {Arcana}")/10|PRESKILL:1,Knowledge (Arcana)=24	BONUS:VAR|EpicSpellsPerDay|var("SKILLRANK=Knowledge {Religion}")/10|PRESKILL:1,Knowledge (Religion)=24	BONUS:VAR|EpicSpellsPerDay|var("SKILLRANK=Knowledge {Nature}")/10|PRESKILL:1,Knowledge (Nature)=24	BONUS:ABILITYPOOL|Epic Spellcasting Type|1								
Epic Toughness	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:You gain +20 hit points.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE								BONUS:HP|CURRENTMAX|20						SOURCEPAGE:ELH												
Epic Weapon Focus	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Weapon Focus																		DESC:Add a +2 bonus to all attack rolls you make using the selected weapon.	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|ABILITY=FEAT[Weapon Focus]													BONUS:WEAPONPROF=%LIST|TOHIT|2	SOURCEPAGE:ELH												
Epic Weapon Specialization	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:3,CATEGORY=FEAT,Epic Weapon Focus,Weapon Focus,Weapon Specialization																		DESC:Add +4 to all damage you deal using the selected weapon. If the weapon is a ranged weapon, the damage bonus only applies if the target is within 30 feet.	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|ABILITY=FEAT[Weapon Specialization]													BONUS:WEAPONPROF=%LIST|DAMAGE|4	SOURCEPAGE:ELH												
