SOURCELONG:Dragon Magazine 082	SOURCESHORT:DM082	SOURCEWEB:http://dnd.wizards.com	SOURCEDATE:1984-02
#								
# Equipment Name	Output Name	Type	Cost	Weight	Define	Requires Modification?	Source Page	Special Property
Book (Tome of Influences and Suggestions)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Arunsun (charm person, ray of enfeeblement, scare, suggestion, antipathy/sympathy, mass suggestion)		
Book (The Multiple Applications of Perceptomancy)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Laeral (alarm, detect illusion, mislead, dream, dolor, sequester, Laeral's dancing dweomer)		
Book (Occult Magnetism)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Nolzur (friends, hold person, charm monster, hold monster, charm plants, mass charm)		
Book (Arcane Manipulations of the Entourage)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Otto (sleep, scare, fumble, geas, Otto's irresistible dance, confusion)		
Book (The Deep Fears of Humanity)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Hallo-ene (shout, spook, scare, fear, chaos)		
Book (Art of Communications and Sigils)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Flamsterd (explosive runes, power word stun, power word kill, power word blind, symbol)		
Book (Echo and Resonance of the Great Void)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Whisper (find familiar, monster summoning I - V)		
Book (The Foundations of Secret Autority)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Ill-Oominoty (binding, demand, torment, dismissal)		
Book (Epic Saga of the Great Conjurers)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Mordenkainen (Mordenkainen's faithful hound, conjure animals, monster summoning VI, cacodemon)		
Book (Repertoire of Illustrious Conjurations)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Drawmij (conjure elemental, Drawmij's instant summons, monster summoning VII, summon shadow, invisible stalker, guards and wards)		
Book (Architecture)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Leomund & Mordenkainen (Leomund's secure shelter, Leomund's tiny hut, forcecage, Mordenkainen's magnificent mansion)		
Book (Doors and Passages of Parallel Worlds)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Lethchauntos (hold portal, knock, jump, wizard lock)		
Book (Theories on Converging Transitions)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Lhegrand (dimension door, passwall, gate)		
Book (The Unknown Movements of the Universe)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Arnd (run, shadow walk, teleport without error, succor, vanish)		
Book (Thesis on Conditional Ruptures)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Archveult (teleport, phase door, shadow door, maze, Archveult's Skybolt)		
Book (Luminescence and Coloration)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Nchaser & Tulrun (light, color spray, continual light, darkness 15' radius, prismatic spray, project image, projected image, chromatic orb, Nchaser's glowing globe, Tulrun's tracer)		
Book (Spherogenesis of the Multiverse)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Otiluke (Otiluke's resilient sphere, Otiluke's telekinetic sphere, Otiluke's freezing sphere, globe of invulnerability, flaming sphere, prismatic sphere)		
Book (The Powers of the spiritual Will)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Phrandjas (emotion, chaos, feeblemind, confusion)		
Book (Trascendental Impenetrabilities)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Leomund (Leomund's tiny hut, minor globe of invulnerability, globe of invulnerability prismatic sphere)		
Book (Cosmogony of the Magnetic Fluids)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Mordenkainen (chain lightning, volley, energy drain, Mordenkainen's disjunction)		
Book (Arcane Resistance of Dwarves and Halflings)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Serten (dispel magic , remove curse, Serten's spell immunity, anti-magic shell, dispel illusion, dispel exhaustion)		
Book (Manual of Magnetic and Electric Waves)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Gee-Eeh (shocking grasp, lightning bolt, repulsion, reverse gravity)		
Book (The Dark Sides of the Memory)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Mordenkainen (banishment, Mordenkainen's lucubration, ensnarement, contingency)		
Book (Treatise on Cabalistic Protection)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Krest (protection from evil, shield, protection from evil 10' radius, protection from normal missiles)		
Book (The Trance of the Intellect)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Aspirin (feign death, contact other plane, limited wish, wish)		
Book (The Representations of the Sentient Plane)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Rialissom (phantasmagoria, weird, mirage arcane, advanced illusion, delude)		
Book (Intelligence and Intuitive Domination)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Zagy (ESP, trap the soul, spiritwrack, magic jar)		
Book (Arcane Puissance of the Memory)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Rary (Rary's mnemonic enhancer, forget, mind blank, hypnotic pattern)		
Book (The Origins of the Hour Glass Symbology)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Nulathoe (preserve, tempus fugit, Nulathoe's ninemen, haste)		
Book (Variations on the Visual Perception)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Mhzentul (hypnotism, hallucinatory terrain, paralyzation, veil)		
Book (Mental Impressions of the Retina)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Johydee (phantasmal force, improved phantasmal force, permanent illusion, programmed illusion)		
Book (Treatise of Sublimated Oneiromancy)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Tasirin (sleep, dream, feign death, Tasirin's haunted sleep)		
Book (Theory of the Occult Visual Shock)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Ye'Cind (fear, minor creation, phantasmal killer, major creation)		
Book (Libram of the Great Paravisual Emanations)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Nystul (Nystul's magic aura, shadow magic, demi-shadow magic, shades, Leomund's trap)		
Book (The Minds of the Unknown)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Lum (feeblemind, mind blank, dismind, forget)		
Book (Repertoire of Subconscious Apparitions)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Gaxx (spectral force, shadow monsters, demi-shadow monsters, simulacrum)		
Book (Thesis on the Planes of Anti-Matter)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Leomund (rope trick, distance distortion, astral spell, disintegrate, Leomund's secret chest, duo-dimension, deeppockets)		
Book (Clouds and Fogs)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Dahlver-Nar (stinking cloud, fog cloud, cloudkill, wall of fog, death fog, solid fog)		
Book (Gazette of the Norse Climates)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Otiluke (gust of wind, ice storm, control weather, Otiluke's freezing sphere, cone of cold, wall of ice)		
Book (Sciense of Temporal Waves)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Leuk-0 (haste, slow, extension I - III, permanency)		
Book (Tome of Studies on the Fourth Dimension)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Seik-O (temporal stasis, time stop, imprisonment)		
Book (Occult Observation on Fluids)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Koorz (water breathing, airy water, lower water, part-water, sink, grease, Spendelarde's chaser)		
Book (Evolution of the Arcane Will Power)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Tenser (polymorph self polymorph other, polymorph any object, Tenser's transformation)		
Book (Alterations of the Intrinsic Absolutes)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Math (change self, alter reality, massmorph, shape change, alter self)		
Book (The Bricks of the Spiritual Fortification)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Webster (wind wall, wall of fire, wall of force, wall of iron, wall of stone, prismatic wall, glassteel)		
Book (Ordinary Necromancy)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Vecna (animate dead, death spell, reincarnation, clone)		
Book (The Weapons of the Ether)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Melf & Mordenkainen (whip, Melfs acid arrow, magic missile, enchant an item, enchanted weapon, Mordenkainen's sword)		
Book (Treatise of Universal Astronomy)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Melf (Melf's minute meteor, meteor swarm, fireball)		
Book (Inexplicable Reflections)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:DM082	SPROP:by Bucknard (mirror image, magic mirror, gaze reflection)		
