SOURCELONG:Fiend Folio	SOURCESHORT:FF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-04																															
																																		
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:	
Blackstone Gigant				SIZE:G	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct:32	MOVE:Walk,40,Climb,20,Fly,40	BONUS:COMBAT|AC|27|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,4d8,SPROP=Petrification				FACE:20	REACH:20	ABILITY:Internal|AUTOMATIC|Race Traits ~ Blackstone Gigant	DR:15/Adamantine	SR:32	BONUS:STAT|STR|34	BONUS:STAT|DEX|-4		BONUS:STAT|INT|-4			MONCSKILL:Climb|Listen|Spot	CR:18		HITDICEADVANCEMENT:54,96		LEGS:2	HANDS:8	SOURCEPAGE:FF	KIT:1|Blackstone Gigant Stats
Blood Hawk			STARTFEATS:1	SIZE:S	TYPE:Magical Beast	RACETYPE:Magical Beast		MONSTERCLASS:Magical Beast:1	MOVE:Walk,10,Fly,80	BONUS:COMBAT|AC|2|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d3|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Blood Hawk			BONUS:STAT|STR|2	BONUS:STAT|DEX|6		BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4	MONCSKILL:Hide|Listen|Search|Spot	CR:1/2	KIT:1|TN	HITDICEADVANCEMENT:3		LEGS:2	HANDS:0	SOURCEPAGE:FF	KIT:1|Blood Hawk Stats
Bloodthorn			STARTFEATS:1	SIZE:L	TYPE:Plant	RACETYPE:Plant	RACESUBTYPE:Extraplanar	MONSTERCLASS:Plant (Mindless):3	MOVE:Walk,0	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Tendril,Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing,*4,1d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Bloodthorn			BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|8		BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8		CR:3	KIT:1|TN	HITDICEADVANCEMENT:6,15		LEGS:0	HANDS:0	SOURCEPAGE:FF	KIT:1|Bloodthorn Stats
Bonespear			STARTFEATS:1	SIZE:L	TYPE:Vermin	RACETYPE:Vermin	RACESUBTYPE:Extraplanar	MONSTERCLASS:Vermin:15	MOVE:Walk,40	BONUS:COMBAT|AC|15|TYPE=NaturalArmor	NATURALATTACKS:Horn,Weapon.Natural.Finesseable.Melee.Piercing,*2,2d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Bonespear		SR:23	BONUS:STAT|STR|12	BONUS:STAT|DEX|6	BONUS:STAT|CON|8		BONUS:STAT|WIS|2			CR:12	KIT:1|TN	HITDICEADVANCEMENT:15,30,45		LEGS:4	HANDS:0	SOURCEPAGE:FF	KIT:1|Bonespear Stats
# Canomorph (Haraknin)		FAVCLASS:Barbarian|Ranger	STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Evil|Extraplanar|Fire|Lawful|Shapechange	MONSTERCLASS:Outsider:4	MOVE:Walk,40	BONUS:COMBAT|AC|5|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Canomorph (Haraknin)			BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-6	MONCSKILL:Hide|Jump|Listen|Move Silently|Spot|Survival	CR:3	KIT:1|LE		LEVELADJUSTMENT:3	LEGS:2	HANDS:2	SOURCEPAGE:FF	KIT:1|Canomorph (Haraknin) Stats
# Canomorph (Shadurakul)		FAVCLASS:Fighter	STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Evil|Extraplanar|Shapechanger	MONSTERCLASS:Outsider:4	MOVE:Walk,30	BONUS:COMBAT|AC|3|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Canomorph (Shadurakul)			BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|10	BONUS:STAT|INT|-2	BONUS:STAT|WIS|4		MONCSKILL:Hide|Intimidate|Jump|Listen|Move Silently|Search|Spot|Survival	CR:5	KIT:1|NE		LEVELADJUSTMENT:4	LEGS:2	HANDS:2	SOURCEPAGE:FF	KIT:1|Canomorph (Shadurakul) Stats
# Canomorph (Vultivor)		FAVCLASS:Rogue	STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Evil|Extraplanar|Shapechanger	MONSTERCLASS:Outsider:3	MOVE:Walk,30	BONUS:COMBAT|AC|3|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Canomorph (Vultivor)			BONUS:STAT|STR|6	BONUS:STAT|DEX|12	BONUS:STAT|CON|6		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	MONCSKILL:Balance|Climb|Hide|Jump|Listen|Move Silently|Search|Spot|Survival|Tumble	CR:4	KIT:1|CE		LEVELADJUSTMENT:4	LEGS:2	HANDS:2	SOURCEPAGE:FF	KIT:1|Canomorph (Vultivor) Stats
Caryatid Column			STARTFEATS:1	SIZE:M	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct:6	MOVE:Walk,30	BONUS:COMBAT|AC|9|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Caryatid Column			BONUS:STAT|STR|10	BONUS:STAT|DEX|6		BONUS:STAT|INT|-4	BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10	MONCSKILL:Diplomacy|Sense Motive	CR:6	KIT:1|TN	HITDICEADVANCEMENT:10,21		LEGS:2	HANDS:2	SOURCEPAGE:FF	KIT:1|Caryatid Column Stats
Century Worm			STARTFEATS:1	SIZE:G	TYPE:Vermin	RACETYPE:Vermin		MONSTERCLASS:Vermin:40	MOVE:Walk,30,Burrow,20,Swim,10	BONUS:COMBAT|AC|25|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,4d6				FACE:20	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Century Worm			BONUS:STAT|STR|24	BONUS:STAT|DEX|-4	BONUS:STAT|CON|12			BONUS:STAT|CHA|-8	MONCSKILL:Swim	CR:19	KIT:1|TN	HITDICEADVANCEMENT:80,120		LEGS:0	HANDS:0	SOURCEPAGE:FF	KIT:1|Century Worm Stats
Chronotyryn			STARTFEATS:1	SIZE:L	TYPE:Magical Beast	RACETYPE:Magical Beast	RACESUBTYPE:Extraplanar	MONSTERCLASS:Chronotyryn:17	MOVE:Walk,30,Fly,70	BONUS:COMBAT|AC|22|TYPE=NaturalArmor	NATURALATTACKS:Rake,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8|Wing Buffet,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d4				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Chronotyryn	DR:15/Magic	SR:31	BONUS:STAT|STR|16	BONUS:STAT|DEX|10	BONUS:STAT|CON|10	BONUS:STAT|INT|12	BONUS:STAT|WIS|6	BONUS:STAT|CHA|16	MONCSKILL:Concentration|Knowledge (Arcana)|Knowledge (History)|Knowledge (The Planes)|Listen|Sense Motive|Spellcraft|Spot	CR:19		HITDICEADVANCEMENT:22,51		LEGS:2	HANDS:2	SOURCEPAGE:FF	KIT:1|Chronotyryn Stats
Chwidencha			STARTFEATS:1	SIZE:L	TYPE:Aberration	RACETYPE:Aberration		MONSTERCLASS:Aberration:12	MOVE:Walk,30,Burrow,30	BONUS:COMBAT|AC|9|TYPE=NaturalArmor	NATURALATTACKS:Leg Rake,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*4,1d6				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Chwidencha			BONUS:STAT|STR|12	BONUS:STAT|DEX|6	BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|-8	MONCSKILL:Climb|Hide|Listen|Move Silently|Spot	CR:9	KIT:1|TN	HITDICEADVANCEMENT:18,36		LEGS:100	HANDS:0	SOURCEPAGE:FF	KIT:1|Chwidencha Stats
Crawling Head			STARTFEATS:1	SIZE:H	TYPE:Undead	RACETYPE:Undead		MONSTERCLASS:Undead:28	MOVE:Walk,20,Climb,20	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6|Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing,*4,1d8				FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Crawling Head	DR:20/Magic and Piercing	SR:31	BONUS:STAT|STR|20	BONUS:STAT|DEX|-4		BONUS:STAT|INT|10	BONUS:STAT|WIS|8	BONUS:STAT|CHA|14	MONCSKILL:Climb|Concentration|Knowledge (Arcana)|Knowledge (Religion)|Search|Spellcraft|Spot|Survival|Use Magic Device	CR:20	KIT:1|CE	HITDICEADVANCEMENT:56,84		LEGS:0	HANDS:0	SOURCEPAGE:FF	KIT:1|Crawling Head Stats
Crypt Thing			STARTFEATS:1	SIZE:M	TYPE:Undead	RACETYPE:Undead		MONSTERCLASS:Undead:6	MOVE:Walk,30	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Crypt Thing				BONUS:STAT|DEX|6			BONUS:STAT|WIS|4	BONUS:STAT|CHA|2	MONCSKILL:Bluff|Diplomacy|Disguise|Escape Artist|Intimidate|Listen|Sense Motive|Spot|Use Rope	CR:3	KIT:1|TN	HITDICEADVANCEMENT:12,18		LEGS:2	HANDS:2	SOURCEPAGE:FF	KIT:1|Crypt Thing Stats
Dark Ones (Dark Creeper)		FAVCLASS:Rogue	STARTFEATS:1	SIZE:S	TYPE:Humanoid	RACETYPE:Humanoid		MONSTERCLASS:Humanoid:1	MOVE:Walk,30	BONUS:COMBAT|AC|1|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dark Ones (Dark Creeper)			BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|2		BONUS:STAT|WIS|4		MONCSKILL:Hide|Listen|Move Silently|Sleight of Hand|Spot|Tumble	CR:3			LEVELADJUSTMENT:4	LEGS:2	HANDS:2	SOURCEPAGE:FF	KIT:1|Dark Ones (Dark Creeper) Stats
Dark Ones (Dark Stalker)		FAVCLASS:Rogue	STARTFEATS:1	SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid		MONSTERCLASS:Humanoid:3	MOVE:Walk,30	BONUS:COMBAT|AC|2|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dark Ones (Dark Stalker)			BONUS:STAT|STR|4	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6	MONCSKILL:Hide|Listen|Move Silently|Sleight of Hand|Spot|Tumble	CR:4			LEVELADJUSTMENT:5	LEGS:2	HANDS:2	SOURCEPAGE:FF	KIT:1|Dark Ones (Dark Stalker) Stats
Darkweaver			STARTFEATS:1	SIZE:M	TYPE:Aberration	RACETYPE:Aberration		MONSTERCLASS:Aberration:9	MOVE:Walk,20,Climb,20	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Tentacle Rake,Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing,*4,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6,SPROP=Strength damage				FACE:5	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Darkweaver	DR:5/Magic	SR:16	BONUS:STAT|STR|6	BONUS:STAT|DEX|8	BONUS:STAT|CON|2	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6	MONCSKILL:Climb|Concentration|Hide|Listen|Move Silently|Search|Spot	CR:10		HITDICEADVANCEMENT:15,27		LEGS:0	HANDS:0	SOURCEPAGE:FF	KIT:1|Darkweaver Stats
Death Dog			STARTFEATS:1	SIZE:M	TYPE:Magical Beast	RACETYPE:Magical Beast		MONSTERCLASS:Magical Beast:2	MOVE:Walk,50	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*2,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Death Dog			BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4	MONCSKILL:Hide|Listen|Move Silently|Spot	CR:2		HITDICEADVANCEMENT:3,6		LEGS:4	HANDS:0	SOURCEPAGE:FF	KIT:1|Death Dog Stats
Demodand (Farastu)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Demodand|Evil|Extraplanar	MONSTERCLASS:Outsider:11	MOVE:Walk,40	BONUS:COMBAT|AC|14|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Demodand (Farastu)	DR:10/Good	SR:23	BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|6	MONCSKILL:Climb|Concentration|Diplomacy|Hide|Intimidate|Listen|Move Silently|Search|Sense Motive|Spot|Survival	CR:11		HITDICEADVANCEMENT:22,33		LEGS:2	HANDS:2	SOURCEPAGE:FF	KIT:1|Demodand (Farastu) Stats
Demodand (Kelubar)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Demodand|Evil|Extraplanar	MONSTERCLASS:Outsider:13	MOVE:Walk,30,Fly,60	BONUS:COMBAT|AC|16|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4,SPROP=Acid|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6,SPROP=Acid				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Demodand (Kelubar)	DR:15/Good	SR:25	BONUS:STAT|STR|10	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8	MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Gather Information|Hide|Intimidate|Knowledge (Local)|Knowledge (The Planes)|Listen|Move Silently|Sense Motive|Spot|Survival	CR:13		HITDICEADVANCEMENT:22,39		LEGS:2	HANDS:2	SOURCEPAGE:FF	KIT:1|Demodand (Kelubar) Stats
Demodand (Shator)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Demodand|Evil|Extraplanar	MONSTERCLASS:Demodand (Shator):15	MOVE:Walk,30,Fly,70	BONUS:COMBAT|AC|13|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Demodand (Shator)	DR:15/Good	SR:30	BONUS:STAT|STR|12	BONUS:STAT|DEX|4	BONUS:STAT|CON|8	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|10	MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Gather Information|Hide|Intimidate|Knowledge (Arcana)|Knowledge (Local)|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Spot|Survival	CR:16		HITDICEADVANCEMENT:22,30,45		LEGS:2	HANDS:2	SOURCEPAGE:FF	KIT:1|Demodand (Shator) Stats
Demon (Alkilith)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Extraplanar|Evil|Tanar'ri	MONSTERCLASS:Outsider:11	MOVE:Walk,40	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,1d8,SPROP=Acid				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Demon (Alkilith)	DR:15/Good	SR:23	BONUS:STAT|STR|6	BONUS:STAT|DEX|14	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4	MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Hide|Intimidate|Listen|Move Silently|Sense Motive|Spot|Survival|Use Rope	CR:14	KIT:1|CE	HITDICEADVANCEMENT:22,33,44,*		LEGS:0	HANDS:4	SOURCEPAGE:FF	KIT:1|Demon (Alkilith) Stats
