SOURCELONG:Fiend Folio	SOURCESHORT:FF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-04																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	DESC:					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Shadow Cloak	CATEGORY:Special Ability	TYPE:DarkOnesSubRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Three times per day, a dark one can wrap itself in a cloak of shadows that grants it concealment from its foes. In shadows or darkness, the shadow cloak gives the creature nine-tenths concealment (40%% miss chance for attackers). In bright light, the shadow cloak provides only one-half concealment (20%% miss chance). Darkvision does not negate the dark one's concealment, since the shadow cloak is formed from magical darkness. Creatures that can see in magical darkness,such as devils, do not have a miss chance when striking a dark one.	KEY:Dark Ones ~ Shadow Cloak																											SOURCEPAGE:FF	
Sneak Attack	CATEGORY:Special Ability	TYPE:DarkOnesSubRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Anytime a dark one's target is denied a Dexterity bonus, or when a target is flanked by a dark one, the dark one deals additional damage on a successful melee attack. Dark creepers deal an additional 2d6 points of damage, and dark stalkers deal an additional 3d6 points of damage.	KEY:Dark Ones ~ Sneak Attack																											SOURCEPAGE:FF	
Blindsight	CATEGORY:Special Ability	TYPE:DarkOnesSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A dark one maneuvers and fights not only by sight, but also by using hearing and smell to ascertain its surroundings. This ability enables it to discern objects and creatures within 60 feet. A dark one usually does not need to make Spot or Listen checks to notice creatures within range of its blindsight.	KEY:Dark Ones ~ Blindsight									BONUS:VAR|BlindsightRange|60|TYPE=Base																		SOURCEPAGE:FF	
Light Sensitivity	CATEGORY:Special Ability	TYPE:DarkOnesSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When exposed to sunlight, or to light equivalent to a daylight spell, a dark one takes a -2 morale penalty on all attacks, saves, checks, and damage rolls.	KEY:Dark Ones ~ Light Sensitivity																											SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:DarkOnesSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:When in shadowy areas, a dark one has a +8 racial bonus on Hide checks and a +4 racial bonus on Move Silently checks.	KEY:Dark Ones ~ Skills									BONUS:SITUATION|Hide=Shadowy illumination area|8|TYPE=Racial	BONUS:SITUATION|Move Silently=Shadowy illumination area|4|TYPE=Racial																		
																																	
# Languages	CATEGORY:Special Ability	TYPE:DevaSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Devas speak Celestial, Infernal, and Draconic.	KEY:Deva ~ Languages																		AUTO:LANG|Celestial|Infernal|Draconic									SOURCEPAGE:FF	
# Immunities	CATEGORY:Special Ability	TYPE:DevaSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Devas are immune to acid, cold, and electricity. Monadic devas also have fire immunity.	KEY:Deva ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity to Electricity									SOURCEPAGE:FF	
																																	
Ethergaunt Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Ethergaunt ~ Languages|Ethergaunt ~ Enslave|Ethergaunt ~ Stupefying Gaze|Ethergaunt ~ Immunity to Spell|Ethergaunt ~ Material Jaunt|Ethergaunt ~ Total Vision									SOURCEPAGE:FF	
Languages	CATEGORY:Special Ability	TYPE:EthergauntSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Ethergaunts communicate with each other using their own language, Khen-Zai, which cannot be learned by those who lack their unique anatomy. Most know a smattering of other languages-usually tongues plucked from the minds of enslaved envoys. Common additional languages include Common, Draconic, Dwarven, and Elven.	KEY:Ethergaunt ~ Languages				DEFINE:EthergauntLanguage|0					BONUS:VAR|EthergauntLanguage|1|TYPE=Base									AUTO:LANG|Common|Khen-Zai									SOURCEPAGE:FF	
Enslave	CATEGORY:Special Ability	TYPE:EthergauntSubRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Three times per day, an ethergaunt can attempt to enslave any one living creature within 30 feet. This ability functions similarly to a dominate monster spell (caster level 16th; Will save DC 13 for red, DC 16 for white, and DC 20 for black ethergaunts). An enslaved creature obeys the ethergaunt's telepathic commands to the letter. The subject can attempt a new Will save every day to break free. Otherwise, the ethergaunt's control is broken only by the death of either the ethergaunt or the enslaved creature, or by a remove curse or dispel magic effect, or if the ethergaunt travels more than 1 mile from the enslaved creature or travels to a different plane from the one its thrall is on. At any given time, an ethergaunt may have one slave per point of Charisma bonus (normally one slave for a red or white ethergaunt or two for a black, although exceptional individuals may be able to command more slaves).|EnslaveDC	KEY:Ethergaunt ~ Enslave				DEFINE:EnslaveDC|0					BONUS:VAR|EnslaveDC|DefaultDCCha	BONUS:VAR|EnslaveDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Enslave)								ABILITY:Ability Focus|AUTOMATIC|Enslave									SOURCEPAGE:FF	
Stupefying Gaze	CATEGORY:Special Ability	TYPE:EthergauntSubRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An ethergaunt can open and close its vertically bisected mask as a free action, revealing a horrifically alien morass of facial organs and orifices. On its turn, the creature decides if it wants its mask open or closed. Anyone within 30 feet of an ethergaunt with an open mask who meets the creature's gaze must succeed on a Will saving throw (DC 13 for red, DC 16 for white, and DC 20 for black ethergaunts) or immediately take 1d4 points of Intelligence, Wisdom, and Charisma damage. A creature that successfully saves against this effect cannot be affected by the same ethergaunt's stupefying gaze for one day. Ethergaunts are immune to their own gaze attacks and to those of others of their kind.|StupefyingGazeDC	KEY:Ethergaunt ~ Stupefying Gaze				DEFINE:StupefyingGazeDC|0					BONUS:VAR|StupefyingGazeDC|DefaultDCCha	BONUS:VAR|StupefyingGazeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Stupefying Gaze)								ABILITY:Ability Focus|AUTOMATIC|Stupefying Gaze									SOURCEPAGE:FF	
Immunity to Spell	CATEGORY:Special Ability	TYPE:EthergauntSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Ethergaunts may choose to ignore the effects of arcane spells, just as if the spellcaster had failed to overcome spell resistance. They have no power over divine spells, having long ago rationalized divinity out of their racial philosophy. Though powerful, this ability is somewhat limited. It applies only to arcane spells of 2nd level or lower for red ethergaunts, 4th level or lower for white ethergaunts, and 6th level or lower for black ethergaunts.	KEY:Ethergaunt ~ Immunity to Spell																											SOURCEPAGE:FF	
Material Jaunt	CATEGORY:Special Ability	TYPE:EthergauntSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Ethergaunts dwell on the Ethereal Plane. While in their natural state of etherealness, they can perceive but not affect creatures and objects on the Material Plane. However, an ethergaunt can transport itself from the Ethereal Plane to the Material Plane as a standard action. It can remain on the Material Plane for up to 1 round per Hit Die it possesses. At the end of this time, or when the ethergaunt chooses, it becomes ethereal again. An ethergaunt must remain on the Ethereal Plane for at least 1 hour after a material jaunt before it can use the ability again. Ethergaunts who wish to remain on the Material Plane for a longer time must use plane shift or similar magic. Most white and black ethergaunts know the plane shift spell and use it for this purpose.	KEY:Ethergaunt ~ Material Jaunt																											SOURCEPAGE:FF	
Total Vision	CATEGORY:Special Ability	TYPE:EthergauntSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An ethergaunt's superdeveloped brain and countless facial sensory organs allow it to discern all objects within 40 feet, even through the mask that hides its face. An ethergaunt usually does not need to make Spot or Listen checks to notice creatures within range of its total vision. A silence spell has no bearing upon an ethergaunt's total vision.	KEY:Ethergaunt ~ Total Vision																											SOURCEPAGE:FF	
																																	
Fensir Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Fensir ~ Spell-Like Abilities|Fensir ~ Sunlight Vulnerability									SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:FensirSubRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Fensir ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=9|Transmute Mud to Rock|Transmute Rock to Mud									SOURCEPAGE:FF	
Sunlight Vulnerability	CATEGORY:Special Ability	TYPE:FensirSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:If a fensir is caught out in sunlight, it turns into stone as if by a flesh to stone spell without a saving throw. If in the area of a sunbeam or sunburst spell, a fensir must make a Fortitude save or be turned to stone, in addition to the normal effects of the spell. Fensirs can sense automatically when the sun is about to set or rise up to 1 hour ahead of the event.	KEY:Fensir ~ Sunlight Vulnerability																											SOURCEPAGE:FF	
																																	
Flame Snake Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Flame Snake ~ Languages|Flame Snake ~ Heat|Flame Snake ~ Scent|Flame Snake ~ Skills									SOURCEPAGE:FF	
Languages	CATEGORY:Special Ability	TYPE:FlameSnakeSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:All flame snakes understand Ignan, but only the greater flame snake is capable of speech.	KEY:Flame Snake ~ Languages																		AUTO:LANG|Ignan									SOURCEPAGE:FF	
Heat	CATEGORY:Special Ability	TYPE:FlameSnakeSubRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A flame snake generates so much heat that its mere touch deals additional fire damage. This damage varies by subrace.	KEY:Flame Snake ~ Heat																											SOURCEPAGE:FF	
Scent	CATEGORY:Special Ability	TYPE:FlameSnakeSubRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Flame Snake ~ Scent																		ABILITY:Special Ability|AUTOMATIC|Scent									SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:FlameSnakeSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Flame snakes have a +8 racial bonus on Climb checks and can always choose to take 10 on Climb checks, even if rushed or threatened.	KEY:Flame Snake ~ Skills									BONUS:SKILL|Climb|8|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Devil (Imp) Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Imp ~ Alternate Form|Imp ~ Damage Reduction|Imp ~ Fast Healing|Imp ~ See in Darkness									SOURCEPAGE:FF	
Alternate Form	CATEGORY:Special Ability	TYPE:DevilImpSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An imp can assume another form at will as a standard action. Each imp can assume one or two forms from the following list: Small or Medium monstrous spider, raven, rat, and boar.	KEY:Imp ~ Alternate Form																											SOURCEPAGE:FF	
Damage Reduction	CATEGORY:Special Ability	TYPE:DevilImpSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES		KEY:Imp ~ Damage Reduction																		DR:5/Silver and Good									SOURCEPAGE:FF	
Fast Healing	CATEGORY:Special Ability	TYPE:DevilImpSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES		KEY:Imp ~ Fast Healing									BONUS:VAR|FastHealing|2|TYPE=Base																		SOURCEPAGE:FF	
See in Darkness	CATEGORY:Special Ability	TYPE:DevilImpSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES		KEY:Imp ~ See in Darkness									BONUS:VAR|DarkvisionRange|60|TYPE=Base																		SOURCEPAGE:FF	
																																	
Nerra Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Nerra ~ Languages|Nerra ~ Mirror Jump									SOURCEPAGE:FF	
Languages	CATEGORY:Special Ability	TYPE:NerraSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Nerras speak Common plus their own language. Their language is not particularly pleasant since it sounds like glass being scored by a rock.	KEY:Nerra ~ Languages																		AUTO:LANG|Common|Nerra									SOURCEPAGE:FF	
Mirror Jump	CATEGORY:Special Ability	TYPE:NerraSubRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Nerras can move through mirrored and reflective surfaces at will. This effect is similar to shadow walk, but the nerra travels along the Plane of Mirrors. As a standard action, the nerra must touch a mirror or other highly reflective surface. The nerra then exits from another mirror that is no farther than 1 mile away. If a nerra touches a regular mirror, the mirror jump happens automatically. A nerra can also touch a highly reflective surface, such as a polished metal shield or armor. This surface must be clear glass, a still pool of water, or shiny metal. There is a 30%% chance that the surface is reflective enough for the nerra to make the mirror jump. However, anerra can only enter a nonmirrored surface-it can return only through a normal mirror. If another mirror is not within the range of the mirror jump, the nerra must wander the Plane of Mirrors and exit through another random mirror portal.	KEY:Nerra ~ Mirror Jump																											SOURCEPAGE:FF	
Reflective Spell Resistance	CATEGORY:Special Ability	TYPE:NerraSubRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A nerra has a special type of spell resistance that causes any targeted spell it successfully resists to bounce off and reflect back at the caster. The caster becomes either the spell's target or the point of origin for the spell's effect, as appropriate. In addition, nerras are immune to gaze attacks, and such an effect is reflected back to its origin.	KEY:Nerra ~ Reflective Spell Resistance																		ABILITY:Special Ability|AUTOMATIC|Immunity to Gaze Attacks									SOURCEPAGE:FF	
Shard Weapon Specialty	CATEGORY:Special Ability	TYPE:NerraSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:All nerra receive a bonus Exotic Weapon Proficiency feat with at least one shard weapon. Many also gain a bonus Weapon Focus feat for one or more types of shard weapon.	KEY:Nerra ~ Shard Weapon Specialty																											SOURCEPAGE:FF	
Sonic Vulnerability	CATEGORY:Special Ability	TYPE:NerraSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:All nerras take half again as much (+50%%) damage as normal from an attack involving sonic energy, regardless of whether a saving throw is allowed, or if the save is a success or a failure.	KEY:Nerra ~ Sonic vulnerability																		ABILITY:Special Ability|AUTOMATIC|Vulnerability to Sonic										
																																	
Rilmani Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility												BONUS:VAR|AcidResistanceBonus,SonicResistanceBonus|20|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Rilmani ~ Languages|Immunity to Electricity|Immunity to Poison|Resistance to Acid|Resistance to Sonic									SOURCEPAGE:FF	
Languages	CATEGORY:Special Ability	TYPE:RilmaniSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Rilmani speak their own tongue, Common, and Undercommon.	KEY:Rilmani ~ Languages																		AUTO:LANG|Rilmani|Common|Undercommon									SOURCEPAGE:FF	
Change Shape	CATEGORY:Special Ability	TYPE:RilmaniSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC: A rilmani can assume the form of any Small or Medium Humanoid.	KEY:Rilmani ~ Change Shape																											SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:RilmaniSubRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:all rilmani have spell-like abilities unique to their kind.	KEY:Rilmani ~ Spell-Like Abilities				DEFINE:RilmaniCasterLVL|0														SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=RilmaniCasterLVL|Comprehend Languages|Detect Chaos|Detect Evil|Detect Good|Detect Law|Detect Magic|Detect Thoughts|Feather Fall|Sanctuary|Tongues									SOURCEPAGE:FF	
Summon Rilmani	CATEGORY:Special Ability	TYPE:RilmaniSubRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Rilmani can summon other rilmani as though casting a summon monster spell, but they have varying degrees of success. Roll d%% and compare the result to the die range given in the rilmani's specific description (if the summoning is not automatic): On a failure, no rilmani answer the summons. Summoned creatures automatically return whence they came after 1 hour. A summoned rilmani cannot use its own summon ability for 1 hour.	KEY:Rilmani ~ Summon Rilmani																											SOURCEPAGE:FF	
																																	
Sarkrith Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Sarkrith ~ Mask Scent|Scent									SOURCEPAGE:FF	
Mask Scent	CATEGORY:Special Ability	TYPE:SarkrithSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Once per day, a sarkrith can mask its scent, which prevents it from being detected with the scent ability. This ability lasts for 1 hour.	KEY:Sarkrith ~ Mask Scent																											SOURCEPAGE:FF	
																																	
Varrangoin Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Varrangoin ~ Light Sensitivity									SOURCEPAGE:FF	
Light Sensitivity	CATEGORY:Special Ability	TYPE:VarrangoinSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Exposure to bright light (such as sunlight or a daylight spell) blinds varrangoins for 1 round. Even after recovering from being blinded, they take a -1 circumstance penalty on all attack rolls, saves, and skill checks while operating in bright light.	KEY:Varrangoin ~ Light Sensitivity																											SOURCEPAGE:FF	
Resistances	CATEGORY:Special Ability	TYPE:VarrangoinSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Varrangoins have acid, cold, electricity, and fire resistance 10.	KEY:Varrangoin ~ Resistances									BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus,ElectricityResistanceBonus,FireResistanceBonus|10|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance to Acid|Resistance to Cold|Resistance to Electricity|Resistance to Fire									SOURCEPAGE:FF	
																																	
CATEGORY=Special Ability|Yuan-Ti Subtraits.MOD																							ABILITY:Special Ability|AUTOMATIC|Yuan-Ti ~ Alternate Form (Huge)|PREVAREQ:CommonAbility,1	ABILITY:Special Ability|AUTOMATIC|Yuan-Ti ~ Detect Poison (Huge)|PREVAREQ:CommonAbility,1									
Alternate Form	CATEGORY:Special Ability	TYPE:YuanTiSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:An anathema can assume the form of a Tiny to Huge viper (see the Monster Manual). In viper form, the anathema's poison deals 1d6 points of Constitution damage instead of 1d4. In addition, an anathema can assume the form of a viper swarm (described earlier in this book).	KEY:Yuan-Ti ~ Alternate Form (Huge)																											SOURCEPAGE:MM1	
Detect Poison	CATEGORY:Special Ability	TYPE:YuanTiSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:As the spell cast by a 20th-level sorcerer.	KEY:Yuan-Ti ~ Detect Poison (Huge)																											SOURCEPAGE:MM1	
																																	
###Block: Tracker																																	
																																	
###Block: Races																																	
Race Traits ~ Abrian	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AbrianRaceTrait|Resistance to Sonic	AUTO:LANG|Abyssal										BONUS:VAR|SonicResistanceBonus|10|TYPE=Resistance																			
Augmented Critical	CATEGORY:Special Ability	TYPE:AbrianRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:An abrian's beak threatens a critical hit on a natural attack roll of 19-20. On a successful critical hit with a beak attack, it deals triple damage.	KEY:Abriar ~ Augmented Critical									BONUS:WEAPONPROF=Beak|CRITRANGEADD|1	BONUS:WEAPONPROF=Beak|CRITMULTADD|1																	SOURCEPAGE:FF	
Shriek	CATEGORY:Special Ability	TYPE:AbrianRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The shriek of a lone abrian is supernaturally loud and distressing. An abrian can shriek as a standard action. Anyone within 20 feet of a shrieking abrian must make a Fortitude save (DC %1) or be dazed for 1 round. If at least four abrians are shrieking within 20 feet of a target, the target is also deafened for 1d6 minutes if it fails the save. If eight or more abrians are shrieking within 20 feet of a target, the target takes 1d10 points of sonic damage as well if it fails the save. An abrian is immune to its own shriek, as well as the shrieks of other abrians.|ShriekDC	KEY:Abriar ~ Shriek				DEFINE:ShriekDC|0					BONUS:VAR|ShriekDC|DefaultDCCon	BONUS:VAR|ShriekDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Shriek)								ABILITY:Ability Focus|AUTOMATIC|Shriek									SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:AbrianRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Abrians have a +4 racial bonus on Spot checks.	KEY:Abriar ~ Skills									BONUS:SKILL|Spot|4|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Race Traits ~ Ghoul (Abyssal)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Ghoul Subtraits|TYPE=GhoulAbyssalRaceTrait	AUTO:LANG|Abyssal										BONUS:VAR|TurnResistanceBonus|2																			
Disease	CATEGORY:Special Ability	TYPE:GhoulAbyssalRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Any creature hit by an abyssal ghoul's front claw or rear claws attack must succeed on a Fortitude save (DC %1) or contract demon fever. After an incubation period of 1 day, the disease deals 1d6 points of Constitution damage. Each day after contracting demon fever, the creature must succeed on another Fortitude save (DC %1) or take the same damage. Each time it is damaged by the disease, the creature must immediately succeed on another Fortitude save (DC %1) or 1 point of the Constitution damage taken becomes Constitution drain instead. After making a successful Fortitude save against the Constitution damage on each of two consecutive days, the creature recovers.|DiseaseDC	KEY:Ghoul (Abyssal) ~ Disease				DEFINE:DiseaseDC|0					BONUS:VAR|DiseaseDC|DefaultDCCha	BONUS:VAR|DiseaseDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Disease)								ABILITY:Ability Focus|AUTOMATIC|Disease									SOURCEPAGE:FF	
