SOURCELONG:Fiend Folio	SOURCESHORT:FF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-04
																																				
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page				
Huecuva Blight	CATEGORY:Special Ability	TYPE:HuecuvaRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Victims hit by a huecuva's slam attack must succeed on a Fortitude save (DC %1) or fall prey to the disease called huecuva blight. The incubation period is 1 day; at the end of that time, the disease deals 1d2 points of Strength and Constitution damage. An infected victim must make a saving throw each day thereafter or take another 1d2 points of Strength and Constitution damage. The effects of huecuva blight are cumulative each day until the victim reaches 0 Constitution (and dies), makes two consecutive successful saves, or receives magical treatment (such as a remove disease spell).|HuecuvaBlightDC	KEY:Huecuva ~ Huecuva Blight				DEFINE:HuecuvaBlightDC|0					BONUS:VAR|HuecuvaBlightDC|DefaultDCCha	BONUS:VAR|HuecuvaBlightDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Huecuva Blight)								ABILITY:Ability Focus|AUTOMATIC|Huecuva Blight									SOURCEPAGE:FF				
Divine Conversion	CATEGORY:Special Ability	TYPE:HuecuvaRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A cleric who becomes a huecuva loses access to the domains he had in life and replaces them with the Death and Evil domains. A cleric who previously was able to turn undead loses that ability and gains the ability to rebuke or command undead, like other evil clerics. A paladin who becomes a huecuva gains special abilities much like a fallen paladin who becomes a blackguard. See the information on fallen paladin blackguard abilities in the DUNGEONMASTER's Guide to determine the huecuva's special abilities.	KEY:Huecuva ~ Divine Conversion																											SOURCEPAGE:FF				
																																				
#Swordwraith Template																																				
Strength Damage	CATEGORY:Special Ability	TYPE:SwordwraithRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A creature struck by a swordwraith's melee weapon takes 1 point of Strength damage.	KEY:Swordwraith ~ Strength Damage																											SOURCEPAGE:FF				
																																				
#Ti-Khana Template																																				
Poison	CATEGORY:Special Ability	TYPE:TiKhanaRaceTrait.SpecialAttack.Extraordinary.Poison	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d6 CON, secondary damage 1d6 CON. The save DC is Constitution-based.|PoisonDC	KEY:Ti-Khana ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:FF				
Psionics	CATEGORY:Special Ability	TYPE:TiKhanaRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Ti-Khana ~ Psionics																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=6|Detect Poison									SOURCEPAGE:FF				
Alternate Form	CATEGORY:Special Ability	TYPE:TiKhanaRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A ti-khana creature can assume the form of a Tiny to Large viper (see the Monster Manual). This ability is similar to a shapechange spell cast by a 19th-level sorcerer but allows only viper forms. The ti-khana creature uses its own or the viper's poison, whichever it prefers.	KEY:Ti-Khana ~ Alternate Form																											SOURCEPAGE:FF				
Aversion	CATEGORY:Special Ability	TYPE:TiKhanaRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A ti-khanacreature creates a compulsion effect targeting one creature within 30 feet. The subject must succeed on a Will save (DC %1) or gain an aversion to snakes for 10 minutes. Affected subjects must stay at least 20 feet from any snake, yuan-ti, or tikhana, alive or dead; if already within 20 feet, they move away. A subject can overcome the compulsion by making another Will save (DC %1), but still suffers from deep anxiety. This anxiety causes a -4 penalty to Dexterity until the effect wears off or the subject is no longer within 20 feet of a snake, yuan-ti, or ti-khana. This ability is otherwise similar to antipathy as cast by a 16th-level sorcerer.|AversionDC	KEY:Ti-Khana ~ Aversion				DEFINE:AversionDC|0					BONUS:VAR|AversionDC|DefaultDCCon	BONUS:VAR|AversionDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Aversion)								ABILITY:Ability Focus|AUTOMATIC|Aversion									SOURCEPAGE:FF				
																																				
#Wendigo Template																																				
Disease	CATEGORY:Special Ability	TYPE:WendigoRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Any creature hit by a wendigo's bite attack must succeed on a Fortitude save (DC 10 + 1/2 wendigo's HD + wendigo's Con modifier, DC %1) or become infected with the wendigo's hunger. The incubation period is 1d3 days, and the disease deals 1d3 points of Wisdom damage. Additionally, each day that a victim takes Wisdom damage from the disease, he must succeed on a Will save (DC 10 + 1/2 wendigo's HD + wendigo's Cha modifier) or become overwhelmed with an insatiable hunger for the flesh of its own race. The victim stalks and tries to kill the closest member of its own race; if it does so, it feeds on the victim's body and then returns home with no memory of the tragic event. If a victim of this hunger is reduced to a Wisdom score of 0, he transforms into a wendigo immediately and races off into the night sky at such speed that his feet burn away into bloody, charred stumps.|DiseaseDC	KEY:Wendigo ~ Disease				DEFINE:DiseaseDC|0					BONUS:VAR|DiseaseDC|DefaultDCCon	BONUS:VAR|DiseaseDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Disease)								ABILITY:Ability Focus|AUTOMATIC|Disease									SOURCEPAGE:FF				
Maddening Whispers	CATEGORY:Special Ability	TYPE:WendigoRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A wendigo may use its maddening whispers on any one target within 120 feet once per day. The wendigo may use this ability while wind walking. Only the chosen victim can hear the insane whispers and invitations of the wendigo. The victim must make a successful Will save (DC 10 + 1/2 wendigo's HD + wendigo's Cha modifier, DC %1) or take 1d3 points of Wisdom damage. Typically, a wendigo stalks a chosen victim for days, wearing down the victim's Wisdom score until it attacks and attempts to bring down its disease upon the poor soul. A wendigo will stop stalking a target that resists the maddening whispers for more than three days and fly off to seek easier prey.|MaddeningWhispersDC	KEY:Wendigo ~ Maddening Whispers				DEFINE:MaddeningWhispersDC|0					BONUS:VAR|MaddeningWhispersDC|DefaultDCCha	BONUS:VAR|MaddeningWhispersDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Maddening Whispers)								ABILITY:Ability Focus|AUTOMATIC|Maddening Whispers									SOURCEPAGE:FF				
Ravenous Bite	CATEGORY:Special Ability	TYPE:WendigoRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A wendigo threatens a critical hit on a natural roll of 18-20 when attacking with its bite, and deals triple damage on a successful critical hit. A wound resulting from a critical hit bleeds for an additional 3 points of damage per round thereafter. Multiple wounds from such attacks result in cumulative bleeding loss (two wounds for 6 points of damage per round, and so on). The bleeding can be stopped only by a successful Heal check (DC 10) or the application of any cure spell or other healing spell (heal, healing circle, or the like).	KEY:Wendigo ~ Ravenous Bite									BONUS:WEAPONPROF=Bite|CRITRANGEADD|2	BONUS:WEAPONPROF=Bite|CRITMULTADD|1																	SOURCEPAGE:FF				
Corner of the Eye	CATEGORY:Special Ability	TYPE:WendigoRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A wendigo that stalks a victim while wind walking always seems to lurk just at the corner of its chosen victim's field of vision. This victim takes a -2 penalty on all Wisdom-based skill checks as long as the wendigo stalks him.	KEY:Wendigo ~ Corner of the Eye																											SOURCEPAGE:FF				
Regeneration	CATEGORY:Special Ability	TYPE:WendigoRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Fire deals normal damage to a wendigo.	KEY:Wendigo ~ Regeneration									BONUS:VAR|RegenerationRate|5|TYPE=Racial																		SOURCEPAGE:FF				
Wind Walk	CATEGORY:Special Ability	TYPE:WendigoRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A wendigo can wind walk at will, transforming from physical form to incorporeal form or back again as a move action.	KEY:Wendigo ~ Wind Walk																											SOURCEPAGE:FF				
Skills	CATEGORY:Special Ability	TYPE:WendigoRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Same as the base creature, except that the wendigo gains a +8 racial bonus on Hide, Move Silently, and Survival checks.	KEY:Wendigo ~ Skills									BONUS:SKILL|Hide,Move Silently,Survival|8|TYPE=Racial																		SOURCEPAGE:FF				
																																				
#Yellow Musk Zombie Template																																				
Creeper Loyalty	CATEGORY:Special Ability	TYPE:YellowMuskZombieRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Yellow musk zombies always act to protect and nurture the yellow musk creeper that created them. They can range no farther than 100 feet from their progenitor for the first two months of their existence. Thereafter, they wander freely for 1d4 days before dropping dead. Unless cured (see below), a yellow musk zombie automatically dies two days after the death of its patron creeper.	KEY:Yellow Musk Zombie ~ Creeper Loyalty																											SOURCEPAGE:FF				
Deadened Mind	CATEGORY:Special Ability	TYPE:YellowMuskZombieRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A yellow musk zombie recalls nothing of its previous life, and it exists only to serve its parent plant. It cannot make use of class abilities, skills, or feats it previously knew. It also cannot use magic devices, although it can still wield weapons and use armor.	KEY:Yellow Musk Zombie ~ Deadened Mind																											SOURCEPAGE:FF				
Seeded	CATEGORY:Special Ability	TYPE:YellowMuskZombieRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:If a yellow musk zombie dies, the growing seed inside its head takes root and grows into a yellow musk creeper within 1 hour.	KEY:Yellow Musk Zombie ~ Seeded																											SOURCEPAGE:FF				
