SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-10																																																															
#																																																																		
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page																								
Empowered Ability Damage	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CHA=11				PRETEXT:Supernatural ability to drain or damage an ability score.	PREMULT:2,[PRERACE:1,RACETYPE=Undead],[PRERACE:1,RACESUBTYPE=Incorporeal]				DESC:All variable, numeric effects of an empowered ability damage or ability drain special attack are increased by 50%%. For example, an allip with this feat drains 1-1/2 times the normal amount of Wisdom (roll 1d4 and multiply the result by 1-1/2).																	SOURCEPAGE:LM																								
Empower Turning	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE=TurnUndead,TYPE=RebukeUndead																		DESC:You can turn or rebuke more undead than usual. After adding your cleric level and Charisma modifier to your turning damage roll, multiply the result by 1-1/2.																	SOURCEPAGE:LM																								
Endure Sunlight	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES																		PRETEXT:Sunlight powerlessness or sunlight-related weakness.			DEFINE:EndureSunlightDuration|0	DESC:You can resist all dangerous effects of sunlight for a number of rounds equal to 1 + your Charisma modifier (minimum 1 round). After this time, if you are still exposed to sunlight, you take the normal effects as appropriate for your kind. Duration %1 round.|EndureSunlightDuration														BONUS:VAR|EndureSunlightDuration|max(1,1+CHA)			SOURCEPAGE:LM																								
Enduring Life	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:Whenever you would gain a negative level, you can ignore the penalties and other ill effects associated with that negative level for a number of minutes equal to your Constitution bonus (if any). You also gain a +4 bonus on Fortitude saves to remove negative levels.														BONUS:VAR|ResistanceToEnergyDrain|4			SOURCEPAGE:LM	ABILITY:Special Ability|AUTOMATIC|Resistance To Energy Drain																							
Energize Spell	CATEGORY:FEAT	TYPE:Metamagic	VISIBLE:YES				!PREABILITY:1,CATEGORY=Special Ability,TYPE=RebukeUndead														PREALIGN:LG,LN,NG,TN,CG,CN				DESC:Your spells are infused with positive energy. An energized spell deals an extra 50%% damage to undead creatures, but deals 50%% less damage to nonundead creatures and to objects. An energized spell uses up a spell slot one level higher than the spell's actual level.							ADDSPELLLEVEL:1										SOURCEPAGE:LM																								
Enervate Spell	CATEGORY:FEAT	TYPE:Metamagic	VISIBLE:YES				!PREABILITY:1,CATEGORY=Special Ability,TYPE=TurnUndead														PREALIGN:LN,TN,CN,LE,NE,CE				DESC:Your spells are infused with negative energy. An enervated spell deals an extra 50%% damage to living creatures, but deals 50%% less damage to constructs, undead, and objects. An enervated spell uses up a spell slot two levels higher than the spell's actual level.							ADDSPELLLEVEL:2										SOURCEPAGE:LM																								
Eviscerator	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES		PRETOTALAB:1		PREABILITY:3,CATEGORY=FEAT,Death Master,Daunting Presence,Improved Critical									PRESTAT:1,CHA=13					PRERACE:1,RACETYPE=Undead				DESC:Whenever you score a critical hit with a melee attack against a living foe, creatures within 30 feet that are allied to that foe are shaken for 1 minute. This is a mind-affecting, fear effect.																	SOURCEPAGE:LM																								
Fell Animate	CATEGORY:FEAT	TYPE:Metamagic	VISIBLE:YES																						DESC:You can alter a spell that deals damage to foes. Any living creature that could normally be raised as a zombie and that does not possess more than double your Hit Dice, when slain outright by a fell animated spell, rises as a zombie under your control at the beginning of your next action. Even if you kill several creatures with a single fell animated spell, you can't create more Hit Dice of undead than twice your caster level. The standard rules for controlling undead (see animate dead, page 198 of the Player's Handbook) apply to newly created undead gained through this metamagic feat. A fell animated spell uses up a spell slot three levels higher than the spell's actual level.							ADDSPELLLEVEL:3										SOURCEPAGE:LM																								
Fell Drain	CATEGORY:FEAT	TYPE:Metamagic	VISIBLE:YES																						DESC:You can alter a spell that deals damage to foes so that any living creature that is dealt damage also gains a negative level. If the subject has at least as many negative levels as Hit Dice, it dies. Assuming the subject survives, the negative level disappears (without requiring a Fortitude save) after a number of hours equal to your caster level (maximum 15). A fell draining spell uses up a spell slot two levels higher than the spell's actual level.							ADDSPELLLEVEL:2										SOURCEPAGE:LM																								
Fell Frighten	CATEGORY:FEAT	TYPE:Metamagic	VISIBLE:YES																						DESC:You can alter a spell that deals damage to foes so that any creature subject to fear effects and mind-affecting spells and abilities that is dealt damage also becomes shaken for 1 minute. A fell frightening spell uses up a spell slot two levels higher than the spell's actual level.							ADDSPELLLEVEL:2										SOURCEPAGE:LM																								
Fell Weaken	CATEGORY:FEAT	TYPE:Metamagic	VISIBLE:YES																						DESC:You can alter a spell that deals damage to foes so that any living creature that is dealt damage also takes a -4 penalty to Strength for 1 minute. Strength penalties from multiple spells enhanced by the Fell Weakening feat do not stack. A fell weakening spell uses up a spell slot one level higher than the spell's actual level.							ADDSPELLLEVEL:1										SOURCEPAGE:LM																								
Ghost Scarred	CATEGORY:FEAT	TYPE:General	VISIBLE:YES										PRESKILL:1,Knowledge (Religion)=8												DESC:You gain a +2 insight bonus on attack rolls and weapon damage rolls against incorporeal undead. You also gain a +2 bonus on all saving throws made to resist the spells or abilities of incorporeal undead.																	SOURCEPAGE:LM																								
Ghostly Grasp	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CHA=15					PRERACE:1,RACESUBTYPE=Incorporeal				DESC:You can wear, wield, and otherwise use corporeal items as though you were not incorporeal.																	SOURCEPAGE:LM																								
Graft Flesh	CATEGORY:FEAT	TYPE:General	VISIBLE:YES										PRESKILL:1,Heal=10												DESC:Choose a type of graft: aboleth, beholder, fiendish, illithid, undead, or yuan-ti. You must be an aboleth to choose aboleth grafts. You must be a fi end to choose fi endish grafts. You must be an illithid to choose illithid grafts. You must be a yuan-ti to choose yuan-ti grafts. There are no additional requirements for choosing beholder or undead grafts. You can create grafts of your chosen type and apply them to other living creatures or to yourself. Creating a graft takes 24 hours for each 1,000 gp in its price. To create a graft, you must spend 1/25 of the graft's price in XP and use up raw materials costing half of this price. (See Chapter 5 of this book for prerequisites and other information on grafts.)	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:ABILITYPOOL|Graft Flesh|1			SOURCEPAGE:LM																								
Hardened Flesh	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Corpsecrafter																	DEFINE:HardenedFlesh|0	DESC:Every undead you raise or create with any necromancy spell gains a +2 natural armor bonus to Armor Class.														BONUS:VAR|HardenedFlesh|1			SOURCEPAGE:LM																								
Heigthen Turning	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Extra Turning									PRESTAT:1,CHA=13									DESC:When you turn or rebuke undead, you may choose a number no higher than your cleric level. Add that number to your turning check, while subtracting it from your turning damage roll. If you're not a cleric, you may choose a number no higher than your effective cleric level (for instance, a paladin could choose a number up to two less than his paladin level). If a prestige class increases your effective turning level, use your effective turning level.																	SOURCEPAGE:LM																								
Improved Energy Drain	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES																		PRETEXT:Must have Energy Drain supernatural ability.				DESC:Whenever you bestow a negative level upon a creature, you gain a +1 bonus on skill checks, ability checks, attack rolls, and saving throws for 1 hour.																	SOURCEPAGE:LM																								
Improved Paralysis	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Ability Focus (Paralysis)													PRERACE:1,RACETYPE=Undead	PRETEXT:Must have Paralysis special ability				DESC:When your natural attacks threaten to paralyze your foe, add a +4 bonus to the save DC.														BONUS:VAR|ParalysisDC|4			SOURCEPAGE:LM																								
Improved Toughness	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PRECHECKBASE:1,Fortitude=2				DESC:You gain a number of hit points equal to your current Hit Dice. Each time you gain a Hit Die (such as by gaining a level), you gain 1 additional hit point. If you lose a Hit Die (such as by losing a level), you lose 1 hit point permanently.											BONUS:HP|CURRENTMAX|TL						SOURCEPAGE:LM																								
Imptoved turn Resistance	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES																		PRERACE:1,RACETYPE=Undead				DESC:You are less easily affected by clerics or paladins than you normally would be (see Turn or Rebuke Undead, page 159 of the Player's Handbook). When resolving a turn, rebuke command, or bolster attempt, add +4 to your character level (monster Hit Dice plus class levels) to determine your Hit Dice for turn, rebuke, command, and bolster attempts. For example, a 4 HD wight with this feat is treated as an 8 HD undead for the purpose of turn, rebuke, command, and bolster attempts, even though it is a 4 HD creature for any other purpose. A vampire that already has +4 turn resistance adds an additional +4 with this feat, for a total of +8.														BONUS:VAR|TurnResistBonus|4			SOURCEPAGE:LM																								
Lasting Life	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Endurance,Enduring Life																		DESC:Once per round as a standard action, you can attempt to remove a negative level from yourself by attempting a Will save (DC 10 + 1/2 attacker's HD + attacker's Cha modifier). If the saving throw succeeds, the negative level goes away. You make a separate saving throw for each negative level you have gained. If the save fails, you retain the negative level, but you can try again next round to remove it.																	SOURCEPAGE:LM																								
Life Drain	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CHA=13					PRETEXT:Must have Energy Drain supernatural ability.				DESC:Whenever you bestow a negative level upon a creature, add your Charisma modifi er to the hit points lost by the creature due to that negative level. You then gain temporary hit points equal to the amount lost by the creature due to the negative level. These temporary hit points last for up to 1 hour. For example, a creature touched by a spectre (Cha 15) with this feat loses an additional 2 hit points due to each negative level, and the spectre gains an additional 2 temporary hit points from each negative level it bestows.																	SOURCEPAGE:LM																								
Lifebond	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CHA=11					PRERACE:1,RACETYPE=Undead				DESC:Whenever the chosen creature is within 60 feet, you gain a +4 bonus to your turn resistance and a +2 bonus on all saving throws. If the chosen creature dies, you lose these bonuses and take a -2 penalty on all saves for 24 hours. If you replace the chosen creature with another living creature, the bond can be transferred at your option. This feat can be selected multiple times. Each time you select this feat, you apply its effects to a different living ally of yours. The effects of multiple lifebonded allies stack.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:LM																								
Lifesense	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CHA=13					PRETEXT:Con - (no Constitution score).				DESC:In addition to any normal light that might be present, your surroundings are illuminated by roving points of brightness created by living creatures. To your eyes, a Medium or smaller creature gives off life force suffi cient to provide bright illumination in a 60-foot radius, revealing itself and all features and objects in range to your life-adapted sight. This life-light behaves like regular light-you can't see into solid objects, or past solid walls. A Large creature gives off life-light in a 120-foot radius, and the radius doubles again for each additional size category larger than Medium, up to a maximum radius of 960 feet for a Colossal creature.														BONUS:VAR|HasLiffesenseVision|1|TYPE=Base			SOURCEPAGE:LM																								
Mother Cyst	CATEGORY:FEAT	TYPE:General	VISIBLE:YES									PRECLASS:1,SPELLCASTER=1	PRESKILL:1,Knowledge (Religion)=2												DESC:You grow an internal cyst of undead fl esh called a mother cyst. The cyst may be noticeable as a discolored swelling on your skin, if desired. The mother cyst is slightly painful, but otherwise isn't harmful. The mother cyst grants you access to a selection of cyst-related spells listed below (and described in Chapter 4 of this book). You cast these spells like any other spell you can cast, once you host a mother cyst (if you are a caster who prepares spells, you can prepare all necrotic cyst spells without referring to a spellbook, as if you had the Spell Mastery feat for each such spell).														BONUS:ABILITYPOOL|Necrotic Cyst Spellcasting Type|1			SOURCEPAGE:LM																								
Necromantic Might	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Necromantic Presence																		DESC:Whenever undead you control are within 60 feet of you, they are physically inspired by your necromantic aura, and gain a +2 enhancement bonus on their attack rolls and saving throws.																	SOURCEPAGE:LM																								
Necromantic Presence	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:Whenever undead you control are within 60 feet of you, they gain a +4 bonus to their turn resistance.																	SOURCEPAGE:LM																								
Necrotic Reserve	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CHA=13					PRETEXT:supernatural ability to drain or damage an ability score or drain energy.				DESC:Each day that you slake your hunger by draining or damaging a living creature's ability score, or draining a living creature's life force, you gain a necrotic reserve. On days when you have created a reserve, you are weakened but not destroyed when you are dealt enough damage to reduce your hit points to 0 or lower. A weakened undead acting on the strength of its necrotic reserve may take a single move action or standard action each round (but not both, nor can it take full-round actions). It moves at half speed. Taking move actions doesn't risk further injury, but performing any standard action (or any other action the DM deems strenuous, including some free actions such as casting a quickened spell) immediately expends the necrotic reserve. Unless the action increased the weakened undead's hit points, it is destroyed. A weakened undead acting on the strength of its necrotic reserve is also destroyed if it is dealt additional damage after the attack that fi rst weakened it. An undead may only rely on a necrotic reserve up to once per day, even if it engages in additional feeding following its successful return to positive hit points.																	SOURCEPAGE:LM																								
Necropotent	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES			PRECLASS:1,Fighter=4	PREABILITY:2,CATEGORY=FEAT,Weapon Focus,Weapon specialization																		DESC:You gain a +4 bonus on all damage rolls you make using the selected weapon type against undead.	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|PC,ABILITY=FEAT[Weapon Specialization]														SOURCEPAGE:LM																								
Nimble Bones	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Corpsecrafter																	DEFINE:NimbleBones|0	DESC:Each undead you raise or create with any necromancy spell gains a +4 bonus on initiative checks and a 10-foot increase to its base land speed.														BONUS:VAR|NimbleBones|1|TYPE=Base			SOURCEPAGE:LM																								
Positive Energy Resistance	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES																		PRERACE:1,RACETYPE=Undead				DESC:You gain resistance 10 against positive energy effects, such as cure spells.														BONUS:VAR|PositiveResistanceBonus|10|TYPE=Resistance			SOURCEPAGE:LM	ABILITY:Special Ability|AUTOMATIC|Resistance To Positive																							
Profane Lifeleech	CATEGORY:FEAT	TYPE:Divine	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE=RebukeUndead																		DESC:As a standard action, you can spend two of your rebuke attempts to deal 1d6 points of damage to all living creatures within a 30-foot burst. This effect can't reduce any creature's current hit points to less than 0. You are healed of an amount of damage equal to the total amount of hit points that you drain from affected creatures, but this healing does not allow you to exceed your full notmal hit point total. Special: This feat deals no damage to constructs or undead.																	SOURCEPAGE:LM																								
Profane Vigor	CATEGORY:FEAT	TYPE:Divine	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE=RebukeUndead									PRESTAT:1,CHA=11									DESC:As a standard action, you can spend one of your rebuke attempts to heal one undead ally within 60 feet 2 hit points of damage per cleric level. This healing does not allow the affected undead to exceed their full normal hit point totals.																	SOURCEPAGE:LM																								
Quicken Manifestation	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES																		PRETEXT:Ability to manifest from the Ethereal Plane to the Material Plane.				DESC:Once per round, you can manifest from the Ethereal Plane to the Material Plane as a free action. Turning ethereal still requires a standard action.																	SOURCEPAGE:LM																								
Quicken Turning	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE=TurnUndead,TYPE=RebukeUndead																		DESC:You can turn or rebuke undead as a free action. You may still make only one turning attempt per round.																	SOURCEPAGE:LM																								
Requiem	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Bardic Music						PRESKILL:1,TYPE=Perform=8												DESC:You can extend the effects of your mind-affecting bardic music and virtuoso's performance abilities so that they infl uence even the undead. All bardic music effects on undead creatures have only half the duration they normally would against the living.																	SOURCEPAGE:LM																								
Sacred Vengeance	CATEGORY:FEAT	TYPE:Divine	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE=TurnUndead																		DESC:As a free action, spend one of your turn undead attempts to add 2d6 points of damage to all your successful melee attacks against undead until the end of the current round.																	SOURCEPAGE:LM																								
Sacred Vitality	CATEGORY:FEAT	TYPE:Divine	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE=TurnUndead																		DESC:As a standard action, you can spend one of your turning attempts to gain immunity to ability damage, ability drain, and energy drain for 1 minute.																	SOURCEPAGE:LM																								
Spell Drain	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES			PRECLASS:1,SPELLCASTER=5	PREABILITY:1,CATEGORY=FEAT,Improved Energy Drain									PRESTAT:1,CHA=15					PRETEXT:Must have Energy Drain supernatural ability.				DESC:If you bestow a negative level upon a spellcasting creature, and that creature loses a prepared spell, you gain the ability to cast that spell once (as if you had prepared it). Treat the spell's effect as if it had been cast by the character who prepared it (including caster level, save DC, and so forth). You need not have the requisite ability score to cast the spell (for instance, you need not have an Intelligence of 13 or higher to cast a fi reball drained from the mind of a wizard). The spell remains in your mind for up to 1 hour. You can have a maximum number of stolen spells equal to your Charisma bonus (minimum 1); any spells that you would gain above this number are simply lost. This feat has no effect on spellcasters who don't prepare spells (such as a sorcerer, who simply loses one spell slot for each negative level bestowed as normal) or who have no spells prepared (such as a fi ghter, or a wizard who has cast all her spells).																	SOURCEPAGE:LM																								
Spurn Death Touch	CATEGORY:FEAT	TYPE:Divine	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE=TurnUndead																		DESC:As a standard action that does not provoke attacks of opportunity, you can spend one of your turning attempts for the day to touch an ally to heal 1d4 points of ability damage, remove a paralysis effect, or remove a negative level. You can only use this effect to heal ability damage dealt by an undead creature or remove effects caused by an undead creature																	SOURCEPAGE:LM																								
Stitched Flesh Familiar	CATEGORY:FEAT	TYPE:General	VISIBLE:YES											PRESPELLSCHOOLSUB:4,Necromancy=1							PRETEXT:Ability to acquire a new familiar.			DEFINE:StitchedFleshFamiliarLVL|0	DESC:When choosing a familiar, you may choose a stitched flesh familiar. A stitched fl esh familiar appears similar to any of the standard familiars available in the Player's Handbook, except that the stitched fl esh familiar is obviously sewn together from many different creatures of that kind and, to a practiced eye, is clearly an undead creature. A stitched fl esh familiar is magically linked to its master in the same way as a normal familiar. A stitched flesh familiar uses the basic statistics for a creature of its kind, as given in the Monster Manual, except as noted below.														BONUS:VAR|RebukeHDUndead|4			SOURCEPAGE:LM	BONUS:VAR|StitchedFleshFamiliarLVL|1																							
Tomb-Born Fortitude	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Tomb-Tainted Soul														PREALIGN:LN,LE,TN,NE,CN,CE				DESC:You have a 25%% chance to resist critical hits. When a critical hit or sneak attack is scored against you, there is a 25%% chance that the critical hit or sneak attack is negated and damage is instead rolled normally. In addition, you do not risk death from massive damage. Your skin takes on the pallor and texture of a dead creature of your race.																	SOURCEPAGE:LM	ABILITY:Special Ability|AUTOMATIC|Immunity To Death from Massive Damage																							
Tomb-Born Resilience	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Tomb-Tainted Soul														PREALIGN:LN,LE,TN,NE,CN,CE				DESC:You gain a +2 bonus on saving throws made to resist mind-affecting spells and abilities, poison, and disease. Your nails or claws grow yellow and rotten. Although this change has no effect on the damage of your unarmed or natural attacks, most individuals find such creatures horrid-looking.														BONUS:VAR|MindAffectingResistanceBonus,PoisonResistanceBonus,DiseaseResistanceBonus|2|TYPE=Resistance			SOURCEPAGE:LM	ABILITY:Special Ability|AUTOMATIC|Resistance to Mind-Affecting|Resistance to Poison|Resistance to Disease																							
Tomb-Born Vitality	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Tomb-Tainted Soul														PREALIGN:LN,LE,TN,NE,CN,CE				DESC:You do not need to sleep, and you are immune to magic sleep effects. If you are a spellcaster, you still require 8 hours of uninterrupted rest (but not sleep) to prepare your spells. In addition, you no longer need to eat. Your body grows unnaturally thin, your fl esh stretching tightly over your bones to give you a freakish, skeletal appearance.																	SOURCEPAGE:LM	ABILITY:Special Ability|AUTOMATIC|Immunity to Sleep																							
Tomb-Tainted Soul	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PREALIGN:LN,LE,TN,NE,CN,CE				DESC:You are healed by negative energy and harmed by positive energy as if you were an undead creature. This feat gives no other penalties or benefi ts of the undead type.																	SOURCEPAGE:LM																								
