SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-10																													
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Unholy Grace	CATEGORY:Special Ability	TYPE:AtropalScionRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An atropal scion adds its Charisma modifi er as a bonus on all its saving throws and as a defl ection bonus to its Armor Class.	KEY:Atropal Scion ~ Unholy Grace									BONUS:SAVE|ALL|CHA	BONUS:COMBAT|AC|CHA|TYPE=Deflection																	SOURCEPAGE:LM
																																
Race Traits ~ Blaspheme	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BlasphemeRaceTrait	AUTO:LANG|Common										BONUS:VAR|DarkvisionRange|60|TYPE=Base									ABILITY:Special Ability|AUTOMATIC|Immunity to Cold									
Blasphemous Contact	CATEGORY:Special Ability	TYPE:BlasphemusRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Each time a blaspheme bites a nonevil creature, the creature is dazed for 1 round and takes 1d6 points of Strength damage. There is no saving throw against this effect.	KEY:Blaspheme ~ Blasphemous Contact																											SOURCEPAGE:LM
Erratic Charge	CATEGORY:Special Ability	TYPE:BlasphemusRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:When a blaspheme charges, it can make one turn of up to 90 degrees during its movement. All other restrictions on charges still apply. For instance, it cannot pass through a square that blocks or slows movement, or one that contains a creature. A blaspheme must have line of sight to a targeted opponent at the start of its turn.	KEY:Blaspheme ~ Erratic Charge																											SOURCEPAGE:LM
Inescapable Craving	CATEGORY:Special Ability	TYPE:BlasphemusRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A blaspheme has an inescapable craving (see the Undead Metabolism section in Chapter 1) for Strength, which it satisfi es by using its blasphemous contact ability.	KEY:Blaspheme ~ Inescapable Craving																											SOURCEPAGE:LM
																																
Race Traits ~ Bleakborn	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BleakbornRaceTrait	AUTO:LANG|Common|Moilian										BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|TurnResistance|2								ABILITY:Special Ability|AUTOMATIC|Immunity to Cold									
Cold to the Touch	CATEGORY:Special Ability	TYPE:BleakbornRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The touch of a bleakborn deals 2d6 points of cold damage. Each 3 points of cold damage dealt heals a bleakborn of 1 point of damage. If this amount of healing would cause a bleakborn to exceed its full normal hit point total, it gains any excess as temporary hit points. These temporary hit points last for up to 1 hour. Anyone who hits a bleakborn in melee also takes 1d6 points of cold damage, unless wielding a reach weapon.	KEY:Bleakborn ~ Cold to the Touch																											SOURCEPAGE:LM
Create Spawn	CATEGORY:Special Ability	TYPE:BleakbornRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any humanoid slain by a bleakborn becomes a normal zombie in 1d4 rounds. These spawn are under the command of the bleakborn that created them and remain enslaved until its destruction. They do not possess any of the abilities they had in life. Sometimes a newly created spawn becomes a bleakborn instead of a mere zombie, though the wiles of the dark gods determine such instances (that is, the DM decides when this occurs).	KEY:Bleakborn ~ Create Spawn																											SOURCEPAGE:LM
Heat-Draining Aura	CATEGORY:Special Ability	TYPE:BleakbornRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:All living creatures (except those immune to cold damage) that approach within 30 feet of a bleakborn are subject to its heat-draining aura. Victims must make a DC %1 Fortitude save. If they fail, they take 2d6 hit points of cold damage per round as their living heat is sucked away, but if they succeed, they lose only 1d6 hit points per round that they remain in the radius. Should a bleakborn kill a humanoid creature with its heat-draining aura, the victim rises again as a bleakborn spawn. The save DC is Charisma-based.|HeatDrainingAuraDC	KEY:Bleakborn ~ Heat-Draining Aura				DEFINE:HeatDrainingAuraDC|0					BONUS:VAR|HeatDrainingAuraDC|DefaultDCCha	BONUS:VAR|HeatDrainingAuraDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Heat-Draining Aura)								ABILITY:Ability Focus|AUTOMATIC|Death Gaze									SOURCEPAGE:LM
Contingent Healing	CATEGORY:Special Ability	TYPE:BleakbornRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A bleakborn only heals when in range of a living creature that it can affect with its heat-draining aura. Even if brought to 0 hit points or less, a bleakborn eventually heals if a living creature at some future date wanders within 30 feet of the bleakborn’s remains, automatically triggering its heat-draining aura. As long as affected creatures are within its heat-draining aura, a bleakborn’s contingent healing remains active. A bleakborn does not have immunity to cold. While a bleakborn doesn’t take cold damage from its own abilities, it can take cold damage from another of its kind.	KEY:Bleakborn ~ Contingent Healing																											SOURCEPAGE:LM
Diet Dependent	CATEGORY:Special Ability	TYPE:BleakbornRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Bleakborns are diet dependent (see the Undead Metabolism section in Chapter 1) upon warmth, which they gain through their heatdraining aura, as described below.	KEY:Bleakborn ~ Diet Dependent																											SOURCEPAGE:LM
Fire Lover	CATEGORY:Special Ability	TYPE:BleakbornRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A magical fi re attack heals a bleakborn of 1 point of damage for each 3 points of damage the attack would otherwise deal. If this amount of healing would cause bleakborn to exceed its full normal hit point total, it gains any excess as temporary hit points. These temporary hit points last for up to 1 hour. For example, a bleakborn hit by a fi reball that would normally deal 18 points of damage instead gains 6 hit points. A bleakborn makes no saving throws against fi re effects.	KEY:Bleakborn ~ Fire Lover																											SOURCEPAGE:LM
																																
Race Traits ~ Blood Amniote	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BloodAmnioteRaceTrait											BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|FastHealing|5								ABILITY:Special Ability|AUTOMATIC|Immunity to Cold|Ooze Type Traits|Ooze Traits									
Blood Call	CATEGORY:Special Ability	TYPE:BloodAmnioteRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Whenever a blood amniote strikes a living creature in melee combat, its touch causes the target’s body to expel a portion of its own blood through the pores. The expelled blood gathers and fl ows across the intervening distance between the prey and the blood amniote. This attack deals 1d4 points of Constitution damage to the foe. If a blood amniote deals as many points of Constitution damage during its existence as its full normal hit point total, it self spawns (see below).	KEY:Blood Amniote ~ Blood Call																											SOURCEPAGE:LM
Inescapable Craving	CATEGORY:Special Ability	TYPE:BloodAmnioteRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A blood amniote has an inescapable craving (see the Undead Metabolism section in Chapter 1) for blood, which it satisfies by using its blood call ability.	KEY:Blood Amniote ~ Inescapable Craving																											SOURCEPAGE:LM
Self Spawn	CATEGORY:Special Ability	TYPE:BloodAmnioteRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:If a blood amniote deals as many points of Constitution damage during its existence as its full normal hit point total, it self spawns, splitting into two identical blood amniotes, each with a number of hit points equal to the original blood amniote’s full normal total.	KEY:Blood Amniote ~ Self Spawn																											SOURCEPAGE:LM
																																
Race Traits ~ Swarm (Bloodmote Cloud)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SwarmBloodmoteCloudRaceTrait											BONUS:VAR|DarkvisionRange|60|TYPE=Base									8									
Blood Drain	CATEGORY:Special Ability	TYPE:SwarmBloodmoteCloud.RaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A bloodmote cloud drains blood and deals 1d3 points of damage and 1d2 points of Constitution damage to any creature whose space it occupies at the end of its move.	KEY:Swarm (Bloodmote Cloud) ~ Blood Drain																											SOURCEPAGE:LM
Diet Dependent	CATEGORY:Special Ability	TYPE:SwarmBloodmoteCloud.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:A bloodmote cloud is diet dependent (see the Undead Metabolism section in Chapter 1) upon blood, which it consumes by using its blood drain ability.	KEY:Swarm (Bloodmote Cloud) ~ Diet Dependent																											SOURCEPAGE:LM
																																
Race Traits ~ Swarm (Bone Rat Swarm)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SwarmBoneRatSwarmRaceTrait											BONUS:VAR|DarkvisionRange|60|TYPE=Base									ABILITY:Special Ability|AUTOMATIC|Immunity to Cold									
																																
Race Traits ~ Boneyard	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BoneyardRaceTrait											BONUS:VAR|Maneuverability|4|TYPE=Base																		
Bone Subsumption	CATEGORY:Special Ability	TYPE:BoneyardRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Whenever a boneyard successfully bites a foe, the victim must make a DC %1 Fortitude save (except for undead victims, which make Will saves). The save DC is Charisma- based. On a failed save, the victim’s bones begin to melt away from the body to meld with the form of the boneyard. The victim takes 2d4 points of damage to Constitution, Dexterity, and Strength. This ability works only on creatures that possess a skeletal structure (so it works on many undead, but it is useless against constructs, elementals, oozes, and plants).|BoneSubsumptionDC	KEY:Boneyard ~ Bone Subsumption				DEFINE:BoneSubsumptionDC|0					BONUS:VAR|BoneSubsumptionDC|DefaultDCCha	BONUS:VAR|BoneSubsumptionDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Bone Subsumption)								ABILITY:Ability Focus|AUTOMATIC|Bone Subsumption									SOURCEPAGE:LM
Improved Grab	CATEGORY:Special Ability	TYPE:BoneyardRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, a boneyard must hit a Large or smaller opponent with its bite attack. It can then attempt to start a grapple as a free action without provoking attacks of opportunity. If it wins the grapple check, it establishes a hold and can try to utterly subsume all the bones in the victim’s body	KEY:Boneyard ~ Improved Grab																											SOURCEPAGE:LM
Inescapable Craving	CATEGORY:Special Ability	TYPE:BoneyardRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A boneyard has an inescapable craving (see the Undead Metabolism section in Chapter 1) for bones, which it satisfi es by using its bone subsumption ability.	KEY:Boneyard ~ Inescapable Craving																											SOURCEPAGE:LM
Summon Skeletons	CATEGORY:Special Ability	TYPE:BoneyardRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A boneyard can summon undead creatures from its own bones once per day: 3–6 troll skeletons or 2–4 young adult red dragon skeletons. The undead arrive in 1d10 rounds and serve for 1 hour or until they are reabsorbed back into the boneyard	KEY:Boneyard ~ Summon Skeletons																											SOURCEPAGE:LM
Utter Subsumtpion	CATEGORY:Special Ability	TYPE:BoneyardRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:If a boneyard wins a grapple check after using its improved grab ability, it attempts to pin the target on its next action. A boneyard that begins a turn with a victim still pinned and that makes one more successful grapple check automatically tears every bone from the victim’s body, instantly killing the victim.	KEY:Boneyard ~ Utter Subsumption																											SOURCEPAGE:LM
																																
Race Traits ~ Brain in a Jar	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BrainInAJarRaceTrait											BONUS:VAR|Maneuverability|4|TYPE=Base	BONUS:VAR|BlindsightRange|60|TYPE=Base	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|TurnResistance|4!|TYPE=BAse	BONUS:VAR|TelepathyRange|100|TYPE=Base														
Mind Thrust	CATEGORY:Special Ability	TYPE:BrainInAJarRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A brain in a jar can spend a standard action to deliver a massive assault on the thought pathways of any one creature, undermining its intellect. This mind thrust deals 2d10 points of damage to any target creature that fails a DC %1 Will save. The save DC is Charisma-based.|MindThrustDC	KEY:Brain in a Jar ~ Mind Thrust				DEFINE:MindThrustDC|0					BONUS:VAR|MindThrustDC|DefaultDCCha	BONUS:VAR|MindThrustDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Mind Thrust)								ABILITY:Ability Focus|AUTOMATIC|Mind Thrust									SOURCEPAGE:LM
Madness	CATEGORY:Special Ability	TYPE:BrainInAJarRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Anyone targeting a brain in a jar with a thought detection, mind control, or any sort of telepathic or psionic ability that makes direct contact with its tortured mind takes 1d4 points of Wisdom damage.	KEY:Brain in a Jar ~ Madness																											SOURCEPAGE:LM
Psionics	CATEGORY:Special Ability	TYPE:BrainInAJarRaceTrait.SpecialAttack.PsiLike	VISIBLE:YES		KEY:Brain in a Jar ~ Psionics																		SPELLS:Innate|TIMES=3|CASTERLEVEL=10|Suggestion,13+CHA|Telekinesys,15+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=10|Dominate Person,15+CHA								SOURCEPAGE:LM
Rebuke Undead	CATEGORY:Special Ability	TYPE:BrainInAJarRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A brain in a jar can rebuke or command undead as a cleric of the same level as the brain’s HD.	KEY:Brain in a Jar ~ Rebuke Undead									BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|HD|TYPE=Level.REPLACE									ABILITY:Special Ability|AUTOMATIC|Basic Turning|Rebuke Undead									SOURCEPAGE:LM
																																
Race Traits ~ Carcass Eater	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=CarcassEaterRaceTrait																													
Blood Frenzy	CATEGORY:Special Ability	TYPE:CarcassEaterRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A carcass eater that deals damage in combat against a living Creature scents blood, which causes it to fl y into a frenzy the following round. While in a blood frenzy, a carcass eater gains +4 to Strength, +4 to Constitution, and –2 to Armor Class. Sensing its victim’s death, the carcass eater claws and bites until its opponent is brought to negative hit points, at which time the creature immediately gains an additional bite attack against its fallen foe. This attack automatically hits, dealing 1d4+1 points of damage (which takes into account the +4 Strength bonus). A carcass eater cannot end its rage voluntarily.	KEY:Carcass Eater ~ Blood Frenzy																											SOURCEPAGE:LM
Skills	CATEGORY:Special Ability	TYPE:CarcassEaterRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A carcass eater has a +4 racial bonus on Hide checks.	KEY:Carcass Eater ~ Skills									BONUS:SKILL|Hide|4|TYPE=Racial																		
																																
Race Traits ~ Cinderspawn	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=CinderspawnRaceTrait	AUTO:LANG|Ignan										BONUS:VAR|DarkvisionRange|60|TYPE=Base																		
Charisma Drain	CATEGORY:Special Ability	TYPE:CinderspawnRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Living creatures hit by a cinderspawn’s touch attack must make a DC %1 Fortitude save or take 1d6 points of Charisma drain. (Creatures with the fi re subtype take a –4 penalty on this save.) When   cinderspawn drains a victim’s Charisma, it gains 5 temporary hit points, no matter how many points it drains. These temporary hit points last for up to 1 hour. The save DC is Charisma-based.|CharismaDrainDC	KEY:Cinderspawn ~ Charisma Drain				DEFINE:CharismaDrainDC|0					BONUS:VAR|CharismaDrainDC|DefaultDCCha	BONUS:VAR|CharismaDrainDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Charisma Drain)								ABILITY:Ability Focus|AUTOMATIC|Charisma Drain									SOURCEPAGE:LM
Elemental Turning Vulnerability	CATEGORY:Special Ability	TYPE:CinderspawnRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A character who can turn undead and also turn fi re creatures gains a +2 bonus on turning checks to turn a cinderspawn. A character who can rebuke undead and also rebuke fi re creatures gains a +2 bonus on turning checks to rebuke a cinderspawn.	KEY:Cinderspawn ~ Elemental Turning Vulnerability																											SOURCEPAGE:LM
Frostfire Shield	CATEGORY:Special Ability	TYPE:CinderspawnRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Any creature striking a cinderspawn With a natura l attack or a melee weapon (except for reach weapons) takes 1d6 points of cold damage as the cinderspawn drains its body heat.	KEY:Cinderspawn ~ Frostfire Shield																											SOURCEPAGE:LM
Inescapable Craving	CATEGORY:Special Ability	TYPE:CinderspawnRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A cinderspawn has an inescapable craving (see the Undead Metabolism section in Chapter 1) for Charisma, which it satisfi es by using its Charisma drain ability.	KEY:Cinderspawn ~ Inescapable Drain																											SOURCEPAGE:LM
																																
Race Traits ~ Swarm (Corpse Rat Swarm)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SwarmCorpseRatSwarmRaceTrait											BONUS:VAR|DarkvisionRange|60|TYPE=Base																		
Disease	CATEGORY:Special Ability	TYPE:SwarmCorpseRatSwarmRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Filth fever-swarm attack, Fortitude DC %1, incubation period 1d3 days, damage 1d3 Dex and 1d3 Con. The save DC is Constitution-based and includes a +2 racial bonus.|DiseaseDC	KEY:Swarm (Corpse Rat Swarm) ~ Disease				DEFINE:DiseaseDC|0					BONUS:VAR|DiseaseDC|DefaultDCCon	BONUS:VAR|DiseaseDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Disease)	BONUS:VAR|DiseaseDC|2|TYPE=Racial							ABILITY:Ability Focus|AUTOMATIC|Disease									SOURCEPAGE:LM
