SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-10																						
																									
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	DESC:	Bonus	Bonus
Energy Ebb				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=7|Sorcerer=7|Wizard=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray of negative energy.	DURATION:1 round/level	SAVEINFO:Fort negates; see text.	SPELLRES:Yes	DESC:Give subject one negative level/round for 1 round/level	SOURCEPAGE:LM								
Eyes of the King				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning			COMPS:V, S, M	CASTTIME:1 minute	RANGE:Unlimited	TARGETAREA:Magical Sensor	DURATION:Concentration + 5 rounds, up to 1 min./level.	SAVEINFO:None	SPELLRES:No	DESC:Summon fiendish dire bats. Material Component: A bit of bat fur.	SOURCEPAGE:LM								
Fangs of the Vampire King				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Assassin=3|Blackguard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Grow vampire fangs.	SOURCEPAGE:LM								
Field of Ghouls				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Death|Evil		COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:30-ft.-radius spherical emanation, centered on you	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Transform dying creatures into ghouls.	SOURCEPAGE:LM								
Ghost Touch Armor				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Armor or creature touched.	DURATION:1 min/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Armor works normally against incorporeal attacks.. Material Component: A tiny shield made of resin.	SOURCEPAGE:LM								
Ghost Touch Weapon				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One weapon or fi fty projectiles (all of which must be in contact with each other at the time of casting)	DURATION:10 min/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:Weapon works normally against incorporeal attacks.	SOURCEPAGE:LM								
Ghost Trap				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=6|Sorcerer=7|Wizard=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Incorporeal creatures turn corporeal.	SOURCEPAGE:LM								
Ghostform				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You assume incorporeal form and gain some incorporeal traits and bonuses.	SOURCEPAGE:LM								
Ghoul Gauntlet				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Death|Evil	CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature.	DURATION:Instantaneous.	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Convert victim to a ghoul under your control.	SOURCEPAGE:LM								
Ghoul Gesture				TYPE:Spell	SCHOOL:Necromancy				COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray.	DURATION:1 round/level	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Ray paralyzes target.. Material Component: A small scrap of cloth taken from clothing worn by a ghoul, or a pinch of earth from a ghoul's lair.	SOURCEPAGE:LM								
Ghoul Glyph				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:One ghoul glyph that must fit within a 1-ft. Square	DURATION:Permanent until discharged	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Glyph wards area, paralyzes victims. Material Component: You trace the glyph with earth from a ghoul's lair.	SOURCEPAGE:LM								
Ghoul Light				TYPE:Spell	SCHOOL:Necromancy				COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Object touched.	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Light provides turn resistance. Material Component: A bit of rendered fat.	SOURCEPAGE:LM								
Haunt Shift				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Cleric=5|Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Undead creatures within a 40-ft.-radius burst	DURATION:Instantaneous.	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Turn corporeal and incorporeal undead into haunting presences. Material Component: A pinch of powdered skull.	SOURCEPAGE:LM								
Incorporeal Enhancement				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One incorporeal undead/level.	DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:Grant bonuses to incorporeal undead. Material Component: ?	SOURCEPAGE:LM								
Incorporeal Nova				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Death	CLASSES:Cleric=5|Sorcerer=6|Wizard=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Incorporeal or gaseous creatures within a 50-ft.-radius burst.	DURATION:Instantaneous.	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Destroy incorporeal undead.	SOURCEPAGE:LM								
Kiss of the Vampire				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You gain vampire-like supernatural abilities, but are vulnerable to attacks that harm undead. Material Component: A black onyx worth at least 50 gp that has been carved with the image of a fang-mouthed face.	SOURCEPAGE:LM		COST:50						
Necrotic Awareness				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Cleric=1|Sorcerer=1|Wizard=1	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:Cone-shaped emanation.	DURATION:Concentration, up to 1 min./level.	SAVEINFO:None	SPELLRES:No	DESC:Sense encysted subjects. Focus: Caster must possess a mother cyst (see page 28).	SOURCEPAGE:LM								
Necrotic Bloat				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Living creature with necrotic cyst.	DURATION:Instantaneous.	SAVEINFO:None	SPELLRES:No	DESC:Encysted subject takes 1d6 damage/level. Focus: Caster must possess a mother cyst (see page 28).	SOURCEPAGE:LM								
Necrotic Burst				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=5|Sorcerer=5|Wizard=5	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Living creature with necrotic cyst.	DURATION:Instantaneous.	SAVEINFO:Fort partial	SPELLRES:No	DESC:Encysted subject killed, cyst begins to roam. Focus: Caster must possess a mother cyst (see page 28).	SOURCEPAGE:LM								
Necrotic Cyst				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:Instantaneous.	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Encyst undead sac of tissue in subject. Focus: Caster must possess a mother cyst (see page 28).	SOURCEPAGE:LM								
Necrotic Domination				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=4|Sorcerer=4|Wizard=4	COMPS:V, S, F	CASTTIME:1 round	RANGE:Close	TARGETAREA:Living creature with necrotic cyst.	DURATION:1 day/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Controls humanoid telepathically.	SOURCEPAGE:LM								
Necrotic Empowerment				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=8|Sorcerer=8|Wizard=8	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Draw vigor from mother cyst. Focus: Caster must possess a mother cyst (see page 28).	SOURCEPAGE:LM								
Necrotic Eruption				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=6|Sorcerer=7|Wizard=7	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Living creature with necrotic cyst and all creatures in 20 ft. Radius spread.	DURATION:Instantaneous.	SAVEINFO:Fort partial	SPELLRES:No	DESC:Encysted subject killed, those nearby damaged and possibly encysted. Focus: Caster must possess a mother cyst (see page 28).	SOURCEPAGE:LM								
Necrotic Scrying				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Unlimited	TARGETAREA:Cyst-bearer serves as magical sensor	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Hear or see encysted subject at a distance. Focus: Caster must possess a mother cyst (see page 28).	SOURCEPAGE:LM								
Necrotic Tumor				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=7|Sorcerer=7|Wizard=7	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Living creature with necrotic cyst.	DURATION:1 day/level or permanent	SAVEINFO:Fort partial	SPELLRES:No	DESC:Permanently control encysted subject. Focus: Caster must possess a mother cyst (see page 28).	SOURCEPAGE:LM								
Necrotic Termination				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=9|Sorcerer=9|Wizard=9	COMPS:V, S, F, XP	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Living creature with necrotic cyst.	DURATION:Instantaneous.	SAVEINFO:Fort partial	SPELLRES:No	DESC:Permanently eliminates encysted subject. Focus: Caster must possess a mother cyst (see page 28). XP Cost: 1,000 XP.	SOURCEPAGE:LM			XPCOST:1000					
Night's Kiss				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched	DURATION:Instantaneous.	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Touched foe take 1d6 points of damage/level plus 1d6+2 CON damage.	SOURCEPAGE:LM								
Plague of Undead				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=9|Sorcerer=9|Wizard=9	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One or more corpses within range.	DURATION:Instantaneous.	SAVEINFO:None	SPELLRES:No	DESC:Animates horde of undead. Material Component: A black sapphire worth 100 gp or several black sapphires with total value of 100 gp.	SOURCEPAGE:LM		COST:100						
Protection from Negative Energy				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:10 min/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Ignore 10 points of negative energy damage per attack.	SOURCEPAGE:LM								
Protection from Positive Energy				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Undead creature touched.	DURATION:10 min/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Ignore 10 points of positive energy damage per attack.	SOURCEPAGE:LM								
Restoration (Mass)				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Healing		CLASSES:Cleric=8	COMPS:V, S, M	CASTTIME:1 round	RANGE:Close	TARGETAREA:One creature/level, no two of which can be more than 30 ft. Apart.	DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As Restoration, but multiple targets. Material Component: Diamond dust worth 100 gp that is tossed into the air.	SOURCEPAGE:LM		COST:100						
Revive Undead				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Destroyed undead creature touched.	DURATION:Instantaneous	SAVEINFO:None (Harmless).	SPELLRES:Yes	DESC:Restores undeath to undead that was destroyed up to 1/day/level ago. Material Component: A black pearl worth at least 500 gp.	SOURCEPAGE:LM		COST:500						
Sheltered Vitality				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=3|Druid=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:1 min/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Subject gains immunity to fatigue, exhaustion, ability damage, and ability drain.	SOURCEPAGE:LM								
Spark of Life				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Cleric=7|Druid=8	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Undead creature touched.	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Undead creature loses most immunities.	SOURCEPAGE:LM								
Spawn Screen				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You resist being transformed into an undead spawn if slain.	SOURCEPAGE:LM								
Spectral Touch				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature or creatures touched (up to one/level)	DURATION:1 round/level; see text	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Your touch bestows one negative level per round.	SOURCEPAGE:LM								
Summon Undead I				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil	CLASSES:Blackguard=1|Cleric=1|Sorcerer=1|Wizard=1	COMPS:V, S, F/DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:One summoned creature.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like summon monster I, except that you summon an undead creature. Focus: A tiny bag, a small (not lit) candle, and a carved bone from any humanoid.	SOURCEPAGE:LM								
Summon Undead II				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil	CLASSES:Blackguard=2|Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S, F/DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:One or more summoned creatures, no two of which can be more than 30 ft. apart	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like summon undead I, except that you can summon one undead from the 2nd-level list or two undead of the same kind from the 1st-level list. Focus: A tiny bag, a small (not lit) candle, and a carved bone from any humanoid.	SOURCEPAGE:LM								
Summon Undead III				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil	CLASSES:Blackguard=3|Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S, F/DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:One or more summoned creatures, no two of which can be more than 30 ft. apart	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like summon undead I, except that you can summon one undead from the 3rd-level list, two undead of the same kind from the 2nd-level list, or four undead of the same kind from the 1stlevel List. Focus: A tiny bag, a small (not lit) candle, and a carved bone from any humanoid.	SOURCEPAGE:LM								
Summon Undead IV				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil	CLASSES:Blackguard=4|Cleric=4|Sorcerer=4|Wizard=4	COMPS:V, S, F/DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:One or more summoned creatures, no two of which can be more than 30 ft. apart	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like summon undead I, except that you can summon one undead from the 4th-level list, two undead of the same kind from the 3rd-level list, or four undead of the same kind from a lower level list. Focus: A tiny bag, a small (not lit) candle, and a carved bone from any humanoid.	SOURCEPAGE:LM								
Summon Undead V				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil	CLASSES:Cleric=5|Sorcerer=5|Wizard=5	COMPS:V, S, F/DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:One or more summoned creatures, no two of which can be more than 30 ft. apart	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like summon undead I, except that you can summon one undead from the 5th-level list, two undead of the same kind from the 4th-level list, or four undead of the same kind from a lower level list. Focus: A tiny bag, a small (not lit) candle, and a carved bone from any humanoid.	SOURCEPAGE:LM								
Undead Weapon Bane				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=4|Paladin=3	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:Weapon gains undead bane property and is considered good-aligned.	SOURCEPAGE:LM								
Veil of Undead				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=8|Sorcerer=8|Wizard=8	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:You gain undead traits. Material Component: A black sapphire worth 1,000 gp.	SOURCEPAGE:LM		COST:1000						
Wither Limb				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Limbs of one humanoid.	DURATION:Permanent	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Cause enemy's limbs to wither.	SOURCEPAGE:LM								
																									
Necrotic Awareness.MOD	CLASSES:Necrotic=1																								
Necrotic Cyst.MOD	CLASSES:Necrotic=2																								
Necrotic Scrying.MOD	CLASSES:Necrotic=2																								
Necrotic Bloat.MOD	CLASSES:Necrotic=3																								
Necrotic Domination.MOD	CLASSES:Necrotic=4																								
Necrotic Burst.MOD	CLASSES:Necrotic=5																								
Necrotic Eruption.MOD	CLASSES:Necrotic=6																								
Necrotic Tumor.MOD	CLASSES:Necrotic=7																								
Necrotic Empowerment.MOD	CLASSES:Necrotic=8																								
Necrotic Termination.MOD	CLASSES:Necrotic=9																								
