SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-10

###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DeathSChosenClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Death's chosen gain no profi ciency with any weapons, armor, or shields.	KEY:Death's Chosen ~ Weapon and Armor Proficiency																										SORTKEY:Class_Death's_Chosen	SOURCEPAGE:LM
Shield of the Master	CATEGORY:Special Ability	TYPE:ClassFeatures.DeathSChosenClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Whenever the master of a death's chosen casts a spell or uses an extraordinary, supernatural, or spell-like ability, it can choose (as a free action) to exempt the death's chosen from its effects. The master must make this choice when it casts the spell or uses the ability. If the ability is always active, the master can choose to exempt its death's chosen from the effect; this immunity remains in effect until the master chooses Otherwise. For example, a mummy could (and probably would) choose to make its death's chosen immune to its despair ability. An undead spellcaster casting a fi reball into a fi ght that included its death's chosen could choose when casting the spell to have it not affect the death's chosen.	KEY:Death's Chosen ~ Shield of the Master																										SORTKEY:Class_Death's_Chosen	SOURCEPAGE:LM
Vigor of the Chosen	CATEGORY:Special Ability	TYPE:ClassFeatures.DeathSChosenClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Whenever the master of a death's chosen casts a spell or uses an extraordinary, supernatural, or spell-like ability, it can choose (as a free action) to exempt the death's chosen from its effects. The master must make this choice when it casts the spell or uses the ability. If the ability is always active, the master can choose to exempt its death's chosen from the effect; this immunity remains in effect until the master chooses Otherwise. For example, a mummy could (and probably would) choose to make its death's chosen immune to its despair ability. An undead spellcaster casting a fi reball into a fi ght that included its death's chosen could choose when casting the spell to have it not affect the death's chosen.	KEY:Death's Chosen ~ Vigor of the Chosen																										SORTKEY:Class_Death's_Chosen	SOURCEPAGE:LM
Will of the Chosen	CATEGORY:Special Ability	TYPE:ClassFeatures.DeathSChosenClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 2nd level, a death's chosen serves his master with inhuman intensity. He gains a +2 morale bonus on Will saves as long as he is within 60 feet of his master.	KEY:Death's Chosen ~ Will of the Chosen																										SORTKEY:Class_Death's_Chosen	SOURCEPAGE:LM
Bravery of the Chosen	CATEGORY:Special Ability	TYPE:ClassFeatures.DeathSChosenClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When within 30 feet of his master, a death's chosen who has attained 3rd level gains a +1 morale bonus on melee attack rolls and melee damage rolls. If his master has been reduced to half or less of its full normal hit points, this bonus increases to +2. The bonus disappears if his master is destroyed.	KEY:Death's Chosen ~ Bravery of the Chosen																										SORTKEY:Class_Death's_Chosen	SOURCEPAGE:LM
Unnatural Aura	CATEGORY:Special Ability	TYPE:ClassFeatures.DeathSChosenClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When a death's chosen reaches 3rd level, wild or domesticated animals can sense his unnatural presence out to a distance of 30 feet. The animals do not willingly approach nearer than that and become panicked if forced to do so. They remain panicked as long as they are within that distance.	KEY:Death's Chosen ~ Unnatural Aura																										SORTKEY:Class_Death's_Chosen	SOURCEPAGE:LM
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DirgesingerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Dirgesingers gain no profi ciency with any weapons, armor, or shields.	KEY:Dirgesinger ~ Weapon and Armor Proficiency																										SORTKEY:Class_Dirgesinger	SOURCEPAGE:LM
Dirgesong	CATEGORY:Special Ability	TYPE:ClassFeatures.DirgesingerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A dirgesinger gains the dirgesong ability. Dirgesong follows the same rules as bardic music (see Bardic Music, page 29 of the Player's Handbook). Dirgesinger levels stack with bard levels for the purpose of determining how often a character can use dirgesong or bardic music. Dirgesinger levels do not stack with bard levels for determining which bardic music effects and spells a bard has access to. Each of these songs counts as a use of bardic music.	KEY:Dirgesinger ~ Dirgesong				DEFINE:DirgesongLVL|0					BONUS:VAR|DirgesongLVL|DirgesingerLVL																	SORTKEY:Class_Dirgesinger	SOURCEPAGE:LM
Beam of Sunlight	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfRadianceClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A 5th-level master of radiance can evoke a dazzling beam of intense light (the equivalent of a beam from the sunbeam spell) once per round as a full-round action as long as her radiant aura is active. Treat the character's caster level for this effect as equal to her highest divine caster level, including the +2 caster level adjustment for the radiant aura (for example, a 7th-level druid/5th-level master of radiance would use this effect as a 13th-level spellcaster).	KEY:Master of Radiance ~ Beam of Sunlight																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=Caster_Level_Highest__Divine|Sunbeam								SORTKEY:Class_Master_Of_Radiance	SOURCEPAGE:LM
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfShroudsClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Masters of shrouds gain no profi ciency with any weapons, armor, or shields.	KEY:Master of Shrouds ~ Weapon and Armor Proficiency																										SORTKEY:Class_Master_Of_Shrouds	SOURCEPAGE:LM
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfShroudsClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Beginning at 2nd level, a master of shrouds gains new spells per day (and spells known, if applicable) as if she had also gained a level in a divine spellcasting class to which she belonged before adding the prestige class level. She does not, however, gain any other benefi t a character of that class would have gained (metamagic or item creation feats and so on; but see Rebuke Undead, below). If she had more than one divine spellcasting class before becoming a master of shrouds, she must decide to which class to add each level for the purpose of determining spells per day and spells known.	KEY:Master of Shrouds ~ Spells per Day																										SORTKEY:Class_Master_Of_Shrouds	SOURCEPAGE:LM
Extra Rebuking	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfShroudsClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A master of shrouds may use her rebuke undead ability four additional times per day.	KEY:Master of Shrouds ~ Extra Rebuking									BONUS:VAR|RebukeTimesUndead|4																	SORTKEY:Class_Master_Of_Shrouds	SOURCEPAGE:LM
Rebuke Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfShroudsClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Master of shrouds class levels stack with levels of all other classes that grant the ability to rebuke undead for the purpose of determining the character's effective cleric level for rebuking. See Turn or Rebuke Undead, page 159 of the Player's Handbook. For example, a 7th-level cleric/5th-level master of shrouds rebukes undead as a 12th-level cleric.	KEY:Master of Shrouds ~ Rebuke Undead									BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|MasterOfShroudsLVL|TYPE=Level.REPLACE																	SORTKEY:Class_Master_Of_Shrouds	SOURCEPAGE:LM
Summon Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfShroudsClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 2nd level and higher, a master of shrouds can summon one or more incorporeal undead creatures a number of times per day equal to 3 + her Charisma modifi er (minimum 1). This ability is otherwise identical to the summon monster spells, except that a master of shrouds adds her Charisma modifi er (if positive) to the duration of the effect. At 2nd level, a master of shrouds can summon a single shadow. At 4th level, she can summon one wraith or two shadows. At 6th level, she can summon one spectre, two wraiths, or four shadows. At 8th level, she can summon one greater shadow, two spectres, four wraiths, or four shadows. At 10th level, she can summon one dread wraith, two greater shadows, four spectres,four wraiths, or four shadows.	KEY:Master of Shrouds ~ Summon Undead				DEFINE:SummonUndeadTimes|0					BONUS:VAR|SummonUndeadTimes|max(1,3+CHA)									SPELLS:Innate|TIMES=SummonMonsterTimes|CASTERLEVEL=MasterOfShroudsLVL|Summon Monster I								SORTKEY:Class_Master_Of_Shrouds	SOURCEPAGE:LM
Improved Summoning	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfShroudsClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 5th level, a master of shrouds summons more powerful undead creatures than normal. Whenever she casts a summon undead spell or when she uses her summon undead class ability, the summoned creature gains a +2 enhancement bonus on attack rolls and damage rolls.	KEY:Master of Shrouds ~ Improved Summoning				DEFINE:ImprovedSummoningLVL|0					BONUS:VAR|ImprovedSummoningLVL|1																	SORTKEY:Class_Master_Of_Shrouds	SOURCEPAGE:LM
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Pale masters gain profi ciency with light and medium armor. They gain no profi ciency with any weapons or shields.	KEY:Pale Master ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE.ArmorProfMedium								SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Beginning at 2nd level, a pale master gains new spells per day (and spells known, if applicable) as if he had also gained a level in an arcane spellcasting class to which he belonged before adding the prestige class level. He does not, however, gain any other benefi t a character of that class would have gained (improved chance of turning or destroying undead, metamagic or item creation feats, and so on). If he had more than one arcane spellcasting class before becoming a pale master, he must decide to which class to add each level for the purpose of determining spells per day and spells known.	KEY:Pale Master ~ Spells per Day																										SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
Animate Dead	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Starting at 2nd level, a pale master begins to exercise control over the undead. Once per day, he can use animate dead, as the spell, without need of a material component. Use the pale master's highest arcane caster level as the caster level for this effect. All other level restrictions of animate dead still apply. For example, a 6th-level sorcerer/3rd-level pale master can animate up to 16 HD of undead with a single use of this ability. Likewise, he can control up to 32 HD of undead created using this ability, the animate dead spell, or both.	KEY:Pale Master ~ Animate Dead																		SPELLS:Innate|TIMES=1|CASTERLEVEL=Caster_Level_Highest__Arcane|Animate Dead								SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
Darkvision	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, the dark begins to lose its mysteries to a pale master, who gains darkvision out to 60 feet. If he already has darkvision, its effective distance increases by 60 feet.	KEY:Pale Master ~ Darkvision									BONUS:VAR|DarkvisionRange|60|TYPE=Base																	SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
Undead Armor Affinity	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A pale master has an instinctive feel for undead armor. At 4th level and higher, he treats the undead armor as if its arcane spell failure chance were 10%% less. At 8th level, this reduction improves to 20%%.	KEY:Pale Master ~ Undead Armor Affinity				DEFINE:UndeadArmoAffinityBonus|0					BONUS:VAR|UndeadArmoAffinityBonus|10|PREVARGTEQ:PaleMasterLVL,4	BONUS:VAR|UndeadArmoAffinityBonus|10|PREVARGTEQ:PaleMasterLVL,8	BONUS:ARMORPROF=TYPE.UndeadArmor|SPELLFAILURE|(-1)*UndeadArmoAffinityBonus															SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
Control Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Once per day, a pale master of 5th level or higher can gain control over an undead creature (with Hit Dice equal to or less than his highest arcane caster level) by making a successful touch attack against it. The undead creature receives no saving throw to resist this effect. The control lasts for 1 round per class level. When the duration expires, the undead creature returns to its former allegiance, if any. The newly controlled undead can still be turned or rebuked as normal. This effect is otherwise identical to the control undead spell. This ability is in addition to the number of undead a pale master can control using his animate dead ability.	KEY:Pale Master ~ Control Undead																		SPELLS:Innate|TIMES=1|CASTERLEVEL=Caster_Level_Highest__Arcane|Control Undead								SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
Deathless Vigor	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 5th level, a pale master's body becomes more akin to the undying fl esh of his undead associates. The character gains a +4 bonus on Fortitude saves except against effects that also work on objects.	KEY:Pale Master ~ Deathless Vigor									BONUS:SAVE|Fortitude|4																	SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
Undead Graft	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 6th level, a pale master gives in to terrible necrophiliac urges. He cuts off his arm and replaces it with an undead prosthetic, which may be skeletal in form or preserved fl esh stitched in place like that of a fl esh golem. Regardless of its composition, the graft grants a +4 inherent bonus to the character's Strength score. Additionally, the undead graft allows him to deliver horrible touch attacks. A pale master can use this ability once per day at 6th level, twice per day at 8th level, and three times per day at 10th level. The character must declare that he is using this ability before making the attack roll; a failed attack roll still expends that use of the ability. Each time he makes a touch attack using this ability, the pale master can select from any of the effects described below for which he meets the prerequisite class level. The save DC for the pale master's touch attacks is 10 + his pale master class level + his Cha modifi er.	KEY:Pale Master ~ Undead Graft	DESC:%1/Day|UndeadGraftTimes			DEFINE:UndeadGraftDC|0	DEFINE:UndeadGraftTimes|0				BONUS:ABILITYPOOL|Graft Flesh|1	BONUS:VAR|UndeadGraft|10+PaleMasterLVL+CHA	BONUS:VAR|UndeadGraftTimes|(PaleMasterLVL-4)/2															SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
CATEGORY=Special Ability|Pale Master ~ Undead Graft.MOD	ABILITY:Special Ability|AUTOMATIC|Pale Master ~ Undead Graft ~ Paralyzing Touch|PREVARGTEQ:PaleMasterLVL,6																															
CATEGORY=Special Ability|Pale Master ~ Undead Graft.MOD	ABILITY:Special Ability|AUTOMATIC|Pale Master ~ Undead Graft ~ Weakening Touch|PREVARGTEQ:PaleMasterLVL,7																															
CATEGORY=Special Ability|Pale Master ~ Undead Graft.MOD	ABILITY:Special Ability|AUTOMATIC|Pale Master ~ Undead Graft ~ Degenerative Touch|PREVARGTEQ:PaleMasterLVL,8																															
CATEGORY=Special Ability|Pale Master ~ Undead Graft.MOD	ABILITY:Special Ability|AUTOMATIC|Pale Master ~ Undead Graft ~ Destructive Touch|PREVARGTEQ:PaleMasterLVL,9																															
CATEGORY=Special Ability|Pale Master ~ Undead Graft.MOD	ABILITY:Special Ability|AUTOMATIC|Pale Master ~ Undead Graft ~ Deathless Master's Touch|PREVARGTEQ:PaleMasterLVL,9																															
Paralyzing Touch	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Any living foe except for an elf that is hit by a pale master's touch attack must succeed on a Fortitude save or be paralyzed for 1d4+1 rounds. Prerequisite: Class level 6th.	KEY:Pale Master ~ Undead Graft ~ Paralyzing Touch	DESC:Fort DC %1.|UndeadGraftDC																									SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
Weakening Touch	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A living foe hit by a pale master's touch attack takes 1d6 points of Strength damage (no save). A creature reduced to Strength 0 dies. Prerequisite: Class level 7th.	KEY:Pale Master ~ Undead Graft ~ Weakening Touch																										SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
Degenerative Touch	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A living foe hit by a pale master's touch attack receives one negative level (no save), and must make a Fortitude save 24 hours later to avoid losing the level permanently. Prerequisite: Class level 8th.	KEY:Pale Master ~ Undead Graft ~ Degenerative Touch	DESC:Fort DC %1.|UndeadGraftDC																									SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
Destructive Touch	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A living foe hit by a pale master's touch attack must succeed on a Fortitude save or take 1d6 points of Constitution drain. Prerequisite: Class level 9th.	KEY:Pale Master ~ Undead Graft ~ Destructive Touch	DESC:Fort DC %1.|UndeadGraftDC																									SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
Deathless Master's Touch	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A living foe of up to one size category larger than a pale master hit by the pale master's touch attack must succeed on a Fortitude save or die. A slain creature automatically animates 1 round later as a zombie (see page 265 of the Monster Manual) and is under the pale master's control as if he had animated it. Undead created using this power do not count against a pale master's HD total for controlling undead. Prerequisite: Class level 10th.	KEY:Pale Master ~ Undead Graft ~ Deathless Master's Touch	DESC:Fort DC %1.|UndeadGraftDC																									SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
Tough as Bone	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:On reaching 7th level, a pale master takes on even more of the qualities of an undead creature. He becomes immune to disease, nonlethal damage, and stunning.	KEY:Pale Master ~ Tough as Bone																		ABILITY:Special Ability|AUTOMATIC|Immunity to Disease|Immunity to Nonlethal Damage|Immunity to Stunning								SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
Undead Cohort	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A 9th-level pale master gains the service of a loyal undead cohort. The cohort follows the rules for undead cohorts described under the Undead Leadership feat (see page 31). The pale master does not gain any followers from this ability, only a single cohort. The cohort's effective character level is determined by the pale master's Leadership score and character level exactly as if the cohort had been gained by means of the Undead Leadership feat.	KEY:Pale Master ~ Undead Cohort									BONUS:ABILITYPOOL|Undead Leadership Cohort Selection|1					ABILITY:Special Ability|AUTOMATIC|Undead Leadership Cohort												SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
Deathless Mastery	CATEGORY:Special Ability	TYPE:ClassFeatures.PaleMasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:On reaching 10th level, a pale master gains the virtues of his deathless arts. His body becomes partly mummifi ed (though he is not truly undead), and he becomes immune to poison, sleep effects, paralysis, death effects, critical hits, ability drain, and energy drain, as well as damage to his physical ability scores (Str, Dex, and Con). He still needs to breathe, eat, and sleep as normal for his type, and he still ages normally.	KEY:Pale Master ~ Deathless Mastery																		ABILITY:Special Ability|AUTOMATIC|Immunity to Poison|Immunity to Sleep|Immunity to Paralysis|Immunity To Death Effects|Immunity to Critical Hits|Immunity To Ability Drain|Immunity To Energy Drain								SORTKEY:Class_Pale_Master	SOURCEPAGE:LM
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredPurifierClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Sacred purifi ers gain no profi ciency with any weapons, armor, or shields.	KEY:Sacred Purifier ~ Weapon and Armor Proficiency																										SORTKEY:Class_Sacred_Purifier	SOURCEPAGE:LM
