SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-05
					
#	SOURCEPAGE:SpellListI.rtf	SPELLLEVEL:DOMAIN|=1||=2||=3||=4||=5||=6||=7||=8||=9|	DESC:		
Domination	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Domination=1|Command|Domination=2|Enthrall|Domination=3|Suggestion|Domination=4|Dominate Person|Domination=5|Command (Greater)|Domination=6|Geas/Quest|Domination=7|Suggestion (Mass)|Domination=8|True Domination|Domination=9|Monstrous Thrall	DESC:You gain the Spell Focus (Enchantment) feat.	ABILITY:FEAT|AUTOMATIC|Spell Focus (Enchantment)	
Dream	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Dream=1|Sleep|Dream=2|augury|Dream=3|Deep Slumber|Dream=4|Phantasmal Killer|Dream=5|Nightmare|Dream=6|Dream Sight|Dream=7|Scrying (Greater)|Dream=8|Power Word Stun|Dream=9|Weird	DESC:Because you have long delved into dreams and nightmares, you are immune to fear effects.	ABILITY:Special Ability|AUTOMATIC|Immunity to Fear	
Force	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Force=1|Mage Armor|Force=2|Magic Missile|Force=3|Blast of Force|Force=4|Otiluke's Resilient Sphere|Force=5|Wall of Force|Force=6|Repulsion|Force=7|Forcecage|Force=8|Otiluke's Telekinetic Sphere|Force=9|Bigby's Crushing Hand	DESC:By manipulating cosmic forces of inertia and force, once per day the cleric can reroll any damage roll (for a weapon, a spell, or an ability) and take the better of the two rolls. This granted power is considered a supernatural ability.		
Glory	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Glory=1|Disrupt Undead|Glory=2|Bless Weapon|Glory=3|Searing Light|Glory=4|Holy Smite|Glory=5|Holy Sword|Glory=6|Bolt of Glory|Glory=7|Sunbeam|Glory=8|Crown of Glory|Glory=9|Gate	DESC:Turn undead with a +2 bonus on the turning check and +1d6 on the turning damage roll.	BONUS:VAR|TurnCheck|2	BONUS:VAR|TurnDiceUndead|1
Inquisition	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Inquisition=1|Detect Chaos|Inquisition=2|Zone of Truth|Inquisition=3|Detect Thoughts|Inquisition=4|Discern Lies|Inquisition=5|True Seeing|Inquisition=6|Geas/Quest|Inquisition=7|Dictum|Inquisition=8|Shield of Law|Inquisition=9|Imprisonment	DESC:Gain a +4 bonus on all dispel checks.		
Liberation	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Liberation=1|Omen of Peril|Liberation=2|Undetectable Alignment|Liberation=3|Rage|Liberation=4|Freedom of Movement|Liberation=5|Break Enchantment|Liberation=6|Dispel Magic (Greater)|Liberation=7|Refuge|Liberation=8|Mind Blank|Liberation=9|Unbinding	DESC:If you are affected by a charm, compulsion, or fear effect and fail your saving throw, you can attempt it again 1 round later at the same DC. You get only this one extra chance to succeed on your saving throw. This granted power is considered a supernatural ability.		
Madness	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Madness=1|Confusion (Lesser)|Madness=2|Touch of Madness|Madness=3|Rage|Madness=4|Confusion|Madness=5|Bolt of Bedevilment|Madness=6|Phantasmal Killer|Madness=7|Insanity|Madness=8|Maddening Scream|Madness=9|Weird	DESC:Your insanity gives you insight. You subtract 1 from all Wisdom-based skill checks and all Will saves. However, once per day, you can see and act with the clarity of true madness: Add one-half your level to a single Wisdom-based skill check or Will save. You must choose to use this benefit before the check or save is rolled.	BONUS:SKILL|TYPE.Wisdom|-1	BONUS:SAVE|Will|-1
Mind	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Mind=1|Comprehend Languages|Mind=2|Detect Thoughts|Mind=3|Telepathic Bond (Lesser)|Mind=4|Discern Lies|Mind=5|Rary's Telepathic Bond|Mind=6|Probe Thoughts|Mind=7|Brain Spider|Mind=8|Mind Blank|Mind=9|Weird	DESC:Gain a +2 bonus on Bluff, Diplomacy, and Sense Motive checks.	BONUS:SKILL|Bluff,Diplomacy,Sense Motive|2	
Mysticism	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Mysticism=1|Divine Favor|Mysticism=2|Spiritual Weapon|Mysticism=3|Visage of the Deity (Lesser)|Mysticism=4|Weapon of the Deity|Mysticism=5|Righteous Might|Mysticism=6|Visage of the Deity|Mysticism=7|Blasphemy,Holy Word|Mysticism=8|Holy Aura,Unholy Aura|Mysticism=9|Visage of the Deity (Greater)	DESC:Once per day, you may use a free action to channel your deity's power to grant yourself a luck bonus on your saving throws equal to your Charisma modifier (minimum +1). This is a supernatural ability and its effects last for 1 round per cleric level.	DESC:1/day +%1 luck bonus.|max(1,CHA)	
Oracle	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Oracle=1|Identify|Oracle=2|augury|Oracle=3|Divination|Oracle=4|Scrying|Oracle=5|Commune|Oracle=6|Legend Lore|Oracle=7|Scrying (Greater)|Oracle=8|Discern Location|Oracle=9|Foresight	DESC:You cast divination spells at +2 caster levels.	BONUS:CASTERLEVEL|SUBSCHOOL.Divination|2	
Pact	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Pact=1|Command|Pact=2|Shield Other|Pact=3|Speak with Dead|Pact=4|Divination|Pact=5|Stalwart Pact|Pact=6|Zealot Pact|Pact=7|Renewal Pact|Pact=8|Death Pact|Pact=9|Gate	DESC:Add Appraise, Intimidate, and Sense Motive to your list of cleric class skills.	CSKILL:Appraise|Intimidate|Sense Motive	
Pestilence	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Pestilence=1|Doom|Pestilence=2|Summon Swarm|Pestilence=3|Contagion|Pestilence=4|Poison|Pestilence=5|Plague of Rats|Pestilence=6|Curse of Lycanthropy|Pestilence=7|Scourge|Pestilence=8|Create Greater Undead|Pestilence=9|Otyugh Swarm	DESC:Immunity to the effects of all diseases, though clerics with this power can still carry infectious diseases.	ABILITY:Special Ability|AUTOMATIC|Immunity to Disease	
Weather	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Weather=1|Obscuring Mist|Weather=2|Gust of Wind|Weather=3|Call Lightning|Weather=4|Ice Storm|Weather=5|Binding Winds|Weather=6|Cloudwalkers|Weather=7|Control Weather|Weather=8|Whirlwind|Weather=9|Whirlwind (Greater)	DESC:Inclement weather has less of an effect on you. Rain and snow don't penalize your Spot and Search checks. You can move through snow-covered and icy terrain at your normal movement. Wind effects, whether natural or magical, affect you as if you were one size category larger.		
