SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-05
																																				
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page				
Element Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.ShugenjaClassFeatures.SpecialQuality	VISIBLE:YES	DESC:All shugenjas have a favored element: air, earth, fire, or water. A shugenja's choice of specialized element is sometimes determined by the shugenja order in which he studies. At least half the spells a shugenja knows at each spell level must belong to his favored element, and the spell dictated by his order often belongs to that element as well. This is refl ected on Table 1-4, which indicates how many spells of each level must be spells of the shugenja's favored element. At 1st level, for example, the shugenja Kitsu Mari must know at least three 0-level water spells-one water spell determined by his order and two additional water spells, plus two other 0-level spells of any element. He also knows one 1st-level water spell from his order, one additional 1st-level water spell, and one 1st-level spell of any element. Shugenjas automatically gain the benefi ts of the Spell Focus feat (+1 to spell DCs) for spells from their favored element, regardless of its school. As the cost of specializing in one element, a shugenja is prohibited from learning spells associated with a different element. The prohibited element is dictated by the favored element, as described below. The shugenjas of the Order of the Ineffable Mystery can specialize in any of the four elements. The Ineffable Mystery also trains shugenjas who specialize the fifth element, void. (See the void disciple prestige class in Chapter 2.)	KEY:Shugenja ~ Element Focus																										SORTKEY:Class_Shugenja	SOURCEPAGE:CD				
Fire Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.ShugenjaClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Fire spells are destructive and blatant, though they also deal with intelligence, inspiration, and creativity. Water is the prohibited element for fi re shugenjas. The Order of the Consuming Flame specializes in fi re magic.	KEY:Shugenja ~ Element Focus ~ Fire									BONUS:DC|SCHOOL.Fire Shugenja|1																	SORTKEY:Class_Shugenja	SOURCEPAGE:CD				
Water Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.ShugenjaClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Water spells involve transformation, cleansing, healing, and friendship. Fire is the prohibited element for water shugenjas. The Order of the Forbidding Wasteland and the Order of the Gentle Rain specialize in water magic.	KEY:Shugenja ~ Element Focus ~ Water									BONUS:DC|SCHOOL.Water Shugenja|1																	SORTKEY:Class_Shugenja	SOURCEPAGE:CD				
Air Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.ShugenjaClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Air spells are subtle, involving travel, intuition, influence, divination, and illusion. Earth is the prohibited element for air shugenjas. The Order of the All-Seeing Eye and the Order of the Spring Zephyr specialize in air magic.	KEY:Shugenja ~ Element Focus ~ Air									BONUS:DC|SCHOOL.Air Shugenja|1																	SORTKEY:Class_Shugenja	SOURCEPAGE:CD				
Earth Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.ShugenjaClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Earth spells involve resilience and resolve, health and growth, and the strength of its body. Air is the prohibited element for earth shugenjas. The Order of the Impenetrable Crucible and the Order of the Perfect Sculpture specialize in earth magic.	KEY:Shugenja ~ Element Focus ~ Earth									BONUS:DC|SCHOOL.Earth Shugenja|1																	SORTKEY:Class_Shugenja	SOURCEPAGE:CD				
Forbid Fire	CATEGORY:Special Ability	TYPE:ShugenjaClassFeatures.ShugenjaProhibitSchool			KEY:Shugenja ~ Forbid Fire	!PRESUBCLASS:1,Fire Shugenja	PRESUBCLASS:1,Water Shugenja		DEFINE:ShugenjaProhibitFire|0					BONUS:VAR|ShugenjaProhibitFire|1																						
Forbid Water	CATEGORY:Special Ability	TYPE:ShugenjaClassFeatures.ShugenjaProhibitSchool			KEY:Shugenja ~ Forbid Water	!PRESUBCLASS:1,Water Shugenja	PRESUBCLASS:1,Fire Shugenja		DEFINE:ShugenjaProhibitWater|0					BONUS:VAR|ShugenjaProhibitWater|1																						
Forbid Air	CATEGORY:Special Ability	TYPE:ShugenjaClassFeatures.ShugenjaProhibitSchool			KEY:Shugenja ~ Forbid Air	!PRESUBCLASS:1,Air Shugenja	PRESUBCLASS:1,Earth Shugenja		DEFINE:ShugenjaProhibitAir|0					BONUS:VAR|ShugenjaProhibitAir|1																						
Forbid Earth	CATEGORY:Special Ability	TYPE:ShugenjaClassFeatures.ShugenjaProhibitSchool			KEY:Shugenja ~ Forbid Earth	!PRESUBCLASS:1,Earth Shugenja	PRESUBCLASS:1,Air Shugenja		DEFINE:ShugenjaProhibitEarth|0					BONUS:VAR|ShugenjaProhibitEarth|1																						
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A spirit shaman is proficient with the club, dagger, dart, hand axe, javelin, longspear, quarterstaff, shortspear, spear, sling, shortbow, throwing axe, and with light armor and shields. These are the weapons commonly used by the tribal societies in which spirit shamans are found.	KEY:Spirit Shaman ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSpiritShaman	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A spirit shaman casts divine spells from the druid spell list. She can cast any spell she has retrieved, much like a bard or sorcerer can cast any spell she knows without preparing it ahead of time. To retrieve or cast a spell, a spirit shaman must have a Wisdom score of at least 10 + the spell level (Wisdom 10 for 0-level spells, Wisdom 11 for 1st-level spells, and so on). The Diffi culty Class for a saving throw against a spirit shaman's spell is 10 + the spell level + the spirit shaman's Charisma modifi er. Like other spellcasters, a spirit shaman can cast only a certain number of spells of each spell level per day. Her base daily spell allotment is given on Table 1-5: The Spirit Shaman. In addition, she receives bonus spells per day if she has a high Wisdom score (see Table 1-1: Ability Modifi ers and Bonus Spells, page 8 of the Player's Handbook). Like a sorcerer, a spirit shaman knows only a small number of spells. However, each day a spirit shaman may change the spells she knows. When a spirit shaman meditates to regain her daily allotment of spells (see below), she sends forth her spirit guide to bargain with the spirits and retrieve knowledge of the specifi c druid spells she will be able to use that day. She can cast any spell she has retrieved at any time, assuming she has not yet used up her spells per day for that spell level. For example, a 3rd-level spirit shaman can retrieve three 0-level, two 1st-level, and one 2nd-level druid spells. She can cast 0-level spells fi ve times, 1st-level spells four times, and her 2nd-level spell two times in the course of the day. She might end up using the same 0-level spell fi ve times, or one 0-level spell two times and another 0-level spell three times, or any combination that adds up to fi ve uses of any of her 0-level spells. If a spirit shaman knows any metamagic feats, she applies them to her spells when she retrieves her spells for the day. For example, a spirit shaman might choose to retrieve an empowered fl ame strike by using a 6th-level spell retrieved slot. Any time she uses fl ame strike during the ensuing day,she must use a 6th-level spell slot to cast it, and it is always empowered. A spirit shaman could use a 4th-level spell slot and a 6th-level spell slot to retrieve fl ame strike and empowered fl ame strike if she wanted to have both spells available to her in a day. A spirit shaman cannot choose to alter her spells with metamagic feats on the fl y, as other spontaneous casters do. Spirit shamans using metamagic feats do not have an increased casting time as sorcerers do. Each spirit shaman must choose atime at which she must spend 1 hour in quiet meditation to regain her daily allotment of spells and bargain with the spirits for the specifi c spells she knows on that day.	KEY:Spirit Shaman ~ Spells				DEFINE:Caster_Level_Spirit_Shaman|0	DEFINE:Caster_Level_BL_Spirit_Shaman|0				BONUS:CASTERLEVEL|Spirit Shaman|Caster_Level_Spirit_Shaman	BONUS:VAR|Caster_Level_Spirit_Shaman|SpiritShamanLVL+Caster_Level_Bonus	BONUS:VAR|Caster_Level_BL_Spirit_Shaman|charbonusto("PCLEVEL","Spirit Shaman")	BONUS:VAR|Caster_Level_Highest__Divine|Caster_Level_Spirit_Shaman+Caster_Level_BL_Spirit_Shaman|TYPE=Base														SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Spirit Guide	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialQuality	VISIBLE:YES	DESC:All spirit shamans have a spirit guide, a personification of the spirit world. In some sense a spirit shaman and her guide are one being, both knowing and seeing and experiencing the same things. Unlike a familiar, a spirit guide is not a separate entity from a spirit shaman. She is the only one who can perceive or interact with her guide. It exists only inside her own mind and soul. The spirit shaman's spirit guide confers greater awareness of her surroundings, and grants her the Alertness feat. The spirit guide grants additional abilities at 5th and 10th level (see Follow the Guide and Guide Magic, below). The exact form of the spirit guide is chosen by the spirit shaman at 1st level, usually for the qualities it represents, as shown above. The exact form of a spirit guide is purely personal preference, and confers no special advantages or disadvantages.	KEY:Spirit Shaman ~ Spirit Guide				DEFINE:SpiritGuideLVL|0					BONUS:VAR|SpiritGuideLVL|1	BONUS:ABILITYPOOL|Spirit Guide|1								ABILITY:FEAT|AUTOMATIC|Alertness								SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Wild Empathy	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Guided by her insight into animal spirits, a spirit shaman can use body language, vocalizations, and demeanor to improve the attitude of an animal (a monster of the animal type). This ability functions just like a Diplomacy check made to improve the attitude of a person (see Chapter 4: Skills in the Player's Handbook). The spirit shaman rolls 1d20 and adds her spirit shaman level and her Charisma modifi er to determine the wild empathy check result. The typical domestic animal has a starting attitude of indifferent, while wild animals are usually unfriendly. To use wild empathy, the spirit shaman and the animal must be able to study each other, which means that they must be within 30 feet of one another under normal conditions. Generally, infl uencing an animal in this way takes 1 minute (as with infl uencing people, use of this ability might take more or less time). A spirit shaman cannot use this ability to infl uence a magical beast.	KEY:Spirit Shaman ~ Wild Empathy									BONUS:VAR|WildEmpathyBonus|SpiritShamanLVL|TYPE=Base	BONUS:VAR|WildEmpathyMagicalBeastBonus|-1*SpiritShamanLVL								ABILITY:Special Ability|AUTOMATIC|Wild Empathy								SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Chastise Spirits	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Beginning at 2nd level, a spirit shaman can use divine energy granted by her patrons in the spirit world to damage hostile spirits (see the What is a Spirit? sidebar). Chastising spirits is a standard action that deals 1d6 damage/shaman level to all spirits within 30 feet of the shaman. The affected spirits get a Will save (DC 10+ shaman level + Cha modifier) for half damage. When using this ability against incorporeal creatures, a spirit shaman does not have to roll the normal 50%% miss chance-the effect hits the spirits automatically. A spirit shaman can use this ability a number of times per day equal to 3 + her Charisma modifier.	KEY:Spirit Shaman ~ Chastise Spirits									BONUS:VAR|ChastiseSpiritTimes|3+CHA|TYPE=Base	BONUS:VAR|ChastiseSpiritDC|10+CHA+SpiritShamanLVL	BONUS:VAR|ChastiseSpiritDamage|SpiritShamanLVL							ABILITY:Special Ability|AUTOMATIC|Chastise Spirits								SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Detect Spirits	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:The spirit shaman's spirit guide perceives nearby spirits. At will, the spirit shaman can use detect spirits as a spell-like ability. It functions just like detect undead, except it detects creatures that are considered spirits.	KEY:Spirit Shaman ~ Detect Spirits																										SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Blessing of the Spirits	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Starting at 4th level, a spirit shaman can perform a special rite to gain a special blessing. The shaman goes into a meditative state in which she travels to the spirit world. Performing the rite requires 10 minutes; the spirit shaman can only ward herself with this ability and cannot perform the rite for anyone else. The blessing functions just like protection from evil, except it protects against spirits and lasts until it is dismissed or dispelled. If this ability is dispelled, the spirit shaman can recreate it simply by taking 10 minutes to do so.	KEY:Spirit Shaman ~ Blessing of the Spirits																										SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Follow the Guide	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 5th level and higher, a spirit shaman's spirit guide helps her maintain control of her mind. If a spirit shaman is affected by an enchantment spell or effect and fails her saving throw, she can attempt it again 1 round later at the same DC. She only gets this one extra chance to succeed on her saving throw.	KEY:Spirit Shaman ~ Follow the Guide																										SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Ghost Warrior	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Beginning at 6th level, a spirit shaman confers the ghost touch special ability (see Magic Weapon Special Ability Descriptions, page 223 of the Dungeon Master's Guide) to any weapon she holds for as long as she holds it. She also becomes resistant to the touch attacks of incorporeal creatures, and may use her normal Armor Class (not her touch AC) against any touch attack delivered by an incorporeal creature.	KEY:Spirit Shaman ~ Ghost Warrior																										SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Warding of the Spirits	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Starting at 7th level, a spirit shaman can perform a special rite once per day to ward herself and her companions against hostile spirits. Performing the rite requires 1 minute. The warding lasts for 10 minutes per level and otherwise functions like magic circle against evil, except it protects against spirits.	KEY:Spirit Shaman ~ Warding of the Spirits																										SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Spirit Form	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 9th level and higher, a spirit shaman learns how to temporarily transform herself into a spirit. Once per day, as a standard action, she can make herself incorporeal for up to 1 minute. While incorporeal, a spirit shaman gains all the advantages of the incorporeal subtype (see the Glossary of the Monster Manual), including immunity to all nonmagical attack forms, a 50%% chance to ignore damage from any corporeal source, and the ability to enter or pass through solid objects. The spirit shaman loses any armor or natural armor bonus to AC, but gains a defl ection bonus equal to her Charisma modifi er (minimum +1). She has no Strength score against corporeal creatures or objects and cannot make physical attacks against them, but she gains the ability to make a melee touch attack (add the spirit shaman's Dexterity modifi er to her attack roll) that deals 1d6 points of damage to a corporeal target. This effect is treated as a magic weapon for the purpose of overcoming damage reduction. At 15th level and higher, a spirit shaman can use her spirit form twice per day. At 20th level, she can use this ability three times per day.	KEY:Spirit Shaman ~ Spirit Form	DESC:%1/day|SpiritFormTimes			DEFINE:SpiritFormTimes|0					BONUS:VAR|SpiritFormTimes|1+((SpiritShamanLVL-10)/5)																	SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Guide Magic	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Starting at 10th level, as a free action, a spirit shaman can assign her spirit guide the task of concentrating on a spell or spell-like ability that is maintained through concentration. The spirit shaman can act normally while her spirit guide concentrates on the spell. A spirit guide can concentrate on only one spell at a time. If necessary to maintain the spell, the spirit guide makes Concentration checks for the spirit shaman, using the spirit shaman's normal Concentration modifier. A spirit guide does not have to make Concentration checks for circumstances such as the spirit shaman taking damage. The spirit itself is not present for anyone to interrupt or otherwise interact with.	KEY:Spirit Shaman ~ Guide Magic																										SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Recall Spirit	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 11th level, a spirit shaman gains the ability to call back the spirit of a dead creature before the spirit of the deceased has completely left the body. Once per week, she can reconnect a spirit to its body, restoring life to a recently deceased creature. The ability must be used within 1 round of the victim's death. This ability functions like raise dead, except that the raised creature receives no level loss, no Constitution loss, and no loss of spells. The creature is only restored to -1 hit points (but is stabilized).	KEY:Spirit Shaman ~ Recall Spirit																										SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Exorcism	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Starting at 13th level, as a full-round action, a spirit shaman can force a possessing creature or spirit out of the body it inhabits (for example, a ghost with the malevolence ability). To exorcise a possessing creature, she makes a class level check (also adding her Charisma modifi er, if any), against a DC of 10 + the possessing creature's HD + its Charisma modifier (if any). If her result equals or exceeds the DC, she succeeds in forcing the possessor from the body, with the normal results based on its method of possession. A spirit so exorcised cannot attempt to possess the same victim for 24 hours.	KEY:Spirit Shaman ~ Exorcism																		ABILITY:Special Ability|AUTOMATIC|Exorcism								SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
