SOURCELONG:Savage Species 3.0	SOURCESHORT:SS30	SOURCEWEB:http://www.gozzilioni.net																										
																												
###Block: AB																												
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Bonus	Bonus				
Countermoon				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Druid=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One lycanthrope.	DURATION:12 hours	SAVEINFO:Will negates	SPELLRES:Yes	DESC:This spell stops a lycanthrope from changing form, preventing both voluntary shapechanging via the alternate form ability and involuntary shapechanging because of lycanthropy. Material Component: A hair, scale, or other cast-off item from the creature to be affected.	SOURCEPAGE:SS30											
Crawling Darkness				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Cleric=5	COMPS:V, S, DF	CASTTIME:1 round	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You bring into being a shroud of dark, writhing tentacles around your body.	SOURCEPAGE:SS30											
Dawn				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Druid=0|Ranger=1	COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:All creatures in a 15-ft radius burst centered on you.	DURATION:Instantaneous	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:All sleeping creatures in the affected area awaken.	SOURCEPAGE:SS30											
Desiccating Bubble				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=2|Wizard=2	COMPS:S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:3-ft-radius sphere or air.	DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:A globe of supernaturally dry air rolls in whichever direction you point and engulfs those it strikes. Arcane Material Component: A tiny bag or bladder filled with air, and a sprinkle of dust.	SOURCEPAGE:SS30											
Dissonant Chant				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Sonic	CLASSES:Bard=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:10-ft-radius emanation.	DURATION:1 round/level	SAVEINFO:None (see text)	SPELLRES:Yes	DESC:You create a distracting and discordant chant.	SOURCEPAGE:SS30											
Dream Casting				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Mind-Affecting	CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S	CASTTIME:1 hour	RANGE:Unlimited	TARGETAREA:You and one dreamer.	DURATION:1 day/level (see text)	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As the dream spell, except as noted above; also, you can alter the sleeping person's dreams to produce a specific desired effect.	SOURCEPAGE:SS30											
Earth Reaver				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Fire	CLASSES:Cleric=4|Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius spread, +10-ft/level.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:You point at a spot on the ground, and the earth at that point erupts in a shower of rock, dirt, and fire.	SOURCEPAGE:SS30											
Embrace the Wild				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=3|Ranger=3	COMPS:V, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:This spell allows you to adopt the nature and some abilities of a wild animal. Focus: Hide, skin, or feathers of the selected animal, or an item or component of its lair. You must have obtained the focus from the animal yourself.	SOURCEPAGE:SS30											
Extend Tentacles				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=4|Sorcerer=4|Wizard=4	COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Originally developed by medusas, this spell lengthens your tentacles, increasing the reach of your tentacle attacks by 5 feet.	SOURCEPAGE:SS30						TEMPBONUS:PC|WEAPONPROF=Tentacle|REACH|5	TEMPBONUS:PC|WEAPONPROF=Tentacle (Arms)|REACH|5	TEMPBONUS:PC|WEAPONPROF=Tentacle Rake|REACH|5			
Fins to Feet				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:10 minutes/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:This spell transforms tails or finned extremities into humanoid legs and feet.	SOURCEPAGE:SS30											
Flame Whips				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Flaming whip.	DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Your forelimbs transform into flaming whips.	SOURCEPAGE:SS30											
Forestfold				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=4|Ranger=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:As camouflage, except as noted above and that you gain a +20 circumstance bonus on Hide and Move Silently checks.	SOURCEPAGE:SS30						TEMPBONUS:PC|SKILL|Hide,Move Silently|20|TYPE=Circumstance					
Fox's Cunning				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=2|Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The transmuted creature becomes smarter.	SOURCEPAGE:SS30											
#TODO: Fuse Arms: subtracts 2 arms																												
Fuse Arms				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature with at least four arms or tentacles touched.	DURATION:10 minutes/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:You cause a creature's multiple arms or tentacles to fuse together into a single pair of stronger limbs.	SOURCEPAGE:SS30						TEMPBONUS:ANYPC|STAT|STR|4					
Girallon's Blessing				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:10 minutes/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:You give the subject one additional pair of arms for every four caster levels. Material Component: A few strands of girallon hair.	SOURCEPAGE:SS30											
Hailstones				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Cold	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One frigid globe/5 levels.	DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:You create frigid globes that strike your enemies. Material Component: A handful of crystal globes.	SOURCEPAGE:SS30											
Holy Star				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You create a glowing mote of energy that stays near your shoulder, providing light equal to a candle.	SOURCEPAGE:SS30											
Illusory Pit				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Figment		CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Image 10-ft by 10-ft by 20-ft.	DURATION:Permanent	SAVEINFO:Will disbelief (if interacted with)	SPELLRES:No	DESC:This spell creates the illusion of a pit 10 feet square and 20 feet deep. It may be cast on a flat surface (such as a floor) or in an open space (such as on an actual pit to conceal its contents).	SOURCEPAGE:SS30											
Blindsight (Improved)				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=5|Druid=4|Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As blindsight, except as noted above and that the blindsight granted by the spell has a 60-foot range.	SOURCEPAGE:SS30						TEMPBONUS:ANYPC|VAR|BlindsightVisionRange|60|TYPE=Base					
Enlarge (Improved)				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature or one object of up to 10-cu-ft/level in volume.	DURATION:10 minutes/level	SAVEINFO:Fort negates	SPELLRES:YES	DESC:As enlarge, except as noted above.	SOURCEPAGE:SS30											
Reduce (Improved)				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature or one object of up to 10-cu-ft/level in volume.	DURATION:10 minutes/level	SAVEINFO:Fort negates	SPELLRES:YES	DESC:As reduce, except as noted above.	SOURCEPAGE:SS30											
Incarnate Construct				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=9|Sorcerer=9|Wizard=9	COMPS:V, S, M, XP	CASTTIME:8 hours	RANGE:Touch	TARGETAREA:One construct.	DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:This spell turns a humanoid-shaped construct into a living creature. Material Component: The heart of a humanoid that has been dead less than 8 hours. XP Cost: 5,000 XP.	SOURCEPAGE:SS30			XPCOST:5000								
Inky Cloud				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:Cloud that spreads underwater in a 30-ft radius, centered on you.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:The inky cloud created by this spell billows out from your location. Material Component: A small vial containing the ink of a squid or octopus.	SOURCEPAGE:SS30											
Jagged Tooth				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=3|Ranger=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One natural slashing or piercing weapon of target creature.	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As keen edge, except as noted above.	SOURCEPAGE:SS30											
Laogzed's Breath				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone.	DURATION:Instantaneous	SAVEINFO:Fortitude negates; see text	SPELLRES:No	DESC:As stinking cloud, except as noted above and that the nauseating vapors persist for 10 rounds.	SOURCEPAGE:SS30											
Lion's Charge				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=1|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You provide the subject with the powerful charging ability of the lion. Material Component: A hair from a lion's mane.	SOURCEPAGE:SS30											
Low-Light Vision				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Assassin=1|Ranger=1|Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:No	DESC:You give the subject creature lowlight vision.	SOURCEPAGE:SS30						TEMPBONUS:ANYPC|VAR|HasLowLightVision|1|TYPE=Base					
Major Resistance				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Bard=2|Cleric=2|Druid=2|Paladin=2|Sorcerer=2|Wizard=2	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You imbue the subject with a strong magical energy that protects her from harm, granting a +3 resistance bonus on saves. Arcane Material Component: A miniature cloak of fine cloth.	SOURCEPAGE:SS30						TEMPBONUS:ANYPC|SAVE|ALL|3|TYPE=Resistance					
Maw of Chaos				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Chaotic|Force	CLASSES:Sorcerer=9|Wizard=9	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:15-ft-radius emanation.	DURATION:1 round/level	SAVEINFO:Will half (see text)	SPELLRES:Yes	DESC:You create a yawning area of roiling purple-red energy resembling a great mouth. Material Component: A jawbone with teeth.	SOURCEPAGE:SS30											
Minor Servitor				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=7|Sorcerer=5|Wizard=5	COMPS:V, S, M, XP	CASTTIME:1 day	RANGE:Touch	TARGETAREA:One object up to 1-cu-ft/level.	DURATION:Permanent	SAVEINFO:None (object)	SPELLRES:Yes	DESC:You imbue an inanimate object with mobility and a semblance of life. Material Component: A piece or handful of material of the same type as the object to be animated. XP Cost: 250 XP per cubic foot of material affected.	SOURCEPAGE:SS30			XPCOST:250								
Plant Body				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=6	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You imbue the subject with powerful transformative magic, granting it some of the characteristics of the plant type.	SOURCEPAGE:SS30											
Rapid Burrowing				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=2|Druid=1|Ranger=2|Sorcerer=2|Wizard=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:This spell increases the touched creature's burrow speed by 20 feet.	SOURCEPAGE:SS30						TEMPBONUS:PC|MOVEADD|TYPE=Burrow|20					
Rejection				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=6	COMPS:V, S, F/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone.	DURATION:Instantaneous	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:As repulsion, except as noted above.	SOURCEPAGE:SS30											
Scent				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=2|Ranger=2|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You give the subject an enhanced sense of smell, equivalent to the scent ability of some monsters. Arcane Material Component: A sprinkle of mustard and pepper, and a drop of sweat.	SOURCEPAGE:SS30											
Skeletal Guard				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One or more fingerbones.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You create a number of loyal skeletons from fingerbones. Material Component: One fingerbone from a Medium-size creature and one onyx gem worth 50 gp per skeleton to be created. The skeleton that forms from the fingerbone is that type of creature. Material Component: One fingerbone from a Medium-size creature and one onyx gem worth 50 gp per skeleton to be created. The skeleton that forms from the fingerbone is that type of creature.	SOURCEPAGE:SS30		COST:50									
Sonorous Hum				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Sonic	CLASSES:Bard=2|Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:After you cast this spell, the next spell you cast within the duration that requires concentration to maintain is maintained for you until the sonorous hum spell expires.	SOURCEPAGE:SS30											
Sound Lance				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Sonic	CLASSES:Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature or object.	DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Sound lance causes a projectile of intense sonic energy sound to leap unerringly from you to a target within range.	SOURCEPAGE:SS30											
Speak to Allies				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Language-Dependent	CLASSES:Bard=2|Sorcerer=2|Wizard=2	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Any number of creatures, no two of which can be more than 30-ft apart.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:As message, except as noted above and that you and the recipients don't have to mouth the words or whisper, which means that those skilled in reading lips have no opportunity to learn the messages.	SOURCEPAGE:SS30											
Spell Flower				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=1|Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You are able to hold the charge on one touch spell per forelimb of your body as long as you don't use that limb to cast other spells or touch anything with it.	SOURCEPAGE:SS30											
Spider Plague				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning		CLASSES:Cleric=8	COMPS:V, S	CASTTIME:1 round	RANGE:Close	TARGETAREA:1d4+1 summoned creatures.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell summons 1d4+1 celestial (NG) or fiendish (NE) Huge monstrous spiders.	SOURCEPAGE:SS30											
Stalking Spell				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You or creature touched.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As Invisibility (Greater) except as noted above and that the creature is hidden from hearing and scent as well.	SOURCEPAGE:SS30											
Stone Body				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell transforms your body into living stone. Material Component: A small piece of stone that was once part of either a stone golem, a greater earth elemental, or a castle.	SOURCEPAGE:SS30						TEMPBONUS:PC|MISC|SPELLFAILURE|50|TYPE=IronBody.REPLACE	TEMPBONUS:PC|MISC|ACCHECK|8|TYPE=IronBody.REPLACE	TEMPBONUS:PC|MOVEMULT|ALL|.5	TEMPBONUS:PC|STAT|STR|4|TYPE=Enhancement	TEMPBONUS:PC|STAT|DEX|-1*(min(6,DEXSCORE-1))|TYPE=Temporary	TEMPBONUS:PC|VAR|SpellStoneBody|1|TYPE=Temporary
Superior Resistance				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Bard=5|Cleric=5|Druid=5|Sorcerer=5|Wizard=5	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You imbue the subject with a powerful magical energy that protects him from harm, granting a +6 resistance bonus on saves. Arcane Material Component: A miniature cloak of fine cloth.	SOURCEPAGE:SS30						TEMPBONUS:ANYPC|SAVE|ALL|6|TYPE=Resistance					
Undead Mask				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=7	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You imbue the subject with powerful transformative magic, granting it some of the characteristics of the undead type. Material Component: A pinch of vampire dust.	SOURCEPAGE:SS30											
Vile Death				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Evil	CLASSES:Cleric=9|Sorcerer=9|Wizard=9	COMPS:V, S, M/DF	CASTTIME:1 hour	RANGE:Touch	TARGETAREA:One corporeal undead creature.	DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You summon the spirit of a fiend from the depths of Hell or the Abyss and bind it into the body of a corporeal undead creature. Arcane Material Component: A bit of brimstone.	SOURCEPAGE:SS30											
Vipergout				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:See text	CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:1d4+3 summoned creatures.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell summons 1d4+3 fiendish (CE) or celestial (CG) Medium-size vipers (snakes), which leap forth from your location to attack your enemies. Material Component: A snakeskin.	SOURCEPAGE:SS30											
Wall of Limbs				TYPE:Spell	SCHOOL:Evocation			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S	CASTTIME:1 round	RANGE:Medium	TARGETAREA:Wall of whirling limbs up to 20-ft long/level, or a ring of whirling limbs with a radius of up to 5-ft/2 levels, either form 20-ft high.	DURATION:1 round/level	SAVEINFO:Reflex half or Reflex negates (see text)	SPELLRES:Yes	DESC:An immobile, vertical curtain of whirling limbs springs into existence.	SOURCEPAGE:SS30											
Weapon of Energy			VARIANTS:Acid|Cold|Electricity|Fire|Sonic	TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:See text	CLASSES:Cleric=4|Sorcerer=4|Wizard=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:One weapon.	DURATION:1 round/level	SAVEINFO:Fortitude negates (harmless, object)	SPELLRES:No	DESC:You cause a weapon to gain the ability to deal energy damage in addition to its other abilities, similar to how a flaming burst weapon deals extra fire damage on a hit or critical hit.	SOURCEPAGE:SS30											
Wings of the Sea				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=2|Druid=1|Ranger=1|Sorcerer=2|Wizard=2	COMPS:S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You or person touched.	DURATION:1 minute/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:This spell increases the touched creature's swim speed by 30 feet. Material Component: A drop of water.	SOURCEPAGE:SS30						TEMPBONUS:ANYPC|MOVEADD|TYPE=Swim|30					
																												
#																												
Planar Ally.COPY=Planar Ally	KEY:Planar Ally ~ Water Elemental																											
