SOURCELONG:Savage Species 3.0	SOURCESHORT:SS30	SOURCEWEB:http://www.gozzilioni.net
																																													
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat			Stackable?	Multiple?	Choose	Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page			
Cumbrous Will	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Iron Will																		DESC:Before rolling a Will save, you can decide to activate this feat, which gives you a +6 bonus on your saving throw. After the saving throw is resolved, regardless of the result, you are shaken until the end of the encounter. A shaken character takes a -2 morale penalty on attack rolls, checks, and saving throws.																	SOURCEPAGE:SS30			
Deadly Poison	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Virulent Poison									PRESTAT:1,CON=19		PRETEXT:poison special attack that deals ability damage as secondary damage.							DESC:Your poison attack has the potential to deal more potent secondary damage than it otherwise could. If the subject of the attack fails the second saving throw, the poison deals double its normal secondary damage.																	SOURCEPAGE:SS30			
Deep Denizen	CATEGORY:FEAT	TYPE:General.Background	VISIBLE:YES															PRETEXT:Underground as sole terrain type.							DESC:Living underground has made you more reliant on nonvisual senses than surface dwellers. You gain a +2 competence bonus on Listen checks and a +4 competence bonus when tracking by scent.													BONUS:SKILL|Listen|2|TYPE=Competence				SOURCEPAGE:SS30	BONUS:SITUATION|Survival=Track by scent|4|TYPE=Competence		
Desert Dweller	CATEGORY:FEAT	TYPE:General.Background	VISIBLE:YES															PRETEXT:Desert terrain type.							DESC:As a desert dweller, you are more hardy than those who live in more gentle climates. Your Fortitude save DC to avoid subdual damage from heat is reduced to 10 (see Heat Dangers in Chapter 3 of the DUNGEON MASTER's Guide). In addition, you can go without water for a number of hours equal to 24 + twice your Constitution score (see Starvation and Thirst Dangers in Chapter 3 of the DUNGEON MASTER's Guide).																	SOURCEPAGE:SS30			
Detach	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CON=19						PREVARGTEQ:RegenerationRate,1			DESC:As an attack action, you can detach a portion of your body that can make a melee attack other than a bite (such as a paw, tail, or tentacle) and use it as a thrown weapon (range increment 20 feet). The thrown member deals its base damage plus your Strength bonus (not 1 1/2 times your Strength bonus). Special attacks that deal damage, such as poison and acid, take effect normally from the thrown member. Ability damage, ability drain, and energy drain attacks cannot be made with the detached body part. Special: Tearing off a piece of yourself is traumatic. You take subdual damage equal to one-quarter of your full normal hit point total. Damage reduction cannot reduce the amount of damage taken in this way.																	SOURCEPAGE:SS30			
Dust Cloud	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Combat Reflexes									PRESTAT:2,DEX=19,INT=19		PRETEXT:Wings or Tail.				PRESIZEGTEQ:H			DESC:As an attack action, you can sweep a limb across the ground and create a dust cloud. This hemispherical cloud has a radius in feet equal to 20 x your Hit Dice. Creating the cloud has a 50%% chance to snuff unprotected flames (candles, torches, small campfires) of nonmagical origin in the area. The cloud obscures vision, and creatures caught within are blinded while inside and for 1 round after emerging. Any creature caught in the cloud must succeed on a Concentration check (DC 10 + 1/2 your Hit Dice + your Str modifier) to cast a spell. The cloud lasts a number of rounds equal to 1 + your Dexterity modifier. Special: A flying creature with this feat must be within reach of the ground to create the effect, but need not actually be in contact with it.																	SOURCEPAGE:SS30			
Extended Reach	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES															PRETEXT:Nonrigid body or nonrigid attack form such as a tentacle, feeler or pseudopod.				PRESIZEGTEQ:S			DESC:Your body or a part of your body with which you can deliver a melee attack is boneless and flexible, allowing you to threaten a larger than normal area with melee attacks. Add +5 feet to your normal reach.															BONUS:COMBAT|REACH|5		SOURCEPAGE:SS30			
Extra Item Space	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES															PRETEXT:Multiple limbs or heads.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE				DESC:You can wear one additional magic item beyond the normal limit for the item type in question. The multiple limbs you have must correspond to the limb on which that item type is normally worn. For example, a character is normally limited to two rings, but a marilith (with six arms) could wear three rings with this feat. Likewise, an ettin (with two heads) could wear two periapts or necklaces instead of the one normally allowed. Special: You can take this feat more than once. Each time, it adds a new item space. You cannot have more item spaces than you have limbs or body parts of the appropriate kind.																	SOURCEPAGE:SS30			
Final Strike	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES															PRERACE:1,RACESUBTYPE=Acid,RACESUBTYPE=Air,RACESUBTYPE=Cold,RACESUBTYPE=Earth,RACESUBTYPE=Electricity,RACESUBTYPE=Fire,RACESUBTYPE=Water							DESC:When you are killed (that is, when your hit points drop to -10 or lower), your body explodes in a final strike-a blast of elemental destruction-according to the table below. Everything within 60 feet is subject to the effect. Your final strike deals 1d6 points of damage per Hit Die, up to a maximum of 20d6. Each creature in the area may make a successful Reflex save (DC 10 + 1/2 your Hit Dice + your Con modifier) to halve the damage dealt. The blast also has a secondary effect, which can be reduced or negated (as shown on the table below) by a second successful save of the type indicated (same DC_as the save against the primary damage). Special: A final strike renders your corpse unsuitable for raise dead or resurrection spells. Only true resurrection, miracle, or wish can restore life.																	SOURCEPAGE:SS30			
Fling Enemy	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.Improved Grab									PRESTAT:1,STR=23						PRESIZEGTEQ:H			DESC:You can make a grapple check at a -20 penalty against an opponent at least two size categories smaller than you. If you succeed, on your next action you can use an attack action to fling the held opponent. The range increment for the thrown creature is 120 feet. A creature may be thrown horizontally or vertically. If thrown vertically, it takes normal falling damage. If thrown horizontally, it takes damage as if it had fallen half the distance thrown (rounded down). For example, if a hurled orc is thrown horizontally 170 feet, it takes 8d6 points of damage. You may also fling the creature at another creature. To do so, make an attack roll at a -4 penalty, with appropriate range penalties, against the target creature. If you hit, both creatures take the amount of damage that the thrown creature would have taken otherwise, as given above.																	SOURCEPAGE:SS30			
Gape of the Serpent	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.Swallow Whole																		DESC:You can swallow a creature of up to your own size category. Like a snake, you can stretch your mouth to an outlandish extent to accommodate immense prey. However, this process is time-consuming. If your second grapple check is successful after you have established a hold against a creature larger than you could swallow normally, you begin to swallow the held creature. On the following round, you must make an additional grapple check to complete the swallowing. The held creature can fight or try to break the grapple as normal while you are attempting to swallow it. Special: Your gullet can hold one creature of the maximum size; other maximum numbers of swallowed creatures remain the same.																	SOURCEPAGE:SS30			
Grass Trekker	CATEGORY:FEAT	TYPE:General.Background	VISIBLE:YES															PRETEXT:Plains terrain type.							DESC:You are a nomad of the steppes, used to traveling long distances, often on foot. You gain a +2 competence bonus on Jump checks. In addition, you do not need to make Fortitude saves when making a forced march until you have traveled for 12 hours (see Movement in Chapter 9 of the Player's Handbook). The save DC for longer travel is 10 + 1 per hour beyond 12.													BONUS:SKILL|Jump|2|Competence				SOURCEPAGE:SS30			
Great Flyby Attack	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Flyby Attack											PREMOVE:1,Fly=1							DESC:Using this feat is a full-round action. When flying, you can move up to your fly speed in a straight line and attack a number of opponents equal to your Dexterity bonus. All targets must be within your reach along the line of your movement. Make one attack roll, add the appropriate modifiers, and compare the result to the AC of each opponent you are attacking. If any hits are successful, make one damage roll and add the appropriate modifiers. Each successful hit does the full damage to that creature; do not divide the result of the damage roll among the targets. Targets of your attack do not get attacks of opportunity against you, but other opponents that would be entitled to attacks of opportunity may take them.																	SOURCEPAGE:SS30			
Greater Multigrab	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.Improved Grab	PREABILITY:1,CATEGORY=FEAT,Multigrab								PRESTAT:2,STR=19,DEX=15									DESC:When grappling an opponent with only the part of your body that made the attack, you take no penalty on grapple checks to maintain the hold.																	SOURCEPAGE:SS30			
Greater Multiweapon Fighting	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES		PRETOTALAB:15		PREABILITY:2,CATEGORY=FEAT,Improved Multiweapon Fighting,Multiweapon Fighting									PRESTAT:1,DEX=19		PREHANDSGTEQ:3							DESC:You may make up to three attacks with each offhand weapon that you wield, albeit with a -10 penalty on the third attack with each such weapon.															BONUS:COMBAT|SECONDARYATTACKS|1		SOURCEPAGE:SS30	SERVESAS:ABILITY=FEAT|Greater Two-Weapon Fighting		
Greater Mighty Roar	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Mighty Roar											PRERACE:1,RACETYPE=Animal,RACETYPE=Magical Beast				PRESIZEGTEQ:L			DESC:This feat functions like Mighty Roar, except that each opponent that fails a Will save (DC 10 + 1/2 your Hit Dice + your Cha modifier) is panicked for 2d6 rounds. A panicked creature takes a -2 morale penalty on attack rolls, saves, and checks, has a 50%% chance to drop what it is holding, and runs away from you as quickly as it can. The effects of being panicked supersede the effects of being shaken.																	SOURCEPAGE:SS30			
Improved Assume Supernatural Ability	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Assume Supernatural Ability									PRESTAT:1,WIS=17		PRETEXT:Ability to assume a new form magically							DESC:This feat functions like Assume Supernatural Ability, except that you do not take the -2 penalty on all attack rolls, saves, skill checks, and ability checks when using it. Special: You can take this feat multiple times, but you cannot apply it more than once to the same special ability. Each time you take this feat, it applies to a different special ability.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS30			
Improved Flyby Attack	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Dodge,Flyby Attack,Mobility											PREMOVE:1,Fly=1							DESC:When flying, you can take a move action (including a dive) and another partial action at any point during the move. If this partial action is an attack, you incur no attacks of opportunity for moving through areas threatened by your target. You cannot take a second move action during a round when you make a flyby attack.																	SOURCEPAGE:SS30			
Improved Multiattack	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Multiattack											PREWEAPONPROF:3,TYPE.Natural							DESC:The usual -5 penalty on attack rolls for secondary attacks does not apply to your secondary attacks with natural weapons. The damage bonus for such attacks is still only 1/2 your Strength bonus, if any.									BONUS:COMBAT|TOHIT-SECONDARY|2								SOURCEPAGE:SS30			
Improved Multiweapon Fighting	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES		PRETOTALAB:9		PREABILITY:2,CATEGORY=FEAT,Multiweapon Fighting				PREHANDSGTEQ:3					PRESTAT:1,DEX=15									DESC:In addition to the single extra attack you get each round with each off-hand weapon from Multiweapon Fighting, you get a second extra attack with each such weapon, albeit at a -5 penalty.																	SOURCEPAGE:SS30	SERVESAS:ABILITY=FEAT|Improved Two-Weapon Fighting		
Improved Scent	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Scent																		DESC:You can detect approaching enemies and sniff out hidden foes within 60 feet. For strong scents, such as smoke or rotting garbage, double these ranges. Overpowering scents, such as skunk musk or troglodyte stench, can be detected at triple normal range.																	SOURCEPAGE:SS30			
Improved Turn Resistance	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES															PRERACE:1,RACETYPE=Undead							DESC:You are less easily affected by clerics or paladins than you normally would be (see Turn and Rebuke Undead in Chapter 8 of the Player's Handbook). When resolving a turn, rebuke, command, or bolster attempt, add 4 to your character level (monster Hit Dice plus class levels) to determine your Hit Dice for turn, rebuke, command, and bolster attempts. For example, a 4 HD wight with this feat is treated as an 8 HD undead for the purpose of turn, rebuke, command, and bolster attempts, even though it is a 4 HD creature for any other purpose.														BONUS:VAR|TurnResistanceBonus|4			SOURCEPAGE:SS30			
Improved Web	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES															PRETEXT:Ability to create web at least twice per day.							DESC:Add +2 to the DC to escape or burst your webs. You may take a full-round action to attack with your webs, and if you do so, you may attack one additional target per point of Dexterity bonus you have. No such target may be more than 10 feet from another target. Using this feat requires two of the daily uses of your web ability.																	SOURCEPAGE:SS30			
Inured to Energy (Acid)	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Resistance To Acid																		DESC:Your existing resistance to one type of energy increases by 10. You can use this feat only to enhance existing resistances, not to gain resistance to a new type of energy. For example, a demon can increase its resistance to acid, cold, or fire, but it cannot gain sonic resistance with this feat. Special: You can gain this feat multiple times. Its effects stack. Each time you take the feat, you can either apply it to another type of energy to which you already have resistance, or increase an existing resistance.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|AcidResistanceBonus|10			SOURCEPAGE:SS30			
Inured to Energy (Cold)	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Resistance To Cold																		DESC:Your existing resistance to one type of energy increases by 10. You can use this feat only to enhance existing resistances, not to gain resistance to a new type of energy. For example, a demon can increase its resistance to acid, cold, or fire, but it cannot gain sonic resistance with this feat. Special: You can gain this feat multiple times. Its effects stack. Each time you take the feat, you can either apply it to another type of energy to which you already have resistance, or increase an existing resistance.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|ColdResistanceBonus|10			SOURCEPAGE:SS30			
Inured to Energy (Electricity)	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Resistance To Electricity																		DESC:Your existing resistance to one type of energy increases by 10. You can use this feat only to enhance existing resistances, not to gain resistance to a new type of energy. For example, a demon can increase its resistance to acid, cold, or fire, but it cannot gain sonic resistance with this feat. Special: You can gain this feat multiple times. Its effects stack. Each time you take the feat, you can either apply it to another type of energy to which you already have resistance, or increase an existing resistance.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|ElectricityResistanceBonus|10			SOURCEPAGE:SS30			
Inured to Energy (Fire)	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Resistance To Fire																		DESC:Your existing resistance to one type of energy increases by 10. You can use this feat only to enhance existing resistances, not to gain resistance to a new type of energy. For example, a demon can increase its resistance to acid, cold, or fire, but it cannot gain sonic resistance with this feat. Special: You can gain this feat multiple times. Its effects stack. Each time you take the feat, you can either apply it to another type of energy to which you already have resistance, or increase an existing resistance.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|FireResistanceBonus|10			SOURCEPAGE:SS30			
Involuntary Rage	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Toughness									PRESTAT:1,CON=20									DESC:If you survive 50 points of damage from a single attack and make your Fortitude save (see Massive Damage in Chapter 8 of the Player's Handbook), on your next action you gain +4 to Strength, +4 to Constitution, and -2 to Armor Class. These adjustments last until the end of the combat, at which time you become fatigued. For details on being fatigued, see the Condition Summary in Chapter 3 of the DUNGEON MASTER's Guide..																	SOURCEPAGE:SS30	TEMPBONUS:PC|STAT|STR|4	TEMPBONUS:PC|STAT|CON|4	TEMPBONUS:PC|COMBAT|AC|-2
Irresistible Gaze	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.Gaze																		DESC:Add +2 to the DC of all saving throws against your gaze attack. Special: The benefit of this feat stacks with the benefit provided by the Ability Focus feat (see above).																	SOURCEPAGE:SS30			
Mighty Leaping	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Dodge,Mobility						PRESKILL:1,Jump=9			PRESTAT:1,STR=21									DESC:You gain a +10 competence bonus on Jump checks. If you intentionally jump down from a height, a successful Jump check (DC 15) lets you take damage as if you had fallen 20 feet less than you actually did.													BONUS:SKILL|Jump|10|TYPE=Competence				SOURCEPAGE:SS30			
Mighty Roar	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES															PRERACE:1,TYPE=Animal,TYPE=Magical Beast				PRESIZEGTEQ:L			DESC:Once per day, you can use this feat as a standard action. Your mighty roar affects every opponent within 30 feet of you that can hear your roar and has a character level lower than yours. An affected opponent must make a successful Will save (DC 10 + 1/2 your Hit Dice + your Cha modifier) to negate the effect. Failure means that opponent becomes shaken for 1d6 rounds. A shaken creature takes a -2 morale penalty on attack rolls, checks, and saving throws.																	SOURCEPAGE:SS30			
Multigrab	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Improved Grab									PRESTAT:1,STR=17									DESC:When grappling an opponent with the part of your body that made the attack, you take only a -10 penalty on grapple checks to maintain the hold.																	SOURCEPAGE:SS30			
Multitasking	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:3,CATEGORY=FEAT,Improved Multiweapon Fighting,Multiattack,Multiweapon Fighting				PREHANDSGTEQ:4					PRESTAT:2,DEX=15,INT=15									DESC:If you have four or more arms, you can use each pair of arms to perform a distinct partial action. All such partial actions occur simultaneously. Thus, you could attack with one or two arms while using a magic item, reloading a crossbow, or casting a spell with two other arms.																	SOURCEPAGE:SS30			
Multivoice	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:4,CATEGORY=FEAT,Improved Two-Weapon Fighting,Multiattack,Quicken Spell,Two-Weapon Fighting									PRESTAT:2,DEX=15,INT=15		PRETEXT:Two or more heads.							DESC:As a full-round action, you can cast one additional spell (or use a spell-like ability in combination with a spell or another spell-like ability) each round. Each spell used in this way must have a casting time of 1 action; a spell-like ability must also take no more than a standard action to use. Using this feat provokes an attack of opportunity. If your concentration is interrupted during this simultaneous casting or spell-like ability use, whether by taking damage or by some other means, a Concentration check is required for each spell or spell-like ability. Failing either Concentration check negates both spells or spelllike abilities. You can also use one head to cast a spell or use a spell-like ability while another head activates a head-based special attack, such as a breath weapon or an eye ray. You still cannot exceed the limit of one quickened spell per round (assuming you also have the Quicken Spell feat) when using this feat.																	SOURCEPAGE:SS30			
Narrowed Gaze	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.Gaze									PRESTAT:1,INT=13									DESC:You may choose to limit your gaze attack to an active gaze. Doing so prevents you from accidentally affecting friends with your gaze.																	SOURCEPAGE:SS30			
Pain Mastery	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Toughness									PRESTAT:1,CON=20									DESC:You take damage normally, but every 50 points of damage you take (if you survive the attack) automatically increases your Strength by +2. This bonus lasts until the end of the encounter, after which you are exhausted. See the Condition Summary in Chapter 3 of the DUNGEON MASTER's Guide for the effects of being exhausted.																	SOURCEPAGE:SS30	TEMPBONUS:PC|STAT|STR|2		
Peak Hopper	CATEGORY:FEAT	TYPE:General.Background	VISIBLE:YES															PRETEXT:Hill or Mountain terrain type.							DESC:Your alpine environment has made you more surefooted. You gain a +2 competence bonus on Balance and Climb checks.													BONUS:SKILL|Balance,Climb|2|TYPE=Competence				SOURCEPAGE:SS30			
Pervasive Gaze	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.Gaze									PRESTAT:1,INT=13									DESC:A creature that averts its eyes has only a 25%% chance to avoid the need for a saving throw against your gaze attack. Special: This feat does not affect eye rays, such as those of a beholder.																	SOURCEPAGE:SS30			
Piercing Gaze	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.Gaze	PREABILITY:1,CATEGORY=FEAT,Irresistible Gaze								PRESTAT:2,INT=13,CHA=15									DESC:Benefit: Because of the sheer force of your presence, you add 30 feet to the range of your gaze attack.																	SOURCEPAGE:SS30			
Poison Immunity	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Resistance To Poison],[PREABILITY:1,CATEGORY=FEAT,Poison Resistance]											PRETEXT:Poison special attack as an extraordinary ability.							DESC:our poisonous nature grants you immunity to poison attacks.																	SOURCEPAGE:SS30	ABILITY:Special Ability|AUTOMATIC|Immunity To Poison		
Poison Resistance	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES															PRETEXT:Poison special attack as an extraordinary ability.							DESC:Your poisonous nature grants you a greater than normal ability to withstand poison attacks. You gain a +2 competence bonus on your Fortitude saves to resist the effects of poison. If a creature of the same kind as you produces the poison, this bonus is +4 instead, assuming that you are not already immune to the poison of your own kind.																	SOURCEPAGE:SS30	ABILITY:Special Ability|AUTOMATIC|Resistance To Poison	BONUS:VAR|PoisonResistanceBonus|2|TYPE=Competence	
Power Dive	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,STR=15		PREMOVE:1,Fly=1				PREVARGTEQ:Maneuverability,3			DESC:When flying, you can dive and land on an opponent to deal additional damage. Using this feat is a standard action, and it can affect only creatures one or more size categories smaller than you. To use this feat, make an overrun attack, but the opponent cannot choose to avoid you. If you knock down the target, you may make an additional slam attack (at the usual +4 attack bonus against prone opponents). The attack deals the base damage given on the table below for your size category plus 1 1/2 times your Strength bonus (rounded down). Special: If you fail in your overrun attempt and are tripped in turn, you are knocked down, and you deal the slam damage for the attack to yourself.																	SOURCEPAGE:SS30			
Prehensile Tail	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Two-Weapon Fighting									PRESTAT:1,STR=13		PRETEXT:Tail attack.							DESC:You can use your tail as an extra "hand." It can grasp melee weapons and use them in combat, although the normal penalties for using an off-hand weapon apply. If you have two hands, your tail counts as a third hand for the purpose of the Multiweapon Fighting feat and all feats that use Multiweapon Fighting as a prerequisite. You can also use your tail as a "hand" to assist in grapple checks and Climb checks. You gain a +2 competence bonus on all such checks.													BONUS:SKILL|Climb|2|TYPE=Competence				SOURCEPAGE:SS30			
