SOURCELONG:Savage Species 3.0	SOURCESHORT:SS30	SOURCEWEB:http://www.gozzilioni.net
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Bloodcurling Howl	CATEGORY:Special Ability	TYPE:GhostBruteTemplateTrait.GhostBruteSpecialAttack.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The mournful howling of a ghost brute chills the living to the core. The creature can howl as a standard action. All living creatures within a 30-foot radius must succeed on a Will save (DC %1) or become frightened for 2d4 rounds; those more than 30 feet away but within 300 feet must succeed on a Will save or become shaken for 2d4 rounds. This is a sonic, necromantic, mind-affecting fear effect. A creature that successfully saves against the bloodcurdling howl cannot be affected by the same ghost brute's howl for one day.|GhostBruteAbilityDC	KEY:Ghost Brute ~ Bloodcurling Howl																											SOURCEPAGE:SS30
Corrupting Touch	CATEGORY:Special Ability	TYPE:GhostBruteTemplateTrait.GhostBruteSpecialAttack.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A ghost brute that hits a living target with its corrupting touch attack deals 1d4 points of damage. Against ethereal opponents, it adds its Strength modifier to attack and damage rolls. Against material opponents, it adds its Dexterity modifier to attack rolls only.	KEY:Ghost Brute ~ Corrupting Touch																											SOURCEPAGE:SS30
Loom	CATEGORY:Special Ability	TYPE:GhostBruteTemplateTrait.GhostBruteSpecialAttack.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A ghost brute can make itself more intimidating by exaggerating its natural size. It can appear up to two sizes larger than normal for 10 minutes each day, which need not be continuous. This enlargement is illusory; the creature's attack bonus and Armor Class remain unchanged. However, the ghost brute gains a +4 circumstance bonus on Bluff and Intimidate checks while Enlarged.	KEY:Ghost Brute ~ Loom																											SOURCEPAGE:SS30
Slavering Doom	CATEGORY:Special Ability	TYPE:GhostBruteTemplateTrait.GhostBruteSpecialAttack.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A ghost brute's jaws drip with a glowing ectoplasmic drool that exists in both ethereal and corporeal form. The ectoplasm dissipates on contact with nonliving material, but if it touches a living being, that opponent must make a successful Fortitude save (DC %1) or take 1d6 points of negative energy damage. The drool can be delivered through a bite attack against an ethereal opponent, or a melee touch attack against an opponent on the Material Plane. Alternatively, the drool can simply be sprayed onto a nearby creature as a ranged touch attack.|GhostBruteAbilityDC	KEY:Ghost Brute ~ Slavering Doom																											SOURCEPAGE:SS30
Turn Resistance	CATEGORY:Special Ability	TYPE:GhostBruteTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A ghost brute has +2 turn resistance.	KEY:Ghost Brute ~ Turn Resistance									BONUS:VAR|TurnResistanceBonus|2																		SOURCEPAGE:SS30
Tremorsense	CATEGORY:Special Ability	TYPE:InsectileTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An insectile creature can automatically sense the location of anything within 60 feet that is in contact with the ground.	KEY:Insectile ~ Tremorsense									BONUS:VAR|TremorsenseRange|60|TYPE=Base																		SOURCEPAGE:SS30
Wide Vision	CATEGORY:Special Ability	TYPE:InsectileTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Because of its multiple eyes and wide angle of vision, an insectile creature has a +4 racial bonus on Spot checks and cannot be flanked.	KEY:Insectile ~ Wide Vision									BONUS:SKILL|Spot|4|TYPE=Racial									ABILITY:Special Ability|AUTOMATIC|Uncanny Dodge ~ Cannot be flanked									SOURCEPAGE:SS30
Breath Weapon	CATEGORY:Special Ability	TYPE:MonstrousBeastTemplateTrait.MonstrousBeastSpecialAttack.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-foot cone, once every 2d4 rounds, damage %2d%3 cold, Reflex DC %4 half. The save DC is Constitution based.|BreathWeaponCon|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Monstrous Beast ~ Breath Weapon ~ Cold	PRETEXT:verify CR manual SS, pag 123			DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponCone|30	BONUS:VAR|BreathWeaponDice|2	BONUS:VAR|BreathWeaponDamageDie|6|TYPE=Base	BONUS:VAR|BreathWeaponDC|MonstrousBeastBaseDC+CON	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon	ABILITY:Special Ability|AUTOMATIC|Monstrous Beast ~ Cold Subtype	BONUS:ABILITYPOOL|Monstrous Beast Special Quality|-1							SOURCEPAGE:SS30
Breath Weapon	CATEGORY:Special Ability	TYPE:MonstrousBeastTemplateTrait.MonstrousBeastSpecialAttack.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-foot cone, once every 2d4 rounds, damage %2d%3 fire, Reflex DC %4 half. The save DC is Constitution based.|BreathWeaponCon|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Monstrous Beast ~ Breath Weapon ~ Fire	PRETEXT:verify CR manual SS, pag 123			DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponCone|30	BONUS:VAR|BreathWeaponDice|2	BONUS:VAR|BreathWeaponDamageDie|6|TYPE=Base	BONUS:VAR|BreathWeaponDC|MonstrousBeastBaseDC+CON	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon	ABILITY:Special Ability|AUTOMATIC|Monstrous Beast ~ Fire Subtype	BONUS:ABILITYPOOL|Monstrous Beast Special Quality|-1							SOURCEPAGE:SS30
Breath Weapon	CATEGORY:Special Ability	TYPE:MonstrousBeastTemplateTrait.MonstrousBeastSpecialAttack.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-foot cone, once every 2d4 rounds, damage %2d%3 sonic, Reflex DC %4 half. The save DC is Constitution based.|BreathWeaponCon|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Monstrous Beast ~ Breath Weapon ~ Sonic	PRETEXT:verify CR manual SS, pag 123			DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponCone|30	BONUS:VAR|BreathWeaponDice|2	BONUS:VAR|BreathWeaponDamageDie|6|TYPE=Base	BONUS:VAR|BreathWeaponDC|MonstrousBeastBaseDC+CON	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon	ABILITY:Special Ability|AUTOMATIC|Monstrous Beast ~ Blindsight	BONUS:ABILITYPOOL|Monstrous Beast Special Quality|-1							SOURCEPAGE:SS30
Charm	CATEGORY:Special Ability	TYPE:MonstrousBeastTemplateTrait.MonstrousBeastSpecialAttack.SpecialAttack.SpellLike	VISIBLE:YES	DESC:The key ability score for charm is Charisma, a successful Will save negates the effect, and the minimum Challenge Rating to qualify for the ability is 1. This ability functions like a charm monster spell (caster level equal to Hit Dice; range 30 feet).	KEY:Monstrous Beast ~ Charm	PRETEXT:minimum CR 1																	SPELLS:Innate|TIMES=3|CASTERLEVEL=HD|Charm Monster,14+CHA									SOURCEPAGE:SS30
Petrifying Gaze	CATEGORY:Special Ability	TYPE:MonstrousBeastTemplateTrait.MonstrousBeastSpecialAttack.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Turn to stone permanently, range 30 feet; Fortitude DC %1 negates. The save DC is Charisma-based.|PetryfingGazeDC	KEY:Monstrous Beast ~ Petrifying Gaze	PRETEXT:minimum CR 5			DEFINE:PetrifyingGazeDC|0					BONUS:VAR|PetrifyingGazeDC|MonstrousBeastBaseDC+WIS	BONUS:VAR|PetrifyingGazeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Petrifying Gaze)								ABILITY:Ability Focus|AUTOMATIC|Petrifying Gaze									SOURCEPAGE:SS30
Poison	CATEGORY:Special Ability	TYPE:MonstrousBeastTemplateTrait.MonstrousBeastSpecialAttack.SpecialAttack.Extraordinary.Poison	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d6 STR, DEX, or WIS or 1d4 CON, secondary damage 1d6 STR, DEX, or WIS or 1d4 CON. The save DC is Constitution-based.|PoisonDC	KEY:Monstrous Beast ~ Poison	PRETEXT:minimum CR 3			DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:SS30
Blindsight	CATEGORY:Special Ability	TYPE:MonstrousBeastTemplateTrait.MonstrousBeastSpecialQuality.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A monstrous beast can ascertain its surroundings by nonvisual means (mostly hearing and scent, but also by noticing vibrations and other environmental clues). This ability enables it to discern objects and creatures within 100 feet. A sonic breath weapon provides this special quality.	KEY:Monstrous Beast ~ Blindsight									BONUS:VAR|BlindsightRange|100|TYPE=Base																		SOURCEPAGE:SS30
Damage Reduction	CATEGORY:Special Ability	TYPE:MonstrousBeastTemplateTrait.MonstrousBeastSpecialQuality.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A Small or smaller monstrous beast gains damage reduction 5/+1. A Medium-size to Huge creature gains damage reduction 10/+1. A Huge or larger creature gains damage reduction 15/+1.	KEY:Monstrous Beast ~ Damage Reduction				DEFINE:MonstrousBeastDR|0					BONUS:VAR|MonstrousBeastDR|5|PRESIZELTEQ:S	BONUS:VAR|MonstrousBeastDR|5|PRESIZELTEQ:H	BONUS:VAR|MonstrousBeastDR|5|PRESIZELTEQ:C							DR:MonstrousBeastDR/Magic									SOURCEPAGE:SS30
Telepathy	CATEGORY:Special Ability	TYPE:MonstrousBeastTemplateTrait.MonstrousBeastSpecialQuality.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A monstrous beast can communicate telepathically with all creatures within 100 feet that have a language, and with all associated creatures. (For example, a monstrous cat can communicate with other felines).	KEY:Monstrous Beast ~ Telepathy									BONUS:VAR|TelepathyRange|100																		SOURCEPAGE:SS30
Circle of Protection against Chaos	CATEGORY:Special Ability	TYPE:MonstrousBeastTemplateTrait.MonstrousBeastSpecialQuality.SpecialQuality.SpellLike	VISIBLE:YES	DESC:The creature is continuously affected by a circle of protection effect against chaos, evil, good or law.	KEY:Monstrous Beast ~ Circle of Protection														STACK:NO	MULT:YES	CHOOSE:STRING|Chaos|Evil|Good|Law	SELECT:1										SOURCEPAGE:SS30
Cold Subtype	CATEGORY:Special Ability	TYPE:MonstrousBeastTemplateTrait.MonstrousBeastSpecialQuality.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A monstrous beast gains the cold subtype.	KEY:Monstrous Beast ~ Cold Subtype																		TEMPLATE:Monstrous Beast ~ Cold Subtype									SOURCEPAGE:SS30
Fire Subtype	CATEGORY:Special Ability	TYPE:MonstrousBeastTemplateTrait.MonstrousBeastSpecialQuality.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A monstrous beast gains the fire subtype.	KEY:Monstrous Beast ~ Fire Subtype																		TEMPLATE:Monstrous Beast ~ Fire Subtype									SOURCEPAGE:SS30
Superior Two-Weapon Fighting	CATEGORY:Special Ability	TYPE:MultiheadedTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Because each head controls one arm (or analogous weapon-using limb), a multiheaded creature has no penalty on attack rolls for attacking with multiple weapons, and the number of attacks and the damage bonus for each weapon are calculated as though the weapon were held in a primary hand.	KEY:Multiheaded ~ Superior Two-Weapon Fighting																											SOURCEPAGE:SS30
Despair	CATEGORY:Special Ability	TYPE:MummifiedTemplateTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At the mere sight of a mummified creature, the viewer must succeed on a Will save DC %1 or be paralyzed with fear for 1d4 rounds. Whether or not the save is successful, that creature cannot be affected again by that mummy's despair ability for one day. The save DC is Charisma based.|DespairDC	KEY:Mummified ~ Despair				DEFINE:DespairDC|0					BONUS:VAR|DespairDC|DefaultDCCha	BONUS:VAR|DespairDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Despair)								ABILITY:Ability Focus|AUTOMATIC|Despair									SOURCEPAGE:SS30
Mummy Rot	CATEGORY:Special Ability	TYPE:MummifiedTemplateTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any creature hit by any of a mummified creature's natural weapons must succeed on a Fortitude save (DC %1) or contract mummy rot. The incubation period is 1 day, and the disease deals 1d6 points of Constitution damage. Because it is a supernatural disease, mummy rot continues until the victim reaches Constitution 0 (and dies) or receives a remove disease spell or similar magic (see Disease in Chapter 3 of the DUNGEON MASTER's Guide). An afflicted creature that dies shrivels away into sand and dust, blowing away into nothing at the first wind, unless both remove disease and raise dead are cast on the remains within 6 rounds.|MummyRotDC	KEY:Mummified ~ Mummy Rot				DEFINE:MummyRotDC|0					BONUS:VAR|MummyRotDC|DefaultDCCha	BONUS:VAR|MummyRotDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Mummy Rot)								ABILITY:Ability Focus|AUTOMATIC|Mummy Rot									SOURCEPAGE:SS30
Damage Reduction	CATEGORY:Special Ability	TYPE:MummifiedTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A mummified creature's undead body is tough, giving it damage reduction 5/+1.	KEY:Mummified ~ Damage Reduction																		DR:5/-									SOURCEPAGE:SS30
Energy Drain	CATEGORY:Special Ability	TYPE:SpectralTemplateTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any living creature struck by a spectral creature's incorporeal touch attack must succeed on a Fortitude saving throw (DC 10 + 1/2 spectral creature's HD + spectral creature's Cha modifier, DC %1) or gain two negative levels. For each negative level it bestows, the spectral creature heals 5 points of damage. If the amount of healing is more than the damage the creature has taken, it gains any excess as temporary hit points. If the negative level has not been removed (by a spell such as restoration) before 24 hours have passed, the afflicted opponent must succeed on a Fortitude save to remove it. Failure means the opponent's level (or Hit Dice) is reduced by one. These save DCs are Charisma-based.|EnergyDrainDC	KEY:Spectral ~ Energy Drain				DEFINE:EnergyDrainDC|0					BONUS:VAR|EnergyDrainDC|SpectralAbilityDC	BONUS:VAR|EnergyDrainDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Energy Drain)								ABILITY:Ability Focus|AUTOMATIC|Energy Drain									SOURCEPAGE:SS30
Create Spawn	CATEGORY:Special Ability	TYPE:SpectralTemplateTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Any aberration, animal, dragon, giant, humanoid, magical beast, or monstrous humanoid slain by a spectral creature rises as a spectral creature in 1d4 rounds. Such a spawn is under the command of the spectral creature that created it and remains enslaved until its master's death. The spawn does not possess any of the abilities it had in life but gains the spectral creature template. A spectral creature can control a number of spawn equal to its HD x 2. If it creates a spawn that causes it to exceed this limit, the spawn longest under its control is released.	KEY:Spectral ~ Create Spawn																											SOURCEPAGE:SS30
Turn Resistance	CATEGORY:Special Ability	TYPE:SpectralTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A spectral creature has turn resistance +2.	KEY:Spectral ~ Turn Resistance									BONUS:VAR|TurnResistanceBonus|2																		SOURCEPAGE:SS30
Unnatural Aura	CATEGORY:Special Ability	TYPE:SpectralTemplateTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Both wild and domesticated animals can sense the unnatural presence of a spectral creature at a distance of 30 feet. They do not willingly approach nearer than that and panic if forced to do so; they remain panicked as long as they are within that range.	KEY:Spectral ~ Unnatural Aura																											SOURCEPAGE:SS30
Sunlight Powerlessness	CATEGORY:Special Ability	TYPE:SpectralTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Spectral creatures are utterly powerless in natural sunlight (not merely a daylight spell) and flee from it. A spectral creature caught in sunlight cannot attack and can take only partial actions.	KEY:Spectral ~ Sunlight Powerlessness																											SOURCEPAGE:SS30
Detach	CATEGORY:Special Ability	TYPE:SymbioticTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:If the survival of a symbiotic creature is threatened, its two members can separate in an effort to save at least one of them (often this is the guest). This process deals 1d6 points of damage to the host. Detaching is a standard action that provokes an attack of opportunity, which may be made against host or guest. A symbiotic creature may also separate to better bring to bear a host's or guest's special attacks. Reengaging is not a simple matter; it takes one day of complete rest. If the reattaching creatures are disturbed during this process, each takes 1d6 points of Constitution damage from bleeding, and they remain separate.	KEY:Symbiotic ~ Detach																											SOURCEPAGE:SS30
Strength Damage	CATEGORY:Special Ability	TYPE:UmbralTemplateTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The touch of an umbral creature deals 1d6 points of Strength damage to a living foe. A creature reduced to Strength 0 by an umbral creature dies.	KEY:Umbral ~ Strength Damage																											SOURCEPAGE:SS30
Create Spawn	CATEGORY:Special Ability	TYPE:UmbralTemplateTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Any aberration, animal, dragon, giant, humanoid, magical beast, or monstrous humanoid reduced to Strength 0 by an umbral creature rises as an umbral creature in 1d4 rounds. Such a spawn is under the command of the umbral creature that created it and remains enslaved until its master's death. The spawn does not possess any of the abilities it had in life but gains the umbral creature template. An umbral creature can control a number of spawn equal to its HD x 2. If it creates a spawn that causes it to exceed this limit, the spawn longest under its control is released.	KEY:Umbral ~ Create Spawn																											SOURCEPAGE:SS30
Turn Resistance	CATEGORY:Special Ability	TYPE:UmbralTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An umbral creature has turn resistance +2.	KEY:Umbral ~ Turn Resistance									BONUS:VAR|TurnResistanceBonus|2																		SOURCEPAGE:SS30
Create Spawn	CATEGORY:Special Ability	TYPE:WightTemplateTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any humanoid slain by a wight rises as a wight in 1d4 rounds. Such a spawn is under the command of the wight that created it and remains enslaved until its master's death. The spawn does not possess any of the abilities it had in life but gains the wight template. A wight can control a number of spawn equal to its HD x 2. If it creates a spawn that causes it to exceed this limit, the spawn longest under its control is released.	KEY:Wight Template ~ Create Spawn																											SOURCEPAGE:SS30
Energy Drain	CATEGORY:Special Ability	TYPE:WightTemplateTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any living creature struck by a wight's natural attack must succeed on a Fortitude saving throw DC %1 or gain two negative levels. For each negative level it bestows, the wight heals 5 points of damage. If the amount of healing is more than the damage the creature has taken, it gains any excess as temporary hit points. If the negative level has not been removed (with a spell such as restoration) before 24 hours have passed, the afflicted opponent must succeed on a Fortitude save (same DC) to remove it. Failure means the opponent's level (or Hit Dice) is reduced by one.|EnergyDrainDC	KEY:Wight Template ~ Energy Drain				DEFINE:EnergyDrainDC|0					BONUS:VAR|EnergyDrainDC|DefaultDCCha	BONUS:VAR|EnergyDrainDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Energy Drain)								ABILITY:Ability Focus|AUTOMATIC|Energy Drain									SOURCEPAGE:SS30
Constitution Drain	CATEGORY:Special Ability	TYPE:WraithTemplateTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any living creature hit by a wraith's incorporeal touch attack must succeed on a Fortitude save (DC 10 + 1/2 wraith's HD + wraith's Cha modifier, DC %1) or take 1d6 points of Constitution drain.|ConstitutionDrainDC	KEY:Wraith Template ~ Constitution Drain				DEFINE:ConstitutionDrainDC|0					BONUS:VAR|ConstitutionDrainDC|DefaultDCCha	BONUS:VAR|ConstitutionDrainDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Constitution Drain)								ABILITY:Ability Focus|AUTOMATIC|Constitution Drain									SOURCEPAGE:SS30
Create Spawn	CATEGORY:Special Ability	TYPE:WraithTemplateTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any humanoid slain by a wraith rises as a wraith in 1d4 rounds. Such a spawn is under the command of the wraith that created it and remains enslaved until its master's death. The spawn does not possess any of the abilities it had in life but gains the wraith template. A wraith can control a number of spawn equal to its HD x 2. If it creates a spawn that causes it to exceed this limit, the spawn longest under its control is released.	KEY:Wraith Template ~ Create Spawn																											SOURCEPAGE:SS30
Turn Resistance	CATEGORY:Special Ability	TYPE:WraithTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A wraith gains turn resistance +2.	KEY:Wraith Template ~ Turn Resistance									BONUS:VAR|TurnResistanceBonus|2																		SOURCEPAGE:SS30
Unnatural Aura	CATEGORY:Special Ability	TYPE:WraithTemplateTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Both wild and domesticated animals can sense the unnatural presence of a wraith at a distance of 30 feet. They do not willingly approach nearer than that and become panicked if forced to do so; they remain panicked as long as they are within that range.	KEY:Wraith Template ~ Unnatural Aura																											SOURCEPAGE:SS30
Sunlight Powerlessness	CATEGORY:Special Ability	TYPE:WraithTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Wraiths are utterly powerless in natural sunlight (not merely a daylight spell) and flee from it. A wraith caught in sunlight cannot attack and can take only partial actions.	KEY:Wraith Template ~ Sunlight Powerlessness																											SOURCEPAGE:SS30
Psionics	CATEGORY:Special Ability	TYPE:YuanTiTaintedOneTemplateTrait.SpecialAttack.PsiLike	VISIBLE:YES		KEY:Yuan-Ti Tainted One ~ Psionics																		SPELLS:Innate|TIMES=3|CASTERLEVEL=HD|Poison,13+CON|Polymorph ~ Self only									SOURCEPAGE:SS30
Poison Bite	CATEGORY:Special Ability	TYPE:YuanTiTaintedOneTemplateTrait.SpecialAttack.Extraordinary.Poison	VISIBLE:YES	DESC:The saliva of a tainted one is poisonous when ingested or introduced into the blood. A tainted one can only inject its venom while grappling a foe with exposed skin. The Fortitude save to resist this poison has a DC of 10 + 1/2 the tainted one's Hit Dice + the tainted one's Con modifier (%1). Victims who fail this save take 1d4 points of Constitution damage. After 1 minute, they must make another save; failure means another 1d4 points of Constitution damage. A tainted one's kiss is also poisonous, though in this case the save DC is reduced by 2.|PoisonDC	KEY:Yuan-Ti Tainted One ~ Poison Bite				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:SS30
