SOURCELONG:Dungeons Master's Guide	SOURCESHORT:DMG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																							
																																										
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page										
Fiendish Servant (Default Blackguard)	CATEGORY:Internal	TYPE:FiendishServantSelection.FiendishServantBase		KEY:Standard Selection ~ Fiendish Servant (Blackguard)	!PREABILITY:1,CATEGORY=Internal,TYPE.FiendishServantAlternate																		COST:0	COMPANIONLIST:Fiendish Servant|Animal (Bat),Animal (Cat),Dire Animal (Dire Rat),Animal (Horse (Heavy)),Animal (Horse (Light)),Animal (Warhorse (Heavy)),Animal (Warhorse (Light)),Animal (Pony),Animal (Pony (War)),Animal (Raven),Animal (Toad)								SOURCEPAGE:PHB										

Undead Companion	CATEGORY:Special Ability	ABILITY:Internal|AUTOMATIC|Undead Companion (Base)|Undead Companion
Undead Companion (Base)	CATEGORY:Internal								DEFINE:UndeadCompanionLVL|0	DEFINE:UndeadCompanionDetermination|0													FOLLOWERS:Undead Companion|1	ABILITY:Undead Companion Selection|AUTOMATIC|Standard Selection ~ Undead Companion (Blackguard)|!PREABILITY:1,CATEGORY=Internal,TYPE.UndeadCompanionAlternate								SOURCEPAGE:PHB										
Undead Companion	CATEGORY:Internal	TYPE:UndeadCompanionSelection	VISIBLE:NO																													SOURCEPAGE:PHB										
Expanded Selection	CATEGORY:Internal	TYPE:UndeadCompanionSelection.UndeadCompanionAlternate		KEY:Expanded Selection ~ Undead Companion																			COST:0	COMPANIONLIST:Undead Companion|ANY								SOURCEPAGE:PHB										
Undead Companion (Default Blackguard)	CATEGORY:Internal	TYPE:UndeadCompanionSelection.UndeadCompanionBase		KEY:Standard Selection ~ Undead Companion (Blackguard)	!PREABILITY:1,CATEGORY=Internal,TYPE.UndeadCompanionAlternate																		COST:0	COMPANIONLIST:Undead Companion|Companion ~ Human (Skeleton),Companion ~ Human (Zombie)								SOURCEPAGE:PHB										

Shadow	CATEGORY:Special Ability	ABILITY:Internal|AUTOMATIC|Shadow (Base)|Shadow
Shadow (Base)	CATEGORY:Internal								DEFINE:ShadowLVL|0	DEFINE:ShadowDetermination|0													FOLLOWERS:Shadow|1	ABILITY:Shadow Selection|AUTOMATIC|Standard Selection ~ Shadow|!PREABILITY:1,CATEGORY=Internal,TYPE.ShadowAlternate								SOURCEPAGE:PHB										
Shadow	CATEGORY:Internal	TYPE:ShadowSelection	VISIBLE:NO																													SOURCEPAGE:PHB										
Expanded Selection	CATEGORY:Internal	TYPE:ShadowSelection.ShadowAlternate		KEY:Expanded Selection ~ Shadow																			COST:0	COMPANIONLIST:Shadow|ANY								SOURCEPAGE:PHB										
Shadow (Default)	CATEGORY:Internal	TYPE:ShadowSelection.ShadowBase		KEY:Standard Selection ~ Shadow	!PREABILITY:1,CATEGORY=Internal,TYPE.ShadowAlternate																		COST:0	COMPANIONLIST:Shadow|Shadow								SOURCEPAGE:PHB										

Leadership Score	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DEFINE:LeadershipFollowerLVL1|0	DEFINE:LeadershipFollowerLVL2|0	DEFINE:LeadershipFollowerLVL3|0	DEFINE:LeadershipFollowerLVL4|0	DEFINE:LeadershipFollowerLVL5|0	DEFINE:LeadershipFollowerLVL6|0	TEMPVALUE:MIN=-10|MAX=10|TITLE=Leadership Score Adjustment	TEMPDESC:Several factors can affect a character's Leadership score, causing it to vary from the base score. Add modifiers as needed.	TEMPBONUS:PC|VAR|LeadershipScore|%CHOICE																																																																																																																																																																																																																																																																																																																																																																																																																																																													

Leadership Cohort	CATEGORY:Special Ability	ABILITY:Internal|AUTOMATIC|Leadership Cohort (Base)|Leadership Cohort
Leadership Cohort (Base)	CATEGORY:Internal								DEFINE:LeadershipCohortLVL|0	DEFINE:LeadershipCohortDetermination|0													FOLLOWERS:Leadership Cohort|1	ABILITY:Leadership Cohort Selection|AUTOMATIC|Standard Selection ~ Leadership Cohort|!PREABILITY:1,CATEGORY=Internal,TYPE.LeadershipCohortAlternate								SOURCEPAGE:PHB										
Leadership Cohort	CATEGORY:Internal	TYPE:LeadershipCohortSelection	VISIBLE:NO																													SOURCEPAGE:PHB										
Expanded Selection	CATEGORY:Internal	TYPE:LeadershipCohortSelection.LeadershipCohortAlternate		KEY:Expanded Selection ~ Leadership Cohort																			COST:0	COMPANIONLIST:Leadership Cohort|ANY								SOURCEPAGE:PHB										
Leadership Cohort (Default)	CATEGORY:Internal	TYPE:LeadershipCohortSelection.LeadershipCohortBase		KEY:Standard Selection ~ Leadership Cohort	!PREABILITY:1,CATEGORY=Internal,TYPE.LeadershipCohortAlternate																		COST:0	COMPANIONLIST:Leadership Cohort|Human,Dwarf,Elf,Orc,Halfling,Gnome,Half-Elf,Half-Orc	COMPANIONLIST:Leadership Cohort|Blink Dog|PREALIGN:LG|PREVARGT:LeadershipCohortLVL,6	COMPANIONLIST:Leadership Cohort|Lammasu|PREALIGN:LG|PREVARGT:LeadershipCohortLVL,12	COMPANIONLIST:Leadership Cohort|Companion ~ Human (Werebear)|PREALIGN:LG|PREVARGT:LeadershipCohortLVL,10	COMPANIONLIST:Leadership Cohort|Guardinal (Avoral)|PREALIGN:NG|PREVARGT:LeadershipCohortLVL,15	COMPANIONLIST:Leadership Cohort|Eladrin (Bralani)|PREALIGN:CG|PREVARGT:LeadershipCohortLVL,11	COMPANIONLIST:Leadership Cohort|Pegasus|PREALIGN:CG|PREVARGT:LeadershipCohortLVL,6	COMPANIONLIST:Leadership Cohort|Unicorn|PREALIGN:CG|PRERACE:1,Human,Elf,Half-Elf|PREGENDER:F|PREVARGT:LeadershipCohortLVL,8	SOURCEPAGE:PHB	COMPANIONLIST:Leadership Cohort|Griffon|PREALIGN:TN|PREVARGT:LeadershipCohortLVL,10	COMPANIONLIST:Leadership Cohort|Dragonne|PREALIGN:TN|PREVARGT:LeadershipCohortLVL,10	COMPANIONLIST:Leadership Cohort|Satyr|PREALIGN:CN|PREVARGT:LeadershipCohortLVL,7	COMPANIONLIST:Leadership Cohort|Hell Hound|PREALIGN:LE|PREVARGT:LeadershipCohortLVL,7	COMPANIONLIST:Leadership Cohort|Displacer Beast|PREALIGN:LE|PREVARGT:LeadershipCohortLVL,10	COMPANIONLIST:Leadership Cohort|Devil (Imp)|PREALIGN:LE|PREVARGT:LeadershipCohortLVL,7	COMPANIONLIST:Leadership Cohort|Dragon (Green)|PREALIGN:LE|PREVARGT:LeadershipCohortLVL,16	COMPANIONLIST:Leadership Cohort|Devil (Erinyes)|PREALIGN:LE|PREVARGT:LeadershipCohortLVL,16	COMPANIONLIST:Leadership Cohort|Demon (Quasit)|PREALIGN:CE|PREVARGT:LeadershipCohortLVL,8	COMPANIONLIST:Leadership Cohort|Ettin|PREALIGN:CE|PREVARGT:LeadershipCohortLVL,15
																																										
CATEGORY=Internal|Standard Selection ~ Familiar.MOD	COMPANIONLIST:Familiar|Animal (Bat),Animal (Ferret),Animal (Hedgehog),Animal (Mouse),Animal (Owl (Screech)),Animal (Toad),Animal (Thrush)|PRESIZELT:S	COMPANIONLIST:Familiar|Animal (Leopard),Animal (Lizard (Monitor)),Animal (Wolverine)|PRESIZELT:L																																								
CATEGORY=Internal|Standard Selection ~ Special Mount (Paladin).MOD	COMPANIONLIST:Special Mount|Companion ~ Animal (Warhorse (Heavy/Celestial)),Dire Animal (Dire Wolf),Hippogriff,Monstrous Spider (Large),Companion ~ Animal (Shark (Large)),Unicorn,Companion ~ Animal (Pony (War/Celestial)),Dire Animal (Dire Bat),Dire Animal (Dire Badger),Dire Animal (Dire Weasel),Animal (Lizard (Monitor))|FOLLOWERADJUSTMENT:-5	COMPANIONLIST:Special Mount|Dire Animal (Dire Boar),Eagle (Giant),Owl (Giant),Pegasus,Animal (Rhinoceros),Sea Cat|FOLLOWERADJUSTMENT:-6	COMPANIONLIST:Special Mount|Dire Animal (Dire Lion),Griffon|FOLLOWERADJUSTMENT:-7																																							
																																										
Empathic Link	CATEGORY:Special Ability	TYPE:ClassFeatures.FiendishServantClassFeatures.SpecialQuality.Supernatural		DESC:The blackguard has an empathic link with his servant out to a distance of up to 1 mile. The blackguard cannot see through the servant's eyes, but they can communicate empathically. Because of the limited nature of the link, only general emotional content (such as fear, hunger, happiness, curiosity) can be communicated. Note that the low Intelligence of a lowlevel blackguard's fiendish servant limits what the creature is able to communicate or understand, and even intelligent servants see the world differently from humans, so misunderstandings are always possible. Because of the empathic link between the servant and the blackguard, the blackguard has the same connection to a place or an item that the servant does.	KEY:Fiendish Servant ~ Empathic Link																											SOURCEPAGE:DMG										
Improved Evasion	CATEGORY:Special Ability	TYPE:ClassFeatures.FiendishServantClassFeatures.SpecialQuality.Extraordinary.Evasion		DESC:If the servant is subjected to an attack that normally allows a Reflex saving throw for half damage, it takes no damage on a successful saving throw and only half damage on a failed saving throw. Improved evasion is an extraordinary ability.	KEY:Fiendish Servant ~ Improved Evasion																											SOURCEPAGE:DMG										
Share Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.FiendishServantClassFeatures.SpecialQuality		DESC:At the blackguard's option, he may have any spell (but not any spell-like ability) he casts on himself also affect his servant. The servant must be within 5 feet at the time of casting to receive the benefit. If the spell has a duration other than instantaneous, it stops affecting the servant if it moves farther than 5 feet away and will not affect the servant again even if the servant returns to the blackguard before the duration expires. Additionally, the blackguard may cast a spell with a target of "You" on his servant (as a touch range spell) instead of on himself. A blackguard and his servant can share spells even if the spells normally do not affect creatures of the servant's type (magical beast).	KEY:Fiendish Servant ~ Share Spells																											SOURCEPAGE:DMG										
Share Saving Throws	CATEGORY:Special Ability	TYPE:ClassFeatures.FiendishServantClassFeatures.SpecialQuality		DESC:For each of its saving throws, the servant uses either its own base save bonus or the blackguard's, whichever is higher. The servant applies its own ability modifiers to saves, and it doesn't share any other bonuses on saves that the blackguard might have (such as from magic items or feats).	KEY:Fiendish Servant ~ Share Saving Throws																											SOURCEPAGE:DMG										
Speak with Blackguard	CATEGORY:Special Ability	TYPE:ClassFeatures.FiendishServantClassFeatures.SpecialQuality.Extraordinary		DESC:If the blackguard's character level is 13th or higher, the blackguard and servant can communicate verbally as if they were using a common language. Other creatures do not understand the communication without magical help.	KEY:Fiendish Servant ~ Speak with Blackguard																											SOURCEPAGE:DMG										
Blood Bond	CATEGORY:Special Ability	TYPE:ClassFeatures.FiendishServantClassFeatures.SpecialQuality.Extraordinary		DESC:If the blackguard's character level is 16th or higher, the servant gains a +2 bonus on all attack rolls, checks, and saves if it witnesses the blackguard being threatened or harmed. This bonus lasts as long as the threat is immediate and apparent.	KEY:Fiendish Servant ~ Blood Bond																											SOURCEPAGE:DMG										
Spell Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.FiendishServantClassFeatures.SpecialQuality.Extraordinary		DESC:If the blackguard's character level is 19th or higher, the servant gains spell resistance equal to the blackguard's level + 5. To affect the servant with a spell, another spellcaster must get a result on a caster level check (1d20 + caster level) that equals or exceeds the servant's spell resistance.	KEY:Fiendish Servant ~ Spell Resistance																											SOURCEPAGE:DMG										
																																										
Empathic Link	CATEGORY:Special Ability	TYPE:ClassFeatures.UndeadCompanionClassFeatures.SpecialQuality.Supernatural		DESC:The blackguard has an empathic link with his servant out to a distance of up to 1 mile. The blackguard cannot see through the servant's eyes, but they can communicate empathically. Because of the limited nature of the link, only general emotional content (such as fear, hunger, happiness, curiosity) can be communicated. Note that the low Intelligence of a lowlevel blackguard's Undead Companion limits what the creature is able to communicate or understand, and even intelligent servants see the world differently from humans, so misunderstandings are always possible. Because of the empathic link between the servant and the blackguard, the blackguard has the same connection to a place or an item that the servant does.	KEY:Undead Companion ~ Empathic Link																											SOURCEPAGE:DMG										
Improved Evasion	CATEGORY:Special Ability	TYPE:ClassFeatures.UndeadCompanionClassFeatures.SpecialQuality.Extraordinary.Evasion		DESC:If the servant is subjected to an attack that normally allows a Reflex saving throw for half damage, it takes no damage on a successful saving throw and only half damage on a failed saving throw. Improved evasion is an extraordinary ability.	KEY:Undead Companion ~ Improved Evasion																											SOURCEPAGE:DMG										
Share Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.UndeadCompanionClassFeatures.SpecialQuality		DESC:At the blackguard's option, he may have any spell (but not any spell-like ability) he casts on himself also affect his servant. The servant must be within 5 feet at the time of casting to receive the benefit. If the spell has a duration other than instantaneous, it stops affecting the servant if it moves farther than 5 feet away and will not affect the servant again even if the servant returns to the blackguard before the duration expires. Additionally, the blackguard may cast a spell with a target of "You" on his servant (as a touch range spell) instead of on himself. A blackguard and his servant can share spells even if the spells normally do not affect creatures of the servant's type (magical beast).	KEY:Undead Companion ~ Share Spells																											SOURCEPAGE:DMG										
Share Saving Throws	CATEGORY:Special Ability	TYPE:ClassFeatures.UndeadCompanionClassFeatures.SpecialQuality		DESC:For each of its saving throws, the servant uses either its own base save bonus or the blackguard's, whichever is higher. The servant applies its own ability modifiers to saves, and it doesn't share any other bonuses on saves that the blackguard might have (such as from magic items or feats).	KEY:Undead Companion ~ Share Saving Throws																											SOURCEPAGE:DMG										
Speak with Blackguard	CATEGORY:Special Ability	TYPE:ClassFeatures.UndeadCompanionClassFeatures.SpecialQuality.Extraordinary		DESC:If the blackguard's character level is 13th or higher, the blackguard and servant can communicate verbally as if they were using a common language. Other creatures do not understand the communication without magical help.	KEY:Undead Companion ~ Speak with Blackguard																											SOURCEPAGE:DMG										
Blood Bond	CATEGORY:Special Ability	TYPE:ClassFeatures.UndeadCompanionClassFeatures.SpecialQuality.Extraordinary		DESC:If the blackguard's character level is 16th or higher, the servant gains a +2 bonus on all attack rolls, checks, and saves if it witnesses the blackguard being threatened or harmed. This bonus lasts as long as the threat is immediate and apparent.	KEY:Undead Companion ~ Blood Bond																											SOURCEPAGE:DMG										
Spell Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.UndeadCompanionClassFeatures.SpecialQuality.Extraordinary		DESC:If the blackguard's character level is 19th or higher, the servant gains spell resistance equal to the blackguard's level + 5. To affect the servant with a spell, another spellcaster must get a result on a caster level check (1d20 + caster level) that equals or exceeds the servant's spell resistance.	KEY:Undead Companion ~ Spell Resistance																											SOURCEPAGE:DMG										
																																										
Thrush Language Choice	CATEGORY:Internal	TYPE:FamiliarLanguageChoice.ThrushLanguage																	STACK:NO	MULT:YES	CHOOSE:LANG|TYPE=Spoken	SELECT:1	AUTO:LANG|%LIST									SOURCEPAGE:PHB										
																																										
Familiar ~ Ferret	CATEGORY:Special Ability													BONUS:SAVE|Reflex|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:DMG										
Familiar ~ Hedgehog	CATEGORY:Special Ability													BONUS:COMBAT|AC|1|TYPE=NaturalArmor									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:DMG										
Familiar ~ Mouse	CATEGORY:Special Ability													BONUS:SKILL|Move Silently|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:DMG										
Familiar ~ Screech Owl	CATEGORY:Special Ability													BONUS:SKILL|Move Silently|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:DMG										
Familiar ~ Thrush	CATEGORY:Special Ability													BONUS:SKILL|Move Silently|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:DMG										
Familiar ~ Leopard	CATEGORY:Special Ability													BONUS:SKILL|Move Silently|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:DMG										
Familiar ~ Lizard (Monitor)	CATEGORY:Special Ability													BONUS:HP|CURRENTMAX|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:DMG										
Familiar ~ Wolverine	CATEGORY:Special Ability													BONUS:SAVE|Reflex|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:DMG										
																																										
Familiar Spell	CATEGORY:Special Ability	TYPE:SpecialQuality.FamiliarSpell	VISIBLE:YES	DESC:Your familiar can cast a spell once per day as a spell-like ability	STACK:NO	MULT:YES	CHOOSE:SPELLS|SPELLTYPE=Arcane[LEVELMAX=8]	SOURCEPAGE:DMG																																		
																																										
###Block: Magic Item Additions																																										
Resistance To Acid (Sp)	CATEGORY:Special Ability		VISIBLE:NO						DEFINE:AcidResistanceBonusSp|0														ABILITY:Special Ability|VIRTUAL|Resistance To Acid Output (Sp)|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Acid									SOURCEPAGE:DMG										
Resistance To Cold (Sp)	CATEGORY:Special Ability		VISIBLE:NO						DEFINE:ColdResistanceBonusSp|0														ABILITY:Special Ability|VIRTUAL|Resistance To Cold Output (Sp)|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Cold									SOURCEPAGE:DMG										
Resistance To Fire (Sp)	CATEGORY:Special Ability		VISIBLE:NO						DEFINE:FireResistanceBonusSp|0														ABILITY:Special Ability|VIRTUAL|Resistance To Fire Output (Sp)|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Fire									SOURCEPAGE:DMG										
Resistance To Electricity (Sp)	CATEGORY:Special Ability		VISIBLE:NO						DEFINE:ElectricityResistanceBonusSp|0														ABILITY:Special Ability|VIRTUAL|Resistance To Electricity Output (Sp)|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Electricity									SOURCEPAGE:DMG										
Resistance To Sonic (Sp)	CATEGORY:Special Ability		VISIBLE:NO						DEFINE:SonicResistanceBonusSp|0														ABILITY:Special Ability|VIRTUAL|Resistance To Sonic Output (Sp)|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Sonic									SOURCEPAGE:DMG										
Resistance To Acid Output (Sp)	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike.Resistance	VISIBLE:YES	DESC:You may ignore %1 points of Acid damage each time you take Acid damage|AcidResistanceBonusSp	OUTPUTNAME:Resistance To Acid																											SOURCEPAGE:DMG	ASPECT:Resistance|Acid	ASPECT:Ability Benefit|%1|AcidResistanceBonusSp								
Resistance To Cold Output (Sp)	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike.Resistance	VISIBLE:YES	DESC:You may ignore %1 points of Cold damage each time you take Cold damage|ColdResistanceBonusSp	OUTPUTNAME:Resistance To Cold																											SOURCEPAGE:DMG	ASPECT:Resistance|Cold	ASPECT:Ability Benefit|%1|ColdResistanceBonusSp								
Resistance To Fire Output (Sp)	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike.Resistance	VISIBLE:YES	DESC:You may ignore %1 points of Fire damage each time you take Fire damage|FireResistanceBonusSp	OUTPUTNAME:Resistance To Fire																											SOURCEPAGE:DMG	ASPECT:Resistance|Fire	ASPECT:Ability Benefit|%1|FireResistanceBonusSp								
Resistance To Electricity Output (Sp)	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike.Resistance	VISIBLE:YES	DESC:You may ignore %1 points of Electricity damage each time you take Electricity damage|ElectricityResistanceBonusSp	OUTPUTNAME:Resistance To Electricity																											SOURCEPAGE:DMG	ASPECT:Resistance|Electricity	ASPECT:Ability Benefit|%1|ElectricityResistanceBonusSp								
Resistance To Sonic Output (Sp)	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike.Resistance	VISIBLE:YES	DESC:You may ignore %1 points of Sonic damage each time you take Sonic damage|SonicResistanceBonusSp	OUTPUTNAME:Resistance To Sonic																											SOURCEPAGE:DMG	ASPECT:Resistance|Sonic	ASPECT:Ability Benefit|%1|SonicResistanceBonusSp								
																																										
Manual of Body Health +1	TYPE:GM_Award.SpecialQuality	CATEGORY:Special Ability					BONUS:STAT|CON|1|TYPE=Inherent	SORTKEY:Z_Award	COST:0	DESC:GM awarded PC with +1 CON.																																
Manual of Body Health +2	TYPE:GM_Award.SpecialQuality	CATEGORY:Special Ability					BONUS:STAT|CON|2|TYPE=Inherent	SORTKEY:Z_Award	COST:0	DESC:GM awarded PC with +2 CON.																																
Manual of Body Health +3	TYPE:GM_Award.SpecialQuality	CATEGORY:Special Ability					BONUS:STAT|CON|3|TYPE=Inherent	SORTKEY:Z_Award	COST:0	DESC:GM awarded PC with +3 CON.																																
Manual of Body Health +4	TYPE:GM_Award.SpecialQuality	CATEGORY:Special Ability					BONUS:STAT|CON|4|TYPE=Inherent	SORTKEY:Z_Award	COST:0	DESC:GM awarded PC with +4 CON.																																
Manual of Body Health +5	TYPE:GM_Award.SpecialQuality	CATEGORY:Special Ability					BONUS:STAT|CON|5|TYPE=Inherent	SORTKEY:Z_Award	COST:0	DESC:GM awarded PC with +5 CON.																																
Manual of Gainful Exercise +1	TYPE:GM_Award.SpecialQuality	CATEGORY:Special Ability					BONUS:STAT|STR|1|TYPE=Inherent	SORTKEY:Z_Award	COST:0	DESC:GM awarded PC with +1 STR.																																
Manual of Gainful Exercise +2	TYPE:GM_Award.SpecialQuality	CATEGORY:Special Ability					BONUS:STAT|STR|2|TYPE=Inherent	SORTKEY:Z_Award	COST:0	DESC:GM awarded PC with +2 STR.																																
Manual of Gainful Exercise +3	TYPE:GM_Award.SpecialQuality	CATEGORY:Special Ability					BONUS:STAT|STR|3|TYPE=Inherent	SORTKEY:Z_Award	COST:0	DESC:GM awarded PC with +3 STR.																																
Manual of Gainful Exercise +4	TYPE:GM_Award.SpecialQuality	CATEGORY:Special Ability					BONUS:STAT|STR|4|TYPE=Inherent	SORTKEY:Z_Award	COST:0	DESC:GM awarded PC with +4 STR.																																
Manual of Gainful Exercise +5	TYPE:GM_Award.SpecialQuality	CATEGORY:Special Ability					BONUS:STAT|STR|5|TYPE=Inherent	SORTKEY:Z_Award	COST:0	DESC:GM awarded PC with +5 STR.																																
Manual of Quickness of Action +1	TYPE:GM_Award.SpecialQuality	CATEGORY:Special Ability					BONUS:STAT|DEX|1|TYPE=Inherent	SORTKEY:Z_Award	COST:0	DESC:GM awarded PC with +1 DEX.																																
Manual of Quickness of Action +2	TYPE:GM_Award.SpecialQuality	CATEGORY:Special Ability					BONUS:STAT|DEX|2|TYPE=Inherent	SORTKEY:Z_Award	COST:0	DESC:GM awarded PC with +2 DEX.																																
Manual of Quickness of Action +3	TYPE:GM_Award.SpecialQuality	CATEGORY:Special Ability					BONUS:STAT|DEX|3|TYPE=Inherent	SORTKEY:Z_Award	COST:0	DESC:GM awarded PC with +3 DEX.																																
