SOURCELONG:Monster Manual 3	SOURCESHORT:MM3	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09																																
																																			
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	MOVE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	BONUS:COMBAT|AC|	NATURALATTACKS:				FACE:	REACH:	ABILITY:Internal|AUTOMATIC|Race Traits ~ 			Stat bonus						MONCSKILL:	CR:	KIT:1|	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	LEGS:	HANDS:	SOURCEPAGE:MM3	KIT:1|	
Avalancher			STARTFEATS:1	SIZE:L	TYPE:Magical Beast	RACETYPE:Magical Beast	RACESUBTYPE:Earth	MONSTERCLASS:Magical Beast:6	MOVE:Walk,40,Burrow,10,Climb,20	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Avalancher			BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2		MONCSKILL:Climb|Hide|Search|Spot	CR:5	KIT:1|TN	HITDICEADVANCEMENT:9,18		LEGS:6	HANDS:0	SOURCEPAGE:MM3	KIT:1|Avalancher Stats	
Battlebriar			STARTFEATS:1	SIZE:H	TYPE:Plant	RACETYPE:Plant		MONSTERCLASS:Plant:25	MOVE:Walk,30	BONUS:COMBAT|AC|24|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,2d6				FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Battlebriar			BONUS:STAT|STR|22	BONUS:STAT|DEX|-4	BONUS:STAT|CON|16	BONUS:STAT|INT|-6		BONUS:STAT|CHA|-4	MONCSKILL:Hide	CR:15		HITDICEADVANCEMENT:50		LEGS:2	HANDS:4	SOURCEPAGE:MM3	KIT:1|Battlebriar Stats	
Battlebriar (Warbound Impaler)			STARTFEATS:1	SIZE:L	TYPE:Plant	RACETYPE:Plant		MONSTERCLASS:Plant:12	MOVE:Walk,30	BONUS:COMBAT|AC|12|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Battlebriar (Warbound Impaler)			BONUS:STAT|STR|12	BONUS:STAT|DEX|-4	BONUS:STAT|CON|12	BONUS:STAT|INT|-6		BONUS:STAT|CHA|-4	MONCSKILL:Hide	CR:7				LEGS:2	HANDS:4	SOURCEPAGE:MM3	KIT:1|Battlebriar (Warbound Impaler) Stats	
Bearhound			STARTFEATS:1	SIZE:L	TYPE:Magical Beast	RACETYPE:Magical Beast		MONSTERCLASS:Magical Beast:10	MOVE:Walk,40	BONUS:COMBAT|AC|11|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Bearhound			BONUS:STAT|STR|16	BONUS:STAT|DEX|4	BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2	MONCSKILL:Hide|Knowledge (Nature)|Listen|Move Silently|Spot|Survival	CR:7		HITDICEADVANCEMENT:20,30	LEVELADJUSTMENT:4	LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Bearhound Stats	
Boneclaw			STARTFEATS:1	SIZE:L	TYPE:Undead	RACETYPE:Undead		MONSTERCLASS:Undead:10	MOVE:Walk,40	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6				FACE:10	REACH:20	ABILITY:Internal|AUTOMATIC|Race Traits ~ Boneclaw		DR:5/Bludgeoning	BONUS:STAT|STR|10	BONUS:STAT|DEX|8		BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8	MONCSKILL:Hide|Intimidate|Listen|Move Silently|Search|Spot	CR:5	KIT:1|CE	HITDICEADVANCEMENT:22		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Boneclaws Stats	
Bonedrinker			STARTFEATS:1	SIZE:M	TYPE:Undead	RACETYPE:Undead		MONSTERCLASS:Undead:11	MOVE:Walk,30	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing,*2,1d10|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Bonedrinker		DR:5/Silver or Good	BONUS:STAT|STR|10	BONUS:STAT|DEX|6		BONUS:STAT|INT|-2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4	MONCSKILL:Hide|Listen|Move Silently|Spot	CR:6	KIT:1|CE	HITDICEADVANCEMENT:15,33		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Bonedrinker Stats	
Bonedrinker (Lesser)			STARTFEATS:1	SIZE:S	TYPE:Undead	RACETYPE:Undead		MONSTERCLASS:Undead:7	MOVE:Walk,30	BONUS:COMBAT|AC|1|TYPE=NaturalArmor	NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing,*2,1d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Bonedrinker (Lesser)			BONUS:STAT|STR|4	BONUS:STAT|DEX|8		BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4	MONCSKILL:Hide|Listen|Move Silently|Spot	CR:4	KIT:1|CE	HITDICEADVANCEMENT:10		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Bonedrinker (Lesser) Stats	
Brood Keeper			STARTFEATS:1	SIZE:H	TYPE:Magical Beast	RACETYPE:Magical Beast		MONSTERCLASS:Magical Beast:22	MOVE:Walk,60	BONUS:COMBAT|AC|14|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6,SPROP=Posion				FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Brood Keeper	SR:26	DR:5/-	BONUS:STAT|STR|14	BONUS:STAT|DEX|6	BONUS:STAT|CON|14	BONUS:STAT|INT|-4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|-2	MONCSKILL:Jump|Listen|Spot	CR:16		HITDICEADVANCEMENT:31,44		LEGS:6	HANDS:2	SOURCEPAGE:MM3	KIT:1|Brood Keeper Stats	
Swarm (Brood Keeper Larva Swarm)			STARTFEATS:1	SIZE:T	TYPE:Magical Beast	RACETYPE:Magical Beast	RACESUBTYPE:Swarm	MONSTERCLASS:Magical Beast:22	MOVE:Walk,20,Fly,30	BONUS:COMBAT|AC|24|TYPE=NaturalArmor	NATURALATTACKS:Swarm,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,5d6				FACE:10	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Swarm (Brood Keeper Larva Swarm)	SR:22	DR:1/-	BONUS:STAT|STR|-10	BONUS:STAT|DEX|14	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|-2	MONCSKILL:Jump|Listen|Spot	CR:12				LEGS:0	HANDS:0	SOURCEPAGE:MM3	KIT:1|Swarm (Brood Keeper Larva Swarm) Stats	
Cadaver Collector				SIZE:L	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct:17	MOVE:Walk,40	BONUS:COMBAT|AC|20|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,4d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Cadaver Collector		DR:10/Adamantine	BONUS:STAT|STR|20			BONUS:STAT|INT|-6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4	MONCSKILL:Listen|Spot	CR:12		HITDICEADVANCEMENT:34		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Cadaver Collector Stats	
Cadaver Collector (Greater)				SIZE:H	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct:35	MOVE:Walk,40	BONUS:COMBAT|AC|23|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,6d8				FACE:15	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Cadaver Collector (Greater)		DR:10/Adamantine	BONUS:STAT|STR|28	BONUS:STAT|DEX|-2		BONUS:STAT|INT|-6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4	MONCSKILL:Listen|Spot	CR:17		HITDICEADVANCEMENT:60		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Cadaver Collector (Greater) Stats	
Charnel Hound				SIZE:H	TYPE:Undead	RACETYPE:Undead		MONSTERCLASS:Undead:21	MOVE:Walk,40	BONUS:COMBAT|AC|16|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6				FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Charnel Hound	SR:23	DR:10/Silver and Magic	BONUS:STAT|STR|28	BONUS:STAT|DEX|4				BONUS:STAT|CHA|8		CR:13	KIT:1|CE	HITDICEADVANCEMENT:31,63		LEGS:4	HANDS:0	SOURCEPAGE:MM3	KIT:1|Charnel Hound Stats	
Chelicera				SIZE:M	TYPE:Vermin	RACETYPE:Vermin		MONSTERCLASS:Vermin:12	MOVE:Walk,30,Climb,30	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Chelicera			BONUS:STAT|STR|4	BONUS:STAT|DEX|8	BONUS:STAT|CON|2		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	MONCSKILL:Climb|Hide|Listen	CR:6	KIT:1|TN	HITDICEADVANCEMENT:16,36		LEGS:8	HANDS:0	SOURCEPAGE:MM3	KIT:1|Chelicera Stats	
Chraal			STARTFEATS:1	SIZE:L	TYPE:Elemental	RACETYPE:Elemental	RACESUBTYPE:Cold|Extraplanar	MONSTERCLASS:Elemental:9	MOVE:Walk,40	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8,SPROP=+1d6 Cold|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6,SPROP=+1d6 Cold				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Chraal		DR:5/-	BONUS:STAT|STR|10		BONUS:STAT|CON|10	BONUS:STAT|INT|-2		BONUS:STAT|CHA|4	MONCSKILL:Listen|Search|Spot	CR:6	KIT:1|NE	HITDICEADVANCEMENT:18,27		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Chraal Stats	
Swarm (Cinder Swarm)			STARTFEATS:1	SIZE:F	TYPE:Elemental	RACETYPE:Elemental	RACESUBTYPE:Swarm	MONSTERCLASS:Elemental:16	MOVE:Walk,20,Fly,40	BONUS:COMBAT|AC|1|TYPE=NaturalArmor	NATURALATTACKS:Swarm,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,4d6,SPROP=+3d6 Fire				FACE:10	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Swarm (Cinder Swarm)			BONUS:STAT|STR|-10	BONUS:STAT|DEX|12		BONUS:STAT|INT|-6			MONCSKILL:Hide|Spot	CR:13				LEGS:0	HANDS:0	SOURCEPAGE:MM3	KIT:1|Swarm (Cinder Swarm) Stats	
Ooze (Conflagration Ooze)			STARTFEATS:1	SIZE:L	TYPE:Ooze	RACETYPE:Ooze	RACESUBTYPE:Fire	MONSTERCLASS:Ooze:7	MOVE:Walk,30,Climb,10	BONUS:COMBAT|AC|1|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6,SPROP=+1d6 Fire				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ooze (Conflagration Ooze)		DR:5/Bludgeoning	BONUS:STAT|STR|12		BONUS:STAT|CON|8	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	MONCSKILL:Climb|Hide|Listen|Move Silently	CR:7		HITDICEADVANCEMENT:11,21		LEGS:0	HANDS:0	SOURCEPAGE:MM3	KIT:1|Ooze (Conflagration Ooze) Stats	
Deathshrieker			STARTFEATS:1	SIZE:M	TYPE:Undead	RACETYPE:Undead	RACESUBTYPE:Incorporeal	MONSTERCLASS:Undead:18	MOVE:Walk,30,Fly,40		NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Touch,1,1d4,SPROP=+1d4 Cha drain				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Deathshrieker				BONUS:STAT|DEX|14		BONUS:STAT|INT|-2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|10	MONCSKILL:Hide|Intimidate|Listen|Search|Spot	CR:15	KIT:1|CE	HITDICEADVANCEMENT:30		LEGS:0	HANDS:2	SOURCEPAGE:MM3	KIT:1|Deathshrieker Stats	
Demon (Arrow)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Evil|Extraplanar|Tanar'ri	MONSTERCLASS:Outsider:10	MOVE:Walk,40	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*4,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Demon (Arrow)	SR:18	DR:5/Cold Iron and Good	BONUS:STAT|STR|10	BONUS:STAT|DEX|8	BONUS:STAT|CON|18	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|2	MONCSKILL:Balance|Bluff|Climb|Concentration|Hide|Jump|Listen|Move Silently|Sense Motive|Spot	CR:7	KIT:1|CE	HITDICEADVANCEMENT:20	LEVELADJUSTMENT:8	LEGS:2	HANDS:4	SOURCEPAGE:MM3	KIT:1|Demon (Arrow) Stats	
Demon (Sorrowsworn)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Evil|Extraplanar|Tanar'ri	MONSTERCLASS:Outsider:18	MOVE:Walk,40,Fly,80	BONUS:COMBAT|AC|16|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8,SPROP=1 Con drain				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Demon (Sorrowsworn)	SR:25	DR:10/Cold Iron and Good	BONUS:STAT|STR|18	BONUS:STAT|DEX|6	BONUS:STAT|CON|22	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|10	MONCSKILL:Bluff|Concentration|Diplomacy|Hide|Intimidate|Knowledge (Arcana)|Knowledge (Geography)|Knowledge (The Planes)|Listen|Move Silently|Sense Motive|Spellcraft|Spot|Survival	CR:17	KIT:1|CE	HITDICEADVANCEMENT:36,72		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Demon (Sorrowsworn) Stats	
Dinosaur (Battletitan)			STARTFEATS:1	SIZE:H	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:36	MOVE:Walk,60	BONUS:COMBAT|AC|20|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,3d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6|Tail Spike,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6				FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dinosaur (Battletitan)			BONUS:STAT|STR|32		BONUS:STAT|CON|18	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|6	MONCSKILL:Jump|Listen|Spot	CR:16	KIT:1|TN	HITDICEADVANCEMENT:48		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Dinosaur (Battletitan) Stats	
Dinosaur (Bloodstriker)			STARTFEATS:1	SIZE:L	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:9	MOVE:Walk,40,Burrow,20	BONUS:COMBAT|AC|10|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8,SPROP=+1d6 Acid				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dinosaur (Bloodstriker)			BONUS:STAT|STR|12		BONUS:STAT|CON|10	BONUS:STAT|INT|-8		BONUS:STAT|CHA|-2	MONCSKILL:Hide|Listen|Spot	CR:6	KIT:1|TN	HITDICEADVANCEMENT:18,27		LEGS:4	HANDS:0	SOURCEPAGE:MM3	KIT:1|Dinosaur (Bloodsquirter) Stats	
Dinosaur (Fleshraker)			STARTFEATS:1	SIZE:M	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:4	MOVE:Walk,50	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6,SPROP=Poison|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6|Tail,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6,SPROP=Poison				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dinosaur (Fleshraker)			BONUS:STAT|STR|6	BONUS:STAT|DEX|8	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2	MONCSKILL:Hide|Jump	CR:2	KIT:1|TN	HITDICEADVANCEMENT:8,12		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Dinosaur (Fleshraker) Stats	
Dinosaur (Swindlespitter)			STARTFEATS:1	SIZE:M	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:2	MOVE:Walk,30	BONUS:COMBAT|AC|2|TYPE=NaturalArmor	NATURALATTACKS:Beak,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dinosaur (Swindlespitter)			BONUS:STAT|STR|-2	BONUS:STAT|DEX|10	BONUS:STAT|CON|2	BONUS:STAT|INT|-8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4	MONCSKILL:Hide|Listen|Move Silently|Sleight of Hand|Spot	CR:1	KIT:1|TN	HITDICEADVANCEMENT:6,9		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Dinosaur (Swindlespitter) Stats	
Dragon Eel			STARTFEATS:1	SIZE:L	TYPE:Dragon	RACETYPE:Dragon	RACESUBTYPE:Aquatic	MONSTERCLASS:Dragon:14	MOVE:Walk,20,Swim,60	BONUS:COMBAT|AC|18|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,4d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dragon Eel		DR:5/Adamantine	BONUS:STAT|STR|16		BONUS:STAT|CON|10	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	MONCSKILL:Bluff|Hide|Listen|Sense Motive|Spot|Swim	CR:11		HITDICEADVANCEMENT:28,42		LEGS:0	HANDS:0	SOURCEPAGE:MM3	KIT:1|Dragon Eel Stats	
