SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																																
																																			
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:		
Elemental Drake (Smoke Drake)			STARTFEATS:1	SIZE:L	TYPE:Dragon	RACETYPE:Dragon	RACESUBTYPE:Air|Fire	MONSTERCLASS:Dragon:12	MOVE:Walk,40,Fly,120	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Elemental Drake (Smoke Drake)			BONUS:STAT|STR|8	BONUS:STAT|DEX|8	BONUS:STAT|CON|6		BONUS:STAT|WIS|4	BONUS:STAT|CHA|2	MONCSKILL:Escape Artist|Hide|Listen|Move Silently|Search|Spot	CR:9		HITDICEADVANCEMENT:19,29,36	LEVELADJUSTMENT:3	LEGS:2	HANDS:2	SOURCEPAGE:Drac	KIT:1|Elemental Drake (Smoke Drake) Stats	
Elemental Drake (Water Drake)			STARTFEATS:1	SIZE:L	TYPE:Dragon	RACETYPE:Dragon	RACESUBTYPE:Aquatic|Water	MONSTERCLASS:Dragon:10	MOVE:Walk,30,Fly,80,Swim,30	BONUS:COMBAT|AC|10|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Elemental Drake (Water Drake)			BONUS:STAT|STR|10	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-2	BONUS:STAT|WIS|4		MONCSKILL:Escape Artist|Hide|Listen|Search|Sense Motive|Spot|Swim	CR:8		HITDICEADVANCEMENT:19,29,30	LEVELADJUSTMENT:3	LEGS:2	HANDS:2	SOURCEPAGE:Drac	KIT:1|Elemental Drake (Water Drake) Stats	
Faerie Dragon			STARTFEATS:1	SIZE:S	TYPE:Dragon	RACETYPE:Dragon		MONSTERCLASS:Dragon:8	MOVE:Walk,30,Fly,100,Swim,30	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Faerie Dragon		SR:18	BONUS:STAT|STR|2	BONUS:STAT|DEX|8	BONUS:STAT|CON|2	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6	MONCSKILL:Bluff|Diplomacy|Disguise|Hide|Intimidate|Knowledge (Nature)|Listen|Move Silently|Sense Motive|Sleight of Hand|Spot|Survival|Swim	CR:6	KIT:1|CG	HITDICEADVANCEMENT:9,13,19,24	LEVELADJUSTMENT:2	LEGS:2	HANDS:2	SOURCEPAGE:Drac	KIT:1|Faerie Dragon Stats	
Dragon (Fang)			STARTFEATS:1	SIZE:T	TYPE:Dragon	RACETYPE:Dragon		MONSTERCLASS:Dragon:3	MOVE:Walk,60,Fly,90								ABILITY:Internal|AUTOMATIC|Race Traits ~ Dragon (Fang)									MONCSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE=Knowledge|Sense Motive|Use Magic Device		KIT:1|CN			LEGS:4	HANDS:0	SOURCEPAGE:Drac	KIT:1|Dragon (Fang) Stats	SORTKEY:Dragon_Generic_Fang
Felldrake (Spiked)			STARTFEATS:1	SIZE:L	TYPE:Dragon	RACETYPE:Dragon		MONSTERCLASS:Dragon:6	MOVE:Walk,40	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Felldrake (Spiked)			BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|4		BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2	MONCSKILL:Climb|Intimidate|Listen|Search|Spot|Survival	CR:4	KIT:1|NG	HITDICEADVANCEMENT:9,18	LEVELADJUSTMENT:2	LEGS:4	HANDS:0	SOURCEPAGE:Drac	KIT:1|Felldrake (Spiked) Stats	
Golem (Dragonbone)				SIZE:L	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):20	MOVE:Walk,40	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d10|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Wings,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Golem (Dragonbone)	DR:5/Adamantine and Bludgeoning		BONUS:STAT|STR|8							CR:12	KIT:1|TN	HITDICEADVANCEMENT:30,60		LEGS:4	HANDS:2	SOURCEPAGE:Drac	KIT:1|Golem (Dragonbone) Stats	SORTKEY:Golem_Dragonbone
Golem (Drakestone)				SIZE:L	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):35	MOVE:Walk,40	BONUS:COMBAT|AC|28|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6|Wings,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d10|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Golem (Drakestone)	DR:10/Magic and Adamantine		BONUS:STAT|STR|22				BONUS:STAT|WIS|2	BONUS:STAT|CHA|4		CR:15	KIT:1|TN	HITDICEADVANCEMENT:50,70		LEGS:4	HANDS:2	SOURCEPAGE:Drac	KIT:1|Golem (Drakestone) Stats	SORTKEY:Golem_Drakestone
Golem (Ironwyrm)				SIZE:L	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):40	MOVE:Walk,30	BONUS:COMBAT|AC|32|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d10|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d8|Wings,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Golem (Ironwyrm)	DR:15/Magic and Adamantine		BONUS:STAT|STR|30	BONUS:STAT|DEX|-2			BONUS:STAT|WIS|2	BONUS:STAT|CHA|8		CR:17	KIT:1|TN	HITDICEADVANCEMENT:60,80		LEGS:4	HANDS:2	SOURCEPAGE:Drac	KIT:1|Golem (Ironwyrm) Stats	SORTKEY:Golem_Ironwyrm
Hoard Scarab			STARTFEATS:1	SIZE:F	TYPE:Vermin	RACETYPE:Vermin		MONSTERCLASS:Vermin:1	MOVE:Walk,20,Climb,20	BONUS:COMBAT|AC|2|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d2				FACE:1	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Hoard Scarab			BONUS:STAT|STR|-10	BONUS:STAT|DEX|2	BONUS:STAT|CON|2		BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8	MONCSKILL:Hide|Listen	CR:1/2	KIT:1|TN			LEGS:6	HANDS:0	SOURCEPAGE:Drac	KIT:1|Hoard Scarab Stats	
Swarm (Hoard Scarab Swarm)			STARTFEATS:1	SIZE:F	TYPE:Vermin	RACETYPE:Vermin	RACESUBTYPE:Swarm	MONSTERCLASS:Vermin:6	MOVE:Walk,20,Climb,20	BONUS:COMBAT|AC|2|TYPE=NaturalArmor	NATURALATTACKS:Swarm,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6				FACE:10	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Swarm (Hoard Scarab Swarm)				BONUS:STAT|DEX|2	BONUS:STAT|CON|2		BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8	MONCSKILL:Hide|Listen	CR:5	KIT:1|TN			LEGS:6	HANDS:0	SOURCEPAGE:Drac	KIT:1|Swarm (Hoard Scarab Swarm) Stats	
Landwyrm (Desert Landwyrm)			STARTFEATS:1	SIZE:G	TYPE:Dragon	RACETYPE:Dragon		MONSTERCLASS:Dragon:32	MOVE:Walk,40,Burrow,20	BONUS:COMBAT|AC|27|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,4d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d8				FACE:20	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Landwyrm (Desert Landwyrm)			BONUS:STAT|STR|24		BONUS:STAT|CON|14	BONUS:STAT|INT|10	BONUS:STAT|WIS|6	BONUS:STAT|CHA|10	MONCSKILL:Bluff|Concentration|Diplomacy|Escape artist|Gather Information|Hide|Intimidate|Knowledge (arcana)|Knowledge (Local)|Knowledge (Nature)|Listen|Move Silently|Sense Motive|Spot|Survival	CR:18		HITDICEADVANCEMENT:39,48		LEGS:4	HANDS:0	SOURCEPAGE:Drac	KIT:1|Landwyrm (Desert Landwyrm) Stats	
Landwyrm (Forest Landwyrm)			STARTFEATS:1	SIZE:L	TYPE:Dragon	RACETYPE:Dragon		MONSTERCLASS:Dragon:16	MOVE:Walk,60,Burrow,10	BONUS:COMBAT|AC|9|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Landwyrm (Forest Landwyrm)			BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|2	BONUS:STAT|WIS|10	BONUS:STAT|CHA|6	MONCSKILL:Climb|Concentration|Diplomacy|Gather Information|Hide|Knowledge (Local)|Knowledge (Nature)|Listen|Move Silently|Sense Motive|Spot|Survival	CR:10		HITDICEADVANCEMENT:19,31,39,48	LEVELADJUSTMENT:3	LEGS:4	HANDS:0	SOURCEPAGE:Drac	KIT:1|Landwyrm (Forest Landwyrm) Stats	
Landwyrm (Hill Landwyrm)			STARTFEATS:1	SIZE:H	TYPE:Dragon	RACETYPE:Dragon		MONSTERCLASS:Dragon:20	MOVE:Walk,50,Burrow,10	BONUS:COMBAT|AC|15|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d8				FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Landwyrm (Hill Landwyrm)			BONUS:STAT|STR|18		BONUS:STAT|CON|10	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	MONCSKILL:Hide|Intimidate|Knowledge (Local)|Knowledge (Nature)|Listen|Sense Motive|Spot|Survival	CR:12		HITDICEADVANCEMENT:31,39,48		LEGS:4	HANDS:0	SOURCEPAGE:Drac	KIT:1|Landwyrm (Hill Landwyrm) Stats	
Landwyrm (Jungle Landwyrm)			STARTFEATS:1	SIZE:H	TYPE:Dragon	RACETYPE:Dragon		MONSTERCLASS:Dragon:28	MOVE:Walk,50,Burrow,10	BONUS:COMBAT|AC|15|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6				FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Landwyrm (Jungle Landwyrm)			BONUS:STAT|STR|20		BONUS:STAT|CON|2	BONUS:STAT|INT|6	BONUS:STAT|WIS|10	BONUS:STAT|CHA|6	MONCSKILL:Bluff|Climb|Concentration|Diplomacy|Gather Information|Hide|Intimidate|Knowledge (Local)|Knowledge (Nature)|Listen|Move Silently|Sense Motive|Spot|Survival	CR:16		HITDICEADVANCEMENT:31,39,48		LEGS:4	HANDS:0	SOURCEPAGE:Drac	KIT:1|Landwyrm (Jungle Landwyrm) Stats	
Landwyrm (Mountain Landwyrm)			STARTFEATS:1	SIZE:C	TYPE:Dragon	RACETYPE:Dragon		MONSTERCLASS:Dragon:40	MOVE:Walk,30,Burrow,10	BONUS:COMBAT|AC|30|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,4d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,4d6				FACE:30	REACH:20	ABILITY:Internal|AUTOMATIC|Race Traits ~ Landwyrm (Mountain Landwyrm)			BONUS:STAT|STR|32	BONUS:STAT|DEX|-2	BONUS:STAT|CON|22	BONUS:STAT|INT|2	BONUS:STAT|WIS|14	BONUS:STAT|CHA|10	MONCSKILL:Climb|Concentration|Diplomacy|Gather Information|Hide|Intimidate|Knowledge (Local)|Knowledge (Nature)|Listen|Sense Motive|Spot|Survival	CR:22		HITDICEADVANCEMENT:48		LEGS:4	HANDS:0	SOURCEPAGE:Drac	KIT:1|Landwyrm (Mountain Landwyrm) Stats	
Landwyrm (Plains Landwyrm)			STARTFEATS:1	SIZE:M	TYPE:Dragon	RACETYPE:Dragon		MONSTERCLASS:Dragon:8	MOVE:Walk,60,Burrow,10	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Landwyrm (Plains Landwyrm)			BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	MONCSKILL:Bluff|Diplomacy|Gather Information|Hide|Intimidate|Knowledge (local)|Knowledge (Nature)|Listen|Spot|Survival	CR:6		HITDICEADVANCEMENT:11,19,24	LEVELADJUSTMENT:2	LEGS:4	HANDS:0	SOURCEPAGE:Drac	KIT:1|Landwyrm (Plains Landwyrm) Stats	
Landwyrm (Swamp Landwyrm)			STARTFEATS:1	SIZE:G	TYPE:Dragon	RACETYPE:Dragon		MONSTERCLASS:Dragon:36	MOVE:Walk,30,Swim,20	BONUS:COMBAT|AC|24|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,4d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d8				FACE:20	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Landwyrm (Swamp Landwyrm)			BONUS:STAT|STR|28		BONUS:STAT|CON|16	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|14	MONCSKILL:Bluff|Concentration|Diplomacy|Gather Information|Hide|Intimidate|Jump|Knowledge (Local)|Knowledge (Nature)|Listen|Move Silently|Sense Motive|Spot|Survival|Swim	CR:20		HITDICEADVANCEMENT:39,48		LEGS:4	HANDS:0	SOURCEPAGE:Drac	KIT:1|Landwyrm (Swamp Landwyrm) Stats	
