SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																															
																																		
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Stunning Rebuke	CATEGORY:Special Ability	TYPE:ClassFeatures.DispassionateWatcherOfChronepsisClassFeatures.Supernatural	VISIBLE:YES	DESC:A 4th-level dispassionate watcher can deliver a thunderous rebuke that stuns one creature of its choice within 100 feet. If the target creature fails a Will saving throw (DC 10 + dispassionate watcher's class level + 1/2 its Cha modifier), it is stunned for 1d4+1 rounds. This is a sonic effect, but is not language-dependent.	KEY:Dispassionate Watcher of Chronepsis ~ Stunning Rebuke	DESC:Will DC %1.|StunningRebukeDC			DEFINE:StunningRebukeDC|0					BONUS:VAR|StunningRebukeDC|10+DispassionateWatcherOfChronepsisLVL+CHA/2	BONUS:VAR|StunningRebukeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Stunning Rebuke)								ABILITY:Ability Focus|AUTOMATIC|Stunning Rebuke								SORTKEY:Class_Dispassionate_Watcher_Of_Chronepsis	SOURCEPAGE:Drac		
Tongues	CATEGORY:Special Ability	TYPE:ClassFeatures.DispassionateWatcherOfChronepsisClassFeatures.SpellLike	VISIBLE:YES	DESC:A 5th-level dispassionate watcher can use tongues at will.	KEY:Dispassionate Watcher of Chronepsis ~ Tongues																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=DispassionateWatcherOfChronepsisLVL|Tongues								SORTKEY:Class_Dispassionate_Watcher_Of_Chronepsis	SOURCEPAGE:Drac		
Discern Lies	CATEGORY:Special Ability	TYPE:ClassFeatures.DispassionateWatcherOfChronepsisClassFeatures.Supernatural	VISIBLE:YES	DESC:At 6th level, a dispassionate watcher knows when anyone (other than a deity) is deliberately lying. This ability is like the discern lies spell, except that it works continuously and applies to any creature the dragon can perceive.	KEY:Dispassionate Watcher of Chronepsis ~ Discern Lies																										SORTKEY:Class_Dispassionate_Watcher_Of_Chronepsis	SOURCEPAGE:Drac		
Clearsight	CATEGORY:Special Ability	TYPE:ClassFeatures.DispassionateWatcherOfChronepsisClassFeatures.Extraordinary	VISIBLE:YES	DESC:A 9th-level dispassionate watcher can see illusions, transmuted creatures and objects, and disguised creatures and objects for what they really are, provided they are within 30 feet of the dragon. This ability is similar to the true seeing spell, except that it also foils mundane disguises.	KEY:Dispassionate Watcher of Chronepsis ~ Clearsight									BONUS:VAR|TrueSeeingVisionRange|30|TYPE=Base																	SORTKEY:Class_Dispassionate_Watcher_Of_Chronepsis	SOURCEPAGE:Drac		
Vision	CATEGORY:Special Ability	TYPE:ClassFeatures.DispassionateWatcherOfChronepsisClassFeatures.SpellLike	VISIBLE:YES	DESC:At 10th level, a dispassionate watcher gains the ability to use vision three times per day. Using this ability is only a standard action for the dragon.	KEY:Dispassionate Watcher of Chronepsis ~ Vision																		SPELLS:Innate|TIMES=3|CASTERLEVEL=DispassionateWatcherOfChronepsisLVL|Vision								SORTKEY:Class_Dispassionate_Watcher_Of_Chronepsis	SOURCEPAGE:Drac		
Analyze Dweomer	CATEGORY:Special Ability	TYPE:ClassFeatures.DispassionateWatcherOfChronepsisClassFeatures.SpellLike	VISIBLE:YES	DESC:A 12th-level dispassionate watcher can use analyze dweomer at will.	KEY:Dispassionate Watcher of Chronepsis ~ Analyze Dweomer																		SPELLS:Innate|TIMES=3|CASTERLEVEL=DispassionateWatcherOfChronepsisLVL|Analyze Dweomer								SORTKEY:Class_Dispassionate_Watcher_Of_Chronepsis	SOURCEPAGE:Drac		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DragonAscendantClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A dragon ascendant gains no proficiency with any weapons, armor, or shields.	KEY:Dragon Ascendant ~ Weapon and Armor Proficiency																										SORTKEY:Class_Dragon_Ascendant	SOURCEPAGE:Drac		
Awesome Aura	CATEGORY:Special Ability	TYPE:ClassFeatures.DragonAscendantClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A dragon ascendant loses its innate frightful presence, replacing it with a special fear aura. This aura surrounds the dragon at any radius it chooses up to the extent of its frightful presence (30 feet X the dragon's age category), and is always active unless the dragon chooses to deactivate it. The dragon can choose to exclude its own allies from the effect of its aura. Creatures within the aura must make a Will save (DC equal to the dragon's frightful presence DC plus 1/2 its dragon ascendant levels). Creatures that fail their saving throws are shaken, while those that succeed are immune to the effect of that dragon's aura for 24 hours. If the dragon attacks or charges, shaken creatures must attempt a second Will save (same DC) or become frightened. When a dragon ascendant reaches 5th level, it can choose to modify its aura to inspire resolve in its allies and dread in its enemies. All allies of the dragon within the radius of its aura receive a +4 morale bonus on attack rolls, saves, and checks. The dragon's foes must succeed on a Will saving throw or take a -4 penalty on attack rolls, saves, and checks. When a dragon ascendant reaches 10th level, it gains a third option for its aura. The dragon can cause affected creatures to become dazed, simply staring at the dragon in fascinated awe, if they fail their Will saves. As with the fear aspect of the aura, the dragon can choose to exclude its allies from the effects of the aura. All uses of a dragon's awesome aura are mind-affecting effects.	KEY:Dragon Ascendant ~ Awesome Aura	DESC:%1-feet radius, Will DC %2.|AwesomeAuraRadius|AwesomeAuraDC			DEFINE:AwesomeAuraRadius|0	DEFINE:AwesomeAuraDC|0				BONUS:VAR|AwesomeAuraDC|FrightfulPresenceDC+(DragonAscendantLVL/2)	BONUS:VAR|AwesomeAuraDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Awesome Aura)	BONUS:VAR|AwesomeAuraRadius|30*DragonAgeCategory							ABILITY:Ability Focus|AUTOMATIC|Awesome Aura								SORTKEY:Class_Dragon_Ascendant	SOURCEPAGE:Drac		
Hit Points Increase	CATEGORY:Special Ability	TYPE:ClassFeatures.DragonAscendantClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, and every two levels thereafter, a dragon ascendant gains 1 hit point per Hit Die it possesses, including all its dragon Hit Dice and those gained from class levels. This benefit can never increase a dragon's hit points above the maximum for its Hit Dice and Constitution bonus. At 12th level, a dragon ascendant's hit points are equal to the maximum for its Hit Dice and Constitution bonus.	KEY:Dragon Ascendant ~ Hit Points Increase																										SORTKEY:Class_Dragon_Ascendant	SOURCEPAGE:Drac		
Transmutation Immunity	CATEGORY:Special Ability	TYPE:ClassFeatures.DragonAscendantClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a dragon ascendant gains immunity to polymorphing, petrification, and any other attack that would alter its form. Any shape-altering powers or spells the dragon has work normally on itself.	KEY:Dragon Ascendant ~ Transmutation Immunity																		ABILITY:Special Ability|AUTOMATIC|Immunity To Polymorph|Immunity To Petrification								SORTKEY:Class_Dragon_Ascendant	SOURCEPAGE:Drac		
Increased Damage Reduction	CATEGORY:Special Ability	TYPE:ClassFeatures.DragonAscendantClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 4th level, a dragon ascendant's damage reduction can be overcome only by epic weapons. At 8th level, the amount of the dragon's damage reduction (the number before the slash) is increased by 5. For example, an ancient black dragon/8th-level dragon ascendant has damage reduction 20/epic.	KEY:Dragon Ascendant ~ Increased Damage Reduction									BONUS:MISC|DR|Epic|5|PREVARGTEQ:DragonAgeCategory,5	BONUS:MISC|DR|Epic|5|PREVARGTEQ:DragonAgeCategory,7	BONUS:MISC|DR|Epic|5|PREVARGTEQ:DragonAgeCategory,9	BONUS:MISC|DR|Epic|5|PREVARGTEQ:DragonAgeCategory,11	BONUS:MISC|DR|Epic|5|PREVARGTEQ:DragonAscendantLVL,8													SORTKEY:Class_Dragon_Ascendant	SOURCEPAGE:Drac		
Lifewarding	CATEGORY:Special Ability	TYPE:ClassFeatures.DragonAscendantClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 6th level, a dragon ascendant is no longer vulnerable to attacks that cause energy drain, ability drain, or ability damage.	KEY:Dragon Ascendant ~ Lifewarding																		ABILITY:Special Ability|AUTOMATIC|Immunity To Energy Drain|Immunity to Ability Drain|Immunity to Ability Damage								SORTKEY:Class_Dragon_Ascendant	SOURCEPAGE:Drac		
Deflection Bonus	CATEGORY:Special Ability	TYPE:ClassFeatures.DragonAscendantClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 7th level, a dragon ascendant gains a deflection bonus to its Armor Class equal to its Charisma bonus, if any.	KEY:Dragon Ascendant ~ Deflection Bonus									BONUS:COMBAT|AC|max(CHA,0)|TYPE=Deflection																	SORTKEY:Class_Dragon_Ascendant	SOURCEPAGE:Drac		
Iron Mind	CATEGORY:Special Ability	TYPE:ClassFeatures.DragonAscendantClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 9th level, a dragon ascendant becomes immune to mind-affecting effects (charms, compulsions, phantasms, patterns, and morale effects).	KEY:Dragon Ascendant ~ Iron Mind																		ABILITY:Special Ability|AUTOMATIC|Immunity To Mind-Affecting								SORTKEY:Class_Dragon_Ascendant	SOURCEPAGE:Drac		
Resistance to Fire	CATEGORY:Special Ability	TYPE:ClassFeatures.DragonAscendantClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 11th level, a dragon ascendant gains resistance to fire 20, if it does not already possess immunity to fire.	KEY:Dragon Ascendant ~ Resistance to Fire									BONUS:VAR|FireResistanceBonus|20|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance to Fire								SORTKEY:Class_Dragon_Ascendant	SOURCEPAGE:Drac		
