SOURCELONG:Noble Steed 3.0	SOURCESHORT:NS30	SOURCEWEB:http://www.avalanchepress.com																																									
#																																											
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat		Define		Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat			Stackable?	Multiple?	Choose	Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page	
Pirouette	CATEGORY:FEAT	TYPE:SteedFeat.Dressage	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT|Half Pass																		DESC:The dangerous and difficult pirouette is a complete 360-degree turn in a steed's canter, altering the course of its direction without losing any of its speed or impact. If the steed possesses this Feat, its charge does not have to be in a straight line, so long as it covers the requisite distance.																	SOURCEPAGE:NS	
Rear Kick	CATEGORY:FEAT	TYPE:SteedBattleFeat	VISIBLE:YES																						DESC:If the steed is stationary, it can kick with its hind feet, making a single attack at +1 to hit. This kick deals 2d8 + the Strength Bonus of the animal in damage. The target of a successful rear Kick must make a Fort Save at DC 15 + the Strength Bonus of the steed or be knocked back I 5 feet.						NATURALATTACKS:Rear Kick,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6,SPROP=Knock off											SOURCEPAGE:NS	
Safe Heaven	CATEGORY:FEAT	TYPE:SteedBattleFeat	VISIBLE:YES																						DESC:The horse has an instinctive grasp of its rider's condition and can carry him or her to safety even if the rider is unconscious or otherwise unable to control the steed's actions. The horse will carry a rider to a place where the horse feels safe (a barn, a nearby grotto or house where the horse was treated well), taking its passenger off the battlefield before he or she can be killed.																	SOURCEPAGE:NS	
Shoulder In	CATEGORY:FEAT	TYPE:SteedFeat.Dressage	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT|Improved Charge																		DESC:With this Feat, the steed performs a slanted lateral movement with the shoulder leading. While running or trotting, it uses its weight and momentum to pass against its attacker, keeping his or her weapon tied up so that it cannot harm the steed or its rider. The Shoulder In Feat allows the steed to move through an area without provoking an Attack of Opportunity. The steed's opponent in that area takes Id4 points of damage if a successful attack roll is made by the steed.																	SOURCEPAGE:NS	
Snatch	CATEGORY:FEAT	TYPE:SteedFeat.Flight	VISIBLE:YES													PRESTAT:1,STR=17	PREMOVE:1,Fly=1								DESC:The steed has the ability to snatch flightless opponents off the ground and carry them into the sky. When attacking from the air, the animal makes a normal attack with its natural weapon. This attack must enable the steed to carry off the opponent. Thus, it must be a bite, a claw, or some other attack that would enable the steed to get ahold of its opponent. If the attack is successful, the steed may immediately make a Grapple check as a Free Action and without provoking an Attack of Opportunity. If the Grapple is also successful, the steed snatches the target off the ground and may carry it away. The target of this attack must be at least one size smaller than the creature making the Snatch.																	SOURCEPAGE:NS	
Sole Rider	CATEGORY:FEAT	TYPE:SteedFeat	VISIBLE:YES																						DESC:The steed is exceptionally loyal and has attached itself very faithfully to one rider. That rider gets an additional +4 Synergy Bonus to his or her Ride Skill checks while on this horse. Any other riders must make a Ride check at D C I ~or be thrown. This horse cannot be sold except for stud because once this Feat is purchased the steed will never be an effective riding horse for anyone save the Sole Rider that it has chosen.																	SOURCEPAGE:NS	
Sure-Footed	CATEGORY:FEAT	TYPE:SteedFeat	VISIBLE:YES																						DESC:With this Feat, the steed no longer needs to make Dexterity checks to perform simple maneuvers on difficult terrain. It can simply Take IO on all low jumps, flat-out runs, or other common maneuvers while on even marshy or rocky terrain.																	SOURCEPAGE:NS	
Swoop Attack	CATEGORY:FEAT	TYPE:SteedFeat.Flight	VISIBLE:YES														PREMOVE:1,Fly=1								DESC:This flying steed is extremely agile and knows how to use its maneuverability and dexterity to assault opponents. When making an attack from flight against a land-bound opponent, the flighted steed may move both before and after the attack, provided that the total distance moved is not greater than its speed.																	SOURCEPAGE:NS	
Titanic Charge	CATEGORY:FEAT	TYPE:SteedFeat	VISIBLE:YES			PRERACE:1,Animal (Elephant%	PREABILITY:2,CATEGORY=FEAT|Improved Charge,Massive Blow																		DESC:The elephant may carry out a truly massive charge, driving the force of a single Bull Rush against many defenders. If the elephant's first Bull Rush is successful, it gets an immediate, extra Bull Rush Attack against another creature in the immediate vicinity. The elephant may take a 5-foot step immediately after the first Bull Rush in order to target its next opponent. The additional attack is made with the same bonuses as the original attack.																	SOURCEPAGE:NS	
Tower-Bearing	CATEGORY:FEAT	TYPE:SteedFeat	VISIBLE:YES			PRERACE:1,Animal (Elephant%																			DESC:This feat allows the elephant to move normally under the weight of a heavy wooden tower and with as many as three people aboard its back. The elephant receives no penalties for movement and it considered to be carrying a Light Load for Encumbrance purposes. Those inside the tower receive Full Cover.																	SOURCEPAGE:NS	
Trick Riding	CATEGORY:FEAT	TYPE:SteedFeat	VISIBLE:YES																						DESC:This feat encompasses all sorts of minor tricks - spinning, rearing, acrobatic abilities - but has no real bonus. It will allow the steed to perform any number of small tricks (such as coming when whistled for, pawing numbers on the ground, or other feats of seeming intelligence) with ease, on the rider's command (or without a rider, if given hand signals from nearby).																	SOURCEPAGE:NS	
Water-Finding	CATEGORY:FEAT	TYPE:SteedFeat	VISIBLE:YES			PRERACE:1,Animal (Camel%																			DESC:Camels have an instinctive ability to find water, even if it is beneath rocks or other natural barriers. A camel with this Feat can be given a command to find water and will then proceed to the nearest source of freshwater (within one day's travel).																	SOURCEPAGE:NS	
Way Home	CATEGORY:FEAT	TYPE:SteedFeat	VISIBLE:YES																						DESC:If this horse is ever stolen, lost, or deliberately left in safe haven, it will eventually find its way home to its master (wherever he or she may be). This is not a magical teleport skill, but it does allow the horse uncanny tracking powers and the ability to sense its master. Within two to four weeks, the horse will track its owner down and be reunited. Horses that are mistreated or legitimately sold will not use this ability to "find the way home."																	SOURCEPAGE:NS	
