SOURCELONG:Monsters of Faerun 3.0	SOURCESHORT:MCMoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:02-2001																													
																																
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Constrict	CATEGORY:Special Ability	TYPE:SalamanderSubRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A salamander deals automatic tail slap damage (including fire damage) with a successful grapple check. A noble salamander can constrict multiple creatures simultaneously, provided they are all at least two sizes smaller than it.	KEY:Salamander ~ Constrict																											SOURCEPAGE:MM1
Heat	CATEGORY:Special Ability	TYPE:SalamanderSubRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A salamander generates so much heat that its mere touch deals additional fire damage. Salamanders' metallic weapons also conduct this heat.	KEY:Salamander ~ Heat																											SOURCEPAGE:MM1
Improved Grab	CATEGORY:Special Ability	TYPE:SalamanderSubRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, a salamander must hit a creature of up to one size larger than itself with its tail slap attack. It can then attempt to start a grapple as a free action without provoking an attack of opportunity. If it wins the grapple check, it establishes a hold and can constrict.	KEY:Salamander ~ Improved Grab																											SOURCEPAGE:MM1
Skills	CATEGORY:Special Ability	TYPE:SalamanderSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Salamanders have a +4 racial bonus on Craft (blacksmithing) checks.	KEY:Salamander ~ Skills									BONUS:SKILL|Craft (Blacksmithing)|4|TYPE=Racial																		SOURCEPAGE:MM1
Feats	CATEGORY:Special Ability	TYPE:SalamanderSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Salamanders have the Multiattack feat even though they do not have the requisite three natural weapons.	KEY:Salamander ~ Feats									BONUS:VAR|BypassMultiattackRequisite|1|TYPE=Racial																		SOURCEPAGE:MM1
																																
Slaad Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Slaad ~ Languages|Slaad ~ Natural Weapons|Slaad ~ Resistancies|Slaad ~ Immunities|Slaad ~ Summon Slaad									SOURCEPAGE:MM1
Languages	CATEGORY:Special Ability	TYPE:SlaadSubRaceTrait.SpecialQuality	VISIBLE:YES	AUTO:LANG|Slaad	KEY:Slaad ~ Languages																											SOURCEPAGE:MM1
Natural Weapons	CATEGORY:Special Ability	TYPE:SlaadSubRaceTrait.SpecialQuality.Natural Weapons	VISIBLE:YES	DESC:A slaad's natural weapons, as well as any weapons it wields, are treated as chaotic-aligned for the purpose of overcoming damage reduction.	KEY:Slaad ~ Natural Weapons																											SOURCEPAGE:MM1
Resistancies	CATEGORY:Special Ability	TYPE:SlaadSubRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Slaad ~ Resistancies									BONUS:VAR|AcidResistanceBonus|5|TYPE=Resistance	BONUS:VAR|ColdResistanceBonus|5|TYPE=Resistance	BONUS:VAR|ElectricityResistanceBonus|5|TYPE=Resistance	BONUS:VAR|FireResistanceBonus|5|TYPE=Resistance						ABILITY:Special Ability|AUTOMATIC|Resistance To Acid|Resistance To Cold|Resistance To Electricity|Resistance to Fire									SOURCEPAGE:MM1
Immunities	CATEGORY:Special Ability	TYPE:SlaadSubRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Slaad ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity to Sonic									SOURCEPAGE:MM1
Summon Slaad	CATEGORY:Special Ability	TYPE:SlaadSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Slaadi can summon other slaadi much as though casting a summon monster spell, but they have only a limited chance of success. Roll d%%: On a failure, no slaadi answer the summons. Summoned creatures automatically return whence they came after 1 hour. A slaad that has just been summoned cannot use its own summon ability for 1 hour. Most slaadi do not use this ability lightly, since they are generally distrustful and fearful of one another. In general, they use it only when necessary to save their own lives.	KEY:Slaad ~ Summon Slaad																											SOURCEPAGE:MM1
																																
Sphinx Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Sphinx ~ Languages|Sphinx ~ Pounce|Sphinx ~ Rake									SOURCEPAGE:MM1
Languages	CATEGORY:Special Ability	TYPE:SphinxSubRaceTrait.SpecialQuality	VISIBLE:YES	AUTO:LANG|Sphinx|Common|Draconic	KEY:Sphinx ~ Languages																											SOURCEPAGE:MM1
Pounce	CATEGORY:Special Ability	TYPE:SphinxSubRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If a sphinx charges a foe, it can make a full attack, including two rake attacks.	KEY:Sphinx ~ Pounce																											SOURCEPAGE:MM1
Rake	CATEGORY:Special Ability	TYPE:SphinxSubRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A sphinx that pounces onto a creature can make two rake attacks with its hind legs. Each sphinx's description provides its attack bonus and damage.	KEY:Sphinx ~ Rake																											SOURCEPAGE:MM1
																																
Sprite Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Sprite ~ Skills									SOURCEPAGE:MM1
Skills	CATEGORY:Special Ability	TYPE:SpriteSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:All sprites have a +2 racial bonus on Search, Spot, and Listen checks.	KEY:Sprite ~ Skills									BONUS:SKILL|Search,Spot,Listen|2|TYPE=Racial																		SOURCEPAGE:MM1
																																
Wraith Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Wraith ~ Languages|Wraith ~ Daylight Powerlessness|Wraith ~ Unnatural Aura									SOURCEPAGE:MM1
Languages	CATEGORY:Special Ability	TYPE:WraithSubRaceTrait.SpecialQuality	VISIBLE:YES	AUTO:LANG|Common|Infernal	KEY:Wraith ~ Languages																											SOURCEPAGE:MM1
Daylight Powerlessness	CATEGORY:Special Ability	TYPE:WraithSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Wraiths are utterly powerless in natural sunlight (not merely a daylight spell) and flee from it.	KEY:Wraith ~ Daylight Powerlessness																											SOURCEPAGE:MM1
Unnatural Aura	CATEGORY:Special Ability	TYPE:WraithSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Animals, whether wild or domesticated, can sense the unnatural presence of a wraith at a distance of 30 feet. They will not willingly approach nearer than that and panic if forced to do so; they remain panicked as long as they are within that range.	KEY:Wraith ~ Unnatural Aura																											SOURCEPAGE:MM1
																																
Yuan-Ti Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility				DEFINE:CommonAbility|0																	ABILITY:Special Ability|AUTOMATIC|Yuan-Ti ~ Detect Poison|PREVAREQ:CommonAbility,0	ABILITY:Special Ability|AUTOMATIC|Yuan-Ti ~ Alternate Form|PREVAREQ:CommonAbility,0								SOURCEPAGE:MM1
Alternate Form	CATEGORY:Special Ability	TYPE:YuanTiSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:All yuan-ti can assume the form of a Tiny to Large viper (see the Snake entry, page 280) as a psionic ability. This ability is similar to a polymorph spell (caster level 19th), but a yuanti does not regain any hit points for changing form, and it can only assume viper forms. The yuan-ti loses its natural weapons (if any) and gains the natural weapon of the viper form it assumes. If the yuan-ti has a poisonous bite of its own, it uses its own or the viper's poison, whichever is more potent.	KEY:Yuan-Ti ~ Alternate Form																											SOURCEPAGE:MM1
Detect Poison	CATEGORY:Special Ability	TYPE:YuanTiSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:All yuan-ti have the psionic ability to detect poison as the spell (caster level 6th).	KEY:Yuan-Ti ~ Detect Poison																											SOURCEPAGE:MM1
																																
Animal (Snake) Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Animal (Snake) ~ Skills									SOURCEPAGE:MM1
Skills	CATEGORY:Special Ability	TYPE:AnimalSnakeSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Snakes have a +4 racial bonus on Hide, Listen, and Spot checks and a +8 racial bonus on Balance and Climb checks. A snake can always choose to take 10 on a Climb check, even if rushed or threatened. Snakes use either their Strength modifier or Dexterity modifier for Climb checks, whichever is higher. A snake has a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. It can always choose to take 10 on a Swim check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line.	KEY:Animal (Snake) ~ Skills									BONUS:SKILL|Hide,Listen,Spot|4|TYPE=Racial	BONUS:SKILL|Balance,Climb|8|TYPE=Racial	BONUS:SKILL|Climb|max(DEX,STR)-STR	BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial															SOURCEPAGE:MM1
																																
Animal (Whale) Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Animal (Whale) ~ Blindsight|Animal (Whale) ~ Hold Breath|Animal (Whale) ~ Skills									SOURCEPAGE:MM1
Blindsight	CATEGORY:Special Ability	TYPE:AnimalWhaleSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Whales can "see" by emitting high-frequency sounds, inaudible to most other creatures, that allow them to locate objects and creatures within 120 feet. A silence spell negates this and forces the whale to rely on its vision, which is approximately as good as a human's.	KEY:Animal (Whale) ~ Blindsight									BONUS:VAR|BlindsightRange|120|TYPE=Base																		SOURCEPAGE:MM1
Hold Breath	CATEGORY:Special Ability	TYPE:AnimalWhaleSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A whale can hold its breath for a number of rounds equal to 8 x its Constitution score before it risks drowning.	KEY:Animal (Whale) ~ Hold Breath																											SOURCEPAGE:MM1
Skills	CATEGORY:Special Ability	TYPE:AnimalWhaleSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A whale has a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. It can always choose to take 10 on a Swim check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line. *A whale has a +4 racial bonus on Spot and Listen checks. These bonuses are lost if its blindsight is negated.	KEY:Animal (Whale) ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial	BONUS:SKILL|Listen,Spot|4|TYPE=Racial																	SOURCEPAGE:MM1
																																
###Block: Tracker																																
Arrowhawk Race Tracker	CATEGORY:Special Ability	TYPE:SubTraitAbility							DEFINE:ArrowhawkAgeCategory|0	DEFINE:ArrowhawkSizeTracker|0																						SOURCEPAGE:MM1
# CATEGORY=Special Ability|Arrowhawk Race Tracker.MOD														BONUS:VAR|RaceSizeIsLong|1	BONUS:VAR|ActivateSizeMaster|1								ABILITY:Internal|AUTOMATIC|SIZE_S|PREVAREQ:ArrowhawkSizeTracker,1	ABILITY:Internal|AUTOMATIC|SIZE_M|PREVAREQ:ArrowhawkSizeTracker,2	ABILITY:Internal|AUTOMATIC|SIZE_L|PREVAREQ:ArrowhawkSizeTracker,3	ABILITY:Internal|AUTOMATIC|SIZE_H|PREVARGTEQ:ArrowhawkSizeTracker,4						
# CATEGORY=Special Ability|Arrowhawk Race Tracker.MOD																							ABILITY:Internal|AUTOMATIC|ARROWHAWK_ATTACKS_S|PREVAREQ:ArrowhawkAgeCategory,1	ABILITY:Internal|AUTOMATIC|ARROWHAWK_ATTACKS_M|PREVAREQ:ArrowhawkAgeCategory,2	ABILITY:Internal|AUTOMATIC|ARROWHAWK_ATTACKS_L|PREVAREQ:ArrowhawkAgeCategory,3	ABILITY:Internal|AUTOMATIC|ARROWHAWK_ATTACKS_H|PREVAREQ:ArrowhawkAgeCategory,4						
CATEGORY=Special Ability|Arrowhawk Race Tracker.MOD																							ABILITY:Internal|AUTOMATIC|Arrowhawk ~ Juvenile|PREVAREQ:ArrowhawkAgeCategory,1	ABILITY:Internal|AUTOMATIC|Arrowhawk ~ Adult|PREVAREQ:ArrowhawkAgeCategory,2	ABILITY:Internal|AUTOMATIC|Arrowhawk ~ Elder|PREVAREQ:ArrowhawkAgeCategory,3	ABILITY:Internal|AUTOMATIC|Arrowhawk ~ Elder|PREVARGTEQ:ArrowhawkAgeCategory,4						
Juvenile	CATEGORY:Internal		VISIBLE:NO		KEY:Arrowhawk ~ Juvenile																		TEMPLATE:Arrowhawk ~ Juvenile									
Adult	CATEGORY:Internal		VISIBLE:NO		KEY:Arrowhawk ~ Adult																		TEMPLATE:Arrowhawk ~ Adult									
Elder	CATEGORY:Internal		VISIBLE:NO		KEY:Arrowhawk ~ Elder																		TEMPLATE:Arrowhawk ~ Elder	ABILITY:FEAT|AUTOMATIC|Weapon Focus (Bite)								
																																
Barghest Race Tracker	CATEGORY:Special Ability	TYPE:SubTraitAbility							DEFINE:BarghestAgeCategory|0	DEFINE:BarghestSizeTracker|0																						SOURCEPAGE:MM1
CATEGORY=Special Ability|Barghest Race Tracker.MOD																							ABILITY:Internal|AUTOMATIC|Barghest ~ Common|PREVAREQ:BarghestAgeCategory,1	ABILITY:Internal|AUTOMATIC|Barghest ~ Greater|PREVARGTEQ:BarghestAgeCategory,2								
Common	CATEGORY:Internal		VISIBLE:NO		KEY:Barghest ~ Common																		TEMPLATE:Barghest ~ Common									
Greater	CATEGORY:Internal		VISIBLE:NO		KEY:Barghest ~ Greater																		TEMPLATE:Barghest ~ Greater									
																																
Tojanida Race Tracker	CATEGORY:Special Ability	TYPE:SubTraitAbility							DEFINE:TojanidaAgeCategory|0	DEFINE:TojanidaSizeTracker|0																						SOURCEPAGE:MM1
# CATEGORY=Special Ability|Tojanida Race Tracker.MOD														BONUS:VAR|RaceSizeIsLong|1	BONUS:VAR|ActivateSizeMaster|1								ABILITY:Internal|AUTOMATIC|SIZE_S|PREVAREQ:TojanidaSizeTracker,1	ABILITY:Internal|AUTOMATIC|SIZE_M|PREVAREQ:TojanidaSizeTracker,2	ABILITY:Internal|AUTOMATIC|SIZE_L|PREVAREQ:TojanidaSizeTracker,3	ABILITY:Internal|AUTOMATIC|SIZE_L|PREVARGTEQ:TojanidaSizeTracker,4						
# CATEGORY=Special Ability|Tojanida Race Tracker.MOD																							ABILITY:Internal|AUTOMATIC|TOJANIDA_ATTACKS_S|PREVAREQ:TojanidaAgeCategory,1	ABILITY:Internal|AUTOMATIC|TOJANIDA_ATTACKS_M|PREVAREQ:TojanidaAgeCategory,2	ABILITY:Internal|AUTOMATIC|TOJANIDA_ATTACKS_L|PREVAREQ:TojanidaAgeCategory,3	ABILITY:Internal|AUTOMATIC|TOJANIDA_ATTACKS_L|PREVAREQ:TojanidaAgeCategory,4						
CATEGORY=Special Ability|Tojanida Race Tracker.MOD																							ABILITY:Internal|AUTOMATIC|Tojanida ~ Juvenile|PREVAREQ:TojanidaAgeCategory,1	ABILITY:Internal|AUTOMATIC|Tojanida ~ Adult|PREVAREQ:TojanidaAgeCategory,2	ABILITY:Internal|AUTOMATIC|Tojanida ~ Elder|PREVAREQ:TojanidaAgeCategory,3	ABILITY:Internal|AUTOMATIC|Tojanida ~ Elder|PREVARGTEQ:TojanidaAgeCategory,4						
Juvenile	CATEGORY:Internal		VISIBLE:NO		KEY:Tojanida ~ Juvenile																		TEMPLATE:Tojanida ~ Juvenile									
Adult	CATEGORY:Internal		VISIBLE:NO		KEY:Tojanida ~ Adult																		TEMPLATE:Tojanida ~ Adult									
Elder	CATEGORY:Internal		VISIBLE:NO		KEY:Tojanida ~ Elder																		TEMPLATE:Tojanida ~ Elder									
																																
Xorn Race Tracker	CATEGORY:Special Ability	TYPE:SubTraitAbility							DEFINE:XornAgeCategory|0	DEFINE:XornSizeTracker|0																						SOURCEPAGE:MM1
# CATEGORY=Special Ability|Xorn Race Tracker.MOD														BONUS:VAR|RaceSizeIsLong|1	BONUS:VAR|ActivateSizeMaster|1								ABILITY:Internal|AUTOMATIC|SIZE_S|PREVAREQ:XornSizeTracker,1	ABILITY:Internal|AUTOMATIC|SIZE_M|PREVAREQ:XornSizeTracker,2	ABILITY:Internal|AUTOMATIC|SIZE_L|PREVAREQ:XornSizeTracker,3	ABILITY:Internal|AUTOMATIC|SIZE_L|PREVARGTEQ:XornSizeTracker,4						
# CATEGORY=Special Ability|Xorn Race Tracker.MOD																							ABILITY:Internal|AUTOMATIC|XORN_ATTACKS_S|PREVAREQ:XornAgeCategory,1	ABILITY:Internal|AUTOMATIC|XORN_ATTACKS_M|PREVAREQ:XornAgeCategory,2	ABILITY:Internal|AUTOMATIC|XORN_ATTACKS_L|PREVAREQ:XornAgeCategory,3	ABILITY:Internal|AUTOMATIC|XORN_ATTACKS_H|PREVAREQ:XornAgeCategory,4						
CATEGORY=Special Ability|Xorn Race Tracker.MOD																							ABILITY:Internal|AUTOMATIC|Xorn ~ Minor|PREVAREQ:XornAgeCategory,1	ABILITY:Internal|AUTOMATIC|Xorn ~ Average|PREVAREQ:XornAgeCategory,2	ABILITY:Internal|AUTOMATIC|Xorn ~ Elder|PREVAREQ:XornAgeCategory,3	ABILITY:Internal|AUTOMATIC|Xorn ~ Elder|PREVARGTEQ:XornAgeCategory,4						
Minor	CATEGORY:Internal		VISIBLE:NO		KEY:Xorn ~ Minor																		TEMPLATE:Xorn ~ Minor									
Average	CATEGORY:Internal		VISIBLE:NO		KEY:Xorn ~ Average																		TEMPLATE:Xorn ~ Average									
Elder	CATEGORY:Internal		VISIBLE:NO		KEY:Xorn ~ Elder																		TEMPLATE:Xorn ~ Elder									
																																
Animal (Shark) Race Tracker	CATEGORY:Special Ability	TYPE:SubTraitAbility							DEFINE:AnimalSharkAgeCategory|0	DEFINE:AnimalSharkSizeTracker|0																						SOURCEPAGE:MM1
# CATEGORY=Special Ability|AnimalShark Race Tracker.MOD														BONUS:VAR|RaceSizeIsLong|1	BONUS:VAR|ActivateSizeMaster|1								ABILITY:Internal|AUTOMATIC|SIZE_S|PREVAREQ:AnimalSharkSizeTracker,1	ABILITY:Internal|AUTOMATIC|SIZE_M|PREVAREQ:AnimalSharkSizeTracker,2	ABILITY:Internal|AUTOMATIC|SIZE_L|PREVAREQ:AnimalSharkSizeTracker,3	ABILITY:Internal|AUTOMATIC|SIZE_L|PREVARGTEQ:AnimalSharkSizeTracker,4						
# CATEGORY=Special Ability|AnimalShark Race Tracker.MOD																							ABILITY:Internal|AUTOMATIC|AnimalShark_ATTACKS_S|PREVAREQ:AnimalSharkAgeCategory,1	ABILITY:Internal|AUTOMATIC|AnimalShark_ATTACKS_M|PREVAREQ:AnimalSharkAgeCategory,2	ABILITY:Internal|AUTOMATIC|AnimalShark_ATTACKS_L|PREVAREQ:AnimalSharkAgeCategory,3	ABILITY:Internal|AUTOMATIC|AnimalShark_ATTACKS_H|PREVAREQ:AnimalSharkAgeCategory,4						
CATEGORY=Special Ability|Animal (Shark) Race Tracker.MOD																							ABILITY:Internal|AUTOMATIC|Animal (Shark) ~ Medium|PREVAREQ:AnimalSharkAgeCategory,1	ABILITY:Internal|AUTOMATIC|Animal (Shark) ~ Large|PREVAREQ:AnimalSharkAgeCategory,2	ABILITY:Internal|AUTOMATIC|Animal (Shark) ~ Huge|PREVAREQ:AnimalSharkAgeCategory,3							
Medium	CATEGORY:Internal		VISIBLE:NO		KEY:Animal (Shark) ~ Medium																		TEMPLATE:Animal (Shark) ~ Medium									
Large	CATEGORY:Internal		VISIBLE:NO		KEY:Animal (Shark) ~ Large									BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))									TEMPLATE:Animal (Shark) ~ Large									
Huge	CATEGORY:Internal		VISIBLE:NO		KEY:Animal (Shark) ~ Huge									BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))									TEMPLATE:Animal (Shark) ~ Huge									
																																
Animal (Snake (Viper)) Race Tracker	CATEGORY:Special Ability	TYPE:SubTraitAbility							DEFINE:AnimalSnakeViperAgeCategory|0	DEFINE:AnimalSnakeViperSizeTracker|0																						SOURCEPAGE:MM1
CATEGORY=Special Ability|Animal (Snake (Viper)) Race Tracker.MOD																							ABILITY:Internal|AUTOMATIC|Animal (Snake (Viper)) ~ Small|PREVAREQ:AnimalSnakeViperAgeCategory,1	ABILITY:Internal|AUTOMATIC|Animal (Snake (Viper)) ~ Medium|PREVAREQ:AnimalSnakeViperAgeCategory,2	ABILITY:Internal|AUTOMATIC|Animal (Snake (Viper)) ~ Large|PREVAREQ:AnimalSnakeViperAgeCategory,3	ABILITY:Internal|AUTOMATIC|Animal (Snake (Viper)) ~ Huge|PREVAREQ:AnimalSnakeViperAgeCategory,4						
Small	CATEGORY:Internal		VISIBLE:NO		KEY:Animal (Snake (Viper)) ~ Small																		TEMPLATE:Animal (Snake (Viper)) ~ Small	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d2,SPROP=Poison								
