SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:03-2004																													
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Pain Touch	CATEGORY:Special Ability	TYPE:ClassFeatures.MaidenOfPainClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day, a 1st-level maiden of pain can use a melee touch attack to deliver wracking pain to a single opponent. If she succeeds on the touch attack, the opponent must make a Fortitude saving throw (DC 10 + maiden of pain level + maiden of pain's Wis modifi er). A creature that fails this saving throw is stunned for 1 round, until just before the maiden of pain's next action. Constructs, oozes, plants, undead, incorporeal creatures, and creatures immune to critical hits can't be stunned. The maiden of pain can use this ability twice per day at 4th level, three times per day at 7th level, and four times per day at 10th level.	KEY:Maiden of Pain ~ Pain Touch				DEFINE:PainTouchTimes|0					BONUS:VAR|PainTouchTimes|(MaidenOfPainPainTouchLVL+2)/3																	SORTKEY:Class_Maiden_Of_Pain	SOURCEPAGE:PgtF
Improved Trip	CATEGORY:Special Ability	TYPE:ClassFeatures.MaidenOfPainClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a maiden of pain gains the benefi ts of the Improved Trip feat when she is using a whip to make the trip attempt. She need not meet the prerequisites for the feat, but she can use it only when wielding a whip.	KEY:Maiden of Pain ~ Improved Trip																		ABILITY:FEAT|VIRTUAL|Improved Trip								SORTKEY:Class_Maiden_Of_Pain	SOURCEPAGE:PgtF
Improved Disarm	CATEGORY:Special Ability	TYPE:ClassFeatures.MaidenOfPainClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A 6th-level maiden of pain gains the benefi ts of the Improved Disarm feat when she is using a whip to make the disarm attempt. She need not meet the prerequisites of the feat, but she can use it only when wielding a whip.	KEY:Maiden of Pain ~ Improved Disarm																		ABILITY:FEAT|VIRTUAL|Improved Disarm								SORTKEY:Class_Maiden_Of_Pain	SOURCEPAGE:PgtF
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SlimeLordClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Slime lords gain no proficiency with any weapon, armor, or shield.	KEY:Slime Lord ~ Weapon and Armor Proficiency																										SORTKEY:Class_Slime_Lord	SOURCEPAGE:PgtF
Paralytic Slime	CATEGORY:Special Ability	TYPE:ClassFeatures.SlimeLordClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A slime lord's pseudopods are coated with slime that can paralyze a foe. Any creature struck by a slime lord's natural attack must succeed on a Fortitude save (DC 10 + slime lord level + slime lord's Con modifier) or be paralyzed for 1d4+1 rounds.	KEY:Slime Lord ~ Paralytic Slime																										SORTKEY:Class_Slime_Lord	SOURCEPAGE:PgtF
Pseudopods	CATEGORY:Special Ability	TYPE:ClassFeatures.SlimeLordClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:The physical form of a slime lord is more mutable than that of a normal creature of his type. As a move action, a slime lord can transform his hands into pseudopods or back into normal hands. He can make two natural attacks with his pseudopods as a full attack action, or one attack as a standard action. Each successful attack deals 1d6 points of damage. The transformation lasts for up to 1 round per slime lord level, though the character can change his pseudopods back into hands before the expiration of the effect as a move action. The slime lord can use this ability once per day at 1st level. Thereafter, he gains one additional use per day for every two slime lord levels. Thus, he can use the ability twice per day at 3rd level, three times per day at 5th level, four times per day at 7th level, and five times per day at 9th level 	KEY:Slime Lord ~ Pseudopods	DESC:%1/day|PseudopodsTimes			DEFINE:PseudopodsTimes|0					BONUS:VAR|PseudopodsTimes|(SlimeLordLVL+1)/2																	SORTKEY:Class_Slime_Lord	SOURCEPAGE:PgtF
Charming Gaze	CATEGORY:Special Ability	TYPE:ClassFeatures.SlimeLordClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A slime lord of at least 3rd level can activate a charming gaze for 1 round. Any creature that meets the slime lord's gaze must make a Will save (DC 10 + slime lord level + slime lord's Cha modifi er) or be affected as if by a charm monster spell (caster level equals slime lord's character level). This ability is usable once per day per slime lord level.	KEY:Slime Lord ~ Charming Gaze																		SPELLS:Innate|TIMES=SlimeLordLVL|CASTERLEVEL=SlimeLordLVL|Charm Monster,10+SlimeLordLVL+CHA								SORTKEY:Class_Slime_Lord	SOURCEPAGE:PgtF
Sleep Immunity	CATEGORY:Special Ability	TYPE:ClassFeatures.SlimeLordClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A slime lord of 4th level or higher is immune to sleep effects.	KEY:Slime Lord ~ Sleep Immunity																		ABILITY:Special Ability|AUTOMATIC|Immunity to Sleep								SORTKEY:Class_Slime_Lord	SOURCEPAGE:PgtF
Alter Self	CATEGORY:Special Ability	TYPE:ClassFeatures.SlimeLordClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A 5th-level or higher slime lord can change his form as though he were under the influence of the alter self spell. He can use this ability at will, and any change to his form lasts until he uses the ability again or chooses to revert to his natural form.	KEY:Slime Lord ~ Alter Self																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=SlimeLordLVL|Alter Self								SORTKEY:Class_Slime_Lord	SOURCEPAGE:PgtF
Damage Reduction	CATEGORY:Special Ability	TYPE:ClassFeatures.SlimeLordClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When the slime lord reaches 7th level, his body is so mutable that he gains damage reduction 5/slashing or piercing.	KEY:Slime Lord ~ Damage Reduction				DEFINE:SlimeLordDR|0					BONUS:VAR|SlimeLordDR|5									DR:SlimeLordDR/Slashing or Piercing								SORTKEY:Class_Slime_Lord	SOURCEPAGE:PgtF
Polymorph Immunity	CATEGORY:Special Ability	TYPE:ClassFeatures.SlimeLordClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An 8th-level or higher slime lord is immune to polymorphing.	KEY:Slime Lord ~ Polymorph Immunity																		ABILITY:Special Ability|AUTOMATIC|Immunity to Polymorph								SORTKEY:Class_Slime_Lord	SOURCEPAGE:PgtF
Blindsight	CATEGORY:Special Ability	TYPE:ClassFeatures.SlimeLordClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When the slime lord reaches 9th level, his whole body acts as a sensory organ, granting him blindsight out to 60 feet.	KEY:Slime Lord ~ Blindsight									BONUS:VAR|BlindsightRange|60|TYPE=Base																	SORTKEY:Class_Slime_Lord	SOURCEPAGE:PgtF
No Discernible Anathomy	CATEGORY:Special Ability	TYPE:ClassFeatures.SlimeLordClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A 10th-level slime lord's form is so amorphous that he is no longer subject to critical hits or sneak attacks. Furthermore, he gains immunity to poison, paralysis, and stunning.	KEY:Slime Lord ~ No Discernible Anathomy																		ABILITY:Special Ability|AUTOMATIC|Immunity to Critical Hits|Immunity to Sneak Attack|Immunity to Poison|Immunity to Paralysis|Immunity To Stunning								SORTKEY:Class_Slime_Lord	SOURCEPAGE:PgtF
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.YathrinsheeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Yathrinshees gain no proficiency with any weapon, armor, or shield.	KEY:Yathrinshee ~ Weapon and Armor Proficiency																										SORTKEY:Class_Yathrinshee	SOURCEPAGE:PgtF
Spell per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.YathrinsheeClassFeatures.SpecialAttack	VISIBLE:YES	DESC:At 2nd, 3rd, 5th, 6th, 8th, and 9th level, the character gains new spells per day (and spells known, if applicable) as if she had also gained a level in an arcane and a divine spellcasting class that she belonged to before she added the prestige class level. She does not, however, gain any other benefit a character of that class would have gained (bonus metamagic or item creation feats, and so on), except for an increased effective caster level. This essentially means that she adds the level of yathrinshee to the level of some other arcane and divine class the character has, then determines spells per day, spells known, and caster level accordingly. For example, a 5th-level cleric/3rdlevel wizard who takes three levels in yathrinshee has the same access to spells as a 7th-level cleric and a 5th-level wizard. However, her wizard familiar doesn't gain any new abilities. If a character had more than one arcane spellcasting class or more than one divine spellcasting class before she became a yathrinshee, she must decide to which class she adds each level of yathrinshee for the purpose of determining spells per day and spells known.	KEY:Yathrinshee ~ Spell per Day																										SORTKEY:Class_Yathrinshee	SOURCEPAGE:PgtF
Rebuke Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.YathrinsheeClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The character's yathrinshee levels stack with her cleric levels for the purpose of rebuking or commanding undead. For example, a 5th-level cleric/3rdlevel wizard/2nd-level yathrinshee rebukes undead as a 7th-level cleric.	KEY:Yathrinshee ~ Rebuke Undead									BONUS:VAR|RebukeLevelUndead|YathrinsheeLVL	BONUS:VAR|RebukeDamagePlusUndead|YathrinsheeLVL																SORTKEY:Class_Yathrinshee	SOURCEPAGE:PgtF
Necromancer	CATEGORY:Special Ability	TYPE:ClassFeatures.YathrinsheeClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:The yathrinshee has unsurpassed power over death. When she casts spells from the school of necromancy, all her spellcaster levels stack for the purpose of determining her effective caster level. She does not gain higher-level spells any faster than normal or gain any additional spells per day, but the spells she casts are much more effective. For example, a 5th-level cleric/3rd-level wizard/3rd-level yathrinshee has gained two effective level increases in both her cleric class and her wizard class, giving her the spellcasting ability of a 7th-level cleric and a 5th-level wizard. Thus, when she casts any necromancy spell, whether it is arcane or divine, her effective caster level is 12th (cleric 7th + wizard 5th).	KEY:Yathrinshee ~ Necromancer																										SORTKEY:Class_Yathrinshee	SOURCEPAGE:PgtF
Threnody	CATEGORY:Special Ability	TYPE:ClassFeatures.YathrinsheeClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day, a yathrinshee of 2nd level or higher can sing a song of lament that can unnerve opponents who are engaged in combat with an undead creature. In effect, any undead within 3 0 feet of the yathrinshee gains a gaze attack identical to the unnerving gaze of a chain devil. Any creature that meets the yathrinshee's e yes must make a Will save (DC 10 + yathrinshee level + y arthrinshee's Cha modifier) or take a -2 penalty on attack rolls for 1d3 rounds because it sees the faces of departed loved ones or bitter enemies. If an undead creature actually is the animated corpse of a friend or companion of the yathrinshee's opponent, the save DC increases by 2 and the penalty is doubled (to -4).	KEY:Yathrinshee ~ Threnody																										SORTKEY:Class_Yathrinshee	SOURCEPAGE:PgtF
Death Ward	CATEGORY:Special Ability	TYPE:ClassFeatures.YathrinsheeClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A yathrinshee of 4th level or higher is immune to death effects and negative energy as though protected b y a death ward spell. An undead yathrinshee instead gains turn resistance +4. This benefit stacks with any existing turn resistance.	KEY:Yathrinshee ~ Death Ward									BONUS:VAR|TurnResistanceBonus|4|PRERACE:1,RACETYPE=Undead									ABILITY:Special Ability|AUTOMATIC|Immunity To Death Effects|!PRERACE:1,RACETYPE=Undead								SORTKEY:Class_Yathrinshee	SOURCEPAGE:PgtF
Curse of the Revenancer	CATEGORY:Special Ability	TYPE:ClassFeatures.YathrinsheeClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any creature slain by a yathrinshee of 5th level or higher rises immediately as a zombie under her control.	KEY:Yathrinshee ~ Curse of the Revenancer																										SORTKEY:Class_Yathrinshee	SOURCEPAGE:PgtF
Zone of Desecration	CATEGORY:Special Ability	TYPE:ClassFeatures.YathrinsheeClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 7th level, the yathrinshee is continuously surrounded by a 20-foot-radius aura of negative energy. The effect is otherwise identical to that of the desecrate spell.	KEY:Yathrinshee ~ Zone of Desecration																										SORTKEY:Class_Yathrinshee	SOURCEPAGE:PgtF
Keening	CATEGORY:Special Ability	TYPE:ClassFeatures.YathrinsheeClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 10th level, the yathrinshee can keen once per day. This ability works like the wail of the banshee spell, except that it affects any number of creatures within a 30-foot-radius spread centered on the yathrinshee.	KEY:Yathrinshee ~ Keening																										SORTKEY:Class_Yathrinshee	SOURCEPAGE:PgtF
