SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Smite Infidel	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineChampionClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day, a divine champion of at least 3rd level may attempt to smite a creature that has a different patron deity (or no patron deity at all) with one normal melee attack. She adds her Charisma bonus (if any) to the attack roll and deals 1 extra point of damage per divine champion level. For example, a 4th-level divine champion armed with a longsword would deal 1d8+4 points of damage, plus any additional bonuses from high strength or magical effects that would normally apply. If a divine champion accidentally smites a creature that is not of an opposing alignment or deity, the smite has no effect but is still used up for that day. If the divine champion has a smite ability from another source (such as cleric or paladin levels), she may instead use that ability one extra time per day.	KEY:Divine Champion ~ Smite Infidel									BONUS:VAR|SmiteInfidelLVL|DivineChampionLVL	BONUS:VAR|SmiteInfidelToHit|max(CHA,0)|TYPE=Base	BONUS:VAR|SmiteInfidelDamage|DivineChampionLVL	BONUS:VAR|SmiteInfidel|1						ABILITY:Special Ability|VIRTUAL|Smite Infidel								SORTKEY:Class_Divine_Champion	SOURCEPAGE:PgtF		
Divine Wrath	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineChampionClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day, a 5th-level divine champion can channel a portion of her patron deity's power to greatly enhance her own battle prowess. She gains damage reduction 5/- and a +3 bonus on attack rolls, damage, and saving throws for a number of rounds equal to her Charisma modifier (minimum 1 round). These modifiers are sacred bonuses if the divine champion's patron is of good alignment, or profane bonuses if her deity is of evil alignment. If the patron deity is neutral, the divine champion's alignment determines whether the bonuses are sacred or profane. If both the divine champion and her patron are neutral, the character chooses whether the bonuses are sacred or profane when she first gains the ability.	KEY:Divine Champion ~ Divine Wrath	DESC:%1/day.|DivineWrathTimes			DEFINE:DivineWrathTimes|0					BONUS:VAR|DivineWrathTimes|1																	SORTKEY:Class_Divine_Champion	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineDiscipleClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Divine disciples gain no proficiency with any weapon, armor, or shield.	KEY:Divine Disciple ~ Weapon and Armor Proficiency																										SORTKEY:Class_Divine_Disciple	SOURCEPAGE:PgtF		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineDiscipleClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When a new divine disciple level is gained, the character gains new spells per day (and spells known, if applicable) as if she had also gained a level in whatever divine spellcasting class granted her access to 4th-level divine spells before she added the prestige class level. She does not, however, gain any other benefi t a character of that class would have gained (improved chance of turning or rebuking undead, and so on), except for an increased effective level of spellcasting. This essentially means that she adds the level of divine disciple to the level of whatever other divine spellcasting class granted her access to 4th level divine spells, then determines spells per day, spells known, and caster level accordingly. If a character had more than one divine spellcasting class that granted access to 4th-level spells before she became a divine disciple, she must decide to which class she adds each level of divine disciple for the purpose of determining spells per day and spells known.	KEY:Divine Disciple ~ Spells per Day																										SORTKEY:Class_Divine_Disciple	SOURCEPAGE:PgtF		
Divine Emissary	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineDiscipleClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, a divine disciple can communicate telepathically with any outsider within 60 feet that has the same alignment as she does or serves her deity. The telepathy function of this class feature is a supernatural ability. The character also gains a bonus equal to her divine disciple level on any Charisma-based skill or ability checks she makes when dealing with outsiders that share her alignment or patron.	KEY:Divine Disciple ~ Divine Emissary				DEFINE:DivineEmissaryBonus|0					BONUS:VAR|TelepathyRange|60|TYPE=Base	BONUS:VAR|DivineEmissaryBonus|DivineDiscipleLVL																SORTKEY:Class_Divine_Disciple	SOURCEPAGE:PgtF	ASPECT:SkillBonus|+%1 bonus on any Charisma-based skill or ability checks she makes when dealing with outsiders that share alignment or patron.|DivineEmissaryBonus	
Sacred Defense	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineDiscipleClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, the divine disciple gains a +1 bonus on saving throws against divine spells, as well as the spelllike and supernatural abilities of outsiders. At 4th level, this bonus increases to +2.	KEY:Divine Disciple ~ Sacred Defense				DEFINE:DivineDiscipleSacredDefenseLVL|0					BONUS:VAR|DivineDiscipleSacredDefenseLVL|DivineDiscipleLVL/2	BONUS:VAR|SacredDefenseBonus|DivineDiscipleSacredDefenseLVL								ABILITY:Special Ability|AUTOMATIC|Sacred Defense								SORTKEY:Class_Divine_Disciple	SOURCEPAGE:PgtF		
Imbue with Spell Ability	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineDiscipleClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:3rd-level divine disciple can use imbue with spell ability (caster level equals divine disciple's caster level). Since it is a spell-like ability, the divine disciple does not need to devote a 4th-level spell slot to its use, though the imbued spells themselves take up her lower-level spell slots, as usual. This ability is usable once per day.	KEY:Divine Disciple ~ Imbue with Spell Ability																										SORTKEY:Class_Divine_Disciple	SOURCEPAGE:PgtF		
Domain	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineDiscipleClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 4th level, the divine disciple may choose a domain from those that her deity grants access to. If she already has two domains as a cleric, she gains a third in addition to those. Regardless of her original divine spellcasting class, she gains the granted power of the new domain, adding her divine disciple level to her cleric level (if any) to determine level-based effects. If the divine disciple has cleric levels, she also gains a third spell choice with which to fill her domain spell slot at each level. Druids, paladins, and rangers gain no extra spell slots for domain spells, but they can prepare the domain's spells in their normal spell slots.	KEY:Divine Disciple ~ Domain									BONUS:DOMAIN|NUMBER|1																	SORTKEY:Class_Divine_Disciple	SOURCEPAGE:PgtF		
Transcendence	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineDiscipleClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 5th level, thank s to h er frequent contact with outsiders and her deity's direct intervention, the divine disciple sheds her mortal form and becomes an outsider with the native subtype. This apotheosis grants her immunity to any spell or effect that does not affect outsiders (for example, charm person cannot affect her) as well as darkvision out to 60 feet, if she does not already have it. Because of her native subtype, however, the divine disciple must still eat, breathe, and sleep, and she can be reincarnated, raised, or resurrected normally. She also gains any alignment subtypes that match alignment components she has in common with her deity. Thus, a chaotic neutral divine disciple of a chaotic evil deity gains the chaotic subtype, and a divine disciple of a neutral deity gains no additional subtypes.	KEY:Divine Disciple ~ Transcendence																		TEMPLATE:Divine Disciple ~ Transcendence								SORTKEY:Class_Divine_Disciple	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A divine seeker i s proficientwith all simple weapons and with light armor, but not with shields.	KEY:Divine Seeker ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Divine_Seeker	SOURCEPAGE:PgtF		
Sacred Stealth	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 1st level, the divine seeker can call upon her deity's power to shield her from prying eyes and ears. As a standard action, she can grant herself a +10 sacred bonus (or profane bonus, if her patron deity is evil) on Hide and Move Silently check s. This benefi t lasts for a number of minutes per day equal to her Charisma modifier (minimum 1 minute per day). This duration need not be consecutive-the divine seeker may break it up into increments as small as 1 round if she so desires. Ending the effect is a free action.	KEY:Divine Seeker ~ Sacred Stealth																										SORTKEY:Class_Divine_Seeker	SOURCEPAGE:PgtF		
Twart Magic Trap	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, the divine seeker gains a +3 bonus on all Disable Device and Search checks made to locate, disable, or bypass magic traps.	KEY:Divine Seeker ~ Twarth Magic Trap																										SORTKEY:Class_Divine_Seeker	SOURCEPAGE:PgtF		
Sacred Defense	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 2nd level, the divine seeker gains a +1 bonus on saving throws against divine spells, as well as the spell-like and supernatural abilities of outsiders. At 4th level, the bonus increases to +2.	KEY:Divine Seeker ~ Sacred Defense				DEFINE:DivineSeekerSacredDefenseLVL|0					BONUS:VAR|DivineSeekerSacredDefenseLVL|DivineSeekerLVL/2	BONUS:VAR|SacredDefenseBonus|DivineSeekerSacredDefenseLVL								ABILITY:Special Ability|AUTOMATIC|Sacred Defense								SORTKEY:Class_Divine_Seeker	SOURCEPAGE:PgtF		
Sneak Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:This ability functions like the rogue ability of the same name. The extra damage dealt increases by +1d6 at 2nd level, and again at 5th level. If a divine seeker gets a sneak attack bonus from another source (such as rogue levels) the bonuses on damage stack. Furthermore, divine seeker levels stack with any other appropriate class levels (such as rogue or assassin) for the purpose of overcoming improved uncanny dodge.	KEY:Divine Seeker ~ Sneak Attack									BONUS:VAR|SneakAttackDice|DivineSeekerLVL/2	BONUS:VAR|UncannyDodgeFlankingLevel|DivineSeekerLVL								ABILITY:Special Ability|AUTOMATIC|Sneak Attack								SORTKEY:Class_Divine_Seeker	SOURCEPAGE:PgtF		
Locate Creature	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Beginning at 3rd level, the divine seeker may use locate creature (caster level equals divine seeker level + divine seeker's Cha modifier) once per day.	KEY:Divine Seeker ~ Locate Creature																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DivineSeekerLVL+CHA|Locate Creature								SORTKEY:Class_Divine_Seeker	SOURCEPAGE:PgtF		
Locate Object	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:At 3rd level, the divine seeker may use locate object (caster level equals divine seeker level + divine seeker's Cha modifier) once per day.	KEY:Divine Seeker ~ Locate Object																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DivineSeekerLVL+CHA|Locate Object								SORTKEY:Class_Divine_Seeker	SOURCEPAGE:PgtF		
Divine Perseverance	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:If a 4th-level or higher divine seeker is brought to -1 hit points or lower, she automatically heals a number of hit points equal to 3d6 + her Charisma bonus (if any). This ability is usable once per day.	KEY:Divine Seeker ~ Divine Perseverance																										SORTKEY:Class_Divine_Seeker	SOURCEPAGE:PgtF		
Find the Path	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:At 5th level, the divine seeker may use find the path (caster level equals divine seeker level + divine seeker's Cha modifier) once per day.	KEY:Divine Seeker ~ Find the Path																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DivineSeekerLVL+CHA|Find the Path								SORTKEY:Class_Divine_Seeker	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.EvereskanTombGuardianClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Evereskan tomb guardians gain no proficiency with any weapon, armor, or shield.	KEY:Evereskan Tomb Guardian ~ Weapon and Armor Proficiency																										SORTKEY:Class_Evereskan_Tomb_Guardian	SOURCEPAGE:PgtF		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.EvereskanTombGuardianClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When a new Evereskan tomb guardian level is gained, the character gains new spells per day (and spells known, if applicable) as if he had also gained a level in whatever arcane spellcasting class granted him access to 2nd-level arcane spells before he added the prestige class level. He does not, however, gain any other benefi t a character of that class would have gained (bonus metamagic or item creation feats, bard or assassin abilities, and so on), except for an increased effective level of spellcasting. This essentially means that he adds the level of Evereskan tomb guardian to the level of whatever other arcane spellcasting class granted him access to 2nd-level arcane spells, then determines spells per day, spells known, and caster level accordingly. If a character had more than one arcane spellcasting class that granted access to 2nd-level spells before he became a tomb guardian, he must decide to which class he adds each level of tomb guardian for the purpose of determining spells per day and spells known.	KEY:Evereskan Tomb Guardian ~ Spells per Day																										SORTKEY:Class_Evereskan_Tomb_Guardian	SOURCEPAGE:PgtF		
Sacred Duty	CATEGORY:Special Ability	TYPE:ClassFeatures.EvereskanTombGuardianClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The Evereskan tomb guardian gains a +2 sacred bonus on Gather Information, Hide, Move Silently, and Survival checks made inside the region of Evereska. While inside an Evereskan tomb, he also gains a +2 sacred bonus on attack rolls and a sacred bonus equal to his tomb guardian level on damage rolls.	KEY:Evereskan Tomb Guardian ~ Sacred Duty																										SORTKEY:Class_Evereskan_Tomb_Guardian	SOURCEPAGE:PgtF		
Devoted Pursuit	CATEGORY:Special Ability	TYPE:ClassFeatures.EvereskanTombGuardianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:While pursuing the robber of an Evereskan tomb, a 2nd-level or higher tomb guardian retains his bonuses on Gather Information, Hide, Move Silently, and Survival checks from the sacred duty ability even while outside of Evereska. He also retains the bonuses he gained from that ability on attack and damage rolls, but these apply only to attacks made against the tomb robber.	KEY:Evereskan Tomb Guardian ~ Devoted Pursuit																										SORTKEY:Class_Evereskan_Tomb_Guardian	SOURCEPAGE:PgtF		
Dodge Bonus	CATEGORY:Special Ability	TYPE:ClassFeatures.EvereskanTombGuardianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 2nd level, an Evereskan tomb guardian receives a +1 dodge bonus to AC while wearing light or no armor. This bonus increases to +2 at 4th level.	KEY:Evereskan Tomb Guardian ~ Dodge Bonus				DEFINE:EvereskanTombGuardianDodgeBonus|0					BONUS:COMBAT|AC|EvereskanTombGuardianDodgeBonus|TYPE:Dodge	BONUS:VAR|EvereskanTombGuardianDodgeBonus|EvereskanTombGuardianLVL/2																SORTKEY:Class_Evereskan_Tomb_Guardian	SOURCEPAGE:PgtF		
Swift Tracking	CATEGORY:Special Ability	TYPE:ClassFeatures.EvereskanTombGuardianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, the tomb guardian no longer takes a -5 penalty on Survival checks for tracking aThis normal speed. Furthermore, he takes only a -10 penalty (instead of the normal -20) when moving at up to twice normal speed while tracking.	KEY:Evereskan Tomb Guardian ~ Swift Tracking																										SORTKEY:Class_Evereskan_Tomb_Guardian	SOURCEPAGE:PgtF		
Silent Guardian	CATEGORY:Special Ability	TYPE:ClassFeatures.EvereskanTombGuardianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 5th level, the tomb guardian can attune himself to the look and sounds of his surroundings. After concentrating for 10 minutes to familiarize himself with the area, he gains a +4 bonus on Hide, Listen, Move Silently, and Spot checks as long as he remains within 100 feet of the spot where he first attuned himself.	KEY:Evereskan Tomb Guardian ~ Silent Guardian																										SORTKEY:Class_Evereskan_Tomb_Guardian	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.EyeOfHorusReClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Eyes of Horus-Re gain no proficiency with any weapon, armor, or shield.	KEY:Eye of Horus-Re ~ Weapon and Armor Proficiency																										SORTKEY:Class_Eye_Of_Horus_Re	SOURCEPAGE:PgtF		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.EyeOfHorusReClassFeatures.SpecialAttack	VISIBLE:YES	DESC:Beginning at 2nd level, when a new eye of Horus-Re level is gained, the character gains new spells per day (and spells known, if applicable) as if he had also gained a level in cleric. He does not, however, gain any other benefit a character of that class would have gained (improved chance of turning or rebuking undead, and so on), except for an increased effective level of spellcasting. This essentially means that he adds the level of eye of Horus-Re to the level of cleric, and then determines spells per day, spells known, and caster level accordingly.	KEY:Eye of Horus-Re ~ Spells per Day																										SORTKEY:Class_Eye_Of_Horus_Re	SOURCEPAGE:PgtF		
Greater Turning	CATEGORY:Special Ability	TYPE:ClassFeatures.EyeOfHorusReClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:In addition to his normal turning ability, an eye of Horus-Re can use greater turning (the granted power of the Sun domain) a number of times per day equal to three plus his Charisma modifier.	KEY:Eye of Horus-Re ~ Greater Turning									BONUS:VAR|GreaterTurnTimesUndead|3+CHA|TYPE=Base																	SORTKEY:Class_Eye_Of_Horus_Re	SOURCEPAGE:PgtF		
Radiance	CATEGORY:Special Ability	TYPE:ClassFeatures.EyeOfHorusReClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:When an eye of Horus-Re casts any spell with the  light descriptor, the resulting light is brighter than normal. The radius of illumination is doubled, and the spell is treated as if it were one level higher than it actually is for all purposes, including determining whether it can counter or dispel a darkness spell. Thus, a daylight spell cast by an eye of Horus-Re sheds light in a 120-foot radius and is treated as a 4th-level spell. It can counter or dispel any darkness spell of 4th level or lower.	KEY:Eye of Horus-Re ~ Radiance																										SORTKEY:Class_Eye_Of_Horus_Re	SOURCEPAGE:PgtF		
Turn Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.EyeOfHorusReClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The character adds his eye of Horus-Re levels to his cleric levels for all purposes related to turning undead.	KEY:Eye of Horus-Re ~ Turn Undead									BONUS:VAR|TurnLevelUndead|EyeOfHorusReLVL																	SORTKEY:Class_Eye_Of_Horus_Re	SOURCEPAGE:PgtF		
Everlight	CATEGORY:Special Ability	TYPE:ClassFeatures.EyeOfHorusReClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, an eye of Horus-Re gains darkvision out to 60 feet and low-light vision, allowing him to see in most conditions.	KEY:Eye of Horus-Re ~ Everlight									BONUS:VAR|HasLowLightVision|1|TYPE=Base	BONUS:VAR|DarkvisionRange|60|TYPE=Base																SORTKEY:Class_Eye_Of_Horus_Re	SOURCEPAGE:PgtF		
Touch of the Sun	CATEGORY:Special Ability	TYPE:ClassFeatures.EyeOfHorusReClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:When the eye of Horus-Re reaches 3rd level, his attacks with any weapon or an unarmed strike are treated as good-aligned for the purpose of overcoming damage reduction.	KEY:Eye of Horus-Re ~ Touch of the Sun																										SORTKEY:Class_Eye_Of_Horus_Re	SOURCEPAGE:PgtF		
Domain	CATEGORY:Special Ability	TYPE:ClassFeatures.EyeOfHorusReClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 5th level, an eye of Horus-Re gains access to one additional domain of his choice from among those offered by Horus-Re. He gains the granted power of the domain and can choose from its spell list as well as those of his other domains when selecting his domain spells for the day. He can still cast only one domain spell at each level (1st through 9th) per day, but now he has three choices instead of two at each spell level.	KEY:Eye of Horus-Re ~ Domain									BONUS:DOMAIN|NUMBER|1																	SORTKEY:Class_Eye_Of_Horus_Re	SOURCEPAGE:PgtF		
Piercing Sight	CATEGORY:Special Ability	TYPE:ClassFeatures.EyeOfHorusReClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 6th level, an eye of Horus-Re gains greater visual acuity. He ignores the miss chance created by darkness spells or effects and gains Blind-Fight as a bonus feat. In addition, he gains a +5 sacred bonus on Spot checks.	KEY:Eye of Horus-Re ~ Piercing Sight									BONUS:SKILL|Spot|5|TYPE=Sacred									ABILITY:FEAT|AUTOMATIC|Blind-Fight								SORTKEY:Class_Eye_Of_Horus_Re	SOURCEPAGE:PgtF		
Positive Energy Blast	CATEGORY:Special Ability	TYPE:ClassFeatures.EyeOfHorusReClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:In lieu of two daily uses of his turning ability, an eye of Horus-Re who is at least 8th level can create a positive energy burst that affects all undead creatures within 100 feet of him. This effect deals 1d6 points of damage per eye of Horus-Re level to every undead within range. Each affected undead may attempt a Reflex save (DC 20 + the eye of Horus-Re's Cha modifier) to halve the damage.	KEY:Eye of Horus-Re ~ Positive Energy Blast																										SORTKEY:Class_Eye_Of_Horus_Re	SOURCEPAGE:PgtF		
