SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
					
STARTPACK:Mercantile Background Kit	TYPE:Feat	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PREABILITY:1,CATEGORY=FEAT,Merchantile Background
STARTPACK:Human ~ Altumbel Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Spear	EQMOD:MWORKW				
					
STARTPACK:Human ~ Altumbel Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Chain Shirt	EQMOD:MWORKA				
GEAR:Musical Instrument (Lute)	EQMOD:MWORKI				
					
					
					
REGION:Amn					
STARTPACK:Human ~ Amn Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Thieves' Tools	EQMOD:MWORKI				
GEAR:Crossbow (Hand)					
GEAR:Bolts (Crossbow/10)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Amn Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Longsword	EQMOD:MWORKW				
					
STARTPACK:Human ~ Amn Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Sword (Short)	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ Amn Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Battleaxe	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ Amn Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Axe (Double/Orc)	EQMOD:MWORKW				
					
					
					
REGION:Anauroch					
STARTPACK:Human ~ Anauroch Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scimitar	EQMOD:MWORKW				
					
STARTPACK:Human ~ Anauroch Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Dagger	EQMOD:MWORKW				
					
STARTPACK:Anauroch Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Shortbow (Composite)	EQMOD:BOWSTR|2				
GEAR:Arrows (10)	EQMOD:MWORKW				
					
					
					
REGION:Calimshan					
STARTPACK:Human ~ Calimshan Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Wand	EQMOD:SPL_CHRG|SPELLNAME[Magic Missile]|SPELLLEVEL[1]|CASTERLEVEL[1]|CHARGES[20]				
					
STARTPACK:Human ~ Calimshan Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Chain Shirt	EQMOD:MWORKA				
GEAR:Potion (Cure Light Wounds)					
					
STARTPACK:Planetouched (Air Genasi) ~ Calimshan Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Air Genasi)
GEAR:Scimitar	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Air Genasi) ~ Calimshan Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Air Genasi)
GEAR:Falchion	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Air Genasi) ~ Calimshan Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Air Genasi)
GEAR:Wand	EQMOD:SPL_CHRG|SPELLNAME[Magic Missile]|SPELLLEVEL[1]|CASTERLEVEL[1]|CHARGES[20]				
					
STARTPACK:Planetouched (Fire Genasi) ~ Calimshan Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Fire Genasi)
GEAR:Scimitar	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Fire Genasi) ~ Calimshan Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Fire Genasi)
GEAR:Falchion	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Fire Genasi) ~ Calimshan Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Fire Genasi)
GEAR:Wand	EQMOD:SPL_CHRG|SPELLNAME[Magic Missile]|SPELLLEVEL[1]|CASTERLEVEL[1]|CHARGES[20]				
					
					
					
					
REGION:Channath Vale					
STARTPACK:Halfling ~ Channath Vale Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Halfling
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Poison (Black Adder Venom)	QTY:1				
					
STARTPACK:Halfling ~ Channath Vale Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Halfling
GEAR:Sling	EQMOD:MWORKW				
GEAR:Bullets (Sling/10)	EQMOD:ALC_SILVER_WEAP				
					
					
					
REGION:Chessenta					
STARTPACK:Human ~ Chessenta Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Sword (Short)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Chessenta Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Longspear	EQMOD:MWORKW				
					
STARTPACK:Human ~ Chessenta Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scroll (Blur)					
GEAR:Scroll (Levitate)					
					
STARTPACK:Half-Orc ~ Chessenta Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Sword (Bastard)	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ Chessenta Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Falchion	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ Chessenta Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Breastplate	EQMOD:MWORKA				
					
STARTPACK:Orc ~ Chessenta Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Sword (Bastard)	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Chessenta Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Falchion	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Chessenta Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Breastplate	EQMOD:MWORKA				
					
STARTPACK:Planetouched (Aasimar) ~ Chessenta Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Aasimar)
GEAR:Sword (Short)	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Aasimar) ~ Chessenta Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Aasimar)
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Aasimar) ~ Chessenta Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Aasimar)
GEAR:Longspear	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Aasimar) ~ Chessenta Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Aasimar)
GEAR:Breastplate	EQMOD:MWORKA				
					
STARTPACK:Planetouched (Water Genasi) ~ Chessenta Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Water Genasi)
GEAR:Sword (Short)	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Water Genasi) ~ Chessenta Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Water Genasi)
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Water Genasi) ~ Chessenta Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Water Genasi)
GEAR:Longspear	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Water Genasi) ~ Chessenta Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Water Genasi)
GEAR:Breastplate	EQMOD:MWORKA				
					
					
					
REGION:Chondalwood					
STARTPACK:Elf ~ Chondalwood Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Hide	EQMOD:MWORKA				
GEAR:Elixir of Sneaking					
					
STARTPACK:Elf ~ Chondalwood Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Halfling ~ Chondalwood Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Halfling
GEAR:Shortbow	EQMOD:MWORKW				
					
STARTPACK:Halfling ~ Chondalwood Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Halfling
GEAR:Longbow	EQMOD:MWORKW				
					
STARTPACK:Halfling ~ Chondalwood Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Halfling
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Halfling ~ Chondalwood Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Halfling
GEAR:Poison (Blue Whinnis)	QTY:1				
					
					
					
REGION:Chult					
STARTPACK:Human ~ Chult Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Kukri	EQMOD:MWORKW				
					
STARTPACK:Human ~ Chult Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Human ~ Chult Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Poison (Large Scorpion Venon)	QTY:2				
					
STARTPACK:Dwarf ~ Chult Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Handaxe	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Chult Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Chult Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Poison (Black Adder Venom)	QTY:3				
					
					
					
REGION:Cormanthor Drow					
STARTPACK:Elf ~ Cormanthor Drow Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Rapier	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Cormanthor Drow Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Crossbow (Light)	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Cormanthor Drow Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Crossbow (Hand)					
GEAR:Poison (Drow Poison)					
					
					
					
REGION:Cormyr					
STARTPACK:Human ~ Cormyr Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Longsword	EQMOD:MWORKW				
					
STARTPACK:Human ~ Cormyr Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Mace (Heavy)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Cormyr Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Banded Mail	EQMOD:MWORKW				
					
					
					
REGION:Dalelands					
STARTPACK:Human ~ Dalelands Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Longbow (Composite)	EQMOD:BOWSTR|2				
					
STARTPACK:Human ~ Dalelands Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Longbow	EQMOD:MWORKW				
					
STARTPACK:Human ~ Dalelands Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Spear	EQMOD:MWORKW				
					
STARTPACK:Human ~ Dalelands Region B3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Quarterstaff	EQMOD:MWORKW				
					
STARTPACK:Half-Elf ~ Dalelands Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Longbow	EQMOD:MWORKW				
					
STARTPACK:Half-Elf ~ Dalelands Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Longspear	EQMOD:MWORKW				
					
STARTPACK:Half-Elf ~ Dalelands Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Longbow (Composite)	EQMOD:BOWSTR|2				
					
					
					
REGION:Damara					
STARTPACK:Human ~ Damara Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Sword (Bastard)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Damara Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Battleaxe	EQMOD:MWORKW				
					
STARTPACK:Human ~ Damara Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scroll (Cure Moderate Wounds/Divine)					
					
					
					
REGION:Dambrath					
STARTPACK:Human ~ Dambrath Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Crossbow (Light)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Dambrath Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Rapier	EQMOD:MWORKW				
					
STARTPACK:Human ~ Dambrath Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Poison (Drow Poison)	QTY:3				
					
STARTPACK:Half-Elf ~ Dambrath Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Chain Shirt	EQMOD:MWORKA				
GEAR:Poison (Drow Poison)					
					
STARTPACK:Half-Elf ~ Dambrath Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Chain (Spiked)	EQMOD:MWORKW				
					
STARTPACK:Half-Elf ~ Dambrath Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Scourge	EQMOD:MWORKW				
					
					
REGION:Dragon Coast					
STARTPACK:Human ~ Dragon Coast Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Rapier	EQMOD:MWORKW				
					
STARTPACK:Human ~ Dragon Coast Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Crossbow (Light)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Dragon Coast Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Potion (Blur)					
					
STARTPACK:Human ~ Dragon Coast Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Potion (Levitate)					
					
STARTPACK:Half-Elf ~ Dragon Coast Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Trident	EQMOD:MWORKW				
					
STARTPACK:Half-Elf ~ Dragon Coast Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Half-Elf ~ Dragon Coast Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Gem (Pearl (Freshwater/Irregular))	QTY:5	EQMOD:GEM|EVAL(50)			
					
					
					
REGION:Earthfast Mountains					
STARTPACK:Bugbear ~ Earthfast Mountains Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Bugbear
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Poison (Greenblood Oil)	QTY:2				
					
STARTPACK:Bugbear ~ Earthfast Mountains Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Bugbear
GEAR:Sword (Short)	EQMOD:MWORKW				
					
STARTPACK:Bugbear ~ Earthfast Mountains Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Bugbear
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Bugbear ~ Earthfast Mountains Region B3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Bugbear
GEAR:Longspear	EQMOD:MWORKW				
					
STARTPACK:Goblin ~ Earthfast Mountains Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Goblin
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Poison (Greenblood Oil)	QTY:2				
					
STARTPACK:Goblin ~ Earthfast Mountains Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Goblin
GEAR:Sword (Short)	EQMOD:MWORKW				
					
STARTPACK:Goblin ~ Earthfast Mountains Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Goblin
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Goblin ~ Earthfast Mountains Region B3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Goblin
GEAR:Longspear	EQMOD:MWORKW				
					
STARTPACK:Hobgoblin ~ Earthfast Mountains Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Hobgoblin
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Poison (Greenblood Oil)	QTY:2				
					
STARTPACK:Hobgoblin ~ Earthfast Mountains Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Hobgoblin
GEAR:Sword (Short)	EQMOD:MWORKW				
					
STARTPACK:Hobgoblin ~ Earthfast Mountains Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Hobgoblin
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Hobgoblin ~ Earthfast Mountains Region B3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Hobgoblin
GEAR:Longspear	EQMOD:MWORKW				
					
					
					
REGION:Elven Court					
STARTPACK:Elf ~ Elven Court Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Chain Shirt	EQMOD:MWORKA				
					
STARTPACK:Elf ~ Elven Court Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Scroll (Barkskin)					
GEAR:Scroll (Tree Shape)					
					
					
					
REGION:Evereska					
STARTPACK:Elf ~ Evereska Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Chainmail	EQMOD:MWORKA				
GEAR:Arrows (20)	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Evereska Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Wand	EQMOD:SPL_CHRG|SPELLNAME[Color Spray]|SPELLLEVEL[1]|CASTERLEVEL[1]|CHARGES[20]				
					
					
					
REGION:Evermeet					
STARTPACK:Elf ~ Evermeet Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Scroll (Knock)					
GEAR:Scroll (Invisibility)					
					
STARTPACK:Elf ~ Evermeet Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Longsword	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Evermeet Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Longbow	EQMOD:MWORKW				
					
					
					
REGION:Forest of Lethyr					
STARTPACK:Elf ~ Forest of Lethyr Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Potion (Cure Light Wounds)	QTY:3				
					
STARTPACK:Elf ~ Forest of Lethyr Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Hide	EQMOD:MWORKA				
GEAR:Scroll (Heat Metal)					
					
					
					
REGION:Galena Mountains					
STARTPACK:Dwarf ~ Galena Mountains Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Pick (Heavy)	EQMOD:MWORKW				
					
