SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:03-2004																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Deliver Touch Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.FelineFamiliarClassFeatures.SpecialQuality.Supernatural		DESC:If the master is 3rd level or higher, a familiar can deliver touch spells for him. If the master and the familiar are in contact at the time the master casts a touch spell, he can designate his familiar as the "toucher." The familiar can then deliver the touch spell just as the master could. As usual, if the master casts another spell before the touch is delivered, the touch spell dissipates.	KEY:Familiar ~ Deliver Touch Spells																											SOURCEPAGE:PGtF	
Speak with Master	CATEGORY:Special Ability	TYPE:ClassFeatures.FelineFamiliarClassFeatures.SpecialQuality.Extraordinary		DESC:If the master is 5th level or higher, a familiar and the master can communicate verbally as if they were using a common language. Other creatures do not understand the communication without magical help.	KEY:Familiar ~ Speak with Master																											SOURCEPAGE:PGtF	
Speak with Animals of Its Kind	CATEGORY:Special Ability	TYPE:ClassFeatures.FelineFamiliarClassFeatures.SpecialQuality.Extraordinary		DESC:If the master is 7th level or higher, a familiar can communicate with animals of approximately the same kind as itself (including dire varieties): bats with bats, rats with rodents, cats with felines, hawks and owls and ravens with birds, lizards and snakes with reptiles, toads with amphibians, weasels with similar creatures (weasels, minks, polecats, ermines, skunks, wolverines, and badgers). Such communication is limited by the intelligence of the conversing creatures.	KEY:Familiar ~ Speak with Animals of Its Kind																											SOURCEPAGE:PGtF	
Spell Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.FelineFamiliarClassFeatures.SpecialQuality.Extraordinary		DESC:If the master is 11th level or higher, a familiar gains spell resistance equal to the master's level + 5. To affect the familiar with a spell, another spellcaster must get a result on a caster level check (1d20 + caster level) that equals or exceeds the familiar's spell resistance.	KEY:Familiar ~ Spell Resistance																											SOURCEPAGE:PGtF	
Scry on Familiar	CATEGORY:Special Ability	TYPE:ClassFeatures.FelineFamiliarClassFeatures.SpecialQuality.SpellLike		DESC:If the master is 13th level or higher, he may scry on his familiar (as if casting the scrying spell) once per day.	KEY:Familiar ~ Scry on Familiar																											SOURCEPAGE:PGtF	
Alertness	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:While a familiar is within arm's reach, the master gains the Alertness feat.	KEY:Feline Familiar Bonus ~ Alertness																		ABILITY:FEAT|VIRTUAL|Alertness|PREVAREQ:FelineFamiliarGrantsAlertness,1									SOURCEPAGE:PGtF	
Familiar is within arm's reach	CATEGORY:Special Ability				KEY:Feline Familiar ~ Within Reach				DEFINE:FelineFamiliarGrantsAlertness|0					TEMPBONUS:ANYPC|VAR|FelineFamiliarGrantsAlertness|1									ABILITY:Special Ability|AUTOMATIC|Feline Familiar Bonus ~ Alertness									SOURCEPAGE:PGtF	
																																	
Favored Enemy - Evil	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperParagonFavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyEvil	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusEvil	KEY:Harper Paragon Favored Enemy ~ Evil	PREVARGTEQ:HarperParagonFavoredEnemyLVL,1			DEFINE:HarperParagonFavoredEnemyBonusEvil|0					BONUS:VAR|HarperParagonFavoredEnemyBonusEvil|HarperParagonFavoredEnemyBaseBonus	BONUS:VAR|HarperPAragonFavoredEnemyBonusEvil|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PGtF	ASPECT:Ability Benefit|+%1|HarperParagonFavoredEnemyBonusEvil
Evil	CATEGORY:Special Ability	TYPE:HarperParagonFavoredEnemyBonus	VISIBLE:DISPLAY		KEY:Harper Paragon Favored Enemy Bonus ~ Evil	PREVARGTEQ:HarperParagonFavoredEnemyBonusEvil,1								BONUS:VAR|HarperPAragonFavoredEnemyBonusEvil|2					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:PGtF	
