SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:03-2004												
															
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE			
3				ABILITY:Arcane Devotee Class Feature|AUTOMATIC|Arcane Devotee ~ Divine Sinergy|!PREABILITY:1,CATEGORY=ACF,TYPE.ArcaneDevoteeDivineSinergy											
5				ABILITY:Arcane Devotee Class Feature|AUTOMATIC|Arcane Devotee ~ Divine Shroud|!PREABILITY:1,CATEGORY=ACF,TYPE.ArcaneDevoteeDivineShroud											
#															
1	ADD:SPELLCASTER|Arcane														
2	ADD:SPELLCASTER|Arcane														
3	ADD:SPELLCASTER|Arcane														
4	ADD:SPELLCASTER|Arcane														
5	ADD:SPELLCASTER|Arcane														
															
CLASS:Divine Champion	HD:10	TYPE:Prestige	FACT:Abb|Chm	MAXLEVEL:5	SOURCEPAGE:PgtF	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:DivineChampionLVL|0	BONUS:VAR|DivineChampionLVL|CL		BONUS:VAR|ClassBABGood|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Divine Champion	PRETOTALAB:7	PRESKILL:1,Knowledge (Religion)=3	PREABILITY:1,CATEGORY=FEAT,Weapon Focus	PRETEXT:Weapon focus in the deity's favored weapon.	PREDEITY:1,Y										
CLASS:Divine Champion	STARTSKILLPTS:2	CSKILL:Climb|TYPE.Craft|Handle Animal|Intimidate|Jump|Knowledge (Religion)|Ride|Swim													
1				ABILITY:Divine Champion Class Feature|AUTOMATIC|Divine Champion ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineChampionProficiencies											
#															
1				ABILITY:Divine Champion Class Feature|AUTOMATIC|Divine Champion ~ Lay on Hands|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineChampionProficiencies											
2				ABILITY:Divine Champion Class Feature|AUTOMATIC|Divine Champion ~ Bonus Feat|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineChampionBonusFeat											
2				ABILITY:Divine Champion Class Feature|AUTOMATIC|Divine Champion ~ Sacred Defense|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineChampionSacredDefense											
3				ABILITY:Divine Champion Class Feature|AUTOMATIC|Divine Champion ~ Smite Infidel|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineChampionSmiteInfidel											
5				ABILITY:Divine Champion Class Feature|AUTOMATIC|Divine Champion ~ Divine Wrath|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineChampionDivineWrath											
															
CLASS:Divine Disciple	HD:8	TYPE:Prestige	FACT:Abb|Dis	MAXLEVEL:5	SOURCEPAGE:PgtF	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:DivineDiscipleLVL|0	BONUS:VAR|DivineDiscipleLVL|CL		BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Divine Disciple	PRETEXT:Ability to cast 4th-level divine spells.	PRESKILL:1,Diplomacy=5	PRESKILL:1,Knowledge (Religion)=8	PREDEITY:1,Y											
CLASS:Divine Disciple	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Diplomacy|Heal|Knowledge (Arcana)|Knowledge (History)|Knowledge (Nature)|Knowledge (The Planes)|Knowledge (Religion)|TYPE.Profession|Spellcraft|Survival													
1				ABILITY:Divine Disciple Class Feature|AUTOMATIC|Divine Disciple ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineDisicpleProficiencies											
1				ABILITY:Divine Disciple Class Feature|AUTOMATIC|Divine Disciple ~ Spells per Day											
#															
1				ABILITY:Divine Disciple Class Feature|AUTOMATIC|Divine Disciple ~ Divine Emissary|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineDisicpleDivineEmissary											
2				ABILITY:Divine Disciple Class Feature|AUTOMATIC|Divine Disciple ~ Sacred Defense|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineDisicpleSacredDefense											
3				ABILITY:Divine Disciple Class Feature|AUTOMATIC|Divine Disciple ~ Imbue with Spell Ability|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineDisicpleImbueWithSpellAbility											
4				ABILITY:Divine Disciple Class Feature|AUTOMATIC|Divine Disciple ~ Domain|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineDisicpleDomain											
5				ABILITY:Divine Disciple Class Feature|AUTOMATIC|Divine Disciple ~ Transcendence|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineDisicpleTranscendence											
#															
1	ADD:SPELLCASTER|Divine														
2	ADD:SPELLCASTER|Divine														
3	ADD:SPELLCASTER|Divine														
4	ADD:SPELLCASTER|Divine														
5	ADD:SPELLCASTER|Divine														
															
CLASS:Divine Seeker	HD:6	TYPE:Prestige	FACT:Abb|Skr	MAXLEVEL:5	SOURCEPAGE:PgtF	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:DivineSeekerLVL|0	BONUS:VAR|DivineSeekerLVL|CL		BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Divine Seeker	PRESKILL:1,Hide=8	PRESKILL:1,Knowledge (Religion)=3	PRESKILL:1,Move Silently=10	PRESKILL:1,Spot=5	PREDEITY:1,Y										
CLASS:Divine Seeker	STARTSKILLPTS:6	CSKILL:Climb|TYPE.Craft|Diplomacy|Hide|Jump|Knowledge (Geography)|Knowledge (Religion)|Listen|Move Silently|TYPE.Profession|Ride|Search|Spot|Survival|Swim|Use Rope													
1				ABILITY:Divine Seeker Class Feature|AUTOMATIC|Divine Seeker ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineSeekerProficiencies											
#															
1				ABILITY:Divine Seeker Class Feature|AUTOMATIC|Divine Seeker ~ Sacred Stealth|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineSeekerSacredStealth											
1				ABILITY:Divine Seeker Class Feature|AUTOMATIC|Divine Seeker ~ Twarth Magic Trap|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineSeekerTwarthMagicTrap											
2				ABILITY:Divine Seeker Class Feature|AUTOMATIC|Divine Seeker ~ Sacred Defense|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineSeekerSacredDefense											
2				ABILITY:Divine Seeker Class Feature|AUTOMATIC|Divine Seeker ~ Sneak Attack|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineSeekerSneackAttack											
3				ABILITY:Divine Seeker Class Feature|AUTOMATIC|Divine Seeker ~ Locate Creature|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineSeekerLocateCreature											
3				ABILITY:Divine Seeker Class Feature|AUTOMATIC|Divine Seeker ~ Locate Object|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineSeekerLocateObject											
4				ABILITY:Divine Seeker Class Feature|AUTOMATIC|Divine Seeker ~ Divine Perseverance|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineSeekerDivinePerseverance											
5				ABILITY:Divine Seeker Class Feature|AUTOMATIC|Divine Seeker ~ Find the Path|!PREABILITY:1,CATEGORY=ACF,TYPE.DivineSeekerFindThePath											
															
CLASS:Evereskan Tomb Guardian	HD:6	TYPE:Prestige	FACT:Abb|Etg	MAXLEVEL:5	SOURCEPAGE:PgtF	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:EvereskanTombGuadianLVL|0	BONUS:VAR|EvereskanTombGuadianLVL|CL		BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Evereskan Tomb Guardian	PRERACE:1,Elf	PREREGION:Evereska	PRETOTALAB:4	PRESKILL:3,Hide=5,Move Silently=5,Survival=5	PRESKILL:2,Listen=2,Spot=2	PREABILITY:2,CATEGORY=FEAT,Alertness,Track	PRETEXT:Able to cast 2nd-level arcane spells.								
CLASS:Evereskan Tomb Guardian	STARTSKILLPTS:4	CSKILL:Climb|TYPE.Craft|Decipher Script|Disable Device|Escape Artist|Gather Information|Hide|Intimidate|Jump|Knowledge (Geography)|Knowledge (The Western Heartlands)|Listen|Move Silently|Open Lock|TYPE.Profession|Search|Sense Motive|Sleight of Hand|Spot|Swim|Tumble|Use Rope													
1				ABILITY:Evereskan Tomb Guardian Class Feature|AUTOMATIC|Evereskan Tomb Guardian ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.EvereskanTombGuardianProficiencies											
1				ABILITY:Evereskan Tomb Guardian Class Feature|AUTOMATIC|Evereskan Tomb Guardian ~ Spells per Day											
#															
1				ABILITY:Evereskan Tomb Guardian Class Feature|AUTOMATIC|Evereskan Tomb Guardian ~ Sacred Duty|!PREABILITY:1,CATEGORY=ACF,TYPE.EvereskanTombGuardianSacredDuty											
2				ABILITY:Evereskan Tomb Guardian Class Feature|AUTOMATIC|Evereskan Tomb Guardian ~ Devoted Pursuit|!PREABILITY:1,CATEGORY=ACF,TYPE.EvereskanTombGuardianDevotedPursuit											
2				ABILITY:Evereskan Tomb Guardian Class Feature|AUTOMATIC|Evereskan Tomb Guardian ~ Dodge Bonus|!PREABILITY:1,CATEGORY=ACF,TYPE.EvereskanTombGuardianDodgeBonus											
3				ABILITY:Evereskan Tomb Guardian Class Feature|AUTOMATIC|Evereskan Tomb Guardian ~ Swift Tracking|!PREABILITY:1,CATEGORY=ACF,TYPE.EvereskanTombGuardianSwiftTracking											
5				ABILITY:Evereskan Tomb Guardian Class Feature|AUTOMATIC|Evereskan Tomb Guardian ~ Silent Guardian|!PREABILITY:1,CATEGORY=ACF,TYPE.EvereskanTombGuardianSilentGuardian											
#															
1	ADD:SPELLCASTER|Arcane														
2	ADD:SPELLCASTER|Arcane														
3	ADD:SPELLCASTER|Arcane														
4	ADD:SPELLCASTER|Arcane														
5	ADD:SPELLCASTER|Arcane														
															
CLASS:Eye of Horus-Re	HD:8	TYPE:Prestige	FACT:Abb|EHR	MAXLEVEL:10	SOURCEPAGE:PgtF	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:EyeOfHorusReLVL|0	BONUS:VAR|EyeOfHorusReLVL|CL		BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Eye of Horus-Re	PREALIGN:LG	PREREGION:Mulhorand	PRESKILL:1,Knowledge (Religion)=9	PRESKILL:1,Spot=4	PREABILITY:2,CATEGORY=FEAT,Alertness,Extra Turning	PRETEXT:Able to cast 3rd-level divine spells.	PREDOMAIN:1,Sun								
CLASS:Eye of Horus-Re	STARTSKILLPTS:2	CSKILL:Concentration|Diplomacy|Heal|TYPE.Knowledge|TYPE.Profession|Spellcraft|Spot													
1				ABILITY:Eye of Horus-Re Class Feature|AUTOMATIC|Eye of Horus-Re ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.EyeOfHorusReProficiencies											
1				ABILITY:Eye of Horus-Re Class Feature|AUTOMATIC|Eye of Horus-Re ~ Spells per Day											
#															
1				ABILITY:Eye of Horus-Re Class Feature|AUTOMATIC|Eye of Horus-Re ~ Greater Turning|!PREABILITY:1,CATEGORY=ACF,TYPE.EyeOfHorusReGreaterTurning											
1				ABILITY:Eye of Horus-Re Class Feature|AUTOMATIC|Eye of Horus-Re ~ Radiance|!PREABILITY:1,CATEGORY=ACF,TYPE.EyeOfHorusReRadiance											
1				ABILITY:Eye of Horus-Re Class Feature|AUTOMATIC|Eye of Horus-Re ~ Turn Undead|!PREABILITY:1,CATEGORY=ACF,TYPE.EyeOfHorusReTurnUndead											
2				ABILITY:Eye of Horus-Re Class Feature|AUTOMATIC|Eye of Horus-Re ~ Everlight|!PREABILITY:1,CATEGORY=ACF,TYPE.EyeOfHorusReEverlight											
3				ABILITY:Eye of Horus-Re Class Feature|AUTOMATIC|Eye of Horus-Re ~ Touch of the Sun|!PREABILITY:1,CATEGORY=ACF,TYPE.EyeOfHorusReTouchOfTheSun											
5				ABILITY:Eye of Horus-Re Class Feature|AUTOMATIC|Eye of Horus-Re ~ Domain|!PREABILITY:1,CATEGORY=ACF,TYPE.EyeOfHorusReDomain											
6				ABILITY:Eye of Horus-Re Class Feature|AUTOMATIC|Eye of Horus-Re ~ Piercing Sight|!PREABILITY:1,CATEGORY=ACF,TYPE.EyeOfHorusRePiercingSight											
8				ABILITY:Eye of Horus-Re Class Feature|AUTOMATIC|Eye of Horus-Re ~ Positive Energy Blast|!PREABILITY:1,CATEGORY=ACF,TYPE.EyeOfHorusRePositiveEnergyBlast											
10				ABILITY:Eye of Horus-Re Class Feature|AUTOMATIC|Eye of Horus-Re ~ True Seeing|!PREABILITY:1,CATEGORY=ACF,TYPE.EyeOfHorusReTrueSeeing											
#															
1															
2	ADD:SPELLCASTER|Cleric														
3	ADD:SPELLCASTER|Cleric														
4	ADD:SPELLCASTER|Cleric														
5	ADD:SPELLCASTER|Cleric														
6	ADD:SPELLCASTER|Cleric														
7	ADD:SPELLCASTER|Cleric														
8	ADD:SPELLCASTER|Cleric														
9	ADD:SPELLCASTER|Cleric														
10	ADD:SPELLCASTER|Cleric														
															
###TODO CONTIGUOUS:Paladin|PREDEITY:1,Moradin															
CLASS:Hammer of Moradin	HD:10	TYPE:Prestige	FACT:Abb|HoM	MAXLEVEL:10	SOURCEPAGE:PgtF	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	EXCLASS:Ex-Hammer of Moradin	DEFINE:HammerOfMoradinLVL|0	BONUS:VAR|HammerOfMoradinLVL|CL		BONUS:VAR|ClassBABGood|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Hammer of Moradin	PRERACE:1,Dwarf	PREREGION:Spine of the World	PRETOTALAB:7	PRESKILL:1,Craft (Weaponsmithing)=10	PREABILITY:2,CATEGORY=FEAT,Iron Will,Weapon Focus (Warhammer)	PRETEXT:Able to cast 2nd-level divine spells.	PREDEITY:1,Moradin	PRETEXT:Must be a member of the Hammers of Moradin.							
CLASS:Hammer of Moradin	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Heal|Knowledge (Arcana)|Knowledge (History)|Knowledge (Religion)|Knowledge (The Silver Marches)|Knowledge (The Planes)|TYPE.Profession|Spellcraft													
1				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinProficiencies											
#															
1				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Aura of Courage|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinAuraOfCourage											
1				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Hammer Throw|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinHammerThrow											
2				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Goblinkiller|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinGoblinkiller											
2				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Hammer Return|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinHammerReturn											
3				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Damage Reduction|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinDamageReduction											
3				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Powerful Grip|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinPowerfulGrip											
4				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Far Shot|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinFarShot											
4				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Quake|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinQuake											
5				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Drowbasher|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinDrowbasher											
7				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Chaoscrusher|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinChaoscrusher											
7				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Stalwart|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinStalwart											
8				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Giantslayer|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinGiantslayer											
8				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Thunder Strike|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinThunderStrike											
9				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Power Throw|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinPowerThrow											
10				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Bones of the Earth|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinBonesOfTheEarth											
															
CLASS:Ex-Hammer of Moradin	HD:10	TYPE:Prestige	FACT:Abb|XHoM	MAXLEVEL:10	SOURCEPAGE:PgtF	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	VISIBLE:NO	DEFINE:HammerOfMoradinLVL|0	BONUS:VAR|HammerOfMoradinLVL|CL		BONUS:VAR|ClassBABGood|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Ex-Hammer of Moradin	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Heal|Knowledge (Arcana)|Knowledge (History)|Knowledge (Religion)|Knowledge (The Silver Marches)|Knowledge (The Planes)|TYPE.Profession|Spellcraft													
1				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinProficiencies											
#															
1				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Hammer Throw|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinHammerThrow											
3				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Damage Reduction|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinDamageReduction											
3				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Powerful Grip|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinPowerfulGrip											
4				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Far Shot|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinFarShot											
8				ABILITY:Hammer of Moradin Class Feature|AUTOMATIC|Hammer of Moradin ~ Thunder Strike|!PREABILITY:1,CATEGORY=ACF,TYPE.HammerOfMoradinThunderStrike											
															
CLASS:Harper Scout.FORGET															
															
CLASS:Harper Agent	HD:6	TYPE:Prestige	FACT:Abb|Hra	MAXLEVEL:5	SOURCEPAGE:PgtF	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	EXCLASS:Ex-Harper Agent	DEFINE:HarperAgentLVL|0	BONUS:VAR|HarperAgentLVL|CL		BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Harper Agent	PREALIGN:LG,LN,NG,TN,CG,CN	PRESKILL:1,Diplomacy=8	PRESKILL:1,TYPE.Knowledge (Local)=4	PRESKILL:2,Sense Motive=2,Survival=2	PREABILITY:2,CATEGORY=FEAT,Negotator	PRETEXT:Special: The candidate must be sponsored by a member in good standing of the Harpers and win approval from the High Harpers.	PREABILITY:1,CATEGORY=Guild Category,Harper								
CLASS:Harper Agent	STARTSKILLPTS:6	CSKILL:Appraise|Bluff|Climb|TYPE.Craft|Diplomacy|Disguise|Escape Artist|Gather Information|Hide|Jump|TYPE.Knowledge|Listen|Move Silently|TYPE.Perform|TYPE.Profession|Sense Motive|Sleight of Hand|Speak Language|Survival|Swim|Tumble													
1				ABILITY:Harper Agent Class Feature|AUTOMATIC|Harper Agent ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.HarperAgentProficiencies											
1				ABILITY:Harper Agent Class Feature|AUTOMATIC|Harper Agent ~ Spells per Day											
#															
1				ABILITY:Harper Agent Class Feature|AUTOMATIC|Harper Agent ~ Harper Knowledge|!PREABILITY:1,CATEGORY=ACF,TYPE.HarperAgentHarperKnowledge											
2				ABILITY:Harper Agent Class Feature|AUTOMATIC|Harper Agent ~ Deneir's Eye|!PREABILITY:1,CATEGORY=ACF,TYPE.HarperAgentDeneirSEye											
2				ABILITY:Harper Agent Class Feature|AUTOMATIC|Harper Agent ~ Lliira's Heart|!PREABILITY:1,CATEGORY=ACF,TYPE.HarperAgentLliiraSHeart											
