SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03						
Mentalism	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainMentalism,1]	SPELLLEVEL:DOMAIN|Mentalism=1|Confusion (Lesser)|Mentalism=2|Detect Thoughts|Mentalism=3|Clairaudience/Clairvoyance|Mentalism=4|Modify Memory|Mentalism=5|Mind Fog|Mentalism=6|Rary's Telepathic Bond|Mentalism=7|Antipathy|Mentalism=8|Mind Blank|Mentalism=9|Astral Projection	DESC:Once per day, you can generate a mental ward that grants any creature you touch a resistance bonus on its next Will saving throw equal to your level +2. Activating this power is a standard action, and the effect lasts for 1 hour. The mental ward is a spell-like ability and an abjuration effect.					
Metal	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainMetal,1]	SPELLLEVEL:DOMAIN|Metal=1|Magic Weapon|Metal=2|Heat Metal|Metal=3|Keen Edge|Metal=4|Rusting Grasp|Metal=5|Wall of Iron|Metal=6|Blade Barrier|Metal=7|Transmute Metal to Wood|Metal=8|Iron Body|Metal=9|Repel Metal or Stone	DESC:You gain Martial Weapon Proficiency or Exotic Weapon Proficiency (as appropriate) and Weapon Focus with your choice of hammer as bonus feats. You need not meet the prerequisites for these feats.		CHOOSE:NUMCHOICES=1|WEAPONPROFICIENCY|TYPE=Hammer	SELECT:1	ABILITY:FEAT|AUTOMATIC|Weapon Focus (%LIST)	AUTO:WEAPONPROF|%LIST
Moon	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainMoon,1]	SPELLLEVEL:DOMAIN|Moon=1|Faerie Fire|Moon=2|Moonbeam|Moon=3|Moon Blade|Moon=4|Good Hope|Moon=5|Moon Path|Moon=6|Permanent Image|Moon=7|Insanity|Moon=8|Animal Shapes|Moon=9|Moonfire	DESC:You can turn or destroy lycanthropes as a good cleric turns or destroys undead. This ability is usable a number of times per day equal to 3 + your Charisma modifier		BONUS:ABILITYPOOL|Turn Lycanthrope|1|TYPE=ClassAbility	ABILITY:Special Ability|AUTOMATIC|Basic Turning	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|ClericLVL|TYPE=Level.REPLACE	
Nobility	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainNobility,1]	SPELLLEVEL:DOMAIN|Nobility=1|Divine Favor|Nobility=2|Enthrall|Nobility=3|Magic Vestment|Nobility=4|Discern Lies|Nobility=5|Command (Greater)|Nobility=6|Geas/Quest|Nobility=7|Repulsion|Nobility=8|Demand|Nobility=9|Storm of Vengeance	DESC:Once per day, you can inspire allies that hear you speak for 1 round. Each such ally gains a +1 morale bonus on saving throws, attack rolls, ability checks, skill checks, and weapon damage rolls. Using this spell-like ability is a standard action, and the effect lasts for a number of rounds equal to your Charisma bonus (minimum 1 round).		TEMPDESC:+1 morale bonus on saving throws, attack rolls, ability checks, skill checks, and weapon damage rolls	TEMPBONUS:ANYPC|SAVE|ALL|1|TYPE=Morale	TEMPBONUS:ANYPC|COMBAT|TOHIT,DAMAGE|1|TYPE=Morale	TEMPBONUS:ANYPC|SKILL|ALL|1|TYPE=Morale
Ocean	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainOcean,1]	SPELLLEVEL:DOMAIN|Ocean=1|Endure Elements|Ocean=2|Sound Burst|Ocean=3|Water Breathing|Ocean=4|Freedom of Movement|Ocean=5|Wall of Ice|Ocean=6|Otiluke's Freezing Sphere|Ocean=7|Waterspout|Ocean=8|Maelstrom|Ocean=9|Elemental Swarm ~ Water only	DESC:You have the supernatural ability to breathe water as if under the effect of a water breathing spell for up to 10 rounds per cleric level. This effect occurs automatically as soon as it becomes applicable and lasts until the duration expires or the effect is no longer needed. This duration need not be consecutive-it can be used in increments as small as 1 round.					
Orc	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainOrc,1]	SPELLLEVEL:DOMAIN|Orc=1|Cause Fear|Orc=2|Produce Flame|Orc=3|Prayer|Orc=4|Divine Power|Orc=5|Prying Eyes|Orc=6|Eyebite|Orc=7|Blasphemy|Orc=8|Cloak of Chaos|Orc=9|Power Word Kill	DESC:You gain the smite ability. Once per day, you may attempt to smite an opponent with one normal melee attack. If you hit, you gain a bonus equal to your cleric level on your damage roll. For example, a 4th-level cleric of Bahgtru armed with a longsword would deal 1d8+4 points of damage, plus any additional bonuses from high strength or magical effects that normally apply. If you use this ability against a dwarf or an elf, you also gain a +4 bonus on the smite attack roll. Smite is a supernatural ability.		BONUS:VAR|SmiteLVL|ClericLVL	BONUS:VAR|SmiteDamage|ClericLVL	BONUS:VAR|Smite|1	ABILITY:Special Ability|VIRTUAL|Smite
Planning	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainPlanning,1]	SPELLLEVEL:DOMAIN|Planning=1|Deathwatch|Planning=2|Augury|Planning=3|Clairaudience/Clairvoyance|Planning=4|Imbue with Spell Ability|Planning=5|Detect Scrying|Planning=6|Heroes' Feast|Planning=7|Scrying (Greater)|Planning=8|Discern Location|Planning=9|Time Stop	DESC:You gain Extend Spell as a bonus feat.		ABILITY:FEAT|AUTOMATIC|Extend Spell			
Portal	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainPortal,1]	SPELLLEVEL:DOMAIN|Portal=1|Summon Monster I|Portal=2|Analyze Portal|Portal=3|Dimensional Anchor|Portal=4|Dimension Door|Portal=5|Teleport|Portal=6|Banishment|Portal=7|Etherealness|Portal=8|Dimensional Lock|Portal=9|Gate	DESC:You can detect an active or inactive portal as if it were a normal secret door (DC 20).					
Repose	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainRepose,1]	SPELLLEVEL:DOMAIN|Repose=1|Hide from Undead|Repose=2|Gentle Repose|Repose=3|Speak with Dead|Repose=4|Death Ward|Repose=5|Slay Living|Repose=6|Undeath to Death|Repose=7|Destruction|Repose=8|Surelife|Repose=9|Wail of the Banshee	DESC:You may use death touch once per day. To deliver a death touch, you must succeed on a melee touch attack against a living creature (using the rules for touch spells). When you touch, roll 1d6 per cleric level you possess. If the result equals or exceeds the creature's current hit points, it dies (no save). Death touch is a supernatural ability and a death effect.					
Rune	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainRune,1]	SPELLLEVEL:DOMAIN|Rune=1|Erase|Rune=2|Secret Page|Rune=3|Glyph of Warding|Rune=4|Explosive Runes|Rune=5|Planar Binding (Lesser)|Rune=6|Glyph of Warding (Greater)|Rune=7|Drawmij's Instant Summons|Rune=8|Transcribe Symbol|Rune=9|Teleportation Circle	DESC:You gain Scribe Scroll as a bonus feat.		ABILITY:FEAT|AUTOMATIC|Scribe Scroll			
Scalykind	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainScalykind,1]	SPELLLEVEL:DOMAIN|Scalykind=1|Magic Fang|Scalykind=2|Animal Trance ~ Reptiles only|Scalykind=3|Magic Fang (Greater)|Scalykind=4|Poison|Scalykind=5|Animal Growth ~ Reptiles only|Scalykind=6|Eyebite|Scalykind=7|Vipergout|Scalykind=8|Animal Shapes ~ Reptiles only|Scalykind=9|Shapechange	DESC:You can rebuke or command animals (reptilian creatures and snakes only) as an evil cleric rebukes or commands undead. This ability is usable a number of times per day equal to 3 + your Charisma modifi er.		BONUS:ABILITYPOOL|Turn Reptile|1|TYPE=ClassAbility	ABILITY:Special Ability|AUTOMATIC|Basic Turning	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|ClericLVL|TYPE=Level.REPLACE	
Slime	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainSlime,1]	SPELLLEVEL:DOMAIN|Slime=1|Grease|Slime=2|Melf's Acid Arrow|Slime=3|Poison|Slime=4|Rusting Grasp|Slime=5|Evard's Black Tentacles|Slime=6|Transmute Rock to Mud|Slime=7|Destruction|Slime=8|Power Word Blind|Slime=9|Implosion	DESC:You c an r ebuke or c ommand o ozes a s an evil cleric rebukes or commands undead. This ability is usable a number of times per day equal to 3 + your Charisma modifi er.		BONUS:ABILITYPOOL|Turn Ooze|1|TYPE=ClassAbility	ABILITY:Special Ability|AUTOMATIC|Basic Turning	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|ClericLVL|TYPE=Level.REPLACE	
Spider	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainSpider,1]	SPELLLEVEL:DOMAIN|Spider=1|Spider Climb|Spider=2|Summon Swarm|Spider=3|Phantom Steed|Spider=4|Giant Vermin|Spider=5|Insect Plague|Spider=6|Spider Curse|Spider=7|Stone Spiders|Spider=8|Creeping Doom|Spider=9|Spider Shapes	DESC:You can rebuke or command spiders a s an evil cleric rebukes or commands undead. This ability is usable a number of times per day equal to 3 + your Charisma modifier.		BONUS:ABILITYPOOL|Turn Spider|1|TYPE=ClassAbility	ABILITY:Special Ability|AUTOMATIC|Basic Turning	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|ClericLVL|TYPE=Level.REPLACE	
Storm	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainStorm,1]	SPELLLEVEL:DOMAIN|Storm=1|Entropic Shield|Storm=2|Gust of Wind|Storm=3|Call Lightning|Storm=4|Sleet Storm|Storm=5|Ice Storm|Storm=6|Call Lightning Storm|Storm=7|Control Weather|Storm=8|Whirlwind|Storm=9|Storm of Vengeance	DESC:You gain resistance to electricity 5.		BONUS:VAR|ElectricityResistanceBonus|5|TYPE=Resistance	ABILITY:Special Ability|AUTOMATIC|Resistance to Electricity		
Suffering	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainSuffering,1]	SPELLLEVEL:DOMAIN|Suffering=1|Bane|Suffering=2|Bear's Endurance|Suffering=3|Bestow Curse|Suffering=4|Enervation|Suffering=5|Symbol of Pain|Suffering=6|Harm|Suffering=7|Waves of Exhaustion|Suffering=8|Horrid Wilting|Suffering=9|Energy Drain	DESC:You may use pain touch as a spell-like ability once per day. To deliver a pain touch, you must succeed on a melee touch attack against a living creature (using the rules for touch spells). If you hit, your touch bestows a -2 penalty to Strength and Dexterity on the target for 1 minute. Creatures that are immune to critical hits are also immune to this effect.		SPELLS:Innate|TIMES=1|CASTERLEVEL=ClericLVL|Pain Touch			
Time	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainTime,1]	SPELLLEVEL:DOMAIN|Time=1|True Strike|Time=2|Gentle Repose|Time=3|Haste|Time=4|Freedom of Movement|Time=5|Permanency|Time=6|Contingency|Time=7|Moment of Prescience|Time=8|Foresight|Time=9|Time Stop	DESC:You gain Improved Initiative as a bonus feat.		ABILITY:FEAT|AUTOMATIC|Improved Initiative			
Trade	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainTrade,1]	SPELLLEVEL:DOMAIN|Trade=1|Message|Trade=2|Gembomb|Trade=3|Eagle's Splendor|Trade=4|Sending|Trade=5|Fabricate|Trade=6|True Seeing|Trade=7|Mordenkainen's Magnificent Mansion|Trade=8|Mind Blank|Trade=9|Discern Location	DESC:You may use detect thoughts once per day as a spell-like ability. Activating this ability is a free action, and it affects one target. The effect lasts a number of minutes equal to your Charisma bonus (minimum 1 round).		SPELLS:Innate|TIMES=1|CASTERLEVEL=ClericLVL|Detect Thoughts			
Tyranny	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainTyranny,1]	SPELLLEVEL:DOMAIN|Tyranny=1|Command|Tyranny=2|Enthrall|Tyranny=3|Discern Lies|Tyranny=4|Fear|Tyranny=5|Command (Greater)|Tyranny=6|Geas/Quest|Tyranny=7|Bigby's Grasping Hand|Tyranny=8|Charm Monster (Mass)|Tyranny=9|Dominate Monster	DESC:The saving throw DC of any compulsion spell you cast increases by 2.		BONUS:DC|SUBSCHOOL.Compulsion|2			
Undeath	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainUndeath,1]	SPELLLEVEL:DOMAIN|Undeath=1|Detect Undead|Undeath=2|Desecrate|Undeath=3|Animate Dead|Undeath=4|Death Ward|Undeath=5|Inflict Light Wounds (Mass)|Undeath=6|Create Undead|Undeath=7|Control Undead|Undeath=8|Create Greater Undead|Undeath=9|Energy Drain	DESC:You gain Extra Turning as a bonus feat.		ABILITY:FEAT|AUTOMATIC|Extra Turning			
Watery Death	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainWateryDeath,1]	SPELLLEVEL:DOMAIN|Watery Death=1|Entangle|Watery Death=2|Mark of the Outcast|Watery Death=3|Control Water|Watery Death=4|Rushing Waters|Watery Death=5|Dehydrate|Watery Death=6|Drown|Watery Death=7|Contagious Fog|Watery Death=8|Horrid Wilting|Watery Death=9|Drown (Mass)	DESC:You gain the ability to smite any nonaquatic creature once per day with one normal melee attack. You add your Wisdom bonus to your attack roll and deal 1 extra point of damage per divine spellcaster level.					
