SOURCELONG:Forgotten Realms Campaign Setting 3.0	SOURCESHORT:FRCS30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-06
																																																																	
# Race Name	Output Name	Favored Class		Starting Feats	Size	Move	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells
Cormyr Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Cormyr															TEMPLATE:Cormyr Region													SOURCEPAGE:FRCS30																																	
Dalelands Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Dalelands															TEMPLATE:Dalelands Region													SOURCEPAGE:FRCS30																																	
Damara Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Damara															TEMPLATE:Damara Region													SOURCEPAGE:FRCS30																																	
Dragon Coast Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Dragon Coast															TEMPLATE:Dragon Coast Region													SOURCEPAGE:FRCS30																																	
Evermeet Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Evermeet															TEMPLATE:Evermeet Region													SOURCEPAGE:FRCS30																																	
Great Dale Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Great Dale															TEMPLATE:Great Dale Region													SOURCEPAGE:FRCS30																																	
Halruaa Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Halruaa															TEMPLATE:Halruaa Region													SOURCEPAGE:FRCS30																																	
High Forest Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:High Forest															TEMPLATE:High Forest Region													SOURCEPAGE:FRCS30																																	
Hordelands Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Hordelands															TEMPLATE:Hordelands Region													SOURCEPAGE:FRCS30																																	
Impiltur Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Impiltur															TEMPLATE:Impiltur Region													SOURCEPAGE:FRCS30																																	
Lake of Steam Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Lake of Steam															TEMPLATE:Lake of Steam Region													SOURCEPAGE:FRCS30																																	
Lantan Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Lantan															TEMPLATE:Lantan Region													SOURCEPAGE:FRCS30																																	
Luiren Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Luiren															TEMPLATE:Luiren Region													SOURCEPAGE:FRCS30																																	
Moonsea Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Moonsea															TEMPLATE:Moonsea Region													SOURCEPAGE:FRCS30																																	
Moonshae Isle Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Moonshae Isle															TEMPLATE:Moonshae Isle Region													SOURCEPAGE:FRCS30																																	
Mulhorand	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Mulhorand															TEMPLATE:Mulhorand Region													SOURCEPAGE:FRCS30																																	
Narfell	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Narfell															TEMPLATE:Narfell Region													SOURCEPAGE:FRCS30																																	
Nelanther Isles	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Nelanther Isles															TEMPLATE:Nelanther Isles Region													SOURCEPAGE:FRCS30																																	
The North	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:The North															TEMPLATE:The North Region													SOURCEPAGE:FRCS30																																	
Rashemen	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Rashemen															TEMPLATE:Rashemen Region													SOURCEPAGE:FRCS30																																	
Sembia	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Sembia															TEMPLATE:Sembia Region													SOURCEPAGE:FRCS30																																	
The Shaar	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:The Shaar															TEMPLATE:The Shaar Region													SOURCEPAGE:FRCS30																																	
Silverymoon	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Silverymoon															TEMPLATE:Silverymoon Region													SOURCEPAGE:FRCS30																																	
Tashalar	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Tashalan															TEMPLATE:Tashalar Region													SOURCEPAGE:FRCS30																																	
Tethyr	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Tethyr															TEMPLATE:Tethyr Region													SOURCEPAGE:FRCS30																																	
Thay	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Thay															TEMPLATE:Thay Region													SOURCEPAGE:FRCS30																																	
Thesk	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Thesk															TEMPLATE:Thesk Region													SOURCEPAGE:FRCS30																																	
Unther	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Unther															TEMPLATE:Unther Region													SOURCEPAGE:FRCS30																																	
Vaasa	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Vaasa															TEMPLATE:Vaasa Region													SOURCEPAGE:FRCS30																																	
The Vast	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:The Vast															TEMPLATE:The Vast Region													SOURCEPAGE:FRCS30																																	
Vilhon Reach	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Vilhorn Reach															TEMPLATE:Vilhon Reach Region													SOURCEPAGE:FRCS30																																	
Waterdeep	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Waterdeep															TEMPLATE:Waterdeep Region													SOURCEPAGE:FRCS30																																	
Western Heartlands	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Western Heartlands															TEMPLATE:Western Heartlands Region													SOURCEPAGE:FRCS30																																	
																																																																	
##BLOCK:Racial regions																																																																	
Dwarf Gold Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Dwarf Gold															TEMPLATE:Dwarf Gold Region													SOURCEPAGE:FRCS30																																	
Dwarf Gray Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Dwarf Gray															TEMPLATE:Dwarf Gray Region													SOURCEPAGE:FRCS30																																	
Dwarf Shield Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Dwarf Shield															TEMPLATE:Dwarf Shield Region													SOURCEPAGE:FRCS30																																	
Elf Drow Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Elf Drow															TEMPLATE:Elf Drow Region													SOURCEPAGE:FRCS30																																	
Elf Moon Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Elf Moon															TEMPLATE:Elf Moon Region													SOURCEPAGE:FRCS30																																	
Elf Sun Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Elf Sun															TEMPLATE:Elf Sun Region													SOURCEPAGE:FRCS30																																	
Elf Wild Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Elf Wild															TEMPLATE:Elf Wild Region													SOURCEPAGE:FRCS30																																	
Elf Wood Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Elf Wood															TEMPLATE:Elf Wood Region													SOURCEPAGE:FRCS30																																	
Gnome Deep Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Gnome Deep															TEMPLATE:Gnome Deep Region													SOURCEPAGE:FRCS30																																	
Gnome Rock Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Gnome Rock															TEMPLATE:Gnome Rock Region													SOURCEPAGE:FRCS30																																	
Half-Elf Half-Elf Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Half-Elf Half-Elf															TEMPLATE:Half-Elf Half-Elf Region													SOURCEPAGE:FRCS30																																	
Half-Orc Half-Orc Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Half-Orc Half-Orc															TEMPLATE:Half-Orc Half-Orc Region													SOURCEPAGE:FRCS30																																	
Halfling Ghostwise Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Halfling Ghostwise															TEMPLATE:Halfling Ghostwise Region													SOURCEPAGE:FRCS30																																	
Halfling Lightfoot Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Halfling Lightfoot															TEMPLATE:Halfling Lightfoot Region													SOURCEPAGE:FRCS30																																	
Halfling Strongheart Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Halfling Strongheart															TEMPLATE:Halfling Strongheart Region													SOURCEPAGE:FRCS30																																	
Orc Orc Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Orc Orc															TEMPLATE:Orc Orc Region													SOURCEPAGE:FRCS30																																	
