SOURCELONG:Forgotten Realms Campaign Setting 3.0	SOURCESHORT:FRCS30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-06
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Smite Infidel	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineChampionClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day, a divine champion may atempt to smite a creature with a different patron deity (or no patron deity at all) with one normal melee attack. She adds her Charisma bonus to the attack roll and deals 1 extra point of damage per divine champion level. If the divine champion accidentally smites someone of the same patron, the smite has no effec but is still used up for that day. If the divine champion is also a paladin, che may use smite evil and this ability separately or combine them into a single strike if the target is evil and of a different faith.	KEY:Divine Champion ~ Smite Infidel									BONUS:VAR|SmiteInfidelLVL|DivineChampionLVL	BONUS:VAR|SmiteInfidelToHit|max(CHA,0)|TYPE=Base	BONUS:VAR|SmiteInfidelDamage|DivineChampionLVL	BONUS:VAR|SmiteInfidel|1						ABILITY:Special Ability|VIRTUAL|Smite Infidel								SORTKEY:Class_Divine_Champion	SOURCEPAGE:FRCS30		
Divine Wrath	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineChampionClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The divine champion channels a portion of her patron's power into wrath, giving her a +3 bonus on attack rolls, damage, and saving throws for a number of rounds equal to her Charisma bonus. During this time, the divine champion also has damage reduction 5/-. this ability can be used once per day and is invoked as a free action.	KEY:Divine Champion ~ Divine Wrath	DESC:%1/day.|DivineWrathTimes			DEFINE:DivineWrathTimes|0					BONUS:VAR|DivineWrathTimes|1																	SORTKEY:Class_Divine_Champion	SOURCEPAGE:FRCS30		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineDiscipleClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Divine disciples gain no proficiency in any weapon or armor.	KEY:Divine Disciple ~ Weapon and Armor Proficiency																										SORTKEY:Class_Divine_Disciple	SOURCEPAGE:FRCS30		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineDiscipleClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A divine disciple's training focuses on divine spells. Thus, when a new divine disciple level is gained, the character gains new spells per day as if he had also gained a level in whatever divine spellcasting class she belonged to before she added the prestige class. Se does not, however, gain any other benefit a character of that class would have gained (improved chance of controlling or rebuking undead, metamagic or item creation feats, and so on). This essentially means that she adds the level of divine disciple to the level of whatever other arcane spellcasting class the character has, then determines spells per fay and caster level accordingly. If a character had more than one arcane spellcasting class before he became an arcane devotee, he must decide to which class he adds each level of arcane devotee for the purpose of determining spells per day.	KEY:Divine Disciple ~ Spells per Day																										SORTKEY:Class_Divine_Disciple	SOURCEPAGE:FRCS30		
New Domain	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineDiscipleClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The divine disciple may choose a new domain from her deity's available domains. The divine disciple receives the domains's granted power and may choose the domain's spells as domain spells. (The disiple new has three choices each level for domain spells instead of two)	KEY:Divine Disciple ~ New Domain									BONUS:DOMAIN|NUMBER|1																	SORTKEY:Class_Divine_Disciple	SOURCEPAGE:FRCS30		
Divine Emissary	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineDiscipleClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Divine disciples can telepathically communicate with any outsider within 60 feet, as long as that outsider serves the disciple's deity or has the same alignment as the disciple.	KEY:Divine Disciple ~ Divine Emissary																										SORTKEY:Class_Divine_Disciple	SOURCEPAGE:FRCS30		
Sacred Defense	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineDiscipleClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Add this value (+1 at 2nd level, +2 at 4th level) to the divine disciple's saving throws against divine spells, as well as the spell-like and supernatural abilities of outsiders.	KEY:Divine Disciple ~ Sacred Defense				DEFINE:DivineDiscipleSacredDefenseLVL|0					BONUS:VAR|DivineDiscipleSacredDefenseLVL|DivineDiscipleLVL/2	BONUS:VAR|SacredDefenseBonus|DivineDiscipleSacredDefenseLVL								ABILITY:Special Ability|AUTOMATIC|Sacred Defense								SORTKEY:Class_Divine_Disciple	SOURCEPAGE:FRCS30		
Imbue with Spell Ability	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineDiscipleClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:As the spell, except a divine disciple does not need to use any 4th-level (or higher) spell slots to activate this ability (She transfers currently prepared spells to targets on a one-for-one basis without having to use a spell slot for the imbue with spell ability spell). The only limit to the number of spells the divine disciple can transfer is the disciple's available 1st- and 2nd-level spells.	KEY:Divine Disciple ~ Imbue with Spell Ability																										SORTKEY:Class_Divine_Disciple	SOURCEPAGE:FRCS30		
Transcendence	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineDiscipleClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:The divine disciple, through long association with her deity's outsider servants and direct intervention by her deity, transcends her mortal form and become a divine creature. Her type change to outsider, which means that she acquires some immunities and vulnerabilities based on her type (see Native Outsider, under the planetouched race description). As a free action she can ward herself with a protection from chaos/evil/good/law spell. (She chooses which form to have when she gains the transcendence power and cannot change it thereafter). Upon achieving transcendence, the divine disciple's appearance usually undergoes a minor physical change appropriate to her alignment and deity. For example, the eyes of a disciple of Lathander, the morninglord, might change to glowing gold. Anyone who shares the disciple's patron, including outsider servants of her patron, immediately recognize her transcendent nature, and she gains a +è2 bonus on all Charisma-based skill and ability checks in regard to these creatures.	KEY:Divine Disciple ~ Transcendence																		TEMPLATE:Divine Disciple ~ Transcendence								SORTKEY:Class_Divine_Disciple	SOURCEPAGE:FRCS30		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Divine seeker gain proficiency in all simple weapons and light armor.	KEY:Divine Seeker ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Divine_Seeker	SOURCEPAGE:FRCS30		
Sanctuary	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a divine seeker can ward herself with a sanctuary spell.	KEY:Divine Seeker ~ Sanctuary																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DivineSeekerLVL|Sanctuary								SORTKEY:Class_Divine_Seeker	SOURCEPAGE:FRCS30		
Twart Glyph	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A divine seeker gains a +4 bonus on all Search and Disable Device checks to locate, disable or bypass magic glyphs, runes and symbols.	KEY:Divine Seeker ~ Twart Glyph																										SORTKEY:Class_Divine_Seeker	SOURCEPAGE:FRCS30		
Sacred Defense	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Add this value (+1 at 2nd level, +2 at 4th level) to the divine seeker's saving throws against divine spells, as well as the spell-like and supernatural abilities of outsiders.	KEY:Divine Seeker ~ Sacred Defense				DEFINE:DivineSeekerSacredDefenseLVL|0					BONUS:VAR|DivineSeekerSacredDefenseLVL|DivineSeekerLVL/2	BONUS:VAR|SacredDefenseBonus|DivineSeekerSacredDefenseLVL								ABILITY:Special Ability|AUTOMATIC|Sacred Defense								SORTKEY:Class_Divine_Seeker	SOURCEPAGE:FRCS30		
Sneak Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialAttack	VISIBLE:YES	DESC:As a rogue's ability. This stacks with any sneak attack ability from another class.	KEY:Divine Seeker ~ Sneak Attack									BONUS:VAR|SneakAttackDice|DivineSeekerLVL/2									ABILITY:Special Ability|AUTOMATIC|Sneak Attack								SORTKEY:Class_Divine_Seeker	SOURCEPAGE:FRCS30		
Locate Object	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a divine seeker can use the locate object spell.	KEY:Divine Seeker ~ Locate Object																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DivineSeekerLVL|Locate Object								SORTKEY:Class_Divine_Seeker	SOURCEPAGE:FRCS30		
Obscure Object	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a divine seeker can use the obscure object, which prevents her from being tracked by locating a stolen item she carries..	KEY:Divine Seeker ~ Obscure Object																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DivineSeekerLVL|Obscure Object								SORTKEY:Class_Divine_Seeker	SOURCEPAGE:FRCS30		
Locate Creature	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a divine seeker can use the locate creature spell.	KEY:Divine Seeker ~ Locate Creature																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DivineSeekerLVL|Locate Creature								SORTKEY:Class_Divine_Seeker	SOURCEPAGE:FRCS30		
Divine Perseverance	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineSeekerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Once per day, if the divine seeker is brought to -1 or lower hit points, she automatically is cured of 1d8+5 points of damage.	KEY:Divine Seeker ~ Divine Perseverance																										SORTKEY:Class_Divine_Seeker	SOURCEPAGE:FRCS30		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildThiefClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Divine seeker gain proficiency in all simple weapons and light armor.	KEY:Guild Thief ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Guild_Thief	SOURCEPAGE:FRCS30		
Sneak Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildThiefClassFeatures.SpecialAttack	VISIBLE:YES	DESC:As a rogue's ability. This stacks with any sneak attack ability from another class.	KEY:Guild Thief ~ Sneak Attack									BONUS:VAR|SneakAttackDice|(1+DivineSeekerLVL)/2									ABILITY:Special Ability|AUTOMATIC|Sneak Attack								SORTKEY:Class_Guild_Thief	SOURCEPAGE:FRCS30		
Doublespeak	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildThiefClassFeatures.SpecialQuality	VISIBLE:YES	DESC:a guild thief gains a +2 bonus on all Bluff, Diplomacy and Innuendo checks.	KEY:Guild Thief ~ Doublespeak									BONUS:SKILL|Bluff,Diplomacy,Sense Motive|2																	SORTKEY:Class_Guild_Thief	SOURCEPAGE:FRCS30		
Bonus Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildThiefClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A guild thief gains a feat from the following list: Alertness, Blind-Fight, Cosmopolitan, Education, Exotic Weapon Proficiency (Hand Crossbow), Leadership, Lightning Reflexes, Track, Skill Focus (any guild thief class skill), Still Spell, Street Smart, Weapon Finesse, Weapon Focus.	KEY:Guild Thief ~ Bonus Feat									BONUS:ABILITYPOOL|Guild Thief Bonus Feat|1																	SORTKEY:Class_Guild_Thief	SOURCEPAGE:FRCS30		
Uncanny Dodge	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildThiefClassFeatures.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:As the rogue special ability. If a guild thief has another class that grants the uncanny dodge ability, add together all the class levels of the classes that grant the ability and determine the character's uncanny dodge ability on that basis.	KEY:Guild Thief ~ Uncanny Dodge									BONUS:VAR|UncannyDodgeFlankingLevel|GuildThiefLVL|TYPE=EachClass.REPLACE																	SORTKEY:Class_Guild_Thief	SOURCEPAGE:FRCS30		
Reputation	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildThiefClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Add this value to the character's Leadership score (see leadership feat, page 45 of the Dungeon Master's Guide). Most guild thieves with an interest in collecting followers have a permanent base of operazion within a city, which gives an additional +2 bonus on their Keadership score according to Table 2-26: Leadership Modifiers, page 45 of the Dungeons Master's Guide.	KEY:Guild Thief ~ Reputation				DEFINE:GuildThiefReputationBonus|0					BONUS:VAR|GuildThiefReputationBonus|GuildThiefLVL-2	BONUS:VAR|LeadershipScore|GuildThiefReputationBonus																SORTKEY:Class_Guild_Thief	SOURCEPAGE:FRCS30		
Improved Uncanny Dodge	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildThiefClassFeatures.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES		KEY:Guild Thief ~ Improved Uncanny Dodge																										SORTKEY:Class_Guild_Thief	SOURCEPAGE:FRCS30		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperScoutClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A Harper scout is proficient with all simple weapons and light armor.	KEY:Harper Scout ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Harper_Scout	SOURCEPAGE:FRCS30		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperScoutClassFeatures.SpecialAttack	VISIBLE:YES	DESC:Beginning at 1st level, a Harper scout gains the ability to cast a small number of arcane spells. The Harper scout's ability to cast these spells works xactly like a bard's ability to cast spells. (They are Charisma-based and do not need to be prepared.) A 1st level Harper scout learns two spells from the Harper scout 1st-level list. She learns two spells from the Harper scout spells of any level she can cast at each Harper scout level thereafter. There is no limit to the number of these spells the Harper Scout's can know from this list. She may learn more by studying arcane scrolls or spellbooks.	KEY:Harper Scout ~ Spells per Day				DEFINE:Caster_Level_Harper_Scout|0	DEFINE:Caster_Level_BL_Harper_Scout|0				BONUS:CASTERLEVEL|Harper Scout|Caster_Level_Harper_Scout	BONUS:VAR|Caster_Level_Harper_Scout|HarperScoutLVL+Caster_Level_Bonus	BONUS:VAR|Caster_Level_BL_Harper_Scout|charbonusto("PCLEVEL","Harper Scout")	BONUS:VAR|Caster_Level_Highest__Arcane|Caster_Level_Harper_Scout+Caster_Level_BL_Harper_Scout|TYPE=Base														SORTKEY:Class_Harper_Scout	SOURCEPAGE:FRCS30		
Harper Knowledge	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperScoutClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Like a bard, a Harper scout has a knack for picking up odds and ends of knowledge. This ability works exactly like the bardic knowledge ability of the bard class. If a Harper scout has bard levels, her Harper scout levels and bard levels stacks fot the purpose of using bardic knowledge.	KEY:Harper Scout ~ Harper Knowledge									BONUS:VAR|HarperKnowledgeLVL|HarperScoutLVL	BONUS:VAR|BardicKnowledge|HarperScoutLVL								ABILITY:Special Ability|AUTOMATIC|Harper Knowledge								SORTKEY:Class_Harper_Scout	SOURCEPAGE:FRCS30		
Favored Enemy	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperScoutClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A Harper scout selects a favored enemy from the following list of evil organization that oppose the Harpers' goal: the Church of Bane, the Cult of the Dragon, the Iron Throne, the Malaugryms, the Red Wizards or the Zhentarim. This ability works exactly like the favored enemy ability of the rtanger class. If a Harper scout with ranger levels chooses a favored enemy that she already has chosen as a ranger, the bonuses stack. When the Harper scout reaches 4th level, the bonus against her forst favored enemy increase to +2 and she gains a new favored enemy at +1.	KEY:Harper Scout ~ Favored Enemy				DEFINE:HarperScoutFavoredEnemyLVL|0					BONUS:VAR|HarperScoutFavoredEnemyLVL|HarperScoutLVL	BONUS:VAR|HarperEnemyCount|(HarperScoutFavoredEnemyLVL+2)/3	BONUS:VAR|HarperEnemyBonusCount|(HarperScoutFavoredEnemyLVL+2)/3	BONUS:VAR|HarperEnemyBaseBonus|1|TYPE=Base		ABILITY:Special Ability|AUTOMATIC|Favored Enemy												SORTKEY:Class_Harper_Scout	SOURCEPAGE:FRCS30		
Deneir's Eye	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperScoutClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A Harper scout gains a+2 holy bonus on saving throws against glyphs, runes and symbols.	KEY:Harper Scout ~ Deneir's Eye																										SORTKEY:Class_Harper_Scout	SOURCEPAGE:FRCS30	ASPECT:SaveBonus|+2 holy bonus against glyphs, runes and symbols.	
Skill Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperScoutClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A Harper scout gains the Skill Focus feat for her perform and any one other Harper scout class skill.	KEY:Harper Scout ~ Skill Focus									BONUS:SKILL|TYPE.Perform|3|TYPE=SkillFocus	BONUS:ABILITYPOOL|Harper Scout Skill Focus|1																SORTKEY:Class_Harper_Scout	SOURCEPAGE:FRCS30		
Tymora's Smile	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperScoutClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Once per day, a Harper scout can add a +2 luck bonus on a single saving throw. This bonus can be added after the die is rolled and after success or failure of the unmodified roll is determined.	KEY:Harper Scout ~ Tymora's Smile																										SORTKEY:Class_Harper_Scout	SOURCEPAGE:FRCS30		
Lliira's Heart	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperScoutClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A Harper scout gains a +2 holy bonus on saving throws against compulsion and fear effects.	KEY:Harper Scout ~ Lliira's Heart									BONUS:VAR|CompulsionResistanceBonus,FearResistanceBonus|2|TYPE=Holy									ABILITY:Special Ability|AUTOMATIC|Resistance To Fear|Resistance To Compulsion								SORTKEY:Class_Harper_Scout	SOURCEPAGE:FRCS30		
Craft Harper Item	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperScoutClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A specialized form of the Craft Wondrous Item feat, this allows a Harper scout to create magic musical instruments, harper pins, and certain potions (Charisma, detect thoughts, glibness, tongues and truth). This ability replaces the need for any other item creation feat for the item. The Harper scout's casting levels for these items is her Harper scout level plus all other caster levels from her other spellcasting classes. All the notmal reuirements for an item (such as race or spells) remain the same. All other rules for creating wondrous items or potions apply.	KEY:Harper Scout ~ Craft Harper Item																										SORTKEY:Class_Harper_Scout	SOURCEPAGE:FRCS30	SERVESAS:ABILITY=FEAT|Craft Wondrous Item	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Hathrans gain Exotic Weapon Proficiency (Whip). They gain proficiency in no new armor.	KEY:Hathran ~ Weapon and Armor Proficiency																		ABILITY:FEAT|AUTOMATIC|Exotic Weapon Proficiency (Whip)								SORTKEY:Class_Hathran	SOURCEPAGE:FRCS30		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A hathran's training focuses on arcane or divine spells. Thus, when a new hathran level is gained, the character gains new spells per day as if she had also gained one level in a spellcasting class (her choice) sge belonged to before becoming an hathran. She does not, however, gain any other benefit  a character of that class would have gained (improved chance of controlling or rebuking undead, metamagic or item creation feats, and so on). This essentially means that she adds the level of hathran to the level of whatever other spellcasting class the character has, then determines spells per day and caster level accordingly. Since all hathrans are multiclass spellcasters, some choose to expand their skill in the arcane, others the divine, and the remainder strike a balance between the two. The hathrans also have a short custom spell list. These spells are arcane spells and must be acquired like any other arcane spell. They use spell slots of the appropriate level in the hathran's arcane spellcasting class.	KEY:Hathran ~ Spells per Day																										SORTKEY:Class_Hathran	SOURCEPAGE:FRCS30		
Cohort	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The hathran gains a cohort as if she had the Leadership feat (se epage 45 of the Dungeon Master's Guide). This cohort is either a Rashemi female with the Ethran feat or a Rashemi male with at least one level of barbarian. This cohort does not count against any cohort (or followers) the hathran may acquire by taking the Leadership feat.	KEY:Hathran ~ Cohort									BONUS:VAR|HathranCohortLVL|min(HathranLVL,TL-2)									ABILITY:Special Ability|AUTOMATIC|Hathran Cohort								SORTKEY:Class_Hathran	SOURCEPAGE:FRCS30		
