SOURCELONG:Forgotten Realms Campaign Setting 3.0	SOURCESHORT:FRCS30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:06-2001
									
#	SOURCEPAGE:SpellListI.rtf		SPELLLEVEL:DOMAIN|=1||=2||=3||=4||=5||=6||=7||=8||=9|	DESC:					
Hatred	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainHatred,1]	SPELLLEVEL:DOMAIN|Hatred=1|Doom|Hatred=2|Scare|Hatred=3|Bestow Curse|Hatred=4|Emotion ~ Hate only|Hatred=5|Righteous Might|Hatred=6|Forbiddance|Hatred=7|Blasphemy|Hatred=8|Antipathy|Hatred=9|Wail of the Banshee	DESC:Once per day, as a free action, choose one opponent. Against that opponent you gain a +2 profane bonus on attack rolls, saving throws and Armor Class. This supernatural ability lasts 1 minute.					
Illusion	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainIllusion,1]	SPELLLEVEL:DOMAIN|Illusion=1|Silent Image|Illusion=2|Minor Image|Illusion=3|Displacement|Illusion=4|Phantasmal Killer|Illusion=5|Persistent Image|Illusion=6|Mislead|Illusion=7|Project Image|Illusion=8|Screen|Illusion=9|Weird	DESC:You cast Illusion spells at +1 caster level.		BONUS:CASTERLEVEL|SCHOOL.Illusion|1|PRERULE:1,SYS_DOMAIN			
Mentalism	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainMentalism,1]	SPELLLEVEL:DOMAIN|Mentalism=1|Random Action|Mentalism=2|Detect Thoughts|Mentalism=3|Clairaudience/Clairvoyance|Mentalism=4|Modify Memory|Mentalism=5|Mind Fog|Mentalism=6|Rary's Telepathic Bond|Mentalism=7|Antipathy|Mentalism=8|Mind Blank|Mentalism=9|Astral Projection	DESC:You can generate a mental ward, a spell-like ability to grant someone you touch a resistance bonus on her next Will saving throw equal to your level +2. Activating this power is a standard action. The mental ward is an abjuration effect with a duration of 1 hour that is usable once per day.					
Metal	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainMetal,1]	SPELLLEVEL:DOMAIN|Metal=1|Magic Weapon|Metal=2|Heat Metal|Metal=3|Keen Edge|Metal=4|Rusting Grasp|Metal=5|Wall of Iron|Metal=6|Blade Barrier|Metal=7|Transmute Metal to Wood|Metal=8|Iron Body|Metal=9|Repel Metal or Stone	DESC:Free Martial or Exotic Weapon Proficiency and Weapon Focus with your choice hammer.		CHOOSE:NUMCHOICES=1|WEAPONPROFICIENCY|TYPE=Hammer	SELECT:1	ABILITY:FEAT|AUTOMATIC|Weapon Focus (%LIST)	AUTO:WEAPONPROF|%LIST
Moon	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainMoon,1]	SPELLLEVEL:DOMAIN|Moon=1|Faerie Fire|Moon=2|Moonbeam|Moon=3|Moon Blade|Moon=4|Emotion|Moon=5|Moon Path|Moon=6|Permanent Image|Moon=7|Insanity|Moon=8|Animal Shapes|Moon=9|Moonfire	DESC:Turn or destroy lycanthropes as a good cleric turns or destroy undead. You can use this ability a total number of times per day equal to 3 + your Charisma modifier.		BONUS:ABILITYPOOL|Turn Lycanthrope|1|TYPE=ClassAbility	ABILITY:Special Ability|AUTOMATIC|Basic Turning	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|ClericLVL|TYPE=Level.REPLACE	
Nobility	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainNobility,1]	SPELLLEVEL:DOMAIN|Nobility=1|Divine Favor|Nobility=2|Enthrall|Nobility=3|Magic Vestment|Nobility=4|Discern Lies|Nobility=5|Command (Greater)|Nobility=6|Geas/Quest|Nobility=7|Repulsion|Nobility=8|Demand|Nobility=9|Storm of Vengeance	DESC:You have the spell-like ability to inspire allies giving them a +2 morale bonus on saving throws, attack rolls, ability checks, skill checks and weapon damage rolls. Allies must be able tyo hear you speak for 1 round. Using this ability is a standard action. It last a number of rounds equal to your charisma bonus and can be used once per day.					
Ocean	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainOcean,1]	SPELLLEVEL:DOMAIN|Ocean=1|Resist Energy|Ocean=2|Sound Burst|Ocean=3|Water Breathing|Ocean=4|Freedom of Movement|Ocean=5|Wall of Ice|Ocean=6|Otiluke's Freezing Sphere|Ocean=7|Waterspout|Ocean=8|Maelstrom|Ocean=9|Elemental Swarm ~ Water only	DESC:You have the supernatural ability to breathe water as if under the effect of a water breathing spell, for up to 10 rounds per level. This effect occurs automatically as soon as it applies, lasts it runs out or is no longer needed, and can operate multiple times per day (up to the total daily limit of rounds).					
Orc	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainOrc,1]	SPELLLEVEL:DOMAIN|Orc=1|Cause Fear|Orc=2|Produce Flame|Orc=3|Prayer|Orc=4|Divine Power|Orc=5|Prying Eyes|Orc=6|Eyebite|Orc=7|Blasphemy|Orc=8|Cloak of Chaos|Orc=9|Power Word Kill	DESC:You gain the smite power, the supernatural ability to make a single melee attack with a damage bonus equal to your cleric level (if you hit). You must declare the smite before making the attack. It is usable once per day. If used against a dwarf or an elf you get a +4 bonus on the smite attack roll.		BONUS:VAR|SmiteLVL|ClericLVL	BONUS:VAR|SmiteDamage|ClericLVL	BONUS:VAR|Smite|1	ABILITY:Special Ability|VIRTUAL|Smite
Planning	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainPlanning,1]	SPELLLEVEL:DOMAIN|Planning=1|Deathwatch|Planning=2|Augury|Planning=3|Clairaudience/Clairvoyance|Planning=4|Status|Planning=5|Detect Scrying|Planning=6|Heroes' Feast|Planning=7|Scrying (Greater)|Planning=8|Discern Location|Planning=9|Time Stop	DESC:Free Extend Spell feat.		ABILITY:FEAT|AUTOMATIC|Extend Spell			
Portal	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainPortal,1]	SPELLLEVEL:DOMAIN|Portal=1|Summon Monster I|Portal=2|Analyze Portal|Portal=3|Dimensional Anchor|Portal=4|Dimension Door|Portal=5|Teleport|Portal=6|Banishment|Portal=7|Etherealness|Portal=8|Maze|Portal=9|Gate	DESC:You can detect an active or inactive portal as if it were a normal secret door (DC 20).					
Renewal	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainRenewal,1]	SPELLLEVEL:DOMAIN|Renewal=1|Charm Person|Renewal=2|Restoration (Lesser)|Renewal=3|Remove Disease|Renewal=4|Reincarnate|Renewal=5|Atonement|Renewal=6|Heroes' Feast|Renewal=7|Restoration (Greater)|Renewal=8|Polymorph Any Object|Renewal=9|Freedom	DESC:If you fall below 0 hit points, you regain a number of hit points equal to 1d8 + your Charisma modifier. This supernatural ability function once per day. If an attack brings you to -10 hit points or less, you die before this power takes effect.					
Retribution	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainRetribution,1]	SPELLLEVEL:DOMAIN|Retribution=1|Shield of Faith|Retribution=2|Bear's Endurance|Retribution=3|Speak with Dead|Retribution=4|Fire Shield|Retribution=5|Mark of Justice|Retribution=6|Banishment|Retribution=7|Spell Turning|Retribution=8|Discern Location|Retribution=9|Storm of Vengeance	DESC:If you have been harmed by someone in combat, you may make a strike of vengeance with a melee or ranged weapon against that individual on your next action. If this attack hits, you deal maximum damage. You may use this supernatural ability once per day.					
Rune	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainRune,1]	SPELLLEVEL:DOMAIN|Rune=1|Erase|Rune=2|Secret Page|Rune=3|Glyph of Warding|Rune=4|Explosive Runes|Rune=5|Planar Binding (Lesser)|Rune=6|Glyph of Warding (Greater)|Rune=7|Drawmij's Instant Summons|Rune=8|Symbol|Rune=9|Teleportation Circle	DESC:Free Scribe Scroll feat.		ABILITY:FEAT|AUTOMATIC|Scribe Scroll			
Scalykind	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainScalykind,1]	SPELLLEVEL:DOMAIN|Scalykind=1|Magic Fang|Scalykind=2|Animal Trance ~ Reptiles only|Scalykind=3|Magic Fang (Greater)|Scalykind=4|Poison|Scalykind=5|Animal Growth ~ Reptiles only|Scalykind=6|Eyebite|Scalykind=7|Creeping Doom ~ Reptiles only|Scalykind=8|Animal Shapes ~ Reptiles only|Scalykind=9|Shapechange	DESC:Rebuke or Command animals (reptilian creature and snakes only) as an evil cleric rebukes or commands undead. Use this ability a total number of times per day equal to three + your Charisma modifier.		BONUS:ABILITYPOOL|Turn Reptile|1|TYPE=ClassAbility	ABILITY:Special Ability|AUTOMATIC|Basic Turning	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|ClericLVL|TYPE=Level.REPLACE	
Slime	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainSlime,1]	SPELLLEVEL:DOMAIN|Slime=1|Grease|Slime=2|Melf's Acid Arrow|Slime=3|Poison|Slime=4|Rusting Grasp|Slime=5|Evard's Black Tentacles|Slime=6|Transmute Rock to Mud|Slime=7|Destruction|Slime=8|Power Word Blind|Slime=9|Implosion	DESC:Rebuke or Command ooze as an evil cleric rebukes or commands undead. Use this ability a total number of times per day equal to three + your Charisma modifier.		BONUS:ABILITYPOOL|Turn Ooze|1|TYPE=ClassAbility	ABILITY:Special Ability|AUTOMATIC|Basic Turning	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|ClericLVL|TYPE=Level.REPLACE	
Spell	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainSpell,1]	SPELLLEVEL:DOMAIN|Spell=1|Mage Armor|Spell=2|Silence|Spell=3|Anyspell|Spell=4|Rary's Mnemonic Enhancer|Spell=5|Break Enchantment|Spell=6|Anyspell (Greater)|Spell=7|Limited Wish|Spell=8|Antimagic Field|Spell=9|Mordenkainen's Disjunction	DESC:You get a +2 bonus on Concentration and Spellcraft spell.		BONUS:SKILL|Concentration,Spellcraft|2			
Spider	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainSpider,1]	SPELLLEVEL:DOMAIN|Spider=1|Spider Climb|Spider=2|Summon Swarm|Spider=3|Phantom Steed|Spider=4|Giant Vermin|Spider=5|Insect Plague|Spider=6|Spider Curse|Spider=7|Stone Spiders|Spider=8|Creeping Doom|Spider=9|Spider Shapes	DESC:Rebuke or Command spiders as an evil cleric rebukes or commands undead. Use this ability a total number of times per day equal to three + your Charisma modifier.		BONUS:ABILITYPOOL|Turn Spider|1|TYPE=ClassAbility	ABILITY:Special Ability|AUTOMATIC|Basic Turning	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|ClericLVL|TYPE=Level.REPLACE	
Storm	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainStorm,1]	SPELLLEVEL:DOMAIN|Storm=1|Entropic Shield|Storm=2|Gust of Wind|Storm=3|Call Lightning|Storm=4|Sleet Storm|Storm=5|Ice Storm|Storm=6|Summon Monster VI ~ Air only|Storm=7|Control Weather|Storm=8|Whirlwind|Storm=9|Storm of Vengeance	DESC:You gain electricity resistance 5.		BONUS:VAR|ElectricityResistanceBonus|5	ABILITY:Special Ability|AUTOMATIC|Resistance to Electricity		
Suffering	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainSuffering,1]	SPELLLEVEL:DOMAIN|Suffering=1|Bane|Suffering=2|Bear's Endurance|Suffering=3|Bestow Curse|Suffering=4|Enervation|Suffering=5|Feeblemind|Suffering=6|Harm|Suffering=7|Eyebite ~ Sicken only|Suffering=8|Symbol of Pain|Suffering=9|Horrid Wilting	DESC:You may use a pain touch once per day. Make a melee touch attack against a living creature which bestows on that creature a 2 enhancement penalty tyo Strength and Dexterity for 1 minute on a successful attack. This spelllike ability does not affect creatures immune to creitical hits.					
Time	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainTime,1]	SPELLLEVEL:DOMAIN|Time=1|True Strike|Time=2|Gentle Repose|Time=3|Haste|Time=4|Freedom of Movement|Time=5|Permanency|Time=6|Contingency|Time=7|Haste|Time=8|Foresight|Time=9|Time Stop	DESC:Free Improved Initiative feat.		ABILITY:FEAT|AUTOMATIC|Improved Initiative			
Trade	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainTrade,1]	SPELLLEVEL:DOMAIN|Trade=1|Message|Trade=2|Gembomb|Trade=3|Eagle's Splendor|Trade=4|Sending|Trade=5|Fabricate|Trade=6|True Seeing|Trade=7|Mordenkainen's Magnificent Mansion|Trade=8|Mind Blank|Trade=9|Discern Location	DESC:You may use detect thoughts once per day as a spell-like ability, affecting one target and lasting a number of minutes equal to your Charisma bonus. Activating this power is a free action.		SPELLS:Innate|TIMES=1|CASTERLEVEL=ClericLVL|Detect Thoughts			
Tyranny	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainTyranny,1]	SPELLLEVEL:DOMAIN|Tyranny=1|Command|Tyranny=2|Enthrall|Tyranny=3|Discern Lies|Tyranny=4|Fear|Tyranny=5|Command (Greater)|Tyranny=6|Geas/Quest|Tyranny=7|Bigby's Grasping Hand|Tyranny=8|Charm Monster (Mass)|Tyranny=9|Dominate Monster	DESC:Add +2 to the saving throw DC of any compulsion spell you cast.		BONUS:DC|SUBSCHOOL.Compulsion|2			
Undeath	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainUndeath,1]	SPELLLEVEL:DOMAIN|Undeath=1|Detect Undead|Undeath=2|Desecrate|Undeath=3|Animate Dead|Undeath=4|Death Ward|Undeath=5|Inflict Light Wounds (Mass)|Undeath=6|Create Undead|Undeath=7|Control Undead|Undeath=8|Create Greater Undead|Undeath=9|Energy Drain	DESC:Free Extra Turning feat.		ABILITY:FEAT|AUTOMATIC|Extra Turning			
