SOURCELONG:Forgotten Realms Campaign Setting 3.0	SOURCESHORT:FRCS30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-06
																																																																	
# Race Name	Output Name	Favored Class		Starting Feats	Size	Move	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells
Rock (FR)	CATEGORY:Internal	TYPE:GnomeSubrace.AltSubraceChoice.GnomeLanguages		DESC:Rock gnomes are the most common type of gnomes in Faerun, and are usually just called gnomes, since they are the only sort that surface dwellers ever see.	KEY:Gnome ~ Rock (FR)	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Gnome ~ Rock (FR)],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Rock (FR) Gnome	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeRacialVision	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Weapon Familiarity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeWeaponFamiliarity	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Illusion Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeSaveBonus	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Racial School DC Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeIllusionDC	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeAttacksBonus	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Dodge Giant Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeDodgeBonus	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Listen Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeRacialListenSkill	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Craft Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeRacialAlchemySkill	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Spell-Like Abilities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeSpellLikeAbilities	ABILITY:Gnome Race Trait|AUTOMATIC|Rock (FR) Gnome ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeFavoredClass	ABILITY:Regional|AUTOMATIC|Pool ~ Regional																														
Half-Elf (FR)	CATEGORY:Internal	TYPE:HalfElfSubrace.AltSubraceChoice.HalfElfLanguages		DESC:.	KEY:Half-Elf ~ Half-Elf (FR)	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Half-Elf ~ Half-Elf (FR)],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0																TEMPLATE:Half-Elf (FR) Half-Elf	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfRacialImmunity	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfLowLightVision	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfSkillBonus	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ 2 Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElf2SkillBonus	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Elven Blood|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfElvenBlood	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf (FR) Half-Elf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfFavoredClass	ABILITY:Regional|AUTOMATIC|Pool ~ Regional																																		
Half-Orc (FR)	CATEGORY:Internal	TYPE:HalfOrcSubrace.AltSubraceChoice.HalfOrcLanguages		DESC:Even in the tolerant land of Faerun, a half-orc's life is hardly ever easy.	KEY:Half-Orc ~ Half-Orc (FR)	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Half-Orc ~ Half-Orc (FR)],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Half-Orc (FR) Half-Orc	ABILITY:Half-Orc Race Trait|AUTOMATIC|Half-Orc ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfOrcDarkvision	ABILITY:Half-Orc Race Trait|AUTOMATIC|Half-Orc ~ Orc Blood|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfOrcOrcBlood	ABILITY:Half-Orc Race Trait|AUTOMATIC|Half-Orc (FR) Half-Orc ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Half-Orc Race Trait|AUTOMATIC|Half-Orc ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfOrcFavoredClass	ABILITY:Regional|AUTOMATIC|Pool ~ Regional																																					
Ghostwise	CATEGORY:Internal	TYPE:HalflingSubrace.AltSubraceChoice.HalflingSaveBonus.HalflingLanguages.HalflingFavoredClass		DESC:These wild, nearly feral halfling rarely leave the confines of the deep forests.	KEY:Halfling ~ Ghostwise	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Halfling ~ Ghostwise],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Ghostwise Halfling	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingSkillBonus		ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Fear Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingFearSaveBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingCombatBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Listen Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingListenSkillBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Ghostwise Halfling ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Halfling Race Trait|AUTOMATIC|Ghostwise Halfling ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Halfling Race Trait|AUTOMATIC|Ghostwise Halfling ~ Speak without Sound|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Regional|AUTOMATIC|Pool ~ Regional																																	
Lightfoot (FR)	CATEGORY:Internal	TYPE:HalflingSubrace.AltSubraceChoice.HalflingLanguages		DESC:The most common type of halflings seen in the world, the lightfoots are the most likely to give in to theur desire to wander.	KEY:Halfling ~ Lightfoot (FR)	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Halfling ~ Lightfoot (FR)],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Lightfoot (FR) Halfling	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingSkillBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingSaveBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Fear Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingFearSaveBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingCombatBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Listen Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingListenSkillBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Lightfoot (FR) Halfling ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingFavoredClass	ABILITY:Regional|AUTOMATIC|Pool ~ Regional																																		
Strongheart	CATEGORY:Internal	TYPE:HalflingSubrace.AltSubraceChoice.HalflingSaveBonus.HalflingLanguages		DESC:While the lightfoot halflings value the experience of travel and the sight of new lands and peoples, the stronghearts are more organized, orderly and indistrious race.	KEY:Halfling ~ Strongheart	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Halfling ~ Strongheart],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Strongheart Halfling	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingSkillBonus		ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Fear Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingFearSaveBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingCombatBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Listen Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingListenSkillBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Strongheart Halfling ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingFavoredClass	ABILITY:Halfling Race Trait|AUTOMATIC|Strongheart Halfling ~ Extra Feat|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Regional|AUTOMATIC|Pool ~ Regional																																	
Aasimar (FR)	CATEGORY:Internal	TYPE:AasimarSubrace.AltSubraceChoice.AasimarLanguages		DESC:Carrying the blood of a celestial, an aasimar is usually good-aligned and fights against evil in the world.	KEY:Aasimar ~ Aasimar (FR)	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Aasimar ~ Aasimar (FR)],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|WIS|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Aasimar (FR) Aasimar	ABILITY:Aasimar Race Trait|AUTOMATIC|Aasimar ~ Spot Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AasimarSpotSkillBonus	ABILITY:Aasimar Race Trait|AUTOMATIC|Aasimar ~ Listen Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AasimarListenSkillBonus	ABILITY:Aasimar Race Trait|AUTOMATIC|Aasimar ~ Daylight|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AasimarDaylight	ABILITY:Aasimar Race Trait|AUTOMATIC|Aasimar ~ Resistances|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AasimarResistances	ABILITY:Aasimar Race Trait|AUTOMATIC|Aasimar (FR) Aasimar ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Aasimar Race Trait|AUTOMATIC|Aasimar ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AasimarFavoredClass	ABILITY:Regional|AUTOMATIC|Pool ~ Regional																																			
#																																																																	
Air Genasi	CATEGORY:Internal	TYPE:AirGenasiSubrace.AirGenasiBase		DESC:Air genasi see themselves as the inheritors of the sky, the wind and the very air of the world.	KEY:Air Genasi ~ Air Genasi									BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits						TEMPLATE:Air Genasi	ABILITY:Air Genasi Race Trait|AUTOMATIC|Air Genasi ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AirGenasiDarkvision	ABILITY:Air Genasi Race Trait|AUTOMATIC|Air Genasi ~ Spell-Like Abilities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AirGenasiSpellLikeAbilities	ABILITY:Air Genasi Race Trait|AUTOMATIC|Air Genasi ~ Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AirGenasiSaveBonus	ABILITY:Air Genasi Race Trait|AUTOMATIC|Air Genasi ~ Cleric Focus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AirGenasiClericFocus	ABILITY:Air Genasi Race Trait|AUTOMATIC|Air Genasi ~ Breathless|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AirGenasiBreathless	ABILITY:Air Genasi Race Trait|AUTOMATIC|Air Genasi ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AirGenasiLanguages	ABILITY:Air Genasi Race Trait|AUTOMATIC|Air Genasi ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AirGenasiFavoredClass	ABILITY:Regional|AUTOMATIC|Pool ~ Regional																																		
Earth Genasi	CATEGORY:Internal	TYPE:EarthGenasiSubrace.EarthGenasiBase		DESC:Earth genasi are slow to act, ponderous in thought and set in theyr ways.	KEY:Earth Genasi ~ Earth Genasi									BONUS:STAT|STR|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits						TEMPLATE:Earth Genasi	ABILITY:Earth Genasi Race Trait|AUTOMATIC|Earth Genasi ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.EarthGenasiDarkvision	ABILITY:Earth Genasi Race Trait|AUTOMATIC|Earth Genasi ~ Spell-Like Abilities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.EarthGenasiSpellLikeAbilities	ABILITY:Earth Genasi Race Trait|AUTOMATIC|Earth Genasi ~ Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.EarthGenasiSaveBonus	ABILITY:Earth Genasi Race Trait|AUTOMATIC|Earth Genasi ~ Cleric Focus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.EarthGenasiClericFocus		ABILITY:Earth Genasi Race Trait|AUTOMATIC|Earth Genasi ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.EarthGenasiLanguages	ABILITY:Earth Genasi Race Trait|AUTOMATIC|Earth Genasi ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.EarthGenasiFavoredClass	ABILITY:Regional|AUTOMATIC|Pool ~ Regional																																		
Fire Genasi	CATEGORY:Internal	TYPE:FireGenasiSubrace.FireGenasiBase		DESC:Fire genasi are hot blooded and quick to anger, proud and unafraid to take action.	KEY:Fire Genasi ~ Fire Genasi									BONUS:STAT|INT|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Fire Genasi	ABILITY:Fire Genasi Race Trait|AUTOMATIC|Fire Genasi ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.FireGenasiDarkvision	ABILITY:Fire Genasi Race Trait|AUTOMATIC|Fire Genasi ~ Spell-Like Abilities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.FireGenasiSpellLikeAbilities	ABILITY:Fire Genasi Race Trait|AUTOMATIC|Fire Genasi ~ Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.FireGenasiSaveBonus	ABILITY:Fire Genasi Race Trait|AUTOMATIC|Fire Genasi ~ Cleric Focus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.FireGenasiClericFocus		ABILITY:Fire Genasi Race Trait|AUTOMATIC|Fire Genasi ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.FireGenasiLanguages	ABILITY:Fire Genasi Race Trait|AUTOMATIC|Fire Genasi ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.FireGenasiFavoredClass	ABILITY:Regional|AUTOMATIC|Pool ~ Regional																																		
Water Genasi	CATEGORY:Internal	TYPE:WaterGenasiSubrace.WaterGenasiBase		DESC:Water genasi are patient and slow to change, preferring to waer away opposition slowly, but are capable of great violence in extreme situations.	KEY:Water Genasi ~ Water Genasi									BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Water Genasi	ABILITY:Water Genasi Race Trait|AUTOMATIC|Water Genasi ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.WaterGenasiDarkvision	ABILITY:Water Genasi Race Trait|AUTOMATIC|Water Genasi ~ Spell-Like Abilities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.WaterGenasiSpellLikeAbilities	ABILITY:Water Genasi Race Trait|AUTOMATIC|Water Genasi ~ Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.WaterGenasiSaveBonus	ABILITY:Water Genasi Race Trait|AUTOMATIC|Water Genasi ~ Cleric Focus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.WaterGenasiClericFocus	ABILITY:Water Genasi Race Trait|AUTOMATIC|Water Genasi ~ Breath Water|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.WaterGenasiBreathWater	ABILITY:Water Genasi Race Trait|AUTOMATIC|Water Genasi ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.WaterGenasiLanguages	ABILITY:Water Genasi Race Trait|AUTOMATIC|Water Genasi ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.WaterGenasiFavoredClass	ABILITY:Regional|AUTOMATIC|Pool ~ Regional																																		
Tielfing (FR)	CATEGORY:Internal	TYPE:TieflingSubrace.AltSubraceChoice.TieflingLanguages		DESC:Because they are descendant from evil outsiders, those who know of theyr ancestry immediately consider most tieflings evil and untrustworthy.	KEY:Tiefling ~ Tiegfling (FR)	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Tiefling ~ Tiefling (FR)],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]								BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Tiefling (FR) Tiefling	ABILITY:Tiefling Race Trait|AUTOMATIC|Tiefling ~ Bluff Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TieflingBluffSkillBonus	ABILITY:Tiefling Race Trait|AUTOMATIC|Tiefling ~ Hide Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TieflingHideSkillBonus	ABILITY:Tiefling Race Trait|AUTOMATIC|Tiefling ~ Darkness|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TieflingDarkness	ABILITY:Tiefling Race Trait|AUTOMATIC|Tiefling ~ Resistances|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TieflingResistances	ABILITY:Tiefling Race Trait|AUTOMATIC|Tiefling (FR) Tiefling ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Tiefling Race Trait|AUTOMATIC|Tiefling ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TieflingFavoredClass			SOURCEPAGE:FRCS30																																	
