SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																							
																										
# Equipment Name	Output Name	Required Proficiency	Type	Cost	Weight	Wield Category	Slot Needed	Size	Damage	Critical Hit Range	Critical Hit Multiplier	Modifier	Alternative Type	Alternative Damage	Alternative Critical Range	Alternative Critical	Alternative Modifier	SOURCEPAGE:	Range	Reach	Reach Multiplier			BONUS:EQM	Special Property	Weapon prop. bonus
Roaring	KEY:ROAR_M	TYPE:Weapon.Melee.Thrown	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:ExD	REPLACES:THNDR_M	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown											SPROP:target strack must save at Will DC 22 or be shaken. +2d6 points of sonic damage on successfull critical hits.							
Roaring	KEY:ROAR_R	TYPE:Weapon.Ranged	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:ExD	REPLACES:THNDR_R	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown											SPROP:target strack must save at Will DC 22 or be shaken. +2d6 points of sonic damage on successfull critical hits.							
THNDR_A.MOD	REPLACES:ROAR_A																									
THNDR_M.MOD	REPLACES:ROAR_M																									
THNDR_R.MOD	REPLACES:ROAR_R																									
																										
																										
																										
																										
###Block:Intelligent Items																										
																										
###Block:Cursed Quality																										
