SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																																																																					
																																																																								
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	MOVE:	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	RACETYPE:	RACESUBTYPE:	TYPE:	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	SOURCEPAGE:	Innate Spells								
Eladrin (Tulani)	OUTPUTNAME:Eladrin [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,90	FACE:5	REACH:5			KIT:1|CG			BONUS:COMBAT|AC|20|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|12	BONUS:STAT|CON|12	BONUS:STAT|INT|14	BONUS:STAT|WIS|14	BONUS:STAT|CHA|16			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Gather Information|Hide|Intimidate|Knowledge (Arcana)|Knowledge (Local)|Knowledge (Nature)|Knowledge (The Planes)|Listen|Move Silently|TYPE=Perform|Sense Motive|Sleight of Hand|Spellcraft|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Dream Ray,Weapon.Natural.Ranged.Touch.Piercing.Electricity,*1,0		ABILITY:Internal|AUTOMATIC|Race Traits ~ Tulani Eladrin						SR:30	DR:15/Cold Iron or Unholy		MONSTERCLASS:Outsider:18	RACETYPE:Outsider	RACESUBTYPE:Eladrin|Chaotic|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:18,36,54	LEVELADJUSTMENT:10	CR:18	SOURCEPAGE:ExD									
# Guardinal (Equinal)	OUTPUTNAME:Guardinal [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,60	FACE:10	REACH:10			PREALIGN:NG	AUTO:LANG|Celestial|Common		BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10		BONUS:STAT|CON|6	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Balance|Concentration|Diplomacy|Hide|Jump|Knowledge (The Planes)|Knowledge (Religion)|Listen|Sense Motive|Spot|Survival|Tumble									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Whinny	ABILITY:Special Ability|AUTOMATIC|Speak with Animals|Lay on Hands					SR:18	DR:10/Evil or Silver		MONSTERCLASS:Outsider:6	RACETYPE:Outsider	RACESUBTYPE:Guardinal|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:9,18	LEVELADJUSTMENT:7	CR:6	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=16|Aid,12+CHA|Command,11+CHA|Detect Evil|Detect Magic|Dimension Door,14+CHA|Dispel Magic|Fog Cloud|Light|Magic Circle against Evil|Magic Missile|See Invisibility	SPELLS:Innate|TIMES=1|CASTERLEVEL=14|Slow,13+CHA|Wall of Stone,15+CHA							
# Guardinal (Musteval)	OUTPUTNAME:Guardinal [NAME]		STARTFEATS:1	SIZE:T	MOVE:Walk,30,Burrow,10	FACE:2.5	REACH:0			PREALIGN:NG	AUTO:LANG|Celestial		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb,Listen|4|TYPE=Racial				BONUS:STAT|STR|-4	BONUS:STAT|DEX|8	BONUS:STAT|CON|2		BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Balance|Climb|Escape Artist|Hide|Jump|Listen|Move Silently|Sleight of Hand|Survival|Tumble|Use Rope									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d3			ABILITY:Special Ability|AUTOMATIC|Focused Movement								MONSTERCLASS:Outsider:2	RACETYPE:Outsider	RACESUBTYPE:Guardinal|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:3,6	LEVELADJUSTMENT:5	CR:2	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=3|Detect Evil|Detect Magic|Disguise Self|Magic Missile|Protection from Evil|See Invisibility	SPELLS:Innate|TIMES=1|CASTERLEVEL=3|Invisibility,12+CHA							
# Guardinal (Ursinal)	OUTPUTNAME:Guardinal [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:10			PREALIGN:NG	AUTO:LANG|Abyssal|Celestial|Common|Draconic|Infernal		BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8			MONCSKILL:Concentration|Diplomacy|Heal|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Listen|TYPE.Profession|Search|Sense Motive|Spellcraft|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Lay on Hands|Speak with Animals|Uncanny Dodge ~ Base					SR:22	DR:10/Evil or Silver		MONSTERCLASS:Ursinal:12	RACETYPE:Outsider	RACESUBTYPE:Guardinal|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:15,30	LEVELADJUSTMENT:8	CR:10	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Aid|Daylight|Deep Slumber,13+CHA|Detect Evil|Detect Magic|Detect Thoughts,12+CHA|Dimension Door|Dispel Magic|Hold Monster,15+CHA|Magic Circle against Evil|Magic Missile|Polymorph|See Invisibility|Solid Fog	BONUS:VAR|UncannyDodgeLevel|1	BONUS:VAR|UncannyDodgeFlankingLevel|HD|TYPE=EachClass.STACK	SPELLS:Innate|TIMES=3|CASTERLEVEL=12|Heal,16+CHA|Neutralize Poison|Remove Disease	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Holy Word,17+CHA				
# Hollyphant (winged elephant form)			STARTFEATS:1	SIZE:S	MOVE:Walk,30,Fly,60	FACE:5	REACH:5			PREALIGN:NG	AUTO:LANG|Telepathy		BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|6	BONUS:STAT|WIS|8	BONUS:STAT|CHA|7			MONCSKILL:Concentration|Diplomacy|Heal|Hide|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d3		ABILITY:Special Ability|AUTOMATIC|Summon Celestial ~ Hollyphant|Trumpet EXD	ABILITY:Special Ability|AUTOMATIC|Alternate Form|Invulnerability|Telepathy	ABILITY:Special Ability|AUTOMATIC|Immunity To Disease|Immunity To Poison			ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:18	DR:10/Cold Iron or Evil		MONSTERCLASS:Outsider:6	RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Good	TYPE:Outsider						LEVELADJUSTMENT:9	CR:8	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=15|Bless|Light|Teleport (Greater)	BONUS:VAR|PoisonResistanceBonus|4|TYPE=Racial	DEFINE:TelepathyRange|60	SPELLS:Innate|TIMES=3|CASTERLEVEL=15|Cure Moderate Wounds,12+CHA|Protection from Evil	SPELLS:Innate|TIMES=1|CASTERLEVEL=15|Banishment,16+CHA|Flame Strike,15+CHA|Heal,16+CHA|Raise Dead	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=6|Blessed Sight|Detect Chaos|Detect Law|Detect Poison|Detect Thoughts,12+CHA|Invisibility|Know Direction|See Invisibility|Suggestion,13+CHA			BONUS:VAR|Maneuverability|4
# Hollyphant (winged mastodon form)			STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,60	FACE:10	REACH:10			PREALIGN:NG	AUTO:LANG|Telepathy		BONUS:COMBAT|AC|15|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|6	BONUS:STAT|WIS|8	BONUS:STAT|CHA|7			MONCSKILL:Concentration|Diplomacy|Heal|Hide|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8|Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Summon Celestial ~ Hollyphant|Trumpet EXD	ABILITY:Special Ability|AUTOMATIC|Alternate Form|Telepathy	ABILITY:Special Ability|AUTOMATIC|Immunity To Disease|Immunity To Poison			ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:18	DR:10/Cold Iron or Evil		MONSTERCLASS:Outsider:6	RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Good	TYPE:Outsider						LEVELADJUSTMENT:9	CR:8	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=15|Bless|Light|Teleport (Greater)	DEFINE:TrumpetPerDay|3	DEFINE:TelepathyRange|60	SPELLS:Innate|TIMES=3|CASTERLEVEL=15|Cure Moderate Wounds,12+CHA|Protection from Evil	SPELLS:Innate|TIMES=1|CASTERLEVEL=15|Banishment,16+CHA|Flame Strike,15+CHA|Heal,16+CHA|Raise Dead	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=6|Blessed Sight|Detect Chaos|Detect Law|Detect Poison|Detect Thoughts,12+CHA|Invisibility|Know Direction|See Invisibility|Suggestion,13+CHA			BONUS:VAR|Maneuverability|4
# Leskylor			STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,80	FACE:10	REACH:10	VISION:Darkvision (60')			AUTO:LANG|Leskylor|Celestial|Draconic		BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12		BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Hide|Listen|Move Silently|Search|Spot|Swim									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Cold|Improved Grab|Pounce|Rake		ABILITY:Special Ability|AUTOMATIC|Immunity To Cold			ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Magical Beast:6	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:18,36	LEVELADJUSTMENT:6	CR:7	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=1|CASTERLEVEL=6|Blessed Sight|Cause Fear,11+WIS|Cure Moderate Wounds,12+WIS|Eyes of the Avoral|Hold Person,12+WIS|Obscuring Mist|Vision of Heaven	DEFINE:BreathWeaponCone|30	DEFINE:BreathWeaponDice|3	DEFINE:BreathWeaponDamageDie|6					BONUS:VAR|Maneuverability|3
# Leskylor (three headed)	OUTPUTNAME:Leskylor, Three-headed		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,80	FACE:10	REACH:10	VISION:Darkvision (60')			AUTO:LANG|Leskylor|Celestial|Draconic		BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12		BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Hide|Listen|Move Silently|Search|Spot|Swim									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Cold|Improved Grab|Pounce|Rake		ABILITY:Special Ability|AUTOMATIC|Immunity To Cold			ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Magical Beast:6	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Multiheaded (base)|Multiheaded (add head)				HITDICEADVANCEMENT:18,36	LEVELADJUSTMENT:6	CR:7	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=1|CASTERLEVEL=6|Blessed Sight|Cause Fear,11+WIS|Cure Moderate Wounds,12+WIS|Eyes of the Avoral|Hold Person,12+WIS|Obscuring Mist|Vision of Heaven	DEFINE:BreathWeaponCone|30	DEFINE:BreathWeaponDice|3	DEFINE:BreathWeaponDamageDie|6					BONUS:VAR|Maneuverability|3
# Moon Dog			STARTFEATS:1	SIZE:M	MOVE:Walk,50	FACE:5	REACH:5			PREALIGN:NG	AUTO:LANG|Celestial|Common|Infernal|Telepathy		BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Move Silently|4|TYPE=Racial				BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Balance|Concentration|Diplomacy|Hide|Intimidate|Jump|Knowledge (The Planes)|Listen|Move Silently|Sense Motive|Spot|Survival									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Bark|Bay EXD|Howl|Soothing Ministration|Whine	ABILITY:Special Ability|AUTOMATIC|Improved Evasion|Keen Senses|Luck|Scent|Shadow Pattern|Speak with Canine|Telepathy	ABILITY:Special Ability|AUTOMATIC|Arcane Sight (Sp always active)|Blessed Sight (Sp always active)|Detect Snares and Pits (Sp always active)|See Invisibility				SR:23	DR:10/Cold Iron or Evil		MONSTERCLASS:Outsider:9	RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:13,27	LEVELADJUSTMENT:8	CR:12	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Astral Projection|Dancing Lights|Darkness|Ethereal Jaunt|Fog Cloud|Invisibility (Greater),14+CHA|Light|Nondetection,13+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=12|Disguise Self|Mirror Image	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Shadow Conjuration (Greater),17+CHA	BONUS:VAR|ImprovedEvasionUsable|1	DEFINE:LuckBonus|2	BONUS:VAR|TelepathyRange|50			
# Quesar			STARTFEATS:1	SIZE:M	MOVE:Walk,60	FACE:5	REACH:5			PREALIGN:NG	AUTO:LANG|Celestial		BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|6		BONUS:STAT|INT|-2					MONCSKILL:Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Blinding Radiance|Consuming Radiance|Searing Burst	ABILITY:Special Ability|AUTOMATIC|Energy Halo|Fast Healing	ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity|Immunity To Fire				SR:18	DR:10/Adamantine		MONSTERCLASS:Construct:8	RACETYPE:Construct		TYPE:Construct					HITDICEADVANCEMENT:24	LEVELADJUSTMENT:9	CR:7	SOURCEPAGE:EXD		DEFINE:ConsumingRadiancePerDay|3	DEFINE:FastHealing|5						
