SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10										
CLASS:Apostole of Peace	HD:4	TYPE:PC.Prestige	FACT:Abb|AoP	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:ApostoleOfPeaceLVL|0	BONUS:VAR|ApostoleOfPeaceLVL|CL
CLASS:Apostole of Peace	PREALIGN:LG,NG,CG	PRECHECKBASE:1,Will=5	PRESKILL:1,Concentration=10	PRESKILL:1,Diplomacy=6	PREABILITY:4,CATEGORY=FEAT,Sacred Vow,Vow of Nonviolence,Vow of Peace,Vow of Poverty								
CLASS:Apostole of Peace	STARTSKILLPTS:4	CSKILL:Bluff|Concentration|TYPE=Craft|Diplomacy|Escape Artist|Gather Information|Handle Animal|Heal|TYPE=Knowledge|Listen|TYPE.Perform|TYPE=Profession|Search|Sense Motive|Speak Language|Spellcraft|Spot											
CLASS:Apostole of Peace	SPELLSTAT:WIS	FACT:SpellType|Divine	SPELLBOOK:NO	KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4|LEVEL=5|LEVEL=6|LEVEL=7|LEVEL=8|LEVEL=9	BONUS:CASTERLEVEL|Apostole of Peace|((max(CASTERLEVEL.TOTAL,0))/2)								
1				ABILITY:Apostole of Peace Class Feature|AUTOMATIC|Apostole of Peace ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ApostoleOfPeaceProficiencies									
1				ABILITY:Apostole of Peace Class Feature|AUTOMATIC|Apostole of Peace ~ Spellcasting									
#													
1				ABILITY:Apostole of Peace Class Feature|AUTOMATIC|Apostole of Peace ~ Spontaneous Casting|!PREABILITY:1,CATEGORY=ACF,TYPE.ApostoleOfPeaceSpontaneousCasting									
1				ABILITY:Apostole of Peace Class Feature|AUTOMATIC|Apostole of Peace ~ Turn Undead|!PREABILITY:1,CATEGORY=ACF,TYPE.ApostoleOfPeaceTurnUndead									
2				ABILITY:Apostole of Peace Class Feature|AUTOMATIC|Apostole of Peace ~ Pacifying Touch|!PREABILITY:1,CATEGORY=ACF,TYPE.ApostoleOfPeacePacifyingTouch									
4				ABILITY:Apostole of Peace Class Feature|AUTOMATIC|Apostole of Peace ~ Censure Fiends|!PREABILITY:1,CATEGORY=ACF,TYPE.ApostoleOfPeaceCensureFiends									
#													
1	CAST:4,2												
2	CAST:5,3,0												
3	CAST:5,3,1,0												
4	CAST:6,3,2,1,0												
5	CAST:6,3,3,2,1,0												
6	CAST:6,3,3,3,2,1,0												
7	CAST:6,4,3,3,3,2,1,0												
8	CAST:6,4,4,3,3,3,2,1,0												
9	CAST:6,5,4,4,4,4,3,2,1,0												
10	CAST:6,5,5,4,4,4,4,3,2,1												
													
CLASS:Beloved of Valarian	HD:10	TYPE:PC.Prestige	FACT:Abb|Bva	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:BelovedOfValarianLVL|0	BONUS:VAR|BelovedOfValarianLVL|CL
CLASS:Beloved of Valarian	PREGENDER:Female	PREALIGN:LG,NG,CG	PREATT:7	PRESKILL:1,Knowledge (Nature)=5	PRESKILL:1,Ride=10	PREABILITY:3,CATEGORY=FEAT,Mounted Combat,Sacred Vow,Vow of Chastity	PRETEXT:Must meditate at a druid's grove and fast until she saves the life of an animal in danger.						
CLASS:Beloved of Valarian	STARTSKILLPTS:2	CSKILL:Concentration|Diplomacy|Handle Animal|Heal|Knowledge (Nature)|Ride|Sense Motive|Survival											
CLASS:Beloved of Valarian	SPELLSTAT:WIS	FACT:SpellType|Divine	SPELLBOOK:NO	KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4	BONUS:CASTERLEVEL|Beloved Of Valarian|CL								
1				ABILITY:Beloved of Valarian Class Feature|AUTOMATIC|Beloved of Valarian ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.BelovedOfValarianProficiencies									
1				ABILITY:Beloved of Valarian Class Feature|AUTOMATIC|Beloved of Valarian ~ Spells									
#													
1				ABILITY:Beloved of Valarian Class Feature|AUTOMATIC|Beloved of Valarian ~ Call Unicorn|!PREABILITY:1,CATEGORY=ACF,TYPE.BelovedOfValarianCallUnicorn									
1				ABILITY:Beloved of Valarian Class Feature|AUTOMATIC|Beloved of Valarian ~ Telepathic Bond|!PREABILITY:1,CATEGORY=ACF,TYPE.BelovedOfValarianTelepathicBond									
1				ABILITY:Beloved of Valarian Class Feature|AUTOMATIC|Beloved of Valarian ~ Timelessness|!PREABILITY:1,CATEGORY=ACF,TYPE.BelovedOfValarianTimelessness									
2				ABILITY:Beloved of Valarian Class Feature|AUTOMATIC|Beloved of Valarian ~ Ethereal Jaunt|!PREABILITY:1,CATEGORY=ACF,TYPE.BelovedOfValarianEtherealJaunt									
3				ABILITY:Beloved of Valarian Class Feature|AUTOMATIC|Beloved of Valarian ~ Forest Dweller|!PREABILITY:1,CATEGORY=ACF,TYPE.BelovedOfValarianForestDweller									
4				ABILITY:Beloved of Valarian Class Feature|AUTOMATIC|Beloved of Valarian ~ Uncanny Dodge|!PREABILITY:1,CATEGORY=ACF,TYPE.BelovedOfValarianUncannyDodge									
6				ABILITY:Beloved of Valarian Class Feature|AUTOMATIC|Beloved of Valarian ~ Call Celestial Charger|!PREABILITY:1,CATEGORY=ACF,TYPE.BelovedOfValarianCallCelestialCharger									
7				ABILITY:Beloved of Valarian Class Feature|AUTOMATIC|Beloved of Valarian ~ Nature's Understanding|!PREABILITY:1,CATEGORY=ACF,TYPE.BelovedOfValarianNatureSUnderstanding									
8				ABILITY:Beloved of Valarian Class Feature|AUTOMATIC|Beloved of Valarian ~ Holy Smite|!PREABILITY:1,CATEGORY=ACF,TYPE.BelovedOfValarianHolySmite									
9				ABILITY:Beloved of Valarian Class Feature|AUTOMATIC|Beloved of Valarian ~ Wood Repulsion|!PREABILITY:1,CATEGORY=ACF,TYPE.BelovedOfValarianWoodRepulsion									
10				ABILITY:Beloved of Valarian Class Feature|AUTOMATIC|Beloved of Valarian ~ Mass Baleful Polymorph|!PREABILITY:1,CATEGORY=ACF,TYPE.BelovedOfValarianMassBalefulPolymorph									
#													
1	CAST:0,0												
2	CAST:0,1												
3	CAST:0,1,0												
4	CAST:0,1,1												
5	CAST:0,1,1,0												
6	CAST:0,1,1,1												
7	CAST:0,2,1,1,0												
8	CAST:0,2,1,1,1												
9	CAST:0,2,2,1,1												
10	CAST:0,2,2,2,1												
													
CLASS:Celestial Mystic	HD:4	TYPE:PC.Prestige	FACT:Abb|Cmy	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:CelestialMysticLVL|0	BONUS:VAR|CelestialMysticLVL|CL
CLASS:Celestial Mystic	PREALIGN:LG	PRESKILL:2,Knowledge (Arcana)=4,Knowledge (The Planes)=4	PRESKILL:2,Knowledge (Religion)=6,Spellcraft=6	PREABILITY:3,CATEGORY=FEAT,Servant of the Heavens,Sacred Vow,Vow of Abstinence	PRESPELLTYPE:1,ANY=4								
CLASS:Celestial Mystic	STARTSKILLPTS:4	CSKILL:Concentration|TYPE=Craft|Diplomacy|Heal|Knowledge (Arcana)|Knowledge (The Planes)|Knowledge (Religion)|Spellcraft											
1				ABILITY:Celestial Mystic Class Feature|AUTOMATIC|Celestial Mystic ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.CelestialMysticProficiencies									
#													
1				ABILITY:Celestial Mystic Class Feature|AUTOMATIC|Celestial Mystic ~ Blessing of the Silver Heaven|!PREABILITY:1,CATEGORY=ACF,TYPE.CelestialMysticBlessingOfTheSilverHeaven									
2				ABILITY:Celestial Mystic Class Feature|AUTOMATIC|Celestial Mystic ~ Celestial Spells|!PREABILITY:1,CATEGORY=ACF,TYPE.CelestialMysticCelestialSpells									
3				ABILITY:Celestial Mystic Class Feature|AUTOMATIC|Celestial Mystic ~ Blessing of the Golden Heaven|!PREABILITY:1,CATEGORY=ACF,TYPE.CelestialMysticBlessingOfTheGoldenHeaven									
5				ABILITY:Celestial Mystic Class Feature|AUTOMATIC|Celestial Mystic ~ Blessing of the Pearly Heaven|!PREABILITY:1,CATEGORY=ACF,TYPE.CelestialMysticBlessingOfThePearlyHeaven									
7				ABILITY:Celestial Mystic Class Feature|AUTOMATIC|Celestial Mystic ~ Blessing of the Crystal Heaven|!PREABILITY:1,CATEGORY=ACF,TYPE.CelestialMysticBlessingOfTheCrystalHeaven									
8				ABILITY:Celestial Mystic Class Feature|AUTOMATIC|Celestial Mystic ~ Blessing of the Platinum Heaven|!PREABILITY:1,CATEGORY=ACF,TYPE.CelestialMysticBlessingOfThePlatinumHeaven									
9				ABILITY:Celestial Mystic Class Feature|AUTOMATIC|Celestial Mystic ~ Blessing of the Glittering Heaven|!PREABILITY:1,CATEGORY=ACF,TYPE.CelestialMysticBlessingOfTheGlitteringHeaven									
10				ABILITY:Celestial Mystic Class Feature|AUTOMATIC|Celestial Mystic ~ Blessing of the Illuminated Heaven|!PREABILITY:1,CATEGORY=ACF,TYPE.CelestialMysticBlessingOfTheIlluminatedHeaven									
#													
2	ADD:SPELLCASTER|ANY												
3	ADD:SPELLCASTER|ANY												
4	ADD:SPELLCASTER|ANY												
5	ADD:SPELLCASTER|ANY												
6	ADD:SPELLCASTER|ANY												
7	ADD:SPELLCASTER|ANY												
8	ADD:SPELLCASTER|ANY												
9	ADD:SPELLCASTER|ANY												
10	ADD:SPELLCASTER|ANY												
													
CLASS:Champion of Gwynharwyf	HD:12	TYPE:PC.Prestige	FACT:Abb|CoG	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:ChampionOfGwynharwyfLVL|0	BONUS:VAR|ChampionOfGwynharwyfLVL|CL
CLASS:Champion of Gwynharwyf	PREALIGN:CG	PREATT:6	PRESKILL:1,Intimidate=9	PREABILITY:2,CATEGORY=FEAT,Knight of Stars,Righteous Wrath									
CLASS:Champion of Gwynharwyf	STARTSKILLPTS:4	CSKILL:Climb|TYPE=Craft|Handle Animal|Intimidate|Jump|Listen|Ride|Survival|Swim											
CLASS:Champion of Gwynharwyf	SPELLSTAT:WIS	FACT:SpellType|Divine	SPELLBOOK:NO	KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4	BONUS:CASTERLEVEL|Champion of Gwynharwyf|CL								
1				ABILITY:Champion of Gwynharwyf Class Feature|AUTOMATIC|Champion Of Gwynharwyf ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ChampionOfGwynharwyfProficiencies									
1				ABILITY:Champion of Gwynharwyf Class Feature|AUTOMATIC|Champion Of Gwynharwyf ~ Spells									
#													
1				ABILITY:Champion of Gwynharwyf Class Feature|AUTOMATIC|Champion of Gwynharwyf ~ Detect Evil|!PREABILITY:1,CATEGORY=ACF,TYPE.ChampionOfGwynharwyfDetectEvil									
1				ABILITY:Champion of Gwynharwyf Class Feature|AUTOMATIC|Champion Of Gwynharwyf ~ Rage|!PREABILITY:1,CATEGORY=ACF,TYPE.ChampionOfGwynharwyfRage									
1				ABILITY:Champion of Gwynharwyf Class Feature|AUTOMATIC|Champion Of Gwynharwyf ~ Smite Evil|!PREABILITY:1,CATEGORY=ACF,TYPE.ChampionOfGwynharwyfSmiteEvil									
2				ABILITY:Champion of Gwynharwyf Class Feature|AUTOMATIC|Champion Of Gwynharwyf ~ Divine Grace|!PREABILITY:1,CATEGORY=ACF,TYPE.ChampionOfGwynharwyfDivineGrace									
2				ABILITY:Champion of Gwynharwyf Class Feature|AUTOMATIC|Champion Of Gwynharwyf ~ Furious Casting|!PREABILITY:1,CATEGORY=ACF,TYPE.ChampionOfGwynharwyfFuriousCasting									
3				ABILITY:Champion of Gwynharwyf Class Feature|AUTOMATIC|Champion Of Gwynharwyf ~ Resist Enchantment|!PREABILITY:1,CATEGORY=ACF,TYPE.ChampionOfGwynharwyfResistEnchantment									
4				ABILITY:Champion of Gwynharwyf Class Feature|AUTOMATIC|Champion Of Gwynharwyf ~ Fearsome Fury|!PREABILITY:1,CATEGORY=ACF,TYPE.ChampionOfGwynharwyfFearsomeFury									
5				ABILITY:Champion of Gwynharwyf Class Feature|AUTOMATIC|Champion Of Gwynharwyf ~ Energy Resistance|!PREABILITY:1,CATEGORY=ACF,TYPE.ChampionOfGwynharwyfEnergyResistance									
7				ABILITY:Champion of Gwynharwyf Class Feature|AUTOMATIC|Champion Of Gwynharwyf ~ Immune to Charm and Compulsion|!PREABILITY:1,CATEGORY=ACF,TYPE.ChampionOfGwynharwyfImmuneToCharmAndCompulsion									
#													
1	CAST:0,0												
2	CAST:0,1												
3	CAST:0,1,0												
4	CAST:0,1,1												
5	CAST:0,1,1,0												
6	CAST:0,1,1,1												
7	CAST:0,2,1,1,0												
8	CAST:0,2,1,1,1												
9	CAST:0,2,2,1,1												
10	CAST:0,2,2,2,1												
													
CLASS:Defender of Sealtiel	HD:12	TYPE:PC.Prestige	FACT:Abb|DoS	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:DefenderOfSealtielLVL|0	BONUS:VAR|DefenderOfSealtielLVL|CL
CLASS:Defender of Sealtiel	PREALIGN:LG	PREATT:7	PRESKILL:1,Listen=5	PREABILITY:3,CATEGORY=FEAT,Diehard,Endurance,Servant of the Heavens									
CLASS:Defender of Sealtiel	STARTSKILLPTS:2	CSKILL:TYPE=Craft|Listen|Sense Motive|Spot											
1				ABILITY:Defender of Sealtiel Class Feature|AUTOMATIC|Defender of Sealtiel ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.DefenderOfSealtielProficiencies									
#													
1				ABILITY:Defender of Sealtiel Class Feature|AUTOMATIC|Defender of Sealtiel ~ Defensive Stance|!PREABILITY:1,CATEGORY=ACF,TYPE.DefenderOfSealtielDefenciveStance									
1				ABILITY:Defender of Sealtiel Class Feature|AUTOMATIC|Defender of Sealtiel ~ Shield of Faith|PREABILITY:1,CATEGORY=ACF,TYPE.DefenderOfSealtielShieldOfFaith									
2				ABILITY:Defender of Sealtiel Class Feature|AUTOMATIC|Defender of Sealtiel ~ Magic Circle|PREABILITY:1,CATEGORY=ACF,TYPE.DefenderOfSealtielMagicCircle									
2				ABILITY:Defender of Sealtiel Class Feature|AUTOMATIC|Defender of Sealtiel ~ Shield Other|PREABILITY:1,CATEGORY=ACF,TYPE.DefenderOfSealtielShieldOther									
4				ABILITY:Defender of Sealtiel Class Feature|AUTOMATIC|Defender of Sealtiel ~ Blood of the Martyr|PREABILITY:1,CATEGORY=ACF,TYPE.DefenderOfSealtielShieldOther									
6				ABILITY:Defender of Sealtiel Class Feature|AUTOMATIC|Defender of Sealtiel ~ Protective Aura|PREABILITY:1,CATEGORY=ACF,TYPE.DefenderOfSealtielProtectiveAura									
8				ABILITY:Defender of Sealtiel Class Feature|AUTOMATIC|Defender of Sealtiel ~ Glory of the Martyr|PREABILITY:1,CATEGORY=ACF,TYPE.DefenderOfSealtielGloryOfTheMartyr									
													
CLASS:Emissary of Barachiel	HD:6	TYPE:PC.Prestige	FACT:Abb|EoB	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:EmissaryOfBarachielLVL|0	BONUS:VAR|EmissaryOfBarachielLVL|CL
CLASS:Emissary of Barachiel	PREALIGN:LG	PRESKILL:1,Diplomacy=8	PRESKILL:1,Knowledge (The Planes)=4	PREABILITY:2,CATEGORY=FEAT,Servant of the Heavens,Words of Creation									
CLASS:Emissary of Barachiel	STARTSKILLPTS:4	CSKILL:Concentration|TYPE=Craft|Decipher Script|Diplomacy|Gather Information|TYPE=Knowledge|Listen|TYPE.Perform|TYPE=Profession|Sense Motive|Speak Language|Spellcraft|Use Magic Device											
CLASS:Emissary of Barachiel	SPELLSTAT:CHA	FACT:SpellType|Divine	MEMORIZE:NO		BONUS:CASTERLEVEL|Emissary of Barachiel|CL								
1				ABILITY:Emissary of Barachiel Class Feature|AUTOMATIC|Emissary of Barachiel ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.EmissaryOfBarachielProficiencies									
1				ABILITY:Emissary of Barachiel Class Feature|AUTOMATIC|Emissary of Barachiel ~ Spells									
#													
1				ABILITY:Emissary of Barachiel Class Feature|AUTOMATIC|Emissary of Barachiel ~ Calling|!PREABILITY:1,CATEGORY=ACF,TYPE.EmissaryOfBarachielCalling									
3				ABILITY:Emissary of Barachiel Class Feature|AUTOMATIC|Emissary of Barachiel ~ Convert|!PREABILITY:1,CATEGORY=ACF,TYPE.EmissaryOfBarachielConvert									
5				ABILITY:Emissary of Barachiel Class Feature|AUTOMATIC|Emissary of Barachiel ~ Sustenance|!PREABILITY:1,CATEGORY=ACF,TYPE.EmissaryOfBarachielSustenance									
#													
1	CAST:0,0	KNOWN:0,2											
2	CAST:0,1	KNOWN:0,3											
3	CAST:0,2,0	KNOWN:0,3,2											
4	CAST:0,3,1	KNOWN:0,4,3											
5	CAST:0,3,2,0	KNOWN:0,4,3,2											
6	CAST:0,3,3,1	KNOWN:0,4,4,3											
7	CAST:0,3,3,2,0	KNOWN:0,4,4,3,2											
8	CAST:0,3,3,3,1	KNOWN:0,4,4,4,3											
9	CAST:0,3,3,3,2	KNOWN:0,4,4,4,3											
10	CAST:0,3,3,3,3	KNOWN:0,4,4,4,4											
													
CLASS:Exalted Arcanist	HD:4	TYPE:PC.Prestige	FACT:Abb|ExA	MAXLEVEL:5	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:ExaltedArcanistLVL|0	BONUS:VAR|ExaltedArcanistLVL|CL
CLASS:Exalted Arcanist	PREALIGN:LG,NG,CG	PRECHECKBASE:1,Will=5	PRESKILL:1,Knowledge (Arcana)=9	PRESKILL:1,Knowledge (Religion)=4	PREABILITY:1,CATEGORY=FEAT,Consecrate Spell,Purify Spell	PRESPELLCAST:MEMORIZE=N	PRESPELLTYPE:1,Arcane=3						
CLASS:Exalted Arcanist	STARTSKILLPTS:4	CSKILL:Concentration|TYPE=Craft|Decipher Script|Diplomacy|Knowledge (Arcana)|Knowledge (Religion)|TYPE.Perform|TYPE=Profession|Sense Motive|Spellcraft|Use Magic Device											
1				ABILITY:Exalted Arcanist Class Feature|AUTOMATIC|Exalted Arcanist ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ExaltedArcanistProficiencies									
2				ABILITY:Exalted Arcanist Class Feature|AUTOMATIC|Exalted Arcanist ~ Spells									
#													
1				ABILITY:Exalted Arcanist Class Feature|AUTOMATIC|Exalted Arcanist ~ Exalted Spell List|!PREABILITY:1,CATEGORY=ACF,TYPE.ExaltedArcanistExaltedSpellList									
1				ABILITY:Exalted Arcanist Class Feature|AUTOMATIC|Exalted Arcanist ~ Spell Knowledge|!PREABILITY:1,CATEGORY=ACF,TYPE.ExaltedArcanistSpellKnowledge									
2				ABILITY:Exalted Arcanist Class Feature|AUTOMATIC|Exalted Arcanist ~ Faster Consecrate|!PREABILITY:1,CATEGORY=ACF,TYPE.ExaltedArcanistFasterConsecrate									
3				ABILITY:Exalted Arcanist Class Feature|AUTOMATIC|Exalted Arcanist ~ Bonus Exalted Feat|!PREABILITY:1,CATEGORY=ACF,TYPE.ExaltedArcanistBonusExaltedFeat									
4				ABILITY:Exalted Arcanist Class Feature|AUTOMATIC|Exalted Arcanist ~ Faster Purify|!PREABILITY:1,CATEGORY=ACF,TYPE.ExaltedArcanistFasterPurify									
5				ABILITY:Exalted Arcanist Class Feature|AUTOMATIC|Exalted Arcanist ~ Sanctified Spells|!PREABILITY:1,CATEGORY=ACF,TYPE.ExaltedArcanistSanctifiedSpells									
#													
2	ADD:SPELLCASTER|Arcane												
3	ADD:SPELLCASTER|Arcane												
4	ADD:SPELLCASTER|Arcane												
5	ADD:SPELLCASTER|Arcane												
													
CLASS:Fist of Raziel	HD:10	TYPE:PC.Prestige	FACT:Abb|FiR	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:FistOfRazielLVL|0	BONUS:VAR|FistOfRazielLVL|CL
CLASS:Fist of Raziel	PREALIGN:LG	PREATT:6	PRESKILL:2,Diplomacy=5,Knowledge (Religion)=5	PREABILITY:2,CATEGORY=FEAT,Power Attack,Servant of the Heavens	PRESPELL:1,Divine Favor								
CLASS:Fist of Raziel	STARTSKILLPTS:2	CSKILL:Concentration|TYPE=Craft|Diplomacy|Heal|Knowledge (The Planes)|Knowledge (Religion)|TYPE=Profession|Sense Motive											
1				ABILITY:Fist of Raziel Class Feature|AUTOMATIC|Fist of Raziel ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.FistOfRazielProficiencies									
2				ABILITY:Fist of Raziel Class Feature|AUTOMATIC|Fist of Raziel ~ Spells per Day									
#													
1				ABILITY:Fist of Raziel Class Feature|AUTOMATIC|Fist of Raziel ~ Smite Evil|!PREABILITY:1,CATEGORY=ACF,TYPE.FistOfRazielSmiteEvil									
4				ABILITY:Fist of Raziel Class Feature|AUTOMATIC|Fist of Raziel ~ Sanctify Martial Strike|!PREABILITY:1,CATEGORY=ACF,TYPE.FistOfRazielSanctifyMartialStrike									
