SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																														
																																	
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Censure Fiends	CATEGORY:Special Ability	TYPE:ClassFeatures.ApostoleOfPeaceClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A 4rd-level apostle of peace can censure fiends, much as good clerics turn undead. Channeling holy power from the celestial planes, he can make demons, devils, and other outsiders with the evil subtype recoil. Make a Charisma check for the apostle and consult Table 8-9 in the Player's Handbook, using the apostle's character level to determine the most powerful fiend he can censure. Roll 2d6 + the apostle of peace's level + his Charisma modifier for censuring damage. Using both the apostle's character level and his class level in this manner means that he is more likely to affect a single powerful fiend, but unlikely to censure more than one of them. A censured fiend is stunned by the apostle's holy power for 1d4+1 rounds. If an apostle of peace attacks a censured fiend, the stunning ends immediately and the fiend can act normally on its next turn. If the apostle of peace's character level is at least twice the fiend's Hit Dice, he banishes the affected fiend back to its home plane. An apostle of peace can make a number of censuring attempts per day equal to 3 + his Charisma modifier. These attempts are separate from any attempts to turn undead.	KEY:Apostole of Peace ~ Censure Fiends									BONUS:VAR|CensureLevelBase,CensureDamagePlusBase|ApostoleOfPeaceLVL|TYPE=Level.REPLACE									ABILITY:Special Ability|AUTOMATIC|Basic Censure|Censure Fiends								SORTKEY:Class_Apostole_Of_Peace	SOURCEPAGE:ExD	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.BelovedOfValarianClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A beloved of Valarian is proficient with all simple and martial weapons, light armor, and small shields.	KEY:Beloved of Valarian ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProfLight						SORTKEY:Class_Beloved_Of_Valarian	SOURCEPAGE:ExD	
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.BelovedOfValarianClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A beloved of Valarian has the ability to cast a small number of divine spells. To cast a beloved of Valarian spell, the beloved must have a Wisdom score of at least 10 + the spell's level, so a beloved of Valarian with a Wisdom of 10 or lower cannot cast these spells. Beloved of Valarian bonus spells are based on Wisdom, and saving throws against these spells have a DC of 10 + spell level + the beloved's Wisdom modifier. When the beloved of Valarian gets 0 spells of a given spell level (for instance, 1st-level spells for a 1st level beloved of Valarian), she gets only the bonus spells she would be entitled to based on her Wisdom score for that spell level. The beloved of Valarian's spell list appears below. A beloved of Valarian prepares and casts spells just as a cleric does (though a beloved cannot spontaneously cast cure spells).	KEY:Beloved of Valarian ~ Spells																										SORTKEY:Class_Beloved_Of_Valarian	SOURCEPAGE:ExD	
Call Unicorn	CATEGORY:Special Ability	TYPE:ClassFeatures.BelovedOfValarianClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A beloved of Valarian can call a unicorn to her side. See the Monster Manual for the unicorn's statistics. The unicorn appears instantly and serves the character for life, provided she remains chaste and of good alignment. The unicorn may be dismissed at any time, although a character cannot call another until she gains a level in the beloved of Valarian class. If the unicorn should die before its rider, the character may call another unicorn companion when she gains a new level in this class.	KEY:Beloved of Valarian ~ Call Unicorn									BONUS:VAR|UnicornMountLVL|BelovedOfValarianLVL									ABILITY:Internal|AUTOMATIC|Call Unicorn (Base)								SORTKEY:Class_Beloved_Of_Valarian	SOURCEPAGE:ExD	
Telepathic Bond	CATEGORY:Special Ability	TYPE:ClassFeatures.BelovedOfValarianClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A beloved of Valarian can communicate telepathically with her unicorn companion. This bond remains in effect unless the character is separated from her unicorn by a number of miles equal to 100 + the beloved's character level.	KEY:Beloved of Valarian ~ Telepathic Bond	DESC: At 6th level, a Valarian's beloved can communicate telepathically with any animal native to her unicorn companion's home Forest.|PREVARGTEQ:BelovedOfValarianLVL,6																									SORTKEY:Class_Beloved_Of_Valarian	SOURCEPAGE:ExD	
Timelessness	CATEGORY:Special Ability	TYPE:ClassFeatures.BelovedOfValarianClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Unicorns age very slowly, living for thousands of years. As long as she remains faithful to Valarian and has a unicorn companion serving her, a beloved of Valarian ages just as slowly, the aging process essentially halted.	KEY:Beloved of Valarian ~ Timelessness																										SORTKEY:Class_Beloved_Of_Valarian	SOURCEPAGE:ExD	
Ethereal Jaunt	CATEGORY:Special Ability	TYPE:ClassFeatures.BelovedOfValarianClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 2nd level, once per day, a beloved of Valarian and her equipment may become ethereal, as the Ethereal Jaunt spell cast by a sorcerer of the beloved's character level. If the beloved of Valarian is astride her unicorn companion, it is also affected by this ability. However, if the beloved of Valarian dismounts or the two otherwise become separated before the Ethereal Jaunt expires, the unicorn companion instantly returns to the Material Plane.	KEY:Beloved of Valarian ~ Ethereal Jaunt				DEFINE:EtherealJauntTimes|0	DEFINE:EtherealJauntLVL|0				BONUS:VAR|EtherealJauntTimes|1	BONUS:VAR|EtherealJauntLVL|BelovedOfValarianLVL								SPELLS:Class|TIMES=EtherealJauntTimes|CASTERLEVEL=EtherealJauntLVL|Ethereal Jaunt,17+CHA								SORTKEY:Class_Beloved_Of_Valarian	SOURCEPAGE:ExD	
Forest Dweller	CATEGORY:Special Ability	TYPE:ClassFeatures.BelovedOfValarianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Time spent in the forest alters a beloved of Valarian's physiology at 3rd level. She gains a +2 racial bonus on Listen, Move Silently, Spot, and Survival checks.	KEY:Beloved of Valarian ~ Forest Dweller									BONUS:SKILL|Listen,Move Silently,Spot,Survival|2|TYPE=Racial																	SORTKEY:Class_Beloved_Of_Valarian	SOURCEPAGE:ExD	
Uncanny Dodge	CATEGORY:Special Ability	TYPE:ClassFeatures.BelovedOfValarianClassFeatures.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:Starting at 4th level, a beloved of Valarian can react to danger before her senses would normally allow her to do so. She retains her Dexterity bonus to AC even when caught flat-footed. If the beloved of Valarian already has uncanny dodge from a different class (rogue, for example), she gains improved uncanny dodge instead; she cannot be flanked except by a  rogue who has at least four more rogue levels than she has in this prestige class. As long as the beloved of Valarian is riding her unicorn companion, it gains the benefit of this ability as well.	KEY:Beloved of Valarian ~ Uncanny Dodge									BONUS:VAR|UncannyDodgeFlankingLevel|BelovedOfValarianLVL|TYPE=EachClass.REPLACE																	SORTKEY:Class_Beloved_Of_Valarian	SOURCEPAGE:ExD	
Call Celestial Charger	CATEGORY:Special Ability	TYPE:ClassFeatures.BelovedOfValarianClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 6th level, a beloved of Valarian can call a celestial unicorn-also known as a celestial charger- to her side. See the Unicorn entry in the Monster Manual for the celestial charger's statistics. If the beloved of Valarian already has a unicorn companion, Valarian transforms it into a celestial charger instead of sending his beloved a new companion.	KEY:Beloved of Valarian ~ Call Celestial Charger																										SORTKEY:Class_Beloved_Of_Valarian	SOURCEPAGE:ExD	
Nature's Understanding	CATEGORY:Special Ability	TYPE:ClassFeatures.BelovedOfValarianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 7th level, a beloved of Valarian gains a +2 insight bonus on Handle Animal, Knowledge (nature), and Survival checks.	KEY:Beloved of Valarian ~ Nature's Understanding									BONUS:SKILL|Handle Animal,Knowledge (Nature),Survival|2|TYPE=Insight																	SORTKEY:Class_Beloved_Of_Valarian	SOURCEPAGE:ExD	
Holy Smite	CATEGORY:Special Ability	TYPE:ClassFeatures.BelovedOfValarianClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Starting at 8th level, once per day, a beloved of Valarian can cast holy smite as a cleric of her class level. She may choose to deal nonlethal damage instead of lethal damage with the holy smite.	KEY:Beloved of Valarian ~ Holy Smite				DEFINE:HolySmiteTimes|0	DEFINE:HolySmiteLVL|0				BONUS:VAR|GHolySmiteTimes|1	BONUS:VAR|HolySmiteLVL|BelovedOfValarianLVL								SPELLS:Class|TIMES=HolySmiteTimes|CASTERLEVEL=HolySmiteLVL|Holy Smite,14+WIS								SORTKEY:Class_Beloved_Of_Valarian	SOURCEPAGE:ExD	
Wood Repulsion	CATEGORY:Special Ability	TYPE:ClassFeatures.BelovedOfValarianClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Weapons partially or wholly fashioned from wood have a harder time striking a beloved of Valarian, as though deflected by some invisible barrier. Attacks made with such weapons take a -2 penalty. As long as the beloved of Valarian is riding her unicorn companion, it gains the benefit of this ability as well.	KEY:Beloved of Valarian ~ Wood Repulsion																										SORTKEY:Class_Beloved_Of_Valarian	SOURCEPAGE:ExD	
Mass Baleful Polymorph	CATEGORY:Special Ability	TYPE:ClassFeatures.BelovedOfValarianClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 10th level, once per day, a beloved of Valarian can cast a special version of the baleful polymorph spell that affects all evil creatures within 30 feet of her (as a 10th-level druid). Affected creatures are transformed into harmless Diminutive mammals (rabbits, squirrels, or the like) or Fine vermin (nonthreatening spiders, centipedes, or the like). All affected creatures are transformed into the same type of creature. See the baleful polymorph spell description in the Player's Handbook for details.	KEY:Beloved of Valarian ~ Mass Baleful Polymorph				DEFINE:MassBalefulPolymorphTimes|0	DEFINE:MassBalefulPolymorphLVL|0				BONUS:VAR|MassBalefulPolymorphTimes|1	BONUS:VAR|MassBalefulPolymorphLVL|BelovedOfValarianLVL								SPELLS:Class|TIMES=MassBalefulPolymorphTimes|CASTERLEVEL=MassBalefulPolymorphLVL|Baleful Polymorph ~ Evil Mass,11+WIS								SORTKEY:Class_Beloved_Of_Valarian	SOURCEPAGE:ExD	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.CelestialMysticClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Celestial mystics gain no proficiency with any weapon or armor.	KEY:Celestial Mystic ~ Weapon and Armor Proficiency																										SORTKEY:Class_Celestial_Mystic	SOURCEPAGE:ExD	
Blessing of the Silver Heaven	CATEGORY:Special Ability	TYPE:ClassFeatures.CelestialMysticClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A 1st-level celestial mystic gains electricity resistance 10 and a +2 sacred bonus on saving throws against disease, poison, and petrification. In addition, a magic circle against evil effect always surrounds the mystic, identical with the spell cast by a cleric whose level equals the celestial mystic's character level.	KEY:Celestial Mystic ~ Blessing of the Silver Heaven									BONUS:VAR|ElectricityResistanceBonus|10|TYPE=Resistance	BONUS:VAR|PoisonResistanceBonus|2|TYPE=Sacred	BONUS:VAR|DiseaseResistanceBonus|2|TYPE=Sacred	BONUS:VAR|PetrificationResistanceBonus|2|TYPE=Sacred						ABILITY:Special Ability|AUTOMATIC|Resistance To Electricity|Resistance To Poison|Resistance To Disease|Resistance To Petrification								SORTKEY:Class_Celestial_Mystic	SOURCEPAGE:ExD	
Celestial Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.CelestialMysticClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Once he reaches 2nd level, a celestial mystic can cast spells as if he were an archon. Specifically, the mystic can cast any spell described in Chapter 6 that has a celestial or archon component, as long as he can otherwise cast the spell (it appears on his spell list, it is of a level of spells that he can cast, and he has a sufficient ability score to cast spells of that level). He does not gain any other celestial qualities. For instance, he is not immune to the blast of a trumpet archon.	KEY:Celestial Mystic ~ Celestial Spells																										SORTKEY:Class_Celestial_Mystic	SOURCEPAGE:ExD	
Blessing of the Golden Heaven	CATEGORY:Special Ability	TYPE:ClassFeatures.CelestialMysticClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A celestial mystic of 3rd level or higher is immune to death spells and magical death effects.	KEY:Celestial Mystic ~ Blessing of the Golden Heaven																		ABILITY:Special Ability|AUTOMATIC|Immunity To Death Effects								SORTKEY:Class_Celestial_Mystic	SOURCEPAGE:ExD	
Blessing of the Pearly Heaven	CATEGORY:Special Ability	TYPE:ClassFeatures.CelestialMysticClassFeatures.SpecialQuality.Supernatural.Uncanny Dodge.Lore	VISIBLE:YES	DESC:A 5th-level celestial mystic retains his Dexterity bonus to AC regardless of being caught flat-footed or struck by an invisible attacker. In addition, a celestial mystic may make a mystical knowledge check with a bonus equal to his class level + his Intelligence modifier to see whether he knows some relevant information about legendary people, places, or items. If he has 5 or more ranks in Knowledge (history), he gains a +2 bonus on this check. Otherwise this works as a bardic knowledge check.	KEY:Celestial Mystic ~ Blessing of the Pearly Heaven				DEFINE:MysticalKnowledge|0					BONUS:VAR|UncannyDodgeFlankingLevel|CelestialMysticLVL|TYPE=EachClass.REPLACE	BONUS:VAR|MysticalKnowledge|CelestialMysticLVL+INT	BONUS:VAR|MysticalKnowledge|2|PRESKILL:1,Knowledge (History)=5															SORTKEY:Class_Celestial_Mystic	SOURCEPAGE:ExD	
Blessing of the Crystal Heaven	CATEGORY:Special Ability	TYPE:ClassFeatures.CelestialMysticClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 7th level, a celestial mystic can cure his own wounds (up to %1) . He can cure up to three times his class level in hit points each day, and he can spread this healing out among several uses. In addition, he gains immunity to disease and poison, and a +2 sacred bonus on saving throws against Enchantment spells and effects.|BlessingCrystalHeavenHP	KEY:Celestial Mystic ~ Blessing of the Crystal Heaven				DEFINE:BlessingCrystalHeavenHP|0					BONUS:VAR|BlessingCrystalHeavenHP|3*CelestialMysticLVL																	SORTKEY:Class_Celestial_Mystic	SOURCEPAGE:ExD	
Blessing of the Paltinum Heaven	CATEGORY:Special Ability	TYPE:ClassFeatures.CelestialMysticClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 8th level, a celestial mystic gains the ability to channel spell energy into a bolt of holy power. The bolt is a ranged touch attack with long range (400 ft. + 40 ft./class level) and deals 4d6 points of damage plus 1d6 points of damage per level of the spell channeled to create the effect. For example, a celestial mystic who channels a 7th level spell into holy power deals 11d6 points of damage to the target if the bolt hits.	KEY:Celestial Mystic ~ Blessing of the Platinum Heaven																										SORTKEY:Class_Celestial_Mystic	SOURCEPAGE:ExD	
Blessing of the Glittering Heaven	CATEGORY:Special Ability	TYPE:ClassFeatures.CelestialMysticClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 9th level, a celestial mystic gains spell resistance 20 and damage reduction 10/unholy.	KEY:Celestial Mystic ~ Blessing of the Glittering Heaven																		SR:20	DR:10/Unholy							SORTKEY:Class_Celestial_Mystic	SOURCEPAGE:ExD	
Blessing of the Illuminated Heaven	CATEGORY:Special Ability	TYPE:ClassFeatures.CelestialMysticClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:10th-level celestial mystic is surrounded by an aura of positive energy to a radius of 10 feet. Within that emanation, life flourishes: colors are brighter, fires are hotter, noises are louder, and sensations are more intense. (This effect is purely sensory; game effects such as energy damage are not affected.) All living creatures within the aura, including the celestial mystic, gain fast healing 2 as an extraordinary ability as long as they remain there. No undead creature with fewer than 10 HD can enter the aura, and those brought into it act as if they had been turned. Undead with 10 HD or more can enter the aura unharmed, but they do not gain fast healing.	KEY:Celestial Mystic ~ Blessing of the Illuminated Heaven									BONUS:VAR|FastHealing|2									ABILITY:Special Ability|AUTOMATIC|Fast Healing								SORTKEY:Class_Celestial_Mystic	SOURCEPAGE:ExD	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ChampionOfGwynharwyfClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Champions of Gwynharwyf gain no proficiency with any weapon or armor.	KEY:Champion of Gwynharwyf ~ Weapon and Armor Proficiency																										SORTKEY:Class_Champion_Of_Gwynharwyf	SOURCEPAGE:ExD	
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.ChampionOfGwynharwyfClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A champion of Gwynharwyf has the ability to cast a small number of divine spells. To cast a champion of Gwynharwyf spell, the champion must have a Wisdom score of at least 10 + the spell's level, so a champion of Gwynharwyf with a Wisdom of 10 or lower cannot cast these spells. Champion of Gwynharwyf bonus spells are based on Wisdom, and saving throws against these spells have a DC of 10 + spell level + the champion's Wisdom modifier. When the champion gets 0 spells of a given spell level (for instance, 1st-level spells for a 1st level champion of Gwynharwyf), she gets only the bonus spells she would be entitled to based on her Wisdom score for that spell level. The champion of Gwynharwyf's spell list appears below. A champion of Gwynharwyf prepares and casts spells just as a cleric does (though a champion cannot spontaneously cast cure spells).	KEY:Champion of Gwynharwyf ~ Spells																										SORTKEY:Class_Champion_Of_Gwynharwyf	SOURCEPAGE:ExD	
Detect Evil	CATEGORY:Special Ability	TYPE:ClassFeatures.ChampionOfGwynharwyfClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At will, a champion of Gwynharwyf can use detect evil, as the spell. She can use this ability even while raging.	KEY:Champion of Gwynharwyf ~ Detect Evil				DEFINE:DetectEvilLVL|0					BONUS:VAR|DetectEvilLVL|ChampionOfGwynharwyfLVL									SPELLS:Class|TIMES=ATWILL|CASTERLEVEL=DetectEvilLVL|Detect Evil,11+CHA								SORTKEY:Class_Champion_Of_Gwynharwyf	SOURCEPAGE:ExD	
Rage	CATEGORY:Special Ability	TYPE:ClassFeatures.ChampionOfGwynharwyfClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A champion of Gwynharwyf adds her class levels to her barbarian levels to determine how often she can rage and when she gains the greater rage, tireless rage, and mighty rage barbarian class abilities. She does not gain or improve any other barbarian class abilities.	KEY:Champion of Gwynharwyf ~ Rage									BONUS:VAR|BarbarianRageTimesLVL,BarbarianRagePowerLVL|ChampionOfGwynharwyfLVL																	SORTKEY:Class_Champion_Of_Gwynharwyf	SOURCEPAGE:ExD	
Smite Evil	CATEGORY:Special Ability	TYPE:ClassFeatures.ChampionOfGwynharwyfClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Once per day, a champion of Gwynharwyf may attempt to smite evil with one normal melee attack. She adds her Charisma bonus to her attack roll and deals 1 extra point of damage per champion of Gwynharwyf level. If she accidentally smites a creature that is not evil, the smite has no effect but the ability is still used up for that day. A 5th-level champion of Gwynharwyf can smite evil twice per day. At 9th level, she can use this ability three times per day.	KEY:Champion of Gwynharwyf ~ Smite Evil									BONUS:VAR|SmiteEvilToHit|max(0,CHA)	BONUS:VAR|SmiteEvilDamage|ChampionOfGwynharwyfLVL	BONUS:VAR|SmiteEvil|(ChampionOfGwynharwyfLVL+3)/4							ABILITY:Special Ability|AUTOMATIC|Smite Evil								SORTKEY:Class_Champion_Of_Gwynharwyf	SOURCEPAGE:ExD	
Divine Grace	CATEGORY:Special Ability	TYPE:ClassFeatures.ChampionOfGwynharwyfClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A 2nd-level champion of Gwynharwyf gains a bonus equal to her Charisma bonus on all saving throws.	KEY:Champion of Gwynharwyf ~ Divine Grace									BONUS:SAVE|ALL|max(0,CHA)																	SORTKEY:Class_Champion_Of_Gwynharwyf	SOURCEPAGE:ExD	
Furious Casting	CATEGORY:Special Ability	TYPE:ClassFeatures.ChampionOfGwynharwyfClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 2nd level, a champion of Gwynharwyf can cast her champion spells even while raging. If she has another spellcasting class, she cannot cast spells from that class while raging, only the spells that she gains from her champion levels.	KEY:Champion of Gwynharwyf ~ Furious Casting																										SORTKEY:Class_Champion_Of_Gwynharwyf	SOURCEPAGE:ExD	
Damage Reduction	CATEGORY:Special Ability	TYPE:ClassFeatures.ChampionOfGwynharwyfClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 3rd level, a champion of Gwynharwyf gains the ability to shrug off some amount of injury from each blow or attack. Subtract 2 from the damage the champion takes each time she is dealt damage from a weapon or natural attack. At 6th level, and every 2 levels thereafter, this damage reduction rises by 1 point. Damage reduction can reduce damage to 0 but not below 0.	KEY:Champion of Gwynharwyf ~ Damage Reduction				DEFINE:ChampionOfGwynharwyfDR|0					BONUS:VAR|ChampionOfGwynharwyfDR|max(2,ChampionOfGwynharwyfLVL/2)									DR:ChampionOfGwynharwyfDR/-								SORTKEY:Class_Champion_Of_Gwynharwyf	SOURCEPAGE:ExD	
Resist Enchantment	CATEGORY:Special Ability	TYPE:ClassFeatures.ChampionOfGwynharwyfClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 3rd level, a champion of Gwynharwyf gains a +2 morale bonus on all saving throws against Enchantment spells or effects.	KEY:Champion of Gwynharwyf ~ Resist Enchantment									BONUS:VAR|EnchantmentResistanceBonus|2|TYPE=Morale									ABILITY:Special Ability|AUTOMATIC|Resistance To Enchantment								SORTKEY:Class_Champion_Of_Gwynharwyf	SOURCEPAGE:ExD	
