SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
Exalted Strike	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 4th level, an ascetic gains a +1 enhancement bonus on all his attack and damage rolls. In effect, any weapon the character wields becomes a +1 magic weapon, and can overcome the damage reduction of a creature as though it were a magic weapon. This enhancement bonus rises to +2 at 10th level, to +3 at 14th level, to +4 at 17th level, and to +5 at 20th level. At 10th level, any weapon damage the character deals is also considered to be good-aligned, so that it can bypass the damage reduction of some evil outsiders.	KEY:Ascetic ~ Exalted Strike				DEFINE:ExaltedStrikeBonus|0					BONUS:COMBAT|BASEAB|ExaltedStrikeBonus|TYPE=Enhancement	BONUS:VAR|ExaltedStrikeBonus|1|PREVARGTEQ:AsceticLVL,4	BONUS:VAR|ExaltedStrikeBonus|1|PREVARGTEQ:AsceticLVL,10	BONUS:VAR|ExaltedStrikeBonus|1|PREVARGTEQ:AsceticLVL,14	BONUS:VAR|ExaltedStrikeBonus|1|PREVARGTEQ:AsceticLVL,17					BONUS:VAR|ExaltedStrikeBonus|1|PREVARGTEQ:AsceticLVL,20									SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Sustenance	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A 5th-level ascetic doesn't need to eat or drink.	KEY:Ascetic ~ Sustenance																											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Deflection	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:A 6th-level ascetic receives a +1 deflection bonus to his Armor Class. This bonus increases to +2 at 12th level, and to +3 at 18th level.	KEY:Ascetic ~ Deflection				DEFINE:DeflectionAC|0					BONUS:COMBAT|AC|DeflectionAC|TYPE=Deflection	BONUS:VAR|Deflection|(AsceticLVL/6)+VowOfPeaceBonus																	SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Resistance	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 7th level, an ascetic gains a +1 resistance bonus on all saving throws. This bonus increases to +2 at 13th level, and to +3 at 17th level.	KEY:Ascetic ~ Resistance				DEFINE:ResistanceBonus|0					BONUS:COMBAT|SAVES|ResistanceBonus|TYPE=Resistance	BONUS:VAR|ResistanceBonus|1|PREVARGTEQ:AsceticLVL,7	BONUS:VAR|ResistanceBonus|1|PREVARGTEQ:AsceticLVL,13	BONUS:VAR|ResistanceBonus|1|PREVARGTEQ:AsceticLVL,17															SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Ability Score Enhancement	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 7th level, an ascetic gains a +2 enhancement bonus to one ability score. At 11th level, he gains an extra +2 bonus to that score, and a +2 bonus to another ability score. At 15th level, he gains an extra +2 bonus to those two scores, and a +2 bonus to a third ability score. At 19th level, he gains an extra +2 bonus to those three scores, and a +2 bonus to a fourth ability score.	KEY:Ascetic ~ Ability Score Enhancement				DEFINE:AbilityScoreEnhancement|0	DEFINE:AbilityScoreEnhancementBonus|0				BONUS:ABILITYPOOL|Ability Score Enhancement|AbilityScoreEnhancement	BONUS:VAR|AbilityScoreEnhancement|1|PREVARGTEQ:AsceticLVL,7	BONUS:VAR|AbilityScoreEnhancement|1|PREVARGTEQ:AsceticLVL,11	BONUS:VAR|AbilityScoreEnhancement|1|PREVARGTEQ:AsceticLVL,15	BONUS:VAR|AbilityScoreEnhancement|1|PREVARGTEQ:AsceticLVL,19														SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
First Stat Increase	CATEGORY:Special Ability	TYPE:AbilityScoreEnhancement.SpecialQuality	VISIBLE:DISPLAY	DESC:+%1 to ability.|AbilityScoreEnhancementFirst	KEY:Ascetic ~ Ability Score Enhancement ~ First Stat Increase 				DEFINE:AbilityScoreEnhancementFirst|0					BONUS:STAT|%LIST|AbilityScoreEnhancementFirst|TYPE=Enhancement	BONUS:VAR|AbilityScoreEnhancementFirst|2|AsceticLVL,7	BONUS:VAR|AbilityScoreEnhancementFirst|2|AsceticLVL,11	BONUS:VAR|AbilityScoreEnhancementFirst|2|AsceticLVL,15	BONUS:VAR|AbilityScoreEnhancementFirst|2|AsceticLVL,19	STACK:NO	MULT:YES	CHOOSE:PCSTAT|ALL											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Second Stat Increase	CATEGORY:Special Ability	TYPE:AbilityScoreEnhancement.SpecialQuality	VISIBLE:DISPLAY	DESC:+%1 to ability.|AbilityScoreEnhancementSecond	KEY:Ascetic ~ Ability Score Enhancement ~ Second Stat Increase 				DEFINE:AbilityScoreEnhancementSecond|0					BONUS:STAT|%LIST|AbilityScoreEnhancementSecond|TYPE=Enhancement	BONUS:VAR|AbilityScoreEnhancementFirst|2|AsceticLVL,11	BONUS:VAR|AbilityScoreEnhancementFirst|2|AsceticLVL,15	BONUS:VAR|AbilityScoreEnhancementFirst|2|AsceticLVL,19		STACK:NO	MULT:YES	CHOOSE:PCSTAT|ALL											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Third Stat Increase	CATEGORY:Special Ability	TYPE:AbilityScoreEnhancement.SpecialQuality	VISIBLE:DISPLAY	DESC:+%1 to ability.|AbilityScoreEnhancementThird	KEY:Ascetic ~ Ability Score Enhancement ~ Third Stat Increase 				DEFINE:AbilityScoreEnhancementThird|0					BONUS:STAT|%LIST|AbilityScoreEnhancementThird|TYPE=Enhancement	BONUS:VAR|AbilityScoreEnhancementFirst|2|AsceticLVL,15	BONUS:VAR|AbilityScoreEnhancementFirst|2|AsceticLVL,19			STACK:NO	MULT:YES	CHOOSE:PCSTAT|ALL											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Fourth Stat Increase	CATEGORY:Special Ability	TYPE:AbilityScoreEnhancement.SpecialQuality	VISIBLE:DISPLAY	DESC:+%1 to ability.|AbilityScoreEnhancementFourth	KEY:Ascetic ~ Ability Score Enhancement ~ Fourth Stat Increase 				DEFINE:AbilityScoreEnhancementFourth|0					BONUS:STAT|%LIST|AbilityScoreEnhancementFourth|TYPE=Enhancement	BONUS:VAR|AbilityScoreEnhancementFirst|2|AsceticLVL,19				STACK:NO	MULT:YES	CHOOSE:PCSTAT|ALL											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Natural Armor	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 8th level, an ascetic gains a +1 natural armor bonus, or his existing natural armor bonus increases by +1. It increases an extra +1 at16th level.	KEY:Ascetic ~ Natural Armor				DEFINE:NaturalArmorAC|0					BONUS:COMBAT|AC|NaturalArmorAC|TYPE=NaturalArmor.STACK	BONUS:VAR|NaturalArmorAC|(AsceticLVL/8)+VowOfPeaceBonus																	SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Mind Shielding	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Also at 8th level, an ascetic character becomes immune to Detect Thoughts, Discern Lies, and any attempt to discern his alignment.	KEY:Ascetic ~ Mind Shielding																											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Damage Reduction	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:An ascetic gains damage reduction 5/magic at 10th level. At 15th level, this improves to 5/evil, and at 19th level to 10/evil.	KEY:Ascetic ~ Damage Reduction																		TEMPLATE:Ascetic ~ Damage Reduction									SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Greater Sustenance	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Once he attains 12th level, an ascetic character doesn't need to breathe.	KEY:Ascetic ~ Greater Sustenance																											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Energy Resistance	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 13th level, an ascetic gains resistance 5 to acid, cold, electricity, fire, and sonic energy. At 20th level, this increases to resistance 15.	KEY:Ascetic ~ Energy Resistance									BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus,ElectricityResistanceBonus,FireResistanceBonus,SonicResistanceBonus|5|TYPE=Resistance	BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus,ElectricityResistanceBonus,FireResistanceBonus,SonicResistanceBonus|5|TYPE=Resistance|PREVARGTEQ:AsceticLVL,20								ABILITY:Special Ability|VIRTUAL|Resistance To Acid|Resistance To Cold|Resistance To Electricity|Resistance To Fire|Resistance To Sonic									SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Freedom of Movement	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 14th level, an ascetic can act as if continually under the effect of a Freedom of Movement spell.	KEY:Ascetic ~ Freedom of Movement																											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Regeneration	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 17th level, an ascetic heals 1 point of damage per level every hour rather than every day. (This ability cannot be aided by the Heal skill.) Nonlethal damage heals at a rate of 1 point of damage per level every 5 minutes.	KEY:Ascetic ~ Regeneration																											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
True Seeing	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 18th level, an ascetic gains a continusous true seeing ability, as the spell.	KEY:Ascetic ~ True Seeing									BONUS:VAR|HasTrueSeeingVision|1|TYPE=Base																		SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							

Searing Light	CATEGORY:Special Ability	TYPE:AleaxTemplateTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Aleax ~ Searing Light																		SPELLS:Innate|TIMES=1|TIMEUNIT=Round|CASTERLEVEL=HD|Searing Light									SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Shapechange	CATEGORY:Special Ability	TYPE:AleaxTemplateTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:An aleax can shapechange at will, as the spell. An aleax typically has one or two favored alternate forms reflective of the deity it serves. (For example, Bahamut’s aleax has been known to take the form of a gold dragon.) The aleax retains its extraordinary and spell-like abilities regardless of the new form. Caster level 20th.	KEY:Aleax ~ Shapechange																											SOURCEPAGE:ExD
Sudden Death	CATEGORY:Special Ability	TYPE:AleaxTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:If the aleax kills its intended victim, the victim’s spirit is instantly transported to the aleax’s deity, who gives the fallen character one last chance to barter for its life. The deity can demand a service, a sworn oath, a magic item or other precious item, or some similar sacrifice. If the character does not pay, his spirit is destroyed, and the character cannot be returned to life by any means.	KEY:Aleax ~ Sudden Death																											SOURCEPAGE:ExD
Singular Enemy	CATEGORY:Special Ability	TYPE:AleaxTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Although the aleax is visible to all, only its intended victim can harm it. Attacks made by other creatures are rebuffed, dealing no damage and hindering the aleax in no way.	KEY:Aleax ~ Singular Enemy																											SOURCEPAGE:ExD
Spell Resistance	CATEGORY:Special Ability	TYPE:AleaxTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The aleax has spell resistance equal to 10 + its Hit Dice or the spell resistance of its intended victim, whichever is higher.	KEY:Aleax ~ Spell Resistance			DEFINE:AleaxSpellResistance|0				BONUS:VAR|AleaxSpellResistance|10+HD					SR:AleaxSpellResistance															SOURCEPAGE:ExD


CATEGORY=Internal|Default.MOD	DEFINE:HasExaltedFeat|0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CATEGORY=Internal|Default.MOD	ABILITY:Special Ability|AUTOMATIC|Exalted ~ Aura of Good|PREVARGTEQ:HasExaltedFeat,1	BONUS:VAR|HasExaltedFeat|COUNT[FEATTYPE=Exalted]																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Aura of Good	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Aura	VISIBLE:YES	DESC:.	KEY:Exalted ~ Aura of Good				DEFINE:AuraGoodLVL|0					BONUS:VAR|AuraGoodLVL|TL|TYPE=Base	BONUS:VAR|AuraGoodLVL|-ClericLVL	BONUS:VAR|AuraGoodLVL|-paladinLVL	DESC:Faint|PREVAREQ:AuraGoodLVL,1	DESC:Moderate|PREVARGTEQ:AuraGoodLVL,2|PREVARLTEQ:AuraGoodLVL,4	DESC:Strong|PREVARGTEQ:AuraGoodLVL,5|PREVARLTEQ:AuraGoodLVL,10	DESC:Overwhelming|PREVARGTEQ:AuraGoodLVL,11												SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
###BLOCK: Basic Abilities																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Basic Censure	CATEGORY:Special Ability	TYPE:Censure.Internal.ClassFeatures	VISIBLE:NO																													SOURCEPAGE:ExD	DEFINE:CensureTimesBase|0	DEFINE:CensureLevelBase|0	DEFINE:CensureDiceBase|0	DEFINE:CensureDieSizeBase|0	DEFINE:CensureDamagePlusBase|0	DEFINE:CensureCheckBase|0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													BONUS:VAR|CensureDiceBase|2	BONUS:VAR|CensureDieSizeBase|6	BONUS:VAR|CensureDamagePlusBase|CHA	BONUS:VAR|CensureTimesBase|3+CHA|TYPE=Base	BONUS:VAR|CensureCheckBase|CHA|TYPE=Base
Censure Fiends	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialAttack.Censure.CensureFiends	VISIBLE:YES		PREALIGN:LG,LN,NG,TN,CG,CN		DEFINE:CensureTimesFiends|0	DEFINE:CensureLevelFiends|0	DEFINE:CensureDiceFiends|0	DEFINE:CensureDieSizeFiends|0	DEFINE:CensureDamagePlusFiends|0	DEFINE:CensureCheckFiends|0								DESC:%1/day (censure level %2) (censure damage %3d%4+%5)|CensureTimesFiends|CensureLevelFiends|CensureDiceFiends|CensureDieSizeFiends|CensureDamagePlusFiends												SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																								BONUS:VAR|CensureTimesFiends|CensureTimesBase	BONUS:VAR|CensureLevelFiends|CensureLevelBase	BONUS:VAR|CensureDiceFiends|CensureDiceBase	BONUS:VAR|CensureDieSizeFiends|CensureDieSizeBase	BONUS:VAR|CensureDamagePlusFiends|CensureDamagePlusBase	BONUS:VAR|CensureCheckFiends|CensureCheckBase																						ASPECT:CensureType|Censure	ASPECT:CensureKind|Fiends	ASPECT:CensureTimes|%1|CensureTimesFiends	ASPECT:CensureLevel|%1|CensureLevelFiends	ASPECT:CensureDamage|%1d%2+%3|CensureDiceFiends|CensureDieSizeFiends|CensureDamagePlusFiends	ASPECT:CensureCheck|%1|CensureCheckFiends	ASPECT:CensureNotes|You ban Fiends creatures with total hit dice up to %1.|CensureLevelFiends/2														
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
###BLOCK: Abilities																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Celestial Mount	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Your special mount gains the celestial creature template.	KEY:Celestial Mount ~ Celestial				DEFINE:CelestialMountLVL|0																							SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Telepathic Bond	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:A beloved of Valarian can communicate telepathically with her unicorn companion. This bond remains in effect unless the character is separated from her unicorn by a number of miles equal to 100 + the beloved's character level.	KEY:Unicorn Mount ~ Telepathic Bond																											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Celestial Charger	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 6th level, a beloved of Valarian can call a celestial unicorn-also known as a celestial charger- to her side. See the Unicorn entry in the Monster Manual for the celestial charger's statistics. If the beloved of Valarian already has a unicorn companion, Valarian transforms it into a celestial charger instead of sending his beloved a new companion.	KEY:Unicorn Mount ~ Celestial Charger																											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Empathic Link	CATEGORY:Special Ability	TYPE:ClassFeature.FlyingMountClassFeature.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A skylord has an empathic link with his mount out to a distance of up to 1 mile. The skylord cannot see through the mount's eyes, but they can communicate empathically. Because of this empathic link, the skylord has the same connection to an item or place that his mount does, just as with a master and his familiar (see Familiars in the Player's Handbook).	KEY:Flying Mount ~ Empathic Link																											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Share Spells	CATEGORY:Special Ability	TYPE:ClassFeature.FlyingMountClassFeature.SpecialQuality	VISIBLE:YES	DESC:At the skylord's option, he may have any spell (but not any spell-like ability) he casts on himself also affect his mount. The mount must be within 5 feet at the time of casting to receive the benefit. If the spell or effect has a duration other than instantaneous, it stops affecting the mount if it moves farther than 5 feet away and will not affect the mount again even if it returns to the skylord before the duration expires. Additionally, the skylord may cast a spell with a target of "You" on his mount (as a touch range spell) instead of on himself. A skylord and his mount can share spells even if the spells normally do not affect magical beasts.	KEY:Flying Mount ~ Share Spells																											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Improved Natural Attack	CATEGORY:Special Ability	TYPE:ClassFeature.FlyingMountClassFeature.SpecialQuality	VISIBLE:YES	DESC:The damage dealt by each of the mount's natural attacks increases by one step. For example, a giant eagle mount with this ability would roll 1d8 instead of 1d6 for claw damage and 1d10 instead of 1d8 for bite damage.	KEY:Flying Mount ~ Improved Natural Attack									BONUS:COMBAT|DAMAGESIZE|1																		SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Improved Fly Speed	CATEGORY:Special Ability	TYPE:ClassFeature.FlyingMountClassFeature.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The mount's fly speed increases by 10 feet.	KEY:Flying Mount ~ Improved Fly Speed									BONUS:MOVEADD|TYPE.Fly|10																		SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Deadly Charge	CATEGORY:Special Ability	TYPE:ClassFeature.FlyingMountClassFeature.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The skylord's mount deals an extra 2d6 points of damage on a successful attack made during a charge.	KEY:Flying Mount ~ Deadly Charge																											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Spell Resistance	CATEGORY:Special Ability	TYPE:ClassFeature.FlyingMountClassFeature.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A mount's spell resistance equals the skylord's character level + 5.	KEY:Flying Mount ~ Spell Resistance																											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Immunities	CATEGORY:Special Ability	TYPE:ClassFeature.FlyingMountClassFeature.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A skylord's mount is immune to hold, paralysis, sleep, charms, and compulsions.	KEY:Flying Mount ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity To Hold Effects|Immunity To Paralysis|Immunity To Sleep|Immunity To Charm|Immunity To Compulsion									SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Bonus Feat	CATEGORY:Special Ability	TYPE:ClassFeature.FlyingMountClassFeature.SpecialQuality	VISIBLE:YES	DESC:The mount gains one of the following feats as a bonus feat, provided it meets the prerequisites for the feat: Flyby Attack, Hover, Multiattack, or Wingover.	KEY:Flying Mount ~ Bonus Feat									BONUS:ABILITYPOOL|Flying Mount Feat|1																		SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							

###Block: Guilds and Sects 																																	
Swanmay	CATEGORY:Guild Category	TYPE:SpecialQuality.Order	VISIBLE:YES																														SOURCEPAGE:Exd

																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
###BLOCK: Familiars and other companions support																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Celestial Familiar	CATEGORY:Special Ability	ABILITY:Internal|AUTOMATIC|Celestial Familiar (Base)|Celestial Familiar																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Celestial Familiar (Base)	CATEGORY:Internal			BENEFIT:When choosing a familiar, the following creatures are also available to you. You must choose a familiar whose alignment is the same as yours.					DEFINE:CelestialFamiliarLVL|0	DEFINE:StandardCelestialFamiliarAllowed|0													ABILITY:Celestial Familiar Selection|AUTOMATIC|Standard Selection ~ Celestial Familiar|!PREABILITY:1,CATEGORY=Internal,TYPE.CelestialFamiliarAlternate	FOLLOWERS:Celestial Familiar|1								SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Celestial Familiar	CATEGORY:Internal	TYPE:CelestialFamiliarSelection	VISIBLE:NO																													SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Celestial Familiar (Default)	CATEGORY:Internal	TYPE:CelestialFamiliarBase.CelestialFamiliarSelection			KEY:Standard Selection ~ Celestial Familiar		PREVAREQ:StandardCelestialFamiliarAllowed,0	!PREABILITY:1,CATEGORY=Internal,TYPE.CelestialFamiliarAlternate															COMPANIONLIST:Celestial Familiar|Companion ~ Bat,Companion ~ Cat,Companion ~ Hawk,Companion ~ Lizard,Companion ~ Owl,Companion ~ Rat,Companion ~ Raven,Companion ~ Snake (Viper/Tiny),Companion ~ Toad,Companion ~ Weasel|PREALIGN:LG,NG,CG|PRECLASS:1,SPELLCASTER=3	COMPANIONLIST:Celestial Familiar|Companion ~ Eladrin (Coure)|PREALIGN:CG|PRECLASS:1,SPELLCASTER=7	COMPANIONLIST:Celestial Familiar|Companion ~ Archon (Lantern)|PREALIGN:LG|PRECLASS:1,SPELLCASTER=7	COMPANIONLIST:Celestial Familiar|Companion ~ Guardinal (Musteval)|PREALIGN:NG|PRECLASS:1,SPELLCASTER=7						SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
