SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																								
																											
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose	
Celestial Blood			TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, M	CASTTIME:1 round	RANGE:Touch	TARGETAREA:Nonevil creature touched		DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Grant energy resistance, +4 on saves against poison and damage reduction 10/evil.	SOURCEPAGE:EXD									
Celestial Brilliance			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Good|Light	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Object touched		DURATION:1 day/level	SAVEINFO:None	SPELLRES:No	DESC:Object sheds brilliant light to 120-ft, hurts undead and evil outsiders.	SOURCEPAGE:EXD									
Chaav's Laugh			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Good|Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:40-ft	TARGETAREA:40-ft radius spread centered on you		DURATION:1 minute/level	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:Good creatures gain +2 on attack rolls and saves against fear, plus 1d8 temporary hp +1/level (max +20). Evil creatures take -2 on attack rolls and saves against fear.	SOURCEPAGE:EXD									
Convert Wand			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Wand touched		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Transforms a magic wand into a healing wand (lasts 1 minute/level)	SOURCEPAGE:EXD									
Crown of Brilliance			TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Evocation		DESCRIPTOR:Good|Light	COMPS:V, S, M, Archon	CASTTIME:1 round	RANGE:20-ft	TARGETAREA:20-ft radius spherical emanation centered on you		DURATION:1 round/level	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:Holy light blinds or dazzles foes, repels light-sensitive creatures and damages undead.	SOURCEPAGE:EXD		COST:100							
Crown of Flame			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, Archon	CASTTIME:1 standard action	RANGE:10-ft	TARGETAREA:10-ft radius spherical emanation centered on you		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Aura burns evil outsiders, undead and fey for 2d6 points of damage/round.	SOURCEPAGE:EXD									
Crown of Glory			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:10-ft/level	TARGETAREA:10-ft radius/level emanation centered on you.		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes		SOURCEPAGE:EXD									
Dancing Web			TYPE:Divine	CLASSES:Cleric=5|Druid=5|Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft radius burst		DURATION:Instantaneous	SAVEINFO:Reflex half; See text	SPELLRES:Yes	DESC:Energy strands deals 1d6 nonlethal damage per level plus entangles evil creatures for 1d6 rounds.	SOURCEPAGE:EXD									
Distilled Joy			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 day	RANGE:Touch	TARGETAREA:one living creature		DURATION:Permanent	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Creates ambrosia.	SOURCEPAGE:EXD									
Divine Sacrifice			TYPE:Divine	CLASSES:Paladin=1		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:Sacrifice hit points for a damage bonus.	SOURCEPAGE:EXD									
Dolorous Motes			TYPE:Arcane	CLASSES:Bard=4|Sorcerer,Wizard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, Sacrifice	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:1 10-ft cube/level		DURATION:1 round/level	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:Creates clouds of flickering light (1 10-ft cube/level) that dazes creatures. Sacrifice: 1d3 points of WIS damage.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|WIS|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=3|TITLE=Choose WIS damage	TEMPDESC:Sacrifice&colon; 1d3 points of WIS damage.
Ease Pain			TYPE:Divine	CLASSES:Cleric=2		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:creature touched		DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Remove lingering effects of pain.	SOURCEPAGE:EXD									
Eladrin Form			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:you		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You become an incorporeal globe.	SOURCEPAGE:EXD									
Elation			TYPE:Arcane.Divine	CLASSES:Bard=2|Cleric=2|Sorcerer,Wizard=3		SCHOOL:Enchantment		DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:80-ft	TARGETAREA:allies in an 80-ft radius spread of you		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Allies gains +2 to STR and DEX, +5-ft of speed.	SOURCEPAGE:EXD									
Emerald Burst			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:20-ft radius burst		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:20-ft radius burst dazes neutral creatures for 1 round, stuns evil creatures for 1d4 rounds.	SOURCEPAGE:EXD		COST:1000							
Empyreal Ecstasy			TYPE:Arcane	CLASSES:Bard=6		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 round	RANGE:30-ft	TARGETAREA:one creature/level		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Targets immune to pain and mind-influencing effects, and take half damage from melee and ranged attacks; -4 to skill checks.	SOURCEPAGE:EXD									
End to Strife			TYPE:Divine	CLASSES:Cleric=9		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:80-ft	TARGETAREA:80-ft radius emanation, centered on you		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Any attack made within 80-ft of caster causes attacker to take 1d6 points of lethal or nonlethal damage/caster level (max 20d6).	SOURCEPAGE:EXD									
Energetic Healing			TYPE:Divine	CLASSES:Cleric=5|Druid=5		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one living creature touched		DURATION:10 minutes/level or until discharged	SAVEINFO:None (harmless)	SPELLRES:No	DESC:Target is immune to one energy type and gains 10%% of the energy damage as healing.	SOURCEPAGE:EXD									
Energize Potion			TYPE:Arcane.Divine	CLASSES:Cleric=3|Druid=3|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:10-ft radius burst		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Transforms potion into a grnade that deals energy damage in a 10-ft radius burst.	SOURCEPAGE:EXD									
Estanna's Stew			TYPE:Divine	CLASSES:Cleric=2|Druid=2|Paladin=2		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S, F	CASTTIME:1 round	RANGE:0-ft	TARGETAREA:fills pot with healing stew (1 serving/2 levels)		DURATION:Instantaneous (see text)	SAVEINFO:Will half (harmless); See text	SPELLRES:Yes	DESC:Conjures stew that heals 1d6+1 per serving.	SOURCEPAGE:EXD		COST:50							
Eyes of the Avoral			TYPE:Arcane.Divine	CLASSES:Cleric=1|Druid=1|Ranger=1|Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one creature		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subject gets +8 on Spot checks.	SOURCEPAGE:EXD									
Faerinaal's Hymn			TYPE:Arcane	CLASSES:Bard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Good|Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:up to one evil creature/level		DURATION:Concentration	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Up to one creature/level cannot take attacks of opportunity.	SOURCEPAGE:EXD									
Glorious Raiment			TYPE:Divine			SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:robe, garnment or outfit touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless,object)	SPELLRES:Yes	DESC:Wearer gains +1 sacred bonus to AC per five acster levels, damage reduction 5/evil.	SOURCEPAGE:EXD									
Glory of the Martyr			TYPE:Divine	CLASSES:Paladin=2		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, F, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one creature/level		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As Shield Other, but with multiple targets.	SOURCEPAGE:EXD		COST:50							
Status (Greater)			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Divination			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature touched/3 levels.		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes		SOURCEPAGE:EXD									
Healing Touch			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Necromancy		DESCRIPTOR:Good	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:creature touched		DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You take up to 1d6 points of damage/2 level and heal target that amount.	SOURCEPAGE:EXD									
Heart's Ease			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one creature/level		DURATION:Permanent	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Remove fear, despair, confusion, insanity and some mind-influencing effects; restores 2d4 points of temporary WIS damage.	SOURCEPAGE:EXD									
Heavenly Lightning			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:up to one creature per 2 caster level		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:See text	SOURCEPAGE:EXD									
Heavenly Lightning Storm			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:up to one creature per caster level in an area of 10-ft wide to close range.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:See text	SOURCEPAGE:EXD									
Heaven's Trumpet			TYPE:Arcane.Divine	CLASSES:Bard=6|Cleric=7		SCHOOL:Evocation		DESCRIPTOR:Good|Sonic	COMPS:S, F, Archon	CASTTIME:1 standard action	RANGE:120-ft	TARGETAREA:foes in a 120-ft radius burst centered on you		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Blast of music paralyzes foes.	SOURCEPAGE:EXD									
Heroism (Greater).COPY=Heroic Valor	SOURCEPAGE:EXD, errata																										
Inspired Aim			TYPE:Arcane.Divine	CLASSES:Bard=4|Cleric=3|Ranger=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Language-Depentent|Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:40-ft	TARGETAREA:allies within 40-ft radius emanation centered on you		DURATION:Concentration	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Allies within 40-ft gain +2 insight bonus on ranged attack rolls.	SOURCEPAGE:EXD									
Lantern Light			TYPE:Arcane.Divine	CLASSES:Cleric=1|Paladin=1|Sorcerer,Wizard=1		SCHOOL:Evocation		DESCRIPTOR:Good|Light	COMPS:S, Abstinence	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:ray		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Ranged touch attacks deal 1d6 points of damage. Abstinence: abstain from sexual intercourse for 24 hours.	SOURCEPAGE:EXD									
Last Judgement			TYPE:Arcane.Divine	CLASSES:Cleric=8|Sorcerer,Wizard=8		SCHOOL:Necromancy		DESCRIPTOR:Death|Good	COMPS:V, Celestial	CASTTIME:1 round	RANGE:Close	TARGETAREA:one evil humanoid, monstrous humanoid or giant/2 levels		DURATION:Instantaneous	SAVEINFO:Will partial	SPELLRES:Yes	DESC:Evil creature are struck dead and sent to Lower Planes.	SOURCEPAGE:EXD									
Leonal's Roar			TYPE:Divine	CLASSES:Druid=8		SCHOOL:Evocation		DESCRIPTOR:Good|Sonic	COMPS:V	CASTTIME:1 standard action	RANGE:40-ft	TARGETAREA:nongood creatures in a 40-ft radius spread centered on you		DURATION:Instantaneous	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:Kills, paralyzes, weakens or dazes nongood subjects and deals 2d6 points of sonic damage.	SOURCEPAGE:EXD									
Lastai's Caress			TYPE:Divine	CLASSES:Cleric=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Good|Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one known evil creature touched		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Intense feelings of good leave evil subject cowering, frightened nauseated or shaken.	SOURCEPAGE:EXD									
Mind Bond			TYPE:Divine	CLASSES:Paladin=3		SCHOOL:Divination			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:special mount		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You and your mount gain +4 flanking bonus when flanking the same opponent; mount gain bonus on attack rolls.	SOURCEPAGE:EXD									
Moment of Clarity			TYPE:Divine	CLASSES:Paladin=2		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:creature touched		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:EXD									
Perfect Summons			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:40-ft radius spread		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Creates area where only good creatures can be summoned.	SOURCEPAGE:EXD									
Quickshift			TYPE:Arcane.Divine	CLASSES:Cleric=6|Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V, S, Celestial	CASTTIME:1 round	RANGE:Personal	TARGETAREA:you		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Caster can use Teleport or Greater Teleport spell-like ability as a free action for 1 round/level.	SOURCEPAGE:EXD									
Radiant Fog			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Good	COMPS:V, S, Abstinence	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:fog that spread in a 20-ft radius, 20-ft high		DURATION:1 minute/level	SAVEINFO:Fortitude partial (see text)	SPELLRES:Yes	DESC:As Solid Fog, but dazzles or blinds creatures within.Abstinence: abstain from casting Necromancy or darkness spells for 24 hours.	SOURCEPAGE:EXD									
Radiant Shield			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Electricity|Good	COMPS:V, S, Abstinence	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:you		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Creatures attacking you take electricity damage; you are protected from electricity. Abstinence: abstain from casting Necromancy or darkness spells for 24 hours.	SOURCEPAGE:EXD									
Rain of Black Tulips			TYPE:Divine	CLASSES:Druid=9		SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:cylinder (80-ft radius, 80-ft high)		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Black tulip fall from the sky; evil creatures take 5d6 damage per round and are nauseated.	SOURCEPAGE:EXD									
Rain of Roses			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:cylinder (80-ft radius, 80-ft high)		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Roses falls from the sky; evil creature take 1d4 WIS damage per round and are sickened.	SOURCEPAGE:EXD									
Ray of Hope			TYPE:Arcane.Divine	CLASSES:Bard=1|Cleric=1		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Good|Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one living creature		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subject gains +2 bonus on attacks, saves, and checks.	SOURCEPAGE:EXD									
Refreshment			TYPE:Arcane.Divine	CLASSES:Bard=3|Cleric=3		SCHOOL:Conjuration	SUBSCHOOL:Healing	DESCRIPTOR:Good	COMPS:V, S	CASTTIME:1 standard action	RANGE:20-ft	TARGETAREA:20-ft radius burst centered on you		DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Cures all nonlethal damage on one creature.	SOURCEPAGE:EXD									
Remove Addiction			TYPE:Divine	CLASSES:Cleric=2|Druid=2		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one creature touched		DURATION:Instantaneous	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Cures target of drugs addictions.	SOURCEPAGE:EXD									
Remove Fatigue			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Transmutation			COMPS:S	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:up to one living creature touched per two levels		DURATION:Instantaneous	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Removes effects of fatigue as 8 hours/level.	SOURCEPAGE:EXD									
Remove Nausea			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:creature touched		DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Cure a nauseated or sickened character.	SOURCEPAGE:EXD									
Righteous Glare			TYPE:Arcane.Divine	CLASSES:Cleric=7|Sorcerer,Wizard=7		SCHOOL:Necromancy		DESCRIPTOR:Death|Good	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:you		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your gaze attack kills evil creature with less than 5 HD, cause Fear in others.	SOURCEPAGE:EXD									
Righteous Smite			TYPE:Arcane.Divine	CLASSES:Cleric=7		SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft radius spread		DURATION:Instantaneous	SAVEINFO:Will partial; See text	SPELLRES:Yes	DESC:Deals 1d6 damage/level (1d8 damage/level to evil outsiders) in 20-ft radius and blinds evil foes for 1d4 rounds.	SOURCEPAGE:EXD									
Sacred Guardian			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Divination			COMPS:V, S, Celestial	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:object or willing creature touched		DURATION:1 day/level	SAVEINFO:None (harmless); See text	SPELLRES:Yes	DESC:You know status of subject and can teleport or scry without error.	SOURCEPAGE:EXD									
Sacred Haven			TYPE:Divine	CLASSES:Paladin=4		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:creature touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Target gains +2 sacred bonus to AC and retains DEX bonus to AC when flat-footed; you can heal target using lay on hands at range.	SOURCEPAGE:EXD									
Second Wind			TYPE:Divine	CLASSES:Paladin=1		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:creature touched		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Target gains the equivalen of the Endurance feat for 1 hour/level.	SOURCEPAGE:EXD									
