SOURCELONG:Gozzilioni Seafarer's Handbook	SOURCESHORT:SsH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01																														
																																	
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Skills	CATEGORY:Special Ability	TYPE:HalfMerrowRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Swim is always a class skill for half-merrow. Half-Merrow receive a +6 racial bonus on Swim checks if they are non-tailed, and a +8 racial bonus n Swim checks if they are tailed.	KEY:Half-Merrow ~ Skills									BONUS:SKILL|Swim|6|TYPE=Racial																		SOURCEPAGE:Ssh	
Clumsy	CATEGORY:Special Ability	TYPE:HalfMerrowRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Half-Merrow fingers are sticky and blunt, giving them a -2 circumstance penalty on any fine manipulation skills, such as Pick Pockets or Disable Device.	KEY:Half-Merrow ~ Clumsy									BONUS:SKILL|Sleight of Hand,Disable Device|-2|TYPE=Circumstance																		SOURCEPAGE:Ssh	
Oversize	CATEGORY:Special Ability	TYPE:HalfMerrowRaceTrait.SpecialQuality	VISIBLE:YES	DESC:While not quite Large creatures, Half-Merrow are at the very upper end of the Medium-size and must pay 20%% mote for armor and clothing.	KEY:Half-Merrow ~ Clumsy																											SOURCEPAGE:Ssh	
Amphibious	CATEGORY:Special Ability	TYPE:HalfMerrowRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Half-Merrow without a fish tail are capable of breathing air, though they prefer water. The suffer a -1 circumstance penalty on all rolls-skill and ability checks, attack rolls, damage rolls, saving throws, etc.- when out of water more than two hours.	KEY:Half-Merrow ~ Amphibious																											SOURCEPAGE:Ssh	
																																	
Race Traits ~ Abyssal Shark	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AbyssalSharkRaceTrait|Immunity To Poison|Immunity To Cold|Scent	AUTO:LANG|Aquan|Abyssal																													
Frightful Presence	CATEGORY:Special Ability	TYPE:AbyssalSharkRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Whenever an abyssal shark successfully attacks, its frightful presence ability affects all those with fewer HD or levels than the shark has. A character can resist the effects with a successful Will save (DC %1). a character who succeeds at the saving throw is immune to that creature's frightfull presence for one day.|FrightfulPresenceDC	KEY:Abyssal Shark ~ Frightful Presence				DEFINE:FrightfulPresenceDC|0					BONUS:VAR|FrightfulPresenceDC|DefaultDCCon	BONUS:VAR|FrightfulPresenceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Frightful Presence)								ABILITY:Ability Focus|AUTOMATIC|Frightful Presence									SOURCEPAGE:Ssh	
Underwater Sense	CATEGORY:Special Ability	TYPE:AbyssalSharkRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An abyssal shark can locate creatures underwater within a 30-foot radius. This ability negates the effects of Invisibility and poor visibility. It is less effective against creatures without central nervous system, such undead, oozes and constructs; an abyssal shar can locate such creatures only within a 15-foot radius. Abyssal shark are not fooled by figmenst when underwater.	KEY:Abyssal Shark ~ Underwater Senses																											SOURCEPAGE:Ssh	
Size Change	CATEGORY:Special Ability	TYPE:AbyssalSharkRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:This power allows the abyssal shark to traverse the narrow passages of the Underdeep, a task that would be otherwise impossible. At will, it may become a Medium-size creature, changing its size modifier to AC to +0 and granting it a +12 bonus on Hide checks. The creature's strength is reduced to 18, its hit points to 25, and its bite damage to 1d6+4. The abyssal shark is very vulnerable during this time (relatively speaking) and avoids conflicts. Given that it is a vlack shark in black water, this is not too difficult. It only shrinks when it is sure no one is watching.	KEY:Abyssal Shark ~ Size Change									TEMPBONUS:PC|STAT|STR|-14	TEMPBONUS:PC|COMBAT|AC|-19	TEMPBONUS:PC|SIZEMOD|NUMBER|-3																SOURCEPAGE:Ssh	
Improved Grab	CATEGORY:Special Ability	TYPE:AbyssalSharkRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:To use this ability, the abyssal shark must hit with its bite attack. If it gets a hold, it can attempt to swallow the opponent.	KEY:Abyssal Shark ~ Improved Grab																											SOURCEPAGE:Ssh	
Swallow Whole	CATEGORY:Special Ability	TYPE:AbyssalSharkRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An abyssal shark can swallow a grabbed opponent that is Huge or smaller size category by making a successful grapple check. A swallowed creature takes 2d12+12 points of crushing damage and 12 points of acid per round from the shark's stomach. A swallowed creature can try to cut its way out with either claws or a light piercing or slashing weapon. Dealing 50 points of damage to the stomach (AC 16) in this way create an opening large enough to permit escape. Once a single swallowed creature exits, the other nearby corpses close the hole; another swallowed opponent must cut its own way out.	KEY:Abyssal Shark ~ Swallow Whole																											SOURCEPAGE:Ssh	
Ranged Bite	CATEGORY:Special Ability	TYPE:AbyssalSharkRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:By taking a full attack action, an abyssal shark can use its bite as a ranged attack against any target it can sense within 50 feet. It can grab and swallow with this ranged bite just as if it were engaging in melee. Very often, the first indication of an attack by an abyssal shark is some luckless soul being bitten in half with no visible cause. This attack triggers the creature's frightful presence ability.	KEY:Abyssal Shark ~ Ranged Bite																											SOURCEPAGE:Ssh	
Skills	CATEGORY:Special Ability	TYPE:AbyssalSharkRaceTrait.SpecialQuality	VISIBLE:YES	DESC:The abyssal shark is darkness swimming through darkness. If its mouth is closed and there is no light source, it receive a +8 racial bonus on Hide checks.	KEY:Abyssal Shark ~ Skills																											SOURCEPAGE:Ssh	
																																	
Race Traits ~ Coral Golem	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=CoralGolemRaceTrait																														
Magic Immunity	CATEGORY:Special Ability	TYPE:CoralGolemRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An Repel Vermin, Antilife Shell and Antiplant Shell all affect the golem normally, since they are collective entities composed of both animal and plant matter. Diminish Plants deals 4d6 points of damage to a coral golem.	KEY:Coral Golem ~ Magic Immunity																											SOURCEPAGE:Ssh	
Regeneration	CATEGORY:Special Ability	TYPE:CoralGolemRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:As long as the coral golem is still alive it can heal itself rapidly. Only crushing weapon and fire do normal damage to it. These attacks are neither common nor especially effective underwater.	KEY:Coral Golem ~ Regeneration	ASPECT:NAME|Regeneration %1|RegenerationRate								BONUS:VAR|RegenerationRate|5																		SOURCEPAGE:Ssh	
Swimming	CATEGORY:Special Ability	TYPE:CoralGolemRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:As constructs, coral golems do not have skills. However, treat them as if they had +8 for all Swim checks.	KEY:Coral Golem ~ Swimming																											SOURCEPAGE:Ssh	
Aquatic Native	CATEGORY:Special Ability	TYPE:CoralGolemRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A coral golem is considered an aquatic native for all purposes. Furthermore, its slam attacks suffer no penalties underwater.	KEY:Coral Golem ~ Aquatic Native																											SOURCEPAGE:Ssh	
Reefseeming	CATEGORY:Special Ability	TYPE:CoralGolemRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The coral golem can blend into a reef composed of the same or similar types of coral as itself. Detecting a motionless coral golem requires a Spot check DC 28.	KEY:Coral Golem ~ Reefseeming																											SOURCEPAGE:Ssh	
Water Dependency	CATEGORY:Special Ability	TYPE:CoralGolemRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Out of water, the coral golem weakens rapidly. It cannot regenerate and takes 1d4 points of damage per round.	KEY:Coral Golem ~ Water Dependency																											SOURCEPAGE:Ssh	
																																	
Race Traits ~ Drowned Dead	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DrownedDeadRaceTrait																														
Improved Grab	CATEGORY:Special Ability	TYPE:DrownedDeadRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:[no description given]	KEY:Drowned Dead ~ Improved Grab																											SOURCEPAGE:Ssh	
																																	
Race Traits ~ Hippocampus	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=HippocampusRaceTrait|Scent																														
Training	CATEGORY:Special Ability	TYPE:HippocampusRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Hippocampus ~ Training																											SOURCEPAGE:Ssh	
