SOURCELONG:Gozzilioni Seafarer's Handbook	SOURCESHORT:SsH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																																												
# Feat Name		Type	visible	outputname	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page		
Scurvy Dog	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,CON=13									DESC:Your body is accustomed to unhealthy conditions and resists disease better than people who live in less-squalid environments.																	SOURCEPAGE:Ssh		
Shanty Man	CATEGORY:FEAT	TYPE:General	VISIBLE:YES										PRESKILL:1,TYPE.Perform=1												DESC:You are familiar with the songs of the sea and can sing them with such zest and aplomb as to gain the confidence of sailors everywhere.																	SOURCEPAGE:Ssh		
Shorewalker	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Aquatic				DESC:You are an experienced traveler in the surface world.																	SOURCEPAGE:Ssh		
Storm Sense	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You can reliably predict the onset of storms and other weather.																	SOURCEPAGE:Ssh		
Swing-By Attack	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Rope Climber						PRESKILL:1,Climb=1												DESC:You can swing from a rope past a foe and attack at the same time.																	SOURCEPAGE:Ssh		
Tail Slam	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																	PRETEXT:Must have a tail.	PRERACE:1,Merfolk,Half Merrow				DESC:You are trained to use your powerful tail and flukes as a weapon.																	SOURCEPAGE:Ssh		
Tail Walking	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																	PRETEXT:Must have a tail.	PRERACE:1,Merfolk,Half Merrow				DESC:You have learned to use your tail while out of water somewhat more gracefully than most of your kind.																	SOURCEPAGE:Ssh		BONUS:MOVEADD|TYPE=Walk|5
Two-Weapon Defense	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Two-Weapon Fighting									PRESTAT:1,DEX=13									DESC:You can attack and defend with a weapon in each hand. You can fight defensively while still making your normal attacks each round.														BONUS:VAR|FightingDefensivelyPenalty|-2			SOURCEPAGE:Ssh		
Waterfront Native	CATEGORY:FEAT	TYPE:General	VISIBLE:YES									PREPCLEVEL:MAX=1									PRETEXT:Must come from an area bordering an ocean, sea, major river or large lake.				DESC:You grew up in an area close to water. You are especially adept at operating in and under the water.													CSKILL:Swim				SOURCEPAGE:Ssh		
Weapons of Opportunity	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PREATT:4																				DESC:You can use mundane objects as weapons in combat.																	SOURCEPAGE:Ssh		
