SOURCELONG:Gozzilioni Seafarer's Handbook	SOURCESHORT:SsH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	Description	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Merfolk's Blessing			TYPE:Arcane	CLASSES:Bard=1|Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:(CASTERLEVEL*10) minutes	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Creature can swim like a Merfolk	SOURCEPAGE:Ssh								
Message in a Bottle			TYPE:Arcane	CLASSES:Bard=3|Sorcerer,Wizard=3		SCHOOL:Transmutation		DESCRIPTOR:Language-Dependent	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Unlimited	TARGETAREA:One creature		DURATION:Until discharged (destination is reached)	SAVEINFO:None	SPELLRES:None	DESC:The caster can deliver a message in a bottle by dropping it into a body of water	SOURCEPAGE:Ssh								
Nautomancy			TYPE:Arcane.Divine	CLASSES:Cleric=6|Sorcerer,Wizard=6		SCHOOL:Evocation			COMPS:V, S	CASTTIME:10 Minutes	RANGE:Touch	TARGETAREA:See Text		DURATION:See Text	SAVEINFO:None	SPELLRES:Yes	DESC:The Caster can transfer some of his spells to a sea going vessel	SOURCEPAGE:Ssh								
Resist Nature			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:(CASTERLEVEL) creatures		DURATION:(CASTERLEVEL) hours	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Creature is immune to normal extrems of heat and cold	SOURCEPAGE:Ssh								
Sailor's Call			TYPE:Divine	CLASSES:Druid=4|Ranger=4		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One summoned creature		DURATION:(CASTERLEVEL) rounds [D]	SAVEINFO:None	SPELLRES:None	DESC:Summons a porpoise to fight for the caster	SOURCEPAGE:Ssh								
Sea Eyes			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=0|Ranger=1		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:One living creature or self		DURATION:(CASTERLEVEL) hours	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Creature can see underwater without normal penalties	SOURCEPAGE:Ssh								
Sea Hag's Visage			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Self		DURATION:2d4 rounds	SAVEINFO:Will negates	SPELLRES:Yes	DESC:The character transforms his appearance into the horible visage of a sea hag	SOURCEPAGE:Ssh								
Shape Reef			TYPE:Divine	CLASSES:Druid=4		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Portion of Coral Reef		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:None	DESC:The caster can shape the reef to suit his porpose	SOURCEPAGE:Ssh								
Shield of the Kuo-Toa			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature or self		DURATION:(CASTERLEVEL) minutes	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Creates a shimmering magical shield around the creature	SOURCEPAGE:Ssh								
Sink			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=5	DOMAINS:Undersea=6	SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:1 Ship		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Ruptures a ships hull causing it to sink rapidly	SOURCEPAGE:Ssh								
Sphere of Air			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=5	DOMAINS:Undersea=5	SCHOOL:Evocation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:(CASTERLEVEL*10) minutes	SAVEINFO:Reflex negates	SPELLRES:None	DESC:Creates a sphere of air underwater 10' in diameter	SOURCEPAGE:Ssh								
Tidal Wave			TYPE:Divine	CLASSES:Cleric=7|Druid=8	DOMAINS:Water=6	SCHOOL:Evocation			COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Long	TARGETAREA:(CASTERLEVEL*5) ft.		DURATION:1 round	SAVEINFO:See Text	SPELLRES:None	DESC:A huge wall of water appears and collapses causing great damage	SOURCEPAGE:Ssh								
Transmute Water to Blood			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:(CASTERLEVEL*2) 10-ft. cubes		DURATION:Permanent	SAVEINFO:See Text	SPELLRES:None	DESC:Transforms normal water of any depth into blood	SOURCEPAGE:Ssh								
Underwater Sense			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Cone		DURATION:(CASTERLEVEL*10) minutes	SAVEINFO:None	SPELLRES:None	DESC:Caster can locate creatures underwater	SOURCEPAGE:Ssh								
Waterways			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation		DESCRIPTOR:Teleportation	COMPS:V, M	CASTTIME:1 standard action	RANGE:Personal and Touch	TARGETAREA:Living creatures touched		DURATION:Instantaneous	SAVEINFO:See Text	SPELLRES:See Text	DESC:Instantly transports you from one watery location to another	SOURCEPAGE:Ssh								
Whirlpool	KEY:Whirlpool ~ Ssh		TYPE:Divine	CLASSES:Druid=8	DOMAINS:Undersea=8	SCHOOL:Evocation		DESCRIPTOR:Water	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:See Text		DURATION:(CASTERLEVEL) rounds	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Creates a powerful vortex of spinning water	SOURCEPAGE:Ssh								
Wisdom of the Watery Grave			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Necromancy		DESCRIPTOR:Language-Dependent	COMPS:V, S, DF	CASTTIME:10 Minutes	RANGE:See Text	TARGETAREA:One creature		DURATION:(CASTERLEVEL) minutes	SAVEINFO:Will negates	SPELLRES:None	DESC:Caster can speak with the dead who were lost in a body of water	SOURCEPAGE:Ssh								
