SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																																									
#																																												
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page		
Eagle Claw Attack	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Improved Sunder,Improved Unarmed Strike									PRESTAT:1,WIS=13									DESC:When you make an unarmed strike against an object, you may add your Wisdom bonus to the damage dealt to the object.																	SOURCEPAGE:CW		
Extend Rage	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.Rage																		DESC:Each of the uses of your rage or frenzy ability lasts an additional 5 rounds beyond its normal duration.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|ExtraRageDuration|5			SOURCEPAGE:CW		
Extra Rage	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.Rage																		DESC:You rage or frenzy two more times per day than you otherwise could.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|ExtraRageTimes|2			SOURCEPAGE:CW		
Extra Smite	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:4		PREABILITY:1,CATEGORY=Special Ability,TYPE.Smite																		DESC:When you take this feat, you gain two extra attempts to smite per day. Use whatever smite ability you have (the paladin's smite evil ability or the hunter of the dead's ability to smite undead, for example).	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|ExtraSmiteTimes|2			SOURCEPAGE:CW		
Extra Stunning	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:2		PREABILITY:1,CATEGORY=FEAT,Stunning Fist																		DESC:You gain the ability to make three extra stunning attacks per day.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|StunningFistAttackTimes|3			SOURCEPAGE:CW		
Eyes in the Back of Your Head	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:1											PRESTAT:1,WIS=13									DESC:Attackers do not gain the usual +2 bonus on their attack rolls when flanking you. This feat grants no effect whenever you are attacked without benefi t of your Dexterity modifi er to Armor Class, such as when you are flat-footed. You may still be sneak attacked when flanked.																	SOURCEPAGE:CW		
Faster Healing	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PRECHECKBASE:1,Fortitude=5				DESC:You recover lost hit points and ability score points faster than you normally would, according to the table on the next page.																	SOURCEPAGE:CW		
Favored Power Attack	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:4		PREABILITY:1,CATEGORY=Special Ability,Favored Enemy	PREABILITY:1,CATEGORY=FEAT,Power Attack																	DESC:When you use the Power Attack feat against a favored enemy, you may subtract a number from your melee attack rolls and add twice that number to your melee damage rolls. If you attack with a weapon in two hands, add three times the number. The normal restrictions of the Power Attack feat apply.																	SOURCEPAGE:CW		
Fist of Iron	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:2		PREABILITY:2,CATEGORY=FEAT,Improved Unarmed Strike,Stunning Fist																		DESC:Declare that you are using this feat before you make your attack roll (thus, a missed attack roll ruins the attempt). You deal an extra 1d6 points of damage when you make a successful unarmed attack. Each attempt counts as one of your uses of the Stunning Fist feat for the day.																	SOURCEPAGE:CW		
Fleet of Foot	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Run									PRESTAT:1,DEX=15									DESC:When running or charging, you can make a single direction change of 90 degrees or less. You can't use this feat in medium or heavy armor, or if you're carrying a medium or heavier load. If you are charging, you must move in a straight line for 10 feet (2 squares) after the turn to maintain the charge.																	SOURCEPAGE:CW		
Flick of the Wrist	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Quick Draw						PRESKILL:1,Sleight of Hand=5			PRESTAT:1,DEX=17									DESC:If you draw a light weapon and make a melee attack with it in the same round, you catch your opponent fl at-footed (for the purpose of this attack only). You may use this feat only once per round and once per opponent during any single combat encounter.																	SOURCEPAGE:CW		
Flying Kick	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Improved Unarmed Strike,Power Attack						PRESKILL:1,Jump=4			PRESTAT:1,STR=13									DESC:When fi ghting unarmed and using the charge action, you deal an extra 1d12 points of damage with your unarmed attack.																	SOURCEPAGE:CW		
Freezing the Lifeblood	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:10		PREABILITY:2,CATEGORY=FEAT,Improved Unarmed Strike,Stunning Fist									PRESTAT:1,WIS=17									DESC:Declare that you are using this feat before you make your attack roll (thus, a missed attack roll ruins the attempt). Against a humanoid opponent, you can make an unarmed attack that deals no damage but has a chance of paralyzing your target. If your attack is successful, your target must attempt a Fortitude saving throw (DC 10 + 1/2 your character level + your Wis modifi er). If the target fails this saving throw, it is paralyzed for 1d4+1 rounds. Each attempt to paralyze an opponent counts as one of your uses of the Stunning Fist feat for the day. Creatures immune to stunning cannot be paralyzed in this manner.																	SOURCEPAGE:CW		
Greater Kiai Shout	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:9		PREABILITY:1,CATEGORY=FEAT,Kiai Shout									PRESTAT:1,CHA=13									DESC:When you make a kiai shout, your opponents are panicked for 2d6 rounds unless they succeed on Will saves (DC 10 + 1/2 your character level + your Cha modifi er). The kiai shout affects only opponents with fewer Hit Dice or levels than you have.																	SOURCEPAGE:CW		
Greater Resiliency	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PRETEXT:Damage reduction as a class feature or innate ability.				DESC:Your damage reduction increases by 1. If it would normally rise thereafter with level, it does so at its previous rate, adding the +1 normally. For example, a 13th-level barbarian has damage reduction 3/-. By taking this feat, he raises it to 4/-. When he reaches 16th level, his damage reduction becomes 5/- and at 19th level, it becomes 6/-. You may not take this feat more than once. This feat has no effect on the type of weapon or damage that overcomes your damage reduction. If you have more than one form of damage reduction, choose which to increase when you take this feat.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:CW	BONUS:ABILITYPOOL|Greater Resiliency|1	
Greater Two-Weapon Defense	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:11		PREABILITY:3,CATEGORY=FEAT,Improved Two-Weapon Defense,Two-Weapon Defense,Two-Weapon Fighting									PRESTAT:1,DEX=19									DESC:When wielding two weapons (not including natural weapons or unarmed strikes), you gain a +3 shield bonus to your AC. When you are fi ghting defensively or using the total defense action, this shield bonus increases to +6.																	SOURCEPAGE:CW		
Hamstring	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:4		PREABILITY:1,CATEGORY=Special Ability,Sneak Attack																		DESC:If you hit with a melee sneak attack, you may choose to forgo 2d6 points of extra sneak attack damage to reduce your opponent's base speed by half. This speed reduction ends after 24 hours have passed or a successful DC 15 Heal check or the application of any cure spell or other magical healing is made. Creatures immune to sneak attack damage and creatures with no legs or more than four legs can't be slowed down with a hamstring attack. It takes two successful hamstring attacks to affect quadrupeds. Other speeds (fly, burrow, and so on) aren't affected. You may use this ability once per round.																	SOURCEPAGE:CW		
Hold the Line	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:2		PREABILITY:1,CATEGORY=FEAT,Combat Reflexes																		DESC:You may make an attack of opportunity against a charging opponent who enters an area you threaten. Your attack of opportunity happens immediately before the charge attack is resolved.																	SOURCEPAGE:CW		
Improved Buckler Defense	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES				PREMULT:1,[PREABILITY:1,CATEGORY=Internal,TYPE.ShieldProf],[PREABILITY:1,CATEGORY=FEAT,Shield Proficiency]																		DESC:When you attack with a weapon in your off hand, you may still apply your buckler's shield bonus to your Armor Class.																	SOURCEPAGE:CW		
Improved Combat Expertise	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:6		PREABILITY:1,CATEGORY=FEAT,Combat Expertise									PRESTAT:1,INT=13									DESC:When you use the Combat Expertise feat to improve your Armor Class, the number you subtract from your attack roll and add to your AC can be any number that does not exceed your base attack bonus.																	SOURCEPAGE:CW		
Improved Familiar	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PRETEXT:Ability to acquire a new familiar, compatible alignment, suffi ciently high arcane spellcaster level, and base attack bonus.				DESC:When choosing a familiar, the creatures listed below are also available to the spellcaster. The spellcaster may choose a familiar with an alignment up to one step away on each of the alignment axes (lawful through chaotic, good through evil). For example, a chaotic good spellcaster could acquire a neutral familiar. A lawful neutral spellcaster could acquire a neutral good familiar. The spellcaster must have at least the arcane spellcaster level and base attack bonus indicated below in order to acquire the familiar.																	SOURCEPAGE:CW		
Improved Favored Enemy	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:5		PREABILITY:1,CATEGORY=Special Ability,Favored Enemy																		DESC:You deal an extra 3 points of damage to your favored enemies. This benefi t stacks with any existing favored enemy bonus gained from another class.														BONUS:VAR|ImprovedFavoredEnemyBonus|3			SOURCEPAGE:CW		
Improved Mounted Archery	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Mounted Archery,Mounted Combat						PRESKILL:1,Ride=1												DESC:The penalty you take when using a ranged weapon if your mount is taking a double move is eliminated, and the penalty for using a ranged weapon whenyour mount is running is lessened from -4 to - 2. You can attack at any time during your mount's move.																	SOURCEPAGE:CW		
Improved Rapid Shot	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES				PREABILITY:3,CATEGORY=FEAT,Manyshot,Point Blank Shot,Rapid shot																		DESC:When using the Rapid Shot feat, you may ignore the -2 penalty on all your ranged attack rolls.																	SOURCEPAGE:CW		
Improved Toughness	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES																		PRECHECKBASE:1,Fortitude=2				DESC:You gain a number of hit points equal to your current Hit Dice. Each time you gain a HD (such as by gaining a level), you gain 1 additional hit point. If you lose a HD (such as by losing a level), you lose 1 hit point permanently.											BONUS:HP|CURRENTMAX|TL						SOURCEPAGE:CW		
Improved Two-Weapon Defense	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:6		PREABILITY:2,CATEGORY=FEAT,Two-Weapon Defense,Two-Weapon Fighting									PRESTAT:1,DEX=17									DESC:When wielding two weapons (not including natural weapons or unarmed strikes), you gain a +2 shield bonus to your Armor Class. When you are fighting defensively or using the total defense action, this shield bonus increases to +4.																	SOURCEPAGE:CW		
Improved Weapon Familiarity	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:1																				DESC:You can treat all the exotic weapons associated with your race as martial weapons rather than as exotic weapons. A weapon is treated as being associated with a race if the race's name appears as part of the weapon's name, such as the elven thinblade (see Chapter 4 ofthis book) or the dwarven urgrosh.																	SOURCEPAGE:CW	BONUS:ABILITYPOOL|Improved Weapon Familiarity|1	
Instantaneous Rage	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.Rage																		DESC:Your rage begins at any time you wish, even when it's not your turn or when you're surprised. You can activate your rage as a free action in response to another's action. Thus, you can gain the benefit og rage in time to prevent or ameliorate an undesiderable event. For example, you can choose to enter a rage when an enemy attacks you, or casts a spell at you (to gain the benefit of a higher Constitution or your bonus on Will saves) before you know the results of the attack. You must be aware of the attack, but you may be flat-footed.																	SOURCEPAGE:CW		
Intimidating Rage	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.Rage																		DESC:While you are raging, you designate a single foe within 30 feet of you that you can attempt to demoralize as a free action (see Intimidate skill, page 76 of the Player's Handbook). A foe that you successfully demoralize remains shaken for as long as you continue to rage. You may only use this feat against a single foe in any particular encounter.																	SOURCEPAGE:CW		
Karmic Strike	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Combat Expertise,Dodge									PRESTAT:1,DEX=13									DESC:You can make an attack of opportunity against an opponent that hits you in melee. On your action, you choose to take a -4 penalty to your Armor Class in exchange for the ability to make an attack of opportunity against any creature that makes a successfull melee attack or melee touch attack against you. The opponent that hits you must be in your threatened area, and this feats does not grant you more attacks of opportunity than you are normally allowed in a round. You specify on your turn that you are activating this feat, and the change to your Armor Class and your ability to make these special attacks of opportunity last until your next turn.																	SOURCEPAGE:CW		
Kiai Shout	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:1											PRESTAT:1,CHA=13									DESC:Making a kiai shout is a standard action. Opponents who can hear your shout and who are within 30-feet of you may become shaken for 1d6 rounds. The kiai shout affects only opponents with fewer Hit Dice or levels than you have. An opponent in the affected area can resist the effect with a successful Will save (DC 10 + 1/2 your character level + your Cha modifier). You can use the benefi t of this feat three times per day. 																	SOURCEPAGE:CW		
Monkey Grip	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:1																				DESC:You can use melee weapons one size category larger than you are with a -2 penalty on the attack roll, but the amount of effort it takes you to use the weapon does not change. For instance, a Large longsword (a one-handed weapon for a Large creature) is considered a two-handed weapon for a Medium creature that does not have this feat. For a Medium creature that has this feat, it is still considered a one-handed weapon. You can wield a larger light weapon as a light weapon, or a larger two-handed weapon in two hands. You cannot wield a larger weapon in your off hand, and you cannot use this feat with a double weapon.																BONUS:WEAPONPROF=Melee|PCSIZE|1	SOURCEPAGE:CW	BONUS:WEAPONPROF=Melee|TOHITOVERSIZE|-2
Pain Touch	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:2		PREABILITY:1,CATEGORY=FEAT,Stunning Fist									PRESTAT:1,WIS=15									DESC:Victims of a successful stunning attack are subject to such debilitating pain that they are nauseated for 1 round following the round they are stunned. Creatures that are immune to stunning attacks are also immune to the effect of this feat, as are any creatures that are more than one size category larger than the feat user.																	SOURCEPAGE:CW		
Phalanx Fighting	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:1																 PREPROFWITHSHIELD:1,TYPE.Heavy				DESC:If you are using a heavy shield and a light weapon, you gain a +1 bonus to your Armor Class. In addition, if you are within 5 feet of an ally who is also using a heavy shield and light weapon and who also has this feat, you may form a shield wall. A shield wall provides an extra +2 bonus to AC and a +1 bonus on Reflex saves to all eligible characters participating in the shield wall. For example, a single character with this feat gains a +1 bonus to his AC. If two or more characters who all know this feat are adjacent, they each gain an extra +2 bonus to AC (for a total of +3) and a +1 bonus on Reflex saves.									BONUS:COMBAT|TOHIT|1|PREMULT:2,[PREEQUIP:1,WIELDCATEGORY=Light],[PREEQUIP:1,TYPE=Shield.Heavy]								SOURCEPAGE:CW		
Pin Shield	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:4		PREABILITY:1,CATEGORY=FEAT,Two-Weapon Fighting																		DESC:This feat can be used only when fi ghting against an opponent who is using a shield and who is your size or one size category bigger or smaller than you. When making a fullattack action, you may give up all your off-hand attacks. If you do, you momentarily pin your opponent's shield with your off-hand weapon, and all your remaining attacks during the round are made with your primary weapon (with the normal penalties for fi ghting with two weapons), and your foe gains no Armor Class benefi t from her shield until the end of your action. You cannot use this feat if you are fi ghting with only one weapon.																	SOURCEPAGE:CW		
Power Critical	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:4		PREABILITY:1,CATEGORY=FEAT,Weapon Focus																		DESC:When using the weapon you selected, you gain a +4 bonus on the roll to confi rm a threat.	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|ABILITY=FEAT[Weapon Focus]														SOURCEPAGE:CW		
Prone Attack	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:2		PREABILITY:1,CATEGORY=FEAT,Lightning Reflexes									PRESTAT:1,DEX=15									DESC:You can make an attack from the prone position and take no penalty on your attack roll. If your attack roll is successful, you may regain your feet immediately as a free action. Opponents gain no bonus on melee attacks against you while you are prone.																	SOURCEPAGE:CW		
Ranged Disarm	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:5		PREABILITY:2,CATEGORY=FEAT,Point Blank Shot,Precise Shot									PRESTAT:1,DEX=15									DESC:Choose one type of ranged weapon with which you are profi cient. You can make a disarm attempt with this weapon as long as your target is within 30 feet.	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|PC[TYPE=Ranged]														SOURCEPAGE:CW		
Ranged Pin	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:5		PREABILITY:2,CATEGORY=FEAT,Point Blank Shot,Precise Shot									PRESTAT:1,DEX=15									DESC:You can perform a ranged grapple attempt against an oppoent by pinning a bit of its clothing to a nearby surface. The target must be within 5 feet of a wall, tree or other surface in which a thrown weapon or projectile can be stuck and must be wearing some sort of clothing, armor or other accoutrement. You must succeed on a ranged attack (not a ranged touch attack) and then win an opposed grapple check (your size modifier and target's zise modifier still apply). To break free, the victim must make a DC 15 strength check or a DC 15 Escape Artist check as a standard action.																	SOURCEPAGE:CW		
Ranged Sunder	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:5		PREABILITY:2,CATEGORY=FEAT,Point Blank Shot,Precise Shot									PRESTAT:1,STR=13									DESC:When attacking objects, you deal full damage (instead of half damage) with slashing or bludgeoning ranged weapons. You can make ranged sunder attempts with piercing weapons, such arrows, but only deal half damage; divide the damage dealt by 2 before applying the object's hardness (see the sunder special attack on page 158 of the Player's Handbook, as well as page 166 for the hardness of common substances and items). You must be within 30 feet of your opponent to make a ranged sunder attempt.																	SOURCEPAGE:CW		
Rapid Stunning	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:6		PREABILITY:2,CATEGORY=FEAT,Combat Reflexes,Stunning Fist																		DESC:You may use one additional stunning attack (or other special attack that counts against your daily limit of stunning attacks) per round.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:CW		
Roundabout Kick	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Improved Unarmed Strike,Power Attack									PRESTAT:1,STR=15									DESC:If you score a critical hit on an unarmed attack, you can immediately make an additional unarmed attackagainst the same opponent, using the same attack bonus that you used for the critical hit roll. For example, Ember the 15th level monk can make three unarmed attack in a round, at base attack bonuses of +11,+6 and +1. If she scores a critical hit on her second attack, che can make an additional attack using her +6 base attack bonus. She then makes her third attack (at +1) as normal.																	SOURCEPAGE:CW		
Sharp-Shooting	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:3		PREABILITY:2,CATEGORY=FEAT,Point Blank Shot,Precise Shot																		DESC:Your targets only receive a +2 bonus to Armor Class due to cover. This feat has no effect against foes with no cover of total cover.																	SOURCEPAGE:CW		
Shield Charge	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:3		PREABILITY:1,CATEGORY=FEAT,Improved Shield Bash																		DESC:If you hit an opponent with your shield as part of a charge action, in affition to dealing damage nomally, you may make a trip attack without provoking an attack of opportunity. If you lose, the defender does not get to try to tripo in return.																	SOURCEPAGE:CW		
Shield Slam	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:6		PREABILITY:2,CATEGORY=FEAT,Improved Shield Bash,Shield Charge																		DESC:As a full-round action or as a charge action, you may make an attack with your shield against an opponent. If you hit, you force the target damaged by this attack to make a Fortitude saving throw (DC 10 + 1/2 your charachter level + your Str modifier) addition to dealing damage normally. A defender who fails this saving throw is dazed dor 1 roiund (until just before your next action). Constructs, oozes, plants, undead, incorporeal creatures and creatures immune to critical hits cannot be dazed.																	SOURCEPAGE:CW		
Swarmfighting	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,STR=13					PRESIZEEQ:S				DESC:You can occupy the same 5-foot square in combat with any other allied Small creature that also possesses the Swarfighting feat at no penalty. When you engage a Medium or larger creature in melee, and at least one other ally with the Swarmfighting feat threatens the target, you gain +1 morale bonus on the attack roll. This bonus increases by +1 for each additional ally beyond the first with the Swoarmfighting feat that threatens the same target. He total morale bonus imparted tyo your attack roll cannot exceed your Dexterity bonus.																	SOURCEPAGE:CW		
Throw Anything	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:2											PRESTAT:1,DEX=15									DESC:You can throw a melee weapon you are profi cient with as if it were a ranged weapon. The range increment of weapons used in conjunction with this feat is 10 feet.																	SOURCEPAGE:CW		
Weakening Touch	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:2		PREABILITY:2,CATEGORY=FEAT,Improved Unarmed Strike,Stunning Fist									PRESTAT:1,WIS=17									DESC:Declare that you are using this feat before you make your attack roll (thus, a missed attack roll ruins the attempt). You can make an unarmed attack that deals no damage, but instead applies a -6 penalty to the target's Strength score for 1 minute. Multiple weakening touches delivered on the same target are not cumulative. Each attempt to deliver a weakening touch counts as one of your Stunning Fist attacks for the day. Creatures with immunity to stun effects cannot be affected by this feat.																	SOURCEPAGE:CW		
Zen Archery	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:1											PRESTAT:1,WIS=13									DESC:You can use your Wisdom modifi er instead of your Dexterity modifier when making a ranged attack roll.									BONUS:COMBAT|TOHIT.Ranged|max(WIS,DEX)-DEX								SOURCEPAGE:CW		
