SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																							
#																										
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus	
Arcane Mark.MOD	CLASSES:Hexblade=1																									
Augment Familiar.MOD	CLASSES:Hexblade=1																									
Cause Fear.MOD	CLASSES:Hexblade=1																									
Charm Person.MOD	CLASSES:Hexblade=1																									
Detect Magic.MOD	CLASSES:Hexblade=1																									
Disguise Self.MOD	CLASSES:Hexblade=1																									
Entropic Shield.MOD	CLASSES:Hexblade=1																									
Expeditious Retreat.MOD	CLASSES:Hexblade=1																									
Identify.MOD	CLASSES:Hexblade=1																									
Light.MOD	CLASSES:Hexblade=1																									
Magic Weapon.MOD	CLASSES:Hexblade=1																									
Mount.MOD	CLASSES:Hexblade=1																									
Nystul's Magic Aura	CLASSES:Hexblade=1																									
Phantom Threat.MOD	CLASSES:Hexblade=1																									
Prestidigitation	CLASSES:Hexblade=1																									
Protection from Chaos.MOD	CLASSES:Hexblade=1																									
Protection from Evil.MOD	CLASSES:Hexblade=1																									
Protection from Good.MOD	CLASSES:Hexblade=1																									
Protection from Law.MOD	CLASSES:Hexblade=1																									
Read Magic.MOD	CLASSES:Hexblade=1																									
Sleep.MOD	CLASSES:Hexblade=1																									
Tasha's Hideous Laughter.MOD	CLASSES:Hexblade=1																									
Undetectable Alignment.MOD	CLASSES:Hexblade=1																									
Unseen Servant.MOD	CLASSES:Hexblade=1																									
Alter Self.MOD	CLASSES:Hexblade=2																									
Blindness/Deafness.MOD	CLASSES:Hexblade=2																									
Bull's Strength.MOD	CLASSES:Hexblade=2																									
Darkness.MOD	CLASSES:Hexblade=2																									
Eagle's Splendor.MOD	CLASSES:Hexblade=2																									
Enthrall.MOD	CLASSES:Hexblade=2																									
False Life.MOD	CLASSES:Hexblade=2																									
Glitterdust.MOD	CLASSES:Hexblade=2																									
Invisibility.MOD	CLASSES:Hexblade=2																									
Mirror Image.MOD	CLASSES:Hexblade=2																									
Protection from Arrows.MOD	CLASSES:Hexblade=2																									
Pyrotechnics.MOD	CLASSES:Hexblade=2																									
Rage.MOD	CLASSES:Hexblade=2																									
Resist Energy.MOD	CLASSES:Hexblade=2																									
See Invisibility.MOD	CLASSES:Hexblade=2																									
Spider Climb.MOD	CLASSES:Hexblade=2																									
Suggestion.MOD	CLASSES:Hexblade=2																									
Summon Swarm.MOD	CLASSES:Hexblade=2																									
Touch of Idiocy.MOD	CLASSES:Hexblade=2																									
Arcane Sight.MOD	CLASSES:Hexblade=3																									
Charm Monster.MOD	CLASSES:Hexblade=3																									
Confusion.MOD	CLASSES:Hexblade=3																									
Deep Slumber.MOD	CLASSES:Hexblade=3																									
Dispel Magic.MOD	CLASSES:Hexblade=3																									
Hound of Doom.MOD	CLASSES:Hexblade=3																									
Invisibility Sphere.MOD	CLASSES:Hexblade=3																									
Magic Weapon (Greater).MOD	CLASSES:Hexblade=3																									
Nondetection.MOD	CLASSES:Hexblade=3																									
Phantom Steed.MOD	CLASSES:Hexblade=3																									
Poison.MOD	CLASSES:Hexblade=3																									
Protection from Energy.MOD	CLASSES:Hexblade=3																									
Repel Vermin.MOD	CLASSES:Hexblade=3																									
Slow.MOD	CLASSES:Hexblade=3																									
Stinking Cloud.MOD	CLASSES:Hexblade=3																									
Vampiric Touch.MOD	CLASSES:Hexblade=3																									
Wind Wall.MOD	CLASSES:Hexblade=3																									
Baleful Polymorph.MOD	CLASSES:Hexblade=4																									
Break Enchantment.MOD	CLASSES:Hexblade=4																									
Contact other Plane.MOD	CLASSES:Hexblade=4																									
Cursed Blade.MOD	CLASSES:Hexblade=4																									
Detect Scrying.MOD	CLASSES:Hexblade=4																									
Dimension Door.MOD	CLASSES:Hexblade=4																									
Dominate Person.MOD	CLASSES:Hexblade=4																									
Enervation.MOD	CLASSES:Hexblade=4																									
Fear.MOD	CLASSES:Hexblade=4																									
Invisibility (Greater).MOD	CLASSES:Hexblade=4																									
Phantasmal Killer.MOD	CLASSES:Hexblade=4																									
Polymorph.MOD	CLASSES:Hexblade=4																									
Scrying.MOD	CLASSES:Hexblade=4																									
Sending.MOD	CLASSES:Hexblade=4																									
Solid Fog.MOD	CLASSES:Hexblade=4																									
#																										
Magic Stone.MOD	CLASSES:Hunter of the Dead=1																									
Magic Weapon.MOD	CLASSES:Hunter of the Dead=1																									
Cure Light Wounds.MOD	CLASSES:Hunter of the Dead=1																									
Hide from Undead.MOD	CLASSES:Hunter of the Dead=1																									
Remove Fear.MOD	CLASSES:Hunter of the Dead=1																									
Bull's Strength.MOD	CLASSES:Hunter of the Dead=2																									
Cure Moderate Wounds.MOD	CLASSES:Hunter of the Dead=2																									
Continual Flame.MOD	CLASSES:Hunter of the Dead=2																									
Darkvision.MOD	CLASSES:Hunter of the Dead=2																									
Restoration (Lesser).MOD	CLASSES:Hunter of the Dead=2																									
Remove Paralysis.MOD	CLASSES:Hunter of the Dead=2																									
Cure Serious Wounds.MOD	CLASSES:Hunter of the Dead=3																									
Daylight.MOD	CLASSES:Hunter of the Dead=3																									
Halt Undead.MOD	CLASSES:Hunter of the Dead=3																									
Protection from Elements.MOD	CLASSES:Hunter of the Dead=3																									
Searing Light.MOD	CLASSES:Hunter of the Dead=3																									
Speak with Dead.MOD	CLASSES:Hunter of the Dead=3																									
Cure Critical Wounds.MOD	CLASSES:Hunter of the Dead=4																									
Death Ward.MOD	CLASSES:Hunter of the Dead=4																									
Disrupting Weapon.MOD	CLASSES:Hunter of the Dead=4																									
Freedom of Movement.MOD	CLASSES:Hunter of the Dead=4																									
Restoration.MOD	CLASSES:Hunter of the Dead=4																									
Bless Water.MOD	CLASSES:Knight of the Chalice=1																									
Bless Weapon.MOD	CLASSES:Knight of the Chalice=1																									
Detect Chaos.MOD	CLASSES:Knight of the Chalice=1																									
Detect Evil.MOD	CLASSES:Knight of the Chalice=1																									
Divine Favor.MOD	CLASSES:Knight of the Chalice=1																									
Doom.MOD	CLASSES:Knight of the Chalice=1																									
Endure Elements.MOD	CLASSES:Knight of the Chalice=1																									
Magic Weapon.MOD	CLASSES:Knight of the Chalice=1																									
Protection from Evil.MOD	CLASSES:Knight of the Chalice=1																									
Remove Fear.MOD	CLASSES:Knight of the Chalice=1																									
Summon Monster I.MOD	CLASSES:Knight of the Chalice=1																									
Aid.MOD	CLASSES:Knight of the Chalice=2																									
Align Weapon.MOD	CLASSES:Knight of the Chalice=2																									
Bull's Strength.MOD	CLASSES:Knight of the Chalice=2																									
Consecrate.MOD	CLASSES:Knight of the Chalice=2																									
Endurance.MOD	CLASSES:Knight of the Chalice=2																									
Resist Elements.MOD	CLASSES:Knight of the Chalice=2																									
Sound Burst.MOD	CLASSES:Knight of the Chalice=2																									
Spiritual Weapon.MOD	CLASSES:Knight of the Chalice=2																									
Summon Monster II.MOD	CLASSES:Knight of the Chalice=2																									
Undetectable Alignment.MOD	CLASSES:Knight of the Chalice=2																									
Dispel Magic.MOD	CLASSES:Knight of the Chalice=3																									
Invisibility Purge.MOD	CLASSES:Knight of the Chalice=3																									
Magic Circle against Evil.MOD	CLASSES:Knight of the Chalice=3																									
Magic Vestment.MOD	CLASSES:Knight of the Chalice=3																									
Prayer.MOD	CLASSES:Knight of the Chalice=3																									
Protection from Elements.MOD	CLASSES:Knight of the Chalice=3																									
Searing Light.MOD	CLASSES:Knight of the Chalice=3																									
Shout.MOD	CLASSES:Knight of the Chalice=3																									
Summon Monster III.MOD	CLASSES:Knight of the Chalice=3																									
Dimensional Anchor.MOD	CLASSES:Knight of the Chalice=4																									
Discern Lies.MOD	CLASSES:Knight of the Chalice=4																									
Dismissal.MOD	CLASSES:Knight of the Chalice=4																									
Dispel Evil.MOD	CLASSES:Knight of the Chalice=4																									
Holy Smite.MOD	CLASSES:Knight of the Chalice=4																									
Magic Weapon (Greater).MOD	CLASSES:Knight of the Chalice=4																									
Aspect of the Deity (Lesser).MOD	CLASSES:Knight of the Chalice=4																									
Planar Ally (Lesser).MOD	CLASSES:Knight of the Chalice=4																									
#																										
