SOURCELONG:Gozzilioni Deities and Demigods	SOURCESHORT:DaD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-04																													
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Whale	CATEGORY:Special Ability	TYPE:BerserkTotem.SpecialQuality	VISIBLE:YES	DESC:%1/day change shape into a Whale.	KEY:Berserk ~ Totem ~ Whale																											SOURCEPAGE:DaD
Wolf	CATEGORY:Special Ability	TYPE:BerserkTotem.SpecialQuality	VISIBLE:YES	DESC:%1/day change shape into a Wolf.	KEY:Berserk ~ Totem ~ Wolf																											SOURCEPAGE:DaD
																																
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTaiiaClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A Justiciar of Taiia gains any one weapon proficiency feat (with a certain weapon) as a bonus feat.	KEY:Justiciar of Taiia ~ Weapon and Armor Proficiency									BONUS:ABILITYPOOL|Justiciar of Taiia Feat|1																	SORTKEY:Class_Justiciar_Of_Taiia	SOURCEPAGE:DaD
Sneak Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTaiiaClassFeatures.SpecialQuality.Extraordinary.Sneak Attack	VISIBLE:DISPLAY	DESC:If a justiciar of Taiia can catch an opponent when she is unable to defend herself effectively from his attack, he can strike a vital spot for extra damage. Any time the justiciar's target would be denied her Dexterity bonus to AC (whether she actually has a Dexterity bonus or not), or when the justiciar flanks the target, the justiciar's attack deals extra damage. The extra damage is +1d6 at 1st level and an additional 1d6 every three levels thereafter. Should the justiciar score a critical hit with a sneak attack, this extra damage is not multiplied.	KEY:Justiciar of Taiia ~ Sneak Attack									BONUS:VAR|SneakAttackDice|(JusticiarOfTaiiaLVL+2)/3									ABILITY:Special Ability|AUTOMATIC|Sneak Attack								SORTKEY:Class_Justiciar_Of_Taiia	SOURCEPAGE:DaD
Combat Sense	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTaiiaClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A Justiciar of Taiia can designate a single opponent in combat. Against that gains +%1 insight bonus on AC and +%1 insight bonus on attack rolls.	KEY:Justiciar of Taiia ~ Combat Sense				DEFINE:CombatSenseBonus|0					BONUS:VAR|CombatSenseBonus|min(6,(((JusticiarOfTaiiaLVL+1)/3)*2))																	SORTKEY:Class_Justiciar_Of_Taiia	SOURCEPAGE:DaD
Augury	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTaiiaClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 3rd level, a justiciar of Taiia gains the ability to use Augury as a spell-like ability.	KEY:Justiciar of Taiia ~ Augury				DEFINE:AuguryTimes|0					BONUS:VAR|AuguryTimes|min(3,(JusticiarOfTaiia/3))									SPELLS:Class|TIMES=AuguryTimes|CASTERLEVEL=JusticiarOfTaiiaLVL|Augury								SORTKEY:Class_Justiciar_Of_Taiia	SOURCEPAGE:DaD
Divination	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTaiiaClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 5th level, a justiciar of Taiia gains the ability to use Divination as a spell-like ability.	KEY:Justiciar of Taiia ~ Divination				DEFINE:DivinationTimes|0					BONUS:VAR|DivinationTimes|min(2,(JusticiarOfTaiia/5))									SPELLS:Class|TIMES=DivinationTimes|CASTERLEVEL=JusticiarOfTaiiaLVL|Divination								SORTKEY:Class_Justiciar_Of_Taiia	SOURCEPAGE:DaD
																																
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Soldiers of Light are proficient with all simple and martial weapons and with all armor and shields.	KEY:Soldier of Light ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProfTower						SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Spontaneous Casting	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Since soldiers of light are so attuned to positive energy, they can spontaneously cast Cure spells just as a good cleric can. The soldier can convert any prepared divine spell into a Cure spell of the same level.	KEY:Soldier of Light ~ Spontaneous Casting																		ABILITY:Special Ability|VIRTUAL|Spontaneous casting ~ Cure spells|!PREABILITY:1,CATEGORY=ACF,TYPE.SoldierOfLightSpontaneousCasting|PREABILITY:1,CATEGORY=Special Ability,Turn Undead								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Detect Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At will can Detect Undead as a spell-like ability.	KEY:Soldier of Light ~ Detect Undead																		SPELLS:Class|TIMES=ATWILL|CASTERLEVEL=SoldierOfLightLVL|Detect Undead								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Turn Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Soldiers of Light can turn Undead.	KEY:Soldier of Light ~ Turn Undead				DEFINE:SoldierOfLightTurnLVL|0					BONUS:VAR|SoldierOfLightTurnLVL|SoldierOfLightLVL	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|SoldierOfLightTurnLVL|TYPE=Level.REPLACE								ABILITY:Special Ability|VIRTUAL|Basic Turning|Turn Undead								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Divine Grace	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Soldiers of Light applies his charisma bonus (if positive) as a bonus on all saving throws.	KEY:Soldier of Light ~ Divine Grace									BONUS:SAVE|ALL|max(0,CHA)																	SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Smite Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Once per day, a soldier of light of 2nd level or higher may attempt to smite undead with one normal melee attack. He adds his Wisdom modifier (if positive) to his attack roll and deals 1 extra point of damage per class level. If the soldier of light accidentally smites a creature that is not undead, the smite has no effect but it is still used up for that day. 	KEY:Soldier of Light ~ Smite Undead									BONUS:VAR|SmiteUndeadToHit|WIS	BONUS:VAR|SmiteUndeadDamage|SoldierOfLightLVL	BONUS:VAR|SmiteUndead|1							ABILITY:Special Ability|VIRTUAL|Smite Undead								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Positive Fortitude	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:+2 sacred bonus on all saving throws against necromantic spells or effects as well as energy drain attacks.	KEY:Soldier of Light ~ Positive Fortitude									BONUS:VAR|NecromanticEffectsResistanceBonus|2|TYPE=Sacred	BONUS:VAR|EnergyDrainResistanceBonus|2|TYPE=Sacred								ABILITY:Special Ability|VIRTUAL|Resistance To Necromantic Effects|Resistance To Energy Drain								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Energon Companion	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 4th level, a soldier of the light can summon a xag-ya, an outsider formed of positive Energy. When the soldier reaches 8th level, he can summon an additional energon.	KEY:Soldier of Light ~ Energon Companion									BONUS:VAR|EnergonCompanionLVL|SoldierOfLightLVL									ABILITY:Internal|AUTOMATIC|Energon Companion (Base)								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Energon Companion 2	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality	VISIBLE:NO	DESC:At 4th level, a soldier of the light can summon a xag-ya, an outsider formed of positive Energy. When the soldier reaches 8th level, he can summon an additional energon.	KEY:Soldier of Light ~ Energon Companion 2									BONUS:FOLLOWERS|Energon Companion|1																	SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Divine Vengeance	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A Soldier of Light gains the ability to channel positive energy in a melee attacks.	KEY:Soldier of Light ~ Divine Vengeance																		ABILITY:FEAT|AUTOMATIC|Divine Vengeance								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Fast Healing	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:at 7th level Soldier of light gains Fast Healing 1. At 10th level Fast Healing increase to 2.	KEY:Soldier of Light ~ Fast Healing									BONUS:VAR|FastHealingRate|1	BONUS:VAR|FastHealingRate|1|PREVARGTEQ:SoldierOfLightLVL,10																SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Positive Energy Blast	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:using 2 normal turning attempt can create a positive energy burst that deals %1d6 to all undead in 100feet (Ref DC %2 for half)	KEY:Soldier of Light ~ Positive Energy Blast				DEFINE:PositiveEnergyBursDice|0	DEFINE:PositiveEnergyBursDC|0				BONUS:VAR|PositiveEnergyBurstDice|SoldierOfLightLVL	BONUS:VAR|PositiveEnergyBurstDC|10+SoldierOfLightLVL																SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
