SOURCELONG:Gozzilioni Rule of Cool Forum	SOURCESHORT:ROC	SOURCEWEB:http://www.ruleofcool.com/smf/index.php	SOURCEDATE:2013-01																																											
																																														
# BASICS																																														
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page					
Jungle Drow	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Drow				DESC:If you gain the ability to Rebuke/Control Undead, you can also Rebuke/control scorpions of all kinds. If you have an animal companion, special mount, or similar ability, you can swap it for a Monstrous Scorpion of same CR (or other scorpion-like monster, with DM's aproval).																	SOURCEPAGE:ROC	BONUS:ABILITYPOOL|Turn Scorpion|1|TYPE=Feat	COMPANIONLIST:Animal Companion|Companion ~ Monstrous Scorpion ~ Tiny,Companion ~ Monstrous Scorpion ~ Small,Companion ~ Monstrous Scorpion ~ Medium,Companion ~ Monstrous Scorpion ~ Large,Companion ~ Monstrous Scorpion ~ Huge,Companion ~ Monstrous Scorpion ~ Gargantuan,Companion ~ Monstrous Scorpion ~ Colossal	COMPANIONLIST:Familiar|Companion ~ Monstrous Scorpion ~ Tiny,Companion ~ Monstrous Scorpion ~ Small,Companion ~ Monstrous Scorpion ~ Medium,Companion ~ Monstrous Scorpion ~ Large,Companion ~ Monstrous Scorpion ~ Huge,Companion ~ Monstrous Scorpion ~ Gargantuan,Companion ~ Monstrous Scorpion ~ Colossal	COMPANIONLIST:Special Mount|Companion ~ Monstrous Scorpion ~ Tiny,Companion ~ Monstrous Scorpion ~ Small,Companion ~ Monstrous Scorpion ~ Medium,Companion ~ Monstrous Scorpion ~ Large,Companion ~ Monstrous Scorpion ~ Huge,Companion ~ Monstrous Scorpion ~ Gargantuan,Companion ~ Monstrous Scorpion ~ Colossal
Mystic Ghost	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRETEMPLATE:1,Ghost				DESC:You gain one extra Lesser or Greater Ghost Power you didn't have already.&nl;Special: You may select this feat multiple times. Its effects stack. Each time you choose a different extra Lesser or Greater Ghost power.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ROC	BONUS:ABILITYPOOL|Ghost Ability|1			
Extraordinary Disease	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES									PREHD:MIN=6				PRESTAT:1,CON=13					PREABILITY:1,CATEGORY=Special Ability,TYPE.Disease				DESC:Your disease is different from the disease spread by same monster as you.&nl;Special:This feat may be taken multiple times, choosing a different option each time (or choosing options that specifically allow multiple instances).	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ROC	BONUS:ABILITYPOOL|Extraordinary Disease|1			
Burning Strike	CATEGORY:FEAT	TYPE:Monster.Fighter	VISIBLE:YES																		PRERACE:1,Devil (Narzugon)				DESC: Any attack modified by your Cold Iron Strike also deals +1d4 fire damage.&nl;Special: A narzugon fighter may select this feat as one of his bonus feats.																	SOURCEPAGE:ROC				
Wicked Mount	CATEGORY:FEAT	TYPE:General	VISIBLE:YES									PRELEVEL:MIN=3								PREALIGN:LE,NE,CE	PRESPELL:1,Mount				DESC:Benefit: Any creature you summon via the mount or phantom steed spells gains the fiendish template, using your HD to determine the benefits in place of the summoned creature's HD.																	SOURCEPAGE:ROC				
Air Today ~ Gone Tomorrow	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES	KEY:Air Today ~ Gone Tomorrow																	PRERACE:1,Invisible Stalker				DESC:Benefit: Upon being killed, your body dissipates into a fine mist and vanishes into the Elemental Plane of Air. One week later, all of it seeps back through to the Prime Material. You reform in the spot where you were killed with your full hit point total. If instead you are killed on the Elemental Plane of Air, you die (and may be raised) as normal.																	SOURCEPAGE:ROC	OUTPUTNAME:Air Today ~ Gone Tomorrow			
Keeper Sentry	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRERACE:1,Keeper				DESC:You can use your mimic ability to replicate ranged weapons. You can reload such weapons whitout problem even tough your hands are transformed. If you have no ammo available, you can produce it from your own body as a free action at the rate of 1 HP per shot.																	SOURCEPAGE:ROC				
Siege Keeper	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRERACE:1,Keeper				DESC:You can use your mimic ability to turn yourself into a siege engine. This option makes all your body transform into the siege engine, not just your hands, and you fill as much space as the siege engine itself. All your movement speeds are halved, and you cannot perform any actions other than firing (standard action), loading yourself(move action) and mental skills other than Use Magic Device. Unless you have some kind of ally crew to load you with shots, you must produce the ammo from your own body at the cost of 5 HP per shot. 																	SOURCEPAGE:ROC				
Thrallherd	CATEGORY:FEAT	TYPE:General	VISIBLE:YES									PRELEVEL:MIN=6									PRESPELL:2,Charm Monster,Dominate Monster				DESC:Whenever you create a mind-affecting effect with a duration of 1 hour/level or longer, you can make its duration Permanent. Creatures under the effect count as followers, as if you possessed the Leadership feat, though their reaction to you does not change beyond what is dictated by the effect itself (i.e. if you placed a Permanent suggestion on an enemy then it would remain an enemy). If you target a creature that could not be attracted as a follower (eg. if it is too high level, or all your follower slots are filled) then the effect does not become Permanent for that creature. You may place a creature under multiple Permanent effects, but they count as multiple followers.&nl;Special: Do not apply reputation-based modifiers to your Leadership score when determining the followers provided by this feat. If you possess the Leadership feat your standard followers from that feat are tracked separately (and take reputation-based modifiers into account, as normal). 																	SOURCEPAGE:ROC				
Synthetizator	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRERACE:1,Minstealer (Drone)				DESC:You can Psychic Drain, Memory Drain and Absorb Abilities from Constructs.																	SOURCEPAGE:ROC				
Exhume	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRERACE:1,Minstealer (Drone)				DESC:You can Psychic Drain, Memory Drain and Absorb Abilities from Undead.																	SOURCEPAGE:ROC				
From the Depth	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRERACE:1,Minstealer (Drone)				DESC:You can Psychic Drain, Memory Drain and Absorb Abilities from Vermin and Oozes.																	SOURCEPAGE:ROC				
Nightmare Endurance	CATEGORY:FEAT	TYPE:Monster.Fighter	VISIBLE:YES																		PRERACE:1,Nightmare				DESC:You gain a +4 bonus on Constitution checks, Swim checks made to resist nonlethal damage, Fortitude saves made to avoid nonlethal damage from hot or cold environments, and Fortitude saves made to resist damage from suffocation. In addition you can hustle without becoming fatigued, though you still take nonlethal damage. Finally, you may sleep in barding of any type without becoming fatigued.&nl;Special: A nightmare who would gain Endurance as a bonus feat can choose Nightmare Endurance in its place. Nightmare Endurance counts as the Endurance feat for the purpose of meeting a prerequisite for a feat, prestige class, or special ability.																	SOURCEPAGE:ROC	SERVESAS:FEAT|Endurance			
Nightmare Trample	CATEGORY:FEAT	TYPE:Fighter	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Mounted Combat													PRETEXT:Native to a Lower Plane.	PREMULT:1,[PREVARGTEQ:FireResistanceBonus,5],[PREABILITY:1,CATEGORY=Special Ability,Immunity To Fire]				DESC:When you attempt to overrun an opponent while mounted on a nightmare, your target cannot choose to avoid you. Both you and your mount can make one attack (your mount with a hoof and you with a melee weapon) against any target you knock down, gaining the standard +4 bonus on attack rolls against prone targets.&nl;Special: A fighter can select Nightmare Trample as one of his fighter bonus feats. This feat counts as Trample for the purpose of meeting any requirements or prerequisites.																	SOURCEPAGE:ROC	SERVESAS:FEAT|Trample			
Steed of Cania	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES			PRECLASS:1,Nightmare Steed=1	PREABILITY:1,CATEGORY=FEAT,Brand of the Nine Hells (Mephistopheles),Skill Focus (Knowledge (The Planes))													PREALIGN:LE,NE,CE	PRERACE:1,Nightmare				DESC:Benefit: The fire damage dealt by your Burning Body feature becomes hellfire damage, which ignores fire resistance and immunity. You may choose to shield your rider from this effect, dealing only standard fire damage to them.																	SOURCEPAGE:ROC	SERVESAS:FEAT|Trample			
Wild Party	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES			PRECLASS:1,Faun=2															PRERACE:1,Satyr				DESC:You may have your pipes be any single instrument of your choice. If used as a weapon with Let's Get This Party Started, it gains an enanchment bonus to attack and damage rolls equal to 1/3 your total level (including racial hd). Those bonus may not actually be bigger than +5, but every enanchment point beyond the first can be used to get special abilities. You may still only have one special instrument at a time, but if the old one breaks, you can craft a new one of a diferent type (and with diferent enanchments) with 100 GP worth of raw materials and another 8 hours of work. 																	SOURCEPAGE:ROC				
Eternal Portal	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																	PREABILITY:1,CATEGORY=Special Ability,TYPE.Hex Portal	PRERACE:1,Sharn				DESC:Whenever you create Hex-Portals, the previous ones you've created don't instantly vanish. You can however only maintain one extra "set" of hex-portals, so if you create more besides the previous two uses, you must choose one of the current "sets" of hex-portals to vanish.&nl;Special: You may take this feat multiple times. Each one allows you to keep an extra "set" of hex-portals in existence at  a time.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ROC				
Brightflame	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																	PREABILITY:1,CATEGORY=Special Ability,TYPE.Produce Flame					DESC: When using your produce flame racial ability to make an attack, you may treat your target's energy resistance as 5 lower. In addition, select acid, cold or electricity - you may choose to deal damage of that type with produce flame instead of fire damage.&nl;Special: A character with this feat may use produce flame underwater.&nl;Special: You may select this feat multiple times, choosing a different energy type each time. The reduction to energy resistance stacks.	STACK:NO	MULT:YES	CHOOSE:STRING|Acid|Cold|Electricity														SOURCEPAGE:ROC				
Ooze Minion	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRERACE:1,Ooze (Summoning)				DESC:Whenever you get a creature trough Summon Monster ability, you can make its duration permanent instead of 1 round/CL. You cannot have more than one such creature at a time. If you try to make another summon permanent this way, the previous one disapears.																	SOURCEPAGE:ROC				
Augmenting Ooze	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRERACE:1,Ooze (Summoning)				DESC:Whenever you get a creature trough Summon Monster ability, you can have it benefit from your Acid Touch. If it is your Ooze Minion, it also gains your Fast Healing ability.																	SOURCEPAGE:ROC				
Scyther	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Weapon Finesse														PRERACE:1,Vivisector				DESC:You can use your Dex mod instead of your Str mod for Claw and Sting damage rolls.															BONUS:WEAPONPROF=Claw|TOHIT|max(STR,DEX)-STR	BONUS:WEAPONPROF=Sting|TOHIT|max(STR,DEX)-STR	SOURCEPAGE:ROC				
Instant Vivisection	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES		PREATT:6																PRERACE:1,Vivisector				DESC:You can now use Vivisection as a standard action. If you have Bab 11+ you can instead use it as a swift action. If you have Bab 16+ you can use it as a free action, but either way only 1/round.																	SOURCEPAGE:ROC				
Harvesting Vivisection	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Instant Vivisection					PREHD:MIN=9									PRERACE:1,Vivisector				DESC:When you sucessfuly use Vivisection, you learn all the Ex, Su, spellcasting and SLA abilities of the target. Then pick one of them. You can use it for 1 hour as if you were that creature, or until you use Vivisection again, whatever happens first.&nl;In the case of SLAs, if the spell would normally demand expensive components and/or exp costs, they must be supplied by you.&nl;In the case of spellcasting, you can't recover spells, but in the case of a prepared spellcaster you get whatever prepared spells they had left, or in the case of a spontaneous caster the spells known and spell slots remaining.																	SOURCEPAGE:ROC				
Artificial Vivisection	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES													PRESTAT:1,CON=15					PRERACE:1,Vivisector				DESC:You can now use Vivisection and all related abilities on both living and non-living creatures, regardless of creature Type or Subtype.																	SOURCEPAGE:ROC				
Draconic Flight	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES									PREHD:MIN=4									PRETEMPLATE:1,Half Dragon				DESC:Your wings now allow you to fly at twice your base speed with average maneuverability. Each wing may also be used to deliver a natural attack dealing 1d3 damage.																	SOURCEPAGE:ROC				
Extra Breath Weapon	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																	PRETEXT:You must have a single breath weapon.	PRETEMPLATE:1,Half Dragon				DESC:You gain another breath weapon your parent dragon possesses. Its "cooldown" is doubled and only affects half the area.&nl;Special:You must have at least as much HD as you would need levels of your parent dragon class to gain the new breath weapon. For example, an half-gold dragon would need at least 6 HD before being able to learn Weakening Gas.																	SOURCEPAGE:ROC				
Improved Breath	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRETEMPLATE:1,Half Dragon				DESC:You gain the next upgrade for your parent's breath weapon. For example if you're a half-Shadow Dragon you would gain the Billowing Breath.&nl;Special:You can take this feat multiple times until your breath weapon reaches its power peak (in the case of the half-shadow dragon, you could take it one more time to gain Draining Breath). You must have at least as much HD as you would need levels of your parent dragon class to gain the new breath weapon. For example, an half-shadow dragon would need at least 3 HD before being able to learn Billowing Breath and 8 HD before learning Draining Breath.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ROC				
Draconic Movement	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRETEMPLATE:1,Half Dragon				DESC:You gain another movement mode of your dragon parent.&nl;Special:You may select this feat multiple times, selecting a new movement mode each time. You may not select a movement mode your draconic parent does not possess. 	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ROC				
Energise Weapon	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRETEMPLATE:1,Half Dragon				DESC:As a swift action you may touch a weapon and expend a use of your breath weapon to infuse it with the power of your draconic ancestor. For 1 round, any target struck by the weapon is subjected to your breath weapon.&nl;Special: If your dragon ancestor does not possess a breath weapon, the weapon instead channels whatever special attack you gained in place of a breath weapon.																	SOURCEPAGE:ROC				
Oozing Slime	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRETEMPLATE:1,Voidmind				DESC:You can use Cone of Slime every 1d4+1 rounds instead of every hour. 																	SOURCEPAGE:ROC				
Multi Slime	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRETEMPLATE:1,Voidmind				DESC:Whenever you project your Sentient Tentacle, you may produce one more for every 6 HD you have. Those extra tentacles only add half your Str mod to damage, but otherwise work just as your Sentient Tentacle.																	SOURCEPAGE:ROC				
