SOURCELONG:Gozzilioni Darkness and Dread	SOURCESHORT:DD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
													
#													
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE	
3	CAST:1,1												
4	CAST:2,1,0												
5	CAST:2,1,1												
6	CAST:2,2,1,0												
7	CAST:3,2,1,1												
8	CAST:3,2,2,1												
9	CAST:3,3,2,1												
10	CAST:4,3,2,2												
													
CLASS:Alchemist	HD:4	TYPE:NPC.Base	FACT:Abb|Acm	MAXLEVEL:10	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:AlechemistLVL|0	BONUS:VAR|AlchemistLVL|CL
CLASS:Alchemist	PRETEXT:In order to enter the alchemist class after 1st level, a character must work as an apprentice to a master of this art. The character must spend 1d4 months working as the master's servant. After this time, he may advance in this class as normal.												
CLASS:Alchemist	STARTSKILLPTS:4	CSKILL:TYPE=Craft|Decipher Script|Heal|Use Magic Device											
CLASS:Alchemist	SPELLSTAT:INT	FACT:SpellType|Arcane	SPELLBOOK:YES		BONUS:CASTERLEVEL|Alchemist|CL/2								
1				ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.AlchemistProficiencies									
1				ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist ~ Spellcasting									
1				ABILITY:Special Ability|AUTOMATIC|Academic ~ Skills									
#													
1				ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist ~ Master of alchemy|!PREABILITY:1,CATEGORY=ACF,TYPE.AlchemistMasterOfAlchemy									
#													
1	CAST:1												
2	CAST:1,0												
3	CAST:1,1												
4	CAST:2,1,0												
5	CAST:2,1,1												
6	CAST:2,2,1,0												
7	CAST:3,2,1,1												
8	CAST:3,2,2,1												
9	CAST:3,3,2,1												
10	CAST:4,3,2,2												
													
CLASS:Antiquarian	HD:6	TYPE:NPC.Base	FACT:Abb|Ant	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:AntiquarianLVL|0	BONUS:VAR|AntiquarianLVL|CL
CLASS:Antiquarian	PRETEXT:In order to enter the antiquarian class after 1st level, a character must establish his skill with ancient relics. He must have his character level + 3 ranks in Knowledge (history) and Use Magic Device.												
CLASS:Antiquarian	STARTSKILLPTS:6	CSKILL:Appraise|Decipher Script|Disable Device|Forgery|Knowledge (Arcana)|Open Lock|Search|Spot|Use Magic Device											
1				ABILITY:Antiquarian Class Feature|AUTOMATIC|Antiquarian ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.AntiquarianProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Academic ~ Skills									
#													
1				ABILITY:Antiquarian Class Feature|AUTOMATIC|Antiquarian ~ Item Lore|!PREABILITY:1,CATEGORY=ACF,TYPE.AntiquarianItemLore									
3				ABILITY:Antiquarian Class Feature|AUTOMATIC|Antiquarian ~ Arcane Expert|!PREABILITY:1,CATEGORY=ACF,TYPE.AntiquarianArcaneExpert									
5				ABILITY:Antiquarian Class Feature|AUTOMATIC|Antiquarian ~ Catalog of Knowledge|!PREABILITY:1,CATEGORY=ACF,TYPE.AntiquarianCatalogOfKnowledge									
													
CLASS:Apprentice	HD:4	TYPE:NPC.Base	FACT:Abb|App	MAXLEVEL:10	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:ApprenticeLVL|0	BONUS:VAR|ApprenticeLVL|CL
CLASS:Apprentice	PRETEXT:In order to enter the apprentice class after 1st level, a character must serve a wizard and learn arcane lore from him. The character must spend 1d4 months working as the master's servant. After this time, he may advance in this class as normal.												
CLASS:Apprentice	STARTSKILLPTS:2	CSKILL:TYPE=Craft|Decipher Script|Knowledge (Arcana)|Spellcraft|Use Magic Device											
CLASS:Apprentice	SPELLSTAT:INT	FACT:SpellType|Arcane	SPELLBOOK:YES	KNOWNSPELLS:LEVEL=0	BONUS:CASTERLEVEL|Apprentice|CL*3/4								
1				ABILITY:Apprentice Class Feature|AUTOMATIC|Apprentice ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ApprenticeProficiencies									
1				ABILITY:Apprentice Class Feature|AUTOMATIC|Apprentice ~ Spellcasting									
1				ABILITY:Special Ability|AUTOMATIC|Academic ~ Skills									
#													
1	CAST:2,1												
2	CAST:3,1												
3	CAST:3,2												
4	CAST:3,2,1												
5	CAST:4,3,1												
6	CAST:4,3,2												
7	CAST:4,3,2,1												
8	CAST:4,4,3,1												
9	CAST:4,4,3,2,1												
10	CAST:4,4,4,2,2												
													
CLASS:Artisan	HD:6	TYPE:NPC.Base	FACT:Abb|Art	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:ArtisanLVL|0	BONUS:VAR|ArtisanLVL|CL
CLASS:Artisan	PRETEXT:In order to enter the artisan class after 1st level, a character must have total ranks in a skill equal to his level + 3.												
CLASS:Artisan	STARTSKILLPTS:8	CSKILL:Appraise|Diplomacy|Forgery|Gather Information|Sense Motive											
1				ABILITY:Artisan Class Feature|AUTOMATIC|Artisan ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ArtisanProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Expert ~ Skills			BONUS:ABILITYPOOL|Artisan Class Skill|2	BONUS:VAR|SkillLVL|ArtisanLVL					
#													
1				ABILITY:Artisan Class Feature|AUTOMATIC|Artisan ~ Master Artisan									
3				ABILITY:Artisan Class Feature|AUTOMATIC|Artisan ~ Man About Town									
													
CLASS:Beggar	HD:6	TYPE:NPC.Base	FACT:Abb|Bgr	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:BeggarLVL|0	BONUS:VAR|BeggarLVL|CL
CLASS:Beggar	PRETEXT:In order to enter the beggar class after 1st level, a character must spend at least four weeks living on the streets of a town or city. He must beg for money and scavenge shelter in alleys. At the end of this period, he is eligible to enter this class.												
CLASS:Beggar	STARTSKILLPTS:6	CSKILL:Climb|Craft (Beggar)|Profession (Beggar)|Escape Artist|Gather Information|Hide|Knowledge (Local)|Listen|Perform (Beggar)|Move Silently|Search|Sleight of Hand|Spot|Tumble											
1				ABILITY:Beggar Class Feature|AUTOMATIC|Beggar ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.BeggarProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Orator ~ Skills									
#													
1				ABILITY:Beggar Class Feature|AUTOMATIC|Beggar ~ Fade into the Background|!PREABILITY:1,CATEGORY=ACF,TYPE.BeggarFadeIntoTheBackground									
3				ABILITY:Beggar Class Feature|AUTOMATIC|Beggar ~ Streetwise|!PREABILITY:1,CATEGORY=ACF,TYPE.BeggarStreetwise									
5				ABILITY:Beggar Class Feature|AUTOMATIC|Beggar ~ Guise of the Sickly|!PREABILITY:1,CATEGORY=ACF,TYPE.BeggarGuiseOfTheSickly									
													
CLASS:Engineer	HD:6	TYPE:NPC.Base	FACT:Abb|Eng	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:EngineerLVL|0	BONUS:VAR|EngineerLVL|CL
CLASS:Engineer	PRETEXT:In order to enter the engineer class after 1st level, a character must work with a master engineer in order to learn this craft. He must spend 6 months aiding the master. At the end of this term of service, the character may gain levels in this class.												
CLASS:Engineer	STARTSKILLPTS:4	CSKILL:Appraise|TYPE=Craft|Disable Device|Knowledge (Architecture and Engineering)|Open Lock|Search|Use Rope											
1				ABILITY:Engineer Class Feature|AUTOMATIC|Engineer ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.EngineerProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Academic ~ Skills									
#													
1				ABILITY:Engineer Class Feature|AUTOMATIC|Engineer ~ Engineer's Eye|!PREABILITY:1,CATEGORY=ACF,TYPE.EngineerEngineerSEye									
3				ABILITY:Engineer Class Feature|AUTOMATIC|Engineer ~ Rapid Construction|!PREABILITY:1,CATEGORY=ACF,TYPE.EngineerRapidConstruction									
5				ABILITY:Engineer Class Feature|AUTOMATIC|Engineer ~ Demolition Expert|!PREABILITY:1,CATEGORY=ACF,TYPE.EngineerDemolitionExpert									
													
CLASS:Gambler	HD:6	TYPE:NPC.Base	FACT:Abb|Gam	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:GamblerLVL|0	BONUS:VAR|GamblerLVL|CL
CLASS:Gambler	PRETEXT:In order to enter the gambler class after 1st level, a character must have ranks in Profession (gambler) equal to his total character level +3.												
CLASS:Gambler	STARTSKILLPTS:4	CSKILL:Appraise|Concentration|Listen|TYPE=Profession|Sense Motive|Sleight of Hand|Spot											
1				ABILITY:Gambler Class Feature|AUTOMATIC|Gambler ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.GamblerProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Orator ~ Skills									
#													
1				ABILITY:Gambler Class Feature|AUTOMATIC|Gambler ~ Weigh the Odds|!PREABILITY:1,CATEGORY=ACF,TYPE.GamblerWeighTheOdds									
3				ABILITY:Gambler Class Feature|AUTOMATIC|Gambler ~ Gambler's Luck|!PREABILITY:1,CATEGORY=ACF,TYPE.GamblerGamblerSLuck									
5				ABILITY:Gambler Class Feature|AUTOMATIC|Gambler ~ Work the Angles|!PREABILITY:1,CATEGORY=ACF,TYPE.GamblerWorkTheAngles									
													
CLASS:Grave Robber	HD:8	TYPE:NPC.Base	FACT:Abb|Grv	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:GraveRobberLVL|0	BONUS:VAR|GraveRobberLVL|CL
CLASS:Grave Robber	PRETEXT:In order to enter the grave robber class after 1st level, a character must assist a necromancer, physician, or similar person who requires fresh corpses for his work for at least one month. Alternatively, a character can rob graves on a freelance basis for three months to enter this class.												
CLASS:Grave Robber	STARTSKILLPTS:4	CSKILL:Disable Device|Intimidate|Knowledge (Religion)|Listen|Move Silently|Search											
1				ABILITY:Grave Robber Class Feature|AUTOMATIC|Grave Robber ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.GraveRobberProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Laborer ~ Skills									
#													
1				ABILITY:Grave Robber Class Feature|AUTOMATIC|Grave Robber ~ Nerves of Steel|!PREABILITY:1,CATEGORY=ACF,TYPE.GraveRobberNervesOfSteel									
3				ABILITY:Grave Robber Class Feature|AUTOMATIC|Grave Robber ~ Calm of the Dead|!PREABILITY:1,CATEGORY=ACF,TYPE.GraveRobberCalmOfTheDead									
5				ABILITY:Grave Robber Class Feature|AUTOMATIC|Grave Robber ~ Necromantic Lore|!PREABILITY:1,CATEGORY=ACF,TYPE.GraveRobberNecromanticLore									
													
CLASS:Grifter	HD:6	TYPE:NPC.Base	FACT:Abb|Grf	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:GrifterLVL|0	BONUS:VAR|GrifterLVL|CL
CLASS:Grifter	PRETEXT:In order to enter the grifter class after 1st level, a character must be experienced with manipulating others and skillfully navigating social situations. The character must have a number of ranks in Bluff and Diplomacy equal to his total character level + 3.												
CLASS:Grifter	STARTSKILLPTS:4	CSKILL:Disguise|Gather Information|Knowledge (Local)|Listen|TYPE=Perform|Sense Motive|Sleight of Hand|Speak Language											
1				ABILITY:Grifter Class Feature|AUTOMATIC|Grifter ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.GrifterProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Orator ~ Skills									
#													
1				ABILITY:Grifter Class Feature|AUTOMATIC|Grifter ~ Gilt Tongued|!PREABILITY:1,CATEGORY=ACF,TYPE.GrifterGiltTongued									
3				ABILITY:Grifter Class Feature|AUTOMATIC|Grifter ~ Pernicious Influence|!PREABILITY:1,CATEGORY=ACF,TYPE.GrifterPerniciousInfluence									
5				ABILITY:Grifter Class Feature|AUTOMATIC|Grifter ~ Confidence Artist|!PREABILITY:1,CATEGORY=ACF,TYPE.GrifterConfidenceArtist									
													
CLASS:Herbalist	HD:6	TYPE:NPC.Base	FACT:Abb|Hrb	MAXLEVEL:10	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:HerbalistLVL|0	BONUS:VAR|HerbalistLVL|CL
CLASS:Herbalist	PRETEXT:In order to enter the herbalist class after 1st level, a character must serve as an apprentice to a master of this profession. The character must spend 1d4 months working as the master's apprentice. After this time, he may advance in this class as normal. Alternatively, a character with ranks in Profession (herbalist) equal to his total character level + 3 can enter this class.												
CLASS:Herbalist	STARTSKILLPTS:4	CSKILL:TYPE=Craft|Handle Animal|Heal|Survival											
CLASS:Herbalist		FACT:SpellType|Arcane	SPELLBOOK:YES		BONUS:CASTERLEVEL|Herbalist|CL								
1				ABILITY:Herbalist Class Feature|AUTOMATIC|Herbalist ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.HerbalistProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Academic ~ Skills									
#													
1				ABILITY:Herbalist Class Feature|AUTOMATIC|Herbalist ~ Craft Herbal Mixtures|!PREABILITY:1,CATEGORY=ACF,TYPE.HerbalistCraftHerbalMixtures									
5				ABILITY:Herbalist Class Feature|AUTOMATIC|Herbalist ~ Improved Potion Creation|!PREABILITY:1,CATEGORY=ACF,TYPE.HerbalistImprovedPotionCreation									
10				ABILITY:Herbalist Class Feature|AUTOMATIC|Herbalist ~ Supreme Potion Creation|!PREABILITY:1,CATEGORY=ACF,TYPE.HerbalistSupremePotionCreation									
#													
1	KNOWN:3,1												
2	KNOWN:3,3												
3	KNOWN:3,3,1												
4	KNOWN:4,3,2												
5	KNOWN:4,4,3,1												
6	KNOWN:4,4,3,2												
7	KNOWN:5,4,3,3												
8	KNOWN:5,5,4,3												
9	KNOWN:5,5,4,3												
10	KNOWN:6,5,4,4												
													
CLASS:Kennelmaster	HD:8	TYPE:NPC.Base	FACT:Abb|Knm	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:KennelmasterLVL|0	BONUS:VAR|KennelmasterLVL|CL
CLASS:Kennelmaster	PRETEXT:In order to enter the kennelmaster class after 1st level, a character must have ranks in Handle Animal equal to his total level + 3.												
CLASS:Kennelmaster	STARTSKILLPTS:4	CSKILL:Climb|Handle Animal|Intimidate|Knowledge (Nature)|Sense Motive|Survival											
1				ABILITY:Kennelmaster Class Feature|AUTOMATIC|Kennelmaster ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.KennelmasterProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Expert ~ Skills			BONUS:VAR|SkillLVL|KennelmasterLVL						
#													
1				ABILITY:Kennelmaster Class Feature|AUTOMATIC|Kennelmaster ~ Animal Husbandry|!PREABILITY:1,CATEGORY=ACF,TYPE.KennelmasterAnimalHusbandry									
3				ABILITY:Kennelmaster Class Feature|AUTOMATIC|Kennelmaster ~ Calm Animal|!PREABILITY:1,CATEGORY=ACF,TYPE.KennelmasterCalmAnimal									
5				ABILITY:Kennelmaster Class Feature|AUTOMATIC|Kennelmaster ~ Feral Bond|!PREABILITY:1,CATEGORY=ACF,TYPE.KennelmasterFeralBond									
													
CLASS:Medium	HD:6	TYPE:NPC.Base	FACT:Abb|Med	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:MediumLVL|0	BONUS:VAR|MediumLVL|CL
CLASS:Medium	PRETEXT:In order to enter the medium class after 1st level, a character must have ranks in Sense Motive equal to her total character level + 3. In addition, she must have failed at least one Will save against a fear-based effect created by an undead creature or an outsider. Exposure to the supernatural is sometimes key to awakening a person's innate abilities.												
CLASS:Medium	STARTSKILLPTS:4	CSKILL:Concentration|Gather Information|Knowledge (Arcana)|Knowledge (Religion)|TYPE=Perform|Sense Motive|Sleight of Hand|Spellcraft|Use Magic Device											
1				ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.MediumProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Orator ~ Skills									
#													
1				ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Sense the Unseen|Medium ~ Sense the Unseen ~ Area Reading|Medium ~ Sense the Unseen ~ Object Reading|!PREABILITY:1,CATEGORY=ACF,TYPE.MediumSenseTheUnseen									
3				ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Sixth Sense|!PREABILITY:1,CATEGORY=ACF,TYPE.MediumSixthSense									
5				ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Pierce the Veil|!PREABILITY:1,CATEGORY=ACF,TYPE.MediumPierceTheVeil									
													
CLASS:Merchant	HD:6	TYPE:NPC.Base	FACT:Abb|Mer	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:MerchantLVL|0	BONUS:VAR|MerchantLVL|CL
CLASS:Merchant	PRETEXT:In order to enter the merchant class after 1st level, a character must establish himself as a businessman by trading goods and negotiating sales. The character must spend 1d4 months working as a merchant or assisting one in his business.												
CLASS:Merchant	STARTSKILLPTS:8	CSKILL:Appraise|Bluff|Concentration|Diplomacy|Gather Information|Intimidate|Knowledge (Geography)|Listen|Ride|Sense Motive|Sleight of Hand|Speak Language|Spot											
1				ABILITY:Merchant Class Feature|AUTOMATIC|Merchant ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.MerchantProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Expert ~ Skills			BONUS:VAR|SkillLVL|MerchantLVL						
#													
1				ABILITY:Merchant Class Feature|AUTOMATIC|Merchant ~ Canny Business|!PREABILITY:1,CATEGORY=ACF,TYPE.MerchantCannyBusiness									
3				ABILITY:Merchant Class Feature|AUTOMATIC|Merchant ~ World Traveler|!PREABILITY:1,CATEGORY=ACF,TYPE.MerchantWorldTraveler									
5				ABILITY:Merchant Class Feature|AUTOMATIC|Merchant ~ Versatile Traveler|!PREABILITY:1,CATEGORY=ACF,TYPE.MerchantVersatileTraveler									
													
CLASS:Ministrel	HD:6	TYPE:NPC.Base	FACT:Abb|Min	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:MinistrelLVL|0	BONUS:VAR|MinistrelLVL|CL
