SOURCELONG:Gozzilioni Darkness and Dread	SOURCESHORT:DD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
		
#Teleport	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine
Owl's Wisdom.MOD	CLASSES:Acolyte=2	
Remove Paralysis.MOD	CLASSES:Acolyte=2	
Restoration (Lesser).MOD	CLASSES:Acolyte=2	
Spiritual Weapon.MOD	CLASSES:Acolyte=2	
Status.MOD	CLASSES:Acolyte=2	
Contagion.MOD	CLASSES:Acolyte=3	
Create Food and Water.MOD	CLASSES:Acolyte=3	
Cure Serious Wounds.MOD	CLASSES:Acolyte=3	
Daylight.MOD	CLASSES:Acolyte=3	
Deeper Darkness.MOD	CLASSES:Acolyte=3	
Dispel Magic.MOD	CLASSES:Acolyte=3	
Glyph of Warding.MOD	CLASSES:Acolyte=3	
Helping Hand.MOD	CLASSES:Acolyte=3	
Inflict Serious Wounds.MOD	CLASSES:Acolyte=3	
Invisibility Purge.MOD	CLASSES:Acolyte=3	
Magic Vestment.MOD	CLASSES:Acolyte=3	
Obscure Object.MOD	CLASSES:Acolyte=3	
Prayer.MOD	CLASSES:Acolyte=3	
Remove Blindness/Deafness.MOD	CLASSES:Acolyte=3	
Remove Disease.MOD	CLASSES:Acolyte=3	
Stone Shape.MOD	CLASSES:Acolyte=3	
Water Breathing.MOD	CLASSES:Acolyte=3	
Water Walk.MOD	CLASSES:Acolyte=3	
Wind Wall.MOD	CLASSES:Acolyte=3	
Arcane Mark.MOD	CLASSES:Alchemist=0	
Detect Poison.MOD	CLASSES:Alchemist=0	
Detect Magic.MOD	CLASSES:Alchemist=0	
Flare.MOD	CLASSES:Alchemist=0	
Light.MOD	CLASSES:Alchemist=0	
Mage Hand.MOD	CLASSES:Alchemist=0	
Mending.MOD	CLASSES:Alchemist=0	
Prestidigitation.MOD	CLASSES:Alchemist=0	
Read Magic.MOD	CLASSES:Alchemist=0	
Acid Splash.MOD	CLASSES:Alchemist=1	
Detect Secret Doors.MOD	CLASSES:Alchemist=1	
Enlarge Person.MOD	CLASSES:Alchemist=1	
Erase.MOD	CLASSES:Alchemist=1	
Expeditious Retreat.MOD	CLASSES:Alchemist=1	
Feather Fall.MOD	CLASSES:Alchemist=1	
Grease.MOD	CLASSES:Alchemist=1	
Identify.MOD	CLASSES:Alchemist=1	
Jump.MOD	CLASSES:Alchemist=1	
Obscuring Mist.MOD	CLASSES:Alchemist=1	
Reduce Person.MOD	CLASSES:Alchemist=1	
Unseen Servant.MOD	CLASSES:Alchemist=1	
Burning Hands.MOD	CLASSES:Alchemist=2	
Continual Flame.MOD	CLASSES:Alchemist=2	
False Life.MOD	CLASSES:Alchemist=2	
Fog Cloud.MOD	CLASSES:Alchemist=2	
Glitterdust.MOD	CLASSES:Alchemist=2	
Pyrotechnics.MOD	CLASSES:Alchemist=2	
Shatter.MOD	CLASSES:Alchemist=2	
Spider Climb.MOD	CLASSES:Alchemist=2	
Summon Swarm.MOD	CLASSES:Alchemist=2	
Touch of Idiocy.MOD	CLASSES:Alchemist=2	
Acid Arrow.MOD	CLASSES:Alchemist=3	
Arcane Sight.MOD	CLASSES:Alchemist=3	
Dispel Magic.MOD	CLASSES:Alchemist=3	
Gentle Repose.MOD	CLASSES:Alchemist=3	
Keen Edge.MOD	CLASSES:Alchemist=3	
Stinking Cloud.MOD	CLASSES:Alchemist=3	
Tiny Hut.MOD	CLASSES:Alchemist=3	
Water Breathing.MOD	CLASSES:Alchemist=3	
Wind Wall.MOD	CLASSES:Alchemist=3	
Acid Splash.MOD	CLASSES:Apprentice=0	
Arcane Mark.MOD	CLASSES:Apprentice=0	
Dancing Lights.MOD	CLASSES:Apprentice=0	
Daze.MOD	CLASSES:Apprentice=0	
Detect Magic.MOD	CLASSES:Apprentice=0	
Detect Poison.MOD	CLASSES:Apprentice=0	
Flare.MOD	CLASSES:Apprentice=0	
Ghost Sound.MOD	CLASSES:Apprentice=0	
Mage Hand.MOD	CLASSES:Apprentice=0	
Mending.MOD	CLASSES:Apprentice=0	
Message.MOD	CLASSES:Apprentice=0	
Open/Close.MOD	CLASSES:Apprentice=0	
Prestidigitation.MOD	CLASSES:Apprentice=0	
Ray of Frost.MOD	CLASSES:Apprentice=0	
Read Magic.MOD	CLASSES:Apprentice=0	
Resistance.MOD	CLASSES:Apprentice=0	
Touch of Fatigue.MOD	CLASSES:Apprentice=0	
Animate Rope.MOD	CLASSES:Apprentice=1	
Burning Hands.MOD	CLASSES:Apprentice=1	
Cause Fear.MOD	CLASSES:Apprentice=1	
Charm Person.MOD	CLASSES:Apprentice=1	
Chill Touch.MOD	CLASSES:Apprentice=1	
Comprehend Languages.MOD	CLASSES:Apprentice=1	
Detect Secret Doors.MOD	CLASSES:Apprentice=1	
Detect Undead.MOD	CLASSES:Apprentice=1	
Disguise Self.MOD	CLASSES:Apprentice=1	
Endure Elements.MOD	CLASSES:Apprentice=1	
Enlarge Person.MOD	CLASSES:Apprentice=1	
Erase.MOD	CLASSES:Apprentice=1	
Expeditious Retreat.MOD	CLASSES:Apprentice=1	
Feather Fall.MOD	CLASSES:Apprentice=1	
Floating Disk.MOD	CLASSES:Apprentice=1	
Grease.MOD	CLASSES:Apprentice=1	
Hold Portal.MOD	CLASSES:Apprentice=1	
Hypnotism.MOD	CLASSES:Apprentice=1	
Identify.MOD	CLASSES:Apprentice=1	
Jump.MOD	CLASSES:Apprentice=1	
Magic Aura.MOD	CLASSES:Apprentice=1	
Obscuring Mist.MOD	CLASSES:Apprentice=1	
Ray of Enfeeblement.MOD	CLASSES:Apprentice=1	
Reduce Person.MOD	CLASSES:Apprentice=1	
Shield.MOD	CLASSES:Apprentice=1	
Shocking Grasp.MOD	CLASSES:Apprentice=1	
Silent Image.MOD	CLASSES:Apprentice=1	
Sleep.MOD	CLASSES:Apprentice=1	
Unseen Servant.MOD	CLASSES:Apprentice=1	
Ventriloquism.MOD	CLASSES:Apprentice=1	
Acid Arrow.MOD	CLASSES:Apprentice=2	
Arcane Lock.MOD	CLASSES:Apprentice=2	
Command Undead.MOD	CLASSES:Apprentice=2	
Continual Flame.MOD	CLASSES:Apprentice=2	
Darkness.MOD	CLASSES:Apprentice=2	
Darkvision.MOD	CLASSES:Apprentice=2	
Daze Monster.MOD	CLASSES:Apprentice=2	
Detect Thoughts.MOD	CLASSES:Apprentice=2	
Eagle's Splendor.MOD	CLASSES:Apprentice=2	
Fog Cloud.MOD	CLASSES:Apprentice=2	
Fox's Cunning.MOD	CLASSES:Apprentice=2	
Ghoul Touch.MOD	CLASSES:Apprentice=2	
Glitterdust.MOD	CLASSES:Apprentice=2	
Hideous Laughter.MOD	CLASSES:Apprentice=2	
Hypnotic Pattern.MOD	CLASSES:Apprentice=2	
Knock.MOD	CLASSES:Apprentice=2	
Levitate.MOD	CLASSES:Apprentice=2	
Minor Image.MOD	CLASSES:Apprentice=2	
Misdirection.MOD	CLASSES:Apprentice=2	
Obscure Object.MOD	CLASSES:Apprentice=2	
Owl's Wisdom.MOD	CLASSES:Apprentice=2	
Phantom Trap.MOD	CLASSES:Apprentice=2	
Pyrotechnics.MOD	CLASSES:Apprentice=2	
Resist Energy.MOD	CLASSES:Apprentice=2	
Scare.MOD	CLASSES:Apprentice=2	
See Invisibility.MOD	CLASSES:Apprentice=2	
Shatter.MOD	CLASSES:Apprentice=2	
Spectral Hand.MOD	CLASSES:Apprentice=2	
Spider Climb.MOD	CLASSES:Apprentice=2	
Summon Swarm.MOD	CLASSES:Apprentice=2	
Touch of Idiocy.MOD	CLASSES:Apprentice=2	
Web.MOD	CLASSES:Apprentice=2	
Whispering Wind.MOD	CLASSES:Apprentice=2	
Arcane Sight.MOD	CLASSES:Apprentice=3	
Blink.MOD	CLASSES:Apprentice=3	
Clairaudience/Clairvoyance.MOD	CLASSES:Apprentice=3	
Deep Slumber.MOD	CLASSES:Apprentice=3	
Dispel Magic.MOD	CLASSES:Apprentice=3	
Flame Arrow.MOD	CLASSES:Apprentice=3	
Gentle Repose.MOD	CLASSES:Apprentice=3	
Halt Undead.MOD	CLASSES:Apprentice=3	
Heroism.MOD	CLASSES:Apprentice=3	
Hold Person.MOD	CLASSES:Apprentice=3	
Illusory Script.MOD	CLASSES:Apprentice=3	
Keen Edge.MOD	CLASSES:Apprentice=3	
Major Image.MOD	CLASSES:Apprentice=3	
Nondetection.MOD	CLASSES:Apprentice=3	
Phantom Steed.MOD	CLASSES:Apprentice=3	
Protection from Energy.MOD	CLASSES:Apprentice=3	
Rage.MOD	CLASSES:Apprentice=3	
Ray of Exhaustion.MOD	CLASSES:Apprentice=3	
Secret Page.MOD	CLASSES:Apprentice=3	
Sepia Snake Sigil.MOD	CLASSES:Apprentice=3	
Shrink Item.MOD	CLASSES:Apprentice=3	
Sleet Storm.MOD	CLASSES:Apprentice=3	
Slow.MOD	CLASSES:Apprentice=3	
Stinking Cloud.MOD	CLASSES:Apprentice=3	
Suggestion.MOD	CLASSES:Apprentice=3	
Tongues.MOD	CLASSES:Apprentice=3	
Vampiric Touch.MOD	CLASSES:Apprentice=3	
Water Breathing.MOD	CLASSES:Apprentice=3	
Wind Wall.MOD	CLASSES:Apprentice=3	
Animate Dead.MOD	CLASSES:Apprentice=4	
Arcane Eye.MOD	CLASSES:Apprentice=4	
Bestow Curse.MOD	CLASSES:Apprentice=4	
Black Tentacles.MOD	CLASSES:Apprentice=4	
Confusion.MOD	CLASSES:Apprentice=4	
Contagion.MOD	CLASSES:Apprentice=4	
Crushing Despair.MOD	CLASSES:Apprentice=4	
Detect Scrying.MOD	CLASSES:Apprentice=4	
Dimension Door.MOD	CLASSES:Apprentice=4	
Dimensional Anchor.MOD	CLASSES:Apprentice=4	
Enervation.MOD	CLASSES:Apprentice=4	
Enlarge Person (Mass).MOD	CLASSES:Apprentice=4	
Fear.MOD	CLASSES:Apprentice=4	
Fire Shield.MOD	CLASSES:Apprentice=4	
Fire Trap.MOD	CLASSES:Apprentice=4	
Geas (Lesser).MOD	CLASSES:Apprentice=4	
Globe of Invulnerability (Lesser).MOD	CLASSES:Apprentice=4	
Hallucinatory Terrain.MOD	CLASSES:Apprentice=4	
Ice Storm.MOD	CLASSES:Apprentice=4	
Illusory Wall.MOD	CLASSES:Apprentice=4	
Locate Creature.MOD	CLASSES:Apprentice=4	
Minor Creation.MOD	CLASSES:Apprentice=4	
Phantasmal Killer.MOD	CLASSES:Apprentice=4	
Polymorph.MOD	CLASSES:Apprentice=4	
Rainbow Pattern.MOD	CLASSES:Apprentice=4	
Reduce Person (Mass).MOD	CLASSES:Apprentice=4	
Scrying.MOD	CLASSES:Apprentice=4	
Shadow Conjuration.MOD	CLASSES:Apprentice=4	
Shout.MOD	CLASSES:Apprentice=4	
Solid Fog.MOD	CLASSES:Apprentice=4	
Stone Shape.MOD	CLASSES:Apprentice=4	
Atonement.MOD	CLASSES:Herbalist=0	
Cure Minor Wounds.MOD	CLASSES:Herbalist=0	
Guidance.MOD	CLASSES:Herbalist=0	
Purify Food and Drink.MOD	CLASSES:Herbalist=0	
Resistance.MOD	CLASSES:Herbalist=0	
Virtue.MOD	CLASSES:Herbalist=0	
Comprehend Languages.MOD	CLASSES:Herbalist=1	
Cure Light Wounds.MOD	CLASSES:Herbalist=1	
Endure Elements.MOD	CLASSES:Herbalist=1	
Expeditious Retreat.MOD	CLASSES:Herbalist=1	
Jump.MOD	CLASSES:Herbalist=1	
Remove Fear.MOD	CLASSES:Herbalist=1	
True Strike.MOD	CLASSES:Herbalist=1	
Aid.MOD	CLASSES:Herbalist=2	
Bear's Endurance.MOD	CLASSES:Herbalist=2	
Bull's Strength.MOD	CLASSES:Herbalist=2	
Calm Emotions.MOD	CLASSES:Herbalist=2	
Cure Moderate Wounds.MOD	CLASSES:Herbalist=2	
Darkvision.MOD	CLASSES:Herbalist=2	
Delay Poison.MOD	CLASSES:Herbalist=2	
Gentle Repose.MOD	CLASSES:Herbalist=2	
Owl's Wisdom.MOD	CLASSES:Herbalist=2	
Remove Paralysis.MOD	CLASSES:Herbalist=2	
Restoration (Lesser).MOD	CLASSES:Herbalist=2	
See Invisibility.MOD	CLASSES:Herbalist=2	
Arcane Sight.MOD	CLASSES:Herbalist=3	
Cure Serious Wounds.MOD	CLASSES:Herbalist=3	
Heroism.MOD	CLASSES:Herbalist=3	
Rage.MOD	CLASSES:Herbalist=3	
Remove Blindness/Deafness.MOD	CLASSES:Herbalist=3	
Remove Curse.MOD	CLASSES:Herbalist=3	
Remove Disease.MOD	CLASSES:Herbalist=3	
Water Breathing.MOD	CLASSES:Herbalist=3	
